date,open,high,low,close,volume
2023-01-11,36.74,37.025,36.38,36.62,93658.0
2023-01-12,36.71,37.15,36.37,37.15,136808.0
2023-01-13,36.99,37.28,36.89,37.15,139712.0
2023-01-17,37.0,37.59,36.8413,37.05,109119.0
2023-01-18,37.18,37.47,36.82,37.01,91343.0
2023-01-19,36.68,36.8,36.2201,36.32,87872.0
2023-01-20,36.46,36.46,35.76,36.19,110041.0
2023-01-23,36.03,36.48,35.71,36.01,84359.0
2023-01-24,36.07,36.26,35.615,36.15,53416.0
2023-01-25,36.13,37.59,36.0294,37.55,85886.0
2023-01-26,37.5,38.0,37.145,37.56,109243.0
2023-01-27,36.84,37.31,34.43,34.58,233794.0
2023-01-30,34.6,35.96,34.5,35.24,134910.0
2023-01-31,35.25,37.05,35.24,37.04,218522.0
2023-02-01,36.97,37.42,36.02,37.2,198448.0
2023-02-02,37.26,38.52,37.08,38.17,190953.0
2023-02-03,37.77,38.84,37.77,38.61,155730.0
2023-02-06,38.23,38.52,37.38,38.01,166839.0
2023-02-07,37.89,38.05,37.115,37.56,111027.0
2023-02-08,37.2,37.34,36.56,37.05,102848.0
2023-02-09,37.3,37.46,36.79,36.98,113165.0
2023-02-10,37.0,37.49,36.97,37.43,98306.0
2023-02-13,37.5,38.16,37.415,38.12,96784.0
2023-02-14,38.05,38.82,37.905,38.32,141492.0
2023-02-15,37.95,39.28,37.6546,39.16,121648.0
2023-02-16,38.77,39.31,38.485,39.16,125950.0
2023-02-17,39.41,39.64,38.97,39.25,216250.0
2023-02-21,38.99,39.135,38.06,38.15,118471.0
2023-02-22,38.11,38.88,37.885,37.97,150396.0
2023-02-23,38.07,38.45,37.93,38.29,97283.0
2023-02-24,37.9,37.95,37.265,37.4,90330.0
2023-02-27,37.71,38.03,37.21,37.37,85982.0
2023-02-28,37.32,38.25,37.32,38.16,182018.0
2023-03-01,38.16,39.18,38.02,38.64,142467.0
2023-03-02,38.45,39.57,38.21,39.39,125766.0
2023-03-03,39.53,39.53,38.57,38.97,86155.0
2023-03-06,38.97,38.97,37.19,37.41,159820.0
2023-03-07,37.62,37.7725,37.01,37.44,133333.0
2023-03-08,37.58,37.7747,36.84,37.29,81926.0
2023-03-09,37.37,37.4,36.75,36.75,83600.0
2023-03-10,36.56,36.68,35.85,36.26,106877.0
2023-03-13,35.77,36.17,35.22,35.33,119831.0
2023-03-14,36.14,36.43,35.62,35.84,108937.0
2023-03-15,35.04,36.0525,34.77,35.92,172440.0
2023-03-16,35.49,36.42,34.73,36.1,117380.0
