date,open,high,low,close,volume
2023-01-11,14.76,14.99,14.6801,14.92,185669.0
2023-01-12,14.97,15.59,14.8,15.48,248947.0
2023-01-13,15.5,15.55,15.29,15.47,102738.0
2023-01-17,15.53,15.62,15.43,15.5,146351.0
2023-01-18,15.55,15.66,15.06,15.2,206973.0
2023-01-19,15.22,15.22,14.95,15.01,254950.0
2023-01-20,15.14,15.175,14.98,15.0,229272.0
2023-01-23,15.0,15.25,14.88,15.11,283741.0
2023-01-24,15.04,15.25,15.0,15.04,248084.0
2023-01-25,15.01,15.17,14.94,15.13,302774.0
2023-01-26,15.23,15.41,14.91,15.09,1095939.0
2023-01-27,15.06,15.15,14.82,14.89,218785.0
2023-01-30,14.83,14.97,14.55,14.64,360446.0
2023-01-31,14.76,15.175,14.61,15.14,404870.0
2023-02-01,15.13,15.375,15.02,15.16,509252.0
2023-02-02,15.32,15.59,15.3,15.58,681448.0
2023-02-03,15.48,15.605,15.39,15.56,297854.0
2023-02-06,15.55,15.62,15.29,15.51,209686.0
2023-02-07,15.38,15.74,15.38,15.65,343468.0
2023-02-08,15.59,15.73,15.48,15.52,558324.0
2023-02-09,15.66,15.815,15.5,15.55,251477.0
2023-02-10,15.48,15.55,15.07,15.36,242842.0
2023-02-13,15.29,15.39,15.1897,15.38,124454.0
2023-02-14,15.29,15.385,15.17,15.28,186020.0
2023-02-15,15.14,15.4,15.115,15.38,193372.0
2023-02-16,15.25,15.79,15.25,15.76,474621.0
2023-02-17,15.88,15.886,15.68,15.86,814544.0
2023-02-21,15.68,16.16,15.68,16.15,505503.0
2023-02-22,16.2,16.46,15.91,15.98,810976.0
2023-02-23,16.01,16.08,15.68,16.08,220717.0
2023-02-24,15.84,16.02,15.6753,15.7,202286.0
2023-02-27,15.8,16.22,15.8,16.1,232237.0
2023-02-28,16.14,16.39,16.09,16.09,458270.0
2023-03-01,15.97,16.05,15.76,15.98,361290.0
2023-03-02,15.31,15.92,15.175,15.33,575352.0
2023-03-03,15.5,16.165,15.43,16.0,694304.0
2023-03-06,16.03,16.14,15.673,15.95,239045.0
2023-03-07,16.03,16.17,15.78,15.99,206846.0
2023-03-08,16.02,16.02,15.43,15.67,217321.0
2023-03-09,15.7,15.82,15.445,15.46,222674.0
2023-03-10,15.39,15.455,15.11,15.39,269789.0
2023-03-13,15.21,15.39,14.93,15.27,495279.0
2023-03-14,15.47,15.61,15.2,15.44,615086.0
2023-03-15,15.16,15.24,14.78,15.03,484439.0
2023-03-16,14.9,15.22,14.785,15.0,329356.0
2023-03-17,14.83,14.95,14.53,14.56,1162965.0
2023-03-20,14.68,15.1,14.61,14.8,279103.0
2023-03-21,15.01,15.235,14.965,15.03,750827.0
2023-03-22,15.1,15.39,14.93,14.93,245113.0
2023-03-23,15.04,15.29,14.94,15.12,238130.0
2023-03-24,15.01,15.65,14.975,15.52,280768.0
2023-03-27,15.59,15.65,15.435,15.65,320478.0
2023-03-28,15.65,15.88,15.65,15.74,227127.0
2023-03-29,15.79,15.82,15.65,15.73,185077.0
2023-03-30,15.74,15.841,15.69,15.8,217371.0
2023-03-31,15.88,16.07,15.8,16.0,282874.0
2023-04-03,16.0,16.19,15.95,16.17,268165.0
2023-04-04,16.18,16.19,16.0,16.18,259800.0
2023-04-05,16.17,16.17,15.94,16.1,248664.0
2023-04-06,16.15,16.63,16.05,16.42,475008.0
2023-04-10,17.0,17.94,16.551,17.69,1175994.0
2023-04-11,17.72,17.93,17.605,17.93,604091.0
2023-04-12,18.0,18.05,17.75,17.84,617400.0
2023-04-13,17.86,17.93,17.71,17.75,204249.0
2023-04-14,17.73,17.81,17.5,17.54,245112.0
2023-04-17,17.55,17.62,17.43,17.52,203940.0
2023-04-18,17.55,17.64,17.19,17.35,184498.0
2023-04-19,17.29,17.38,17.245,17.37,186817.0
2023-04-20,17.31,17.44,17.18,17.24,214406.0
2023-04-21,17.24,17.27,17.091,17.23,259128.0
2023-04-24,17.11,17.28,17.1,17.22,194038.0
2023-04-25,17.09,17.2,17.045,17.12,232560.0
2023-04-26,17.03,17.19,17.0,17.13,308692.0
2023-04-27,17.17,17.55,17.06,17.39,248661.0
2023-04-28,17.4,17.6982,17.4,17.52,350136.0
2023-05-01,17.5,17.78,17.465,17.59,210663.0
2023-05-02,17.49,17.62,17.155,17.57,291749.0
2023-05-03,17.59,17.84,17.47,17.48,360752.0
2023-05-04,17.22,17.25,16.49,16.89,806655.0
2023-05-05,16.91,17.02,16.27,16.54,691911.0
2023-05-08,16.53,16.71,15.81,15.81,453242.0
2023-05-09,15.74,16.085,15.56,15.78,400391.0
2023-05-10,15.95,16.0,15.68,15.9,282840.0
2023-05-11,15.72,16.0525,15.72,15.96,187782.0
2023-05-12,16.0,16.09,15.72,15.82,243290.0
2023-05-15,15.85,16.4,15.82,16.08,225315.0
2023-05-16,15.99,16.12,15.75,15.9,193642.0
2023-05-17,15.96,16.31,15.91,16.07,208674.0
2023-05-18,16.03,16.345,16.03,16.21,950857.0
2023-05-19,16.33,16.375,16.06,16.11,236699.0
2023-05-22,16.19,16.2,15.95,16.03,232879.0
2023-05-23,16.03,16.47,15.94,15.97,208076.0
2023-05-24,15.87,16.1,15.87,16.01,247573.0
2023-05-25,15.97,15.97,15.59,15.68,344578.0
2023-05-26,15.65,15.715,15.41,15.52,295053.0
2023-05-30,15.58,15.59,14.89,15.11,239846.0
2023-05-31,15.06,15.32,14.89,15.28,318035.0
2023-06-01,15.24,15.45,15.18,15.23,291915.0
2023-06-02,15.32,15.705,15.28,15.58,216083.0
2023-06-05,15.43,15.555,15.395,15.53,158243.0
2023-06-06,15.56,15.86,15.525,15.82,187407.0
2023-06-07,15.9,16.31,15.9,16.18,297225.0
2023-06-08,16.16,16.27,16.02,16.07,362121.0
2023-06-09,16.07,16.09,15.74,15.84,133043.0
2023-06-12,15.85,15.97,15.74,15.85,143106.0
2023-06-13,15.89,15.99,15.7,15.88,522200.0
2023-06-14,15.84,15.89,15.53,15.54,228351.0
2023-06-15,15.53,15.645,15.34,15.51,240571.0
2023-06-16,15.64,15.64,15.135,15.2,804594.0
2023-06-20,15.09,15.14,14.67,14.73,307310.0
2023-06-21,14.67,14.935,14.62,14.79,192636.0
2023-06-22,14.73,14.78,14.615,14.76,165605.0
2023-06-23,14.59,14.73,14.49,14.56,251345.0
2023-06-26,14.56,14.64,14.49,14.51,134360.0
2023-06-27,14.53,14.75,14.35,14.71,139529.0
2023-06-28,14.72,14.8,14.63,14.7,138750.0
2023-06-29,14.76,14.96,14.76,14.85,164455.0
2023-06-30,14.97,15.06,14.81,14.83,172489.0
2023-07-03,14.69,15.04,14.68,14.96,103935.0
2023-07-05,14.91,14.91,14.69,14.8,244618.0
2023-07-06,14.69,14.74,14.415,14.55,231112.0
2023-07-07,14.63,14.9622,14.6,14.72,269139.0
2023-07-10,14.69,14.975,14.69,14.9,259036.0
2023-07-11,14.95,15.18,14.95,15.11,229225.0
