date,open,high,low,close,volume
2023-01-11,47.6,48.27,47.55,48.24,178256.0
2023-01-12,48.68,48.68,47.65,48.32,172457.0
2023-01-13,47.79,48.66,47.79,48.35,127110.0
2023-01-17,48.48,48.48,46.745,47.36,177928.0
2023-01-18,47.23,48.38,46.82,47.07,167400.0
2023-01-19,46.73,46.945,46.09,46.3,223846.0
2023-01-20,46.62,47.02,45.94,46.89,190754.0
2023-01-23,46.79,47.0354,44.94,45.02,235824.0
2023-01-24,44.82,45.68,44.6,44.97,220679.0
2023-01-25,44.94,50.4199,44.94,49.98,592233.0
2023-01-26,49.94,50.43,47.52,50.32,374170.0
2023-01-27,50.37,51.41,49.3,49.82,428903.0
2023-01-30,49.63,49.94,48.21,48.72,281346.0
2023-01-31,49.06,51.11,49.06,50.9,404800.0
2023-02-01,50.82,53.28,50.7,53.05,481665.0
2023-02-02,53.35,54.0,52.635,53.97,447282.0
2023-02-03,53.67,53.955,52.73,53.56,334983.0
2023-02-06,53.44,54.11,51.585,52.19,297381.0
2023-02-07,51.82,53.045,51.46,52.47,254876.0
2023-02-08,52.3,53.13,52.05,52.9,243308.0
2023-02-09,53.1,53.77,52.495,52.96,319444.0
2023-02-10,53.04,53.36,52.38,52.84,281892.0
2023-02-13,52.84,54.16,52.84,54.0,266633.0
2023-02-14,53.62,54.27,53.51,54.08,241887.0
2023-02-15,53.5,54.62,53.41,54.5,238322.0
2023-02-16,53.96,55.31,53.815,54.97,262744.0
2023-02-17,55.24,55.7,54.32,54.4,349967.0
2023-02-21,53.62,54.07,51.77,51.81,275517.0
2023-02-22,51.81,52.75,51.4,51.84,302786.0
2023-02-23,51.79,51.79,50.09,50.55,245637.0
2023-02-24,50.21,50.795,50.09,50.5,230168.0
2023-02-27,50.89,51.3,50.32,50.62,226381.0
2023-02-28,50.7,51.37,50.06,50.44,290953.0
2023-03-01,49.96,50.365,46.3213,49.95,222673.0
2023-03-02,49.59,50.79,49.22,50.5,209081.0
2023-03-03,50.72,50.72,49.6,50.62,214479.0
2023-03-06,50.87,50.87,49.31,49.7,214109.0
2023-03-07,49.43,50.005,48.895,49.94,201560.0
2023-03-08,50.16,50.16,49.56,49.88,188772.0
2023-03-09,49.99,50.64,47.89,49.95,287869.0
2023-03-10,49.68,49.68,47.93,48.07,315028.0
2023-03-13,47.47,48.41,47.19,48.21,326979.0
2023-03-14,49.32,49.77,48.28,49.36,401408.0
2023-03-15,48.51,49.555,47.65,48.86,275976.0
2023-03-16,48.2,49.61,47.71,49.2,419911.0
2023-03-17,48.77,48.97,47.36,47.5,751683.0
2023-03-20,47.65,49.81,47.61,48.23,444974.0
2023-03-21,48.86,49.38,47.96,48.11,354101.0
2023-03-22,48.03,49.37,48.03,48.38,254899.0
2023-03-23,48.55,49.035,47.86,48.27,228072.0
2023-03-24,47.92,49.01,47.61,48.93,226660.0
2023-03-27,49.34,49.425,48.4793,48.94,179266.0
2023-03-28,48.85,49.67,48.85,49.56,171045.0
2023-03-29,49.71,49.71,48.41,48.76,310039.0
2023-03-30,49.04,49.46,48.19,48.72,299404.0
2023-03-31,49.14,49.8,49.0,49.43,293488.0
2023-04-03,49.28,49.98,48.87,49.54,232583.0
2023-04-04,49.79,49.79,47.94,48.08,177600.0
2023-04-05,47.98,47.98,46.89,46.95,207866.0
2023-04-06,47.0,47.19,46.4,46.65,324913.0
2023-04-10,46.54,47.174,46.43,47.1,393957.0
2023-04-11,47.49,48.0,47.2,47.51,266529.0
2023-04-12,47.79,47.95,46.6,47.45,323465.0
2023-04-13,47.51,47.83,46.7,47.66,204035.0
2023-04-14,47.96,48.5067,47.29,47.37,249954.0
2023-04-17,47.63,48.525,47.0,47.36,222412.0
2023-04-18,47.71,48.1,47.46,47.88,279946.0
2023-04-19,47.72,48.49,47.525,48.36,156221.0
2023-04-20,47.7,48.505,47.53,48.17,270839.0
2023-04-21,48.21,48.43,47.67,48.29,178033.0
2023-04-24,48.2,49.49,48.2,49.41,226322.0
2023-04-25,49.01,49.26,48.01,48.37,256148.0
2023-04-26,48.01,48.35,47.69,47.8,170392.0
2023-04-27,47.85,49.05,47.55,49.0,162911.0
2023-04-28,48.93,49.76,48.555,48.88,174598.0
2023-05-01,48.73,49.355,48.62,48.9,156900.0
2023-05-02,48.75,48.77,47.32,48.59,174215.0
2023-05-03,48.51,49.335,48.38,48.44,149744.0
2023-05-04,48.27,48.27,47.5,47.97,117659.0
2023-05-05,48.38,49.14,48.3142,48.83,134622.0
2023-05-08,48.85,49.36,48.4,49.14,155265.0
2023-05-09,48.76,49.91,48.45,49.49,200705.0
2023-05-10,49.97,50.2,48.21,48.91,170429.0
2023-05-11,48.75,49.65,48.42,48.57,227263.0
2023-05-12,48.69,49.44,48.69,49.14,160023.0
2023-05-15,49.25,49.25,48.51,48.7,167238.0
2023-05-16,48.33,48.71,47.645,48.42,281755.0
2023-05-17,48.45,49.35,47.82,48.93,451505.0
2023-05-18,45.23,45.41,41.05,45.05,1139718.0
2023-05-19,45.62,45.96,44.23,44.62,352362.0
2023-05-22,44.62,44.78,43.23,43.24,397106.0
2023-05-23,43.0,44.01,42.85,43.35,334458.0
2023-05-24,43.75,43.89,42.83,43.14,218183.0
2023-05-25,42.66,43.055,42.0,42.23,276429.0
2023-05-26,42.16,43.32,41.97,43.19,224732.0
2023-05-30,43.23,43.59,42.53,42.6,215681.0
2023-05-31,41.6,42.94,41.1,41.37,399495.0
2023-06-01,41.5,41.77,40.88,41.34,268806.0
2023-06-02,41.31,42.625,41.27,42.45,277234.0
2023-06-05,42.2,42.41,41.65,42.35,234080.0
2023-06-06,42.27,43.18,42.05,42.94,269854.0
2023-06-07,43.17,44.1125,43.16,43.85,237630.0
2023-06-08,43.67,43.9,42.3,42.35,366996.0
2023-06-09,42.41,42.41,41.24,41.28,377097.0
2023-06-12,41.36,41.925,40.84,41.14,353710.0
2023-06-13,41.37,42.56,40.94,42.37,390696.0
2023-06-14,42.35,42.715,40.695,40.8,401483.0
2023-06-15,40.8,41.28,40.32,41.2,438556.0
2023-06-16,41.7,42.875,39.27,39.5,824773.0
2023-06-20,39.5,40.45,39.42,39.89,416183.0
2023-06-21,39.71,40.37,39.44,39.94,275535.0
2023-06-22,39.81,40.24,39.18,40.16,226645.0
2023-06-23,39.71,40.055,39.5405,39.67,684280.0
2023-06-26,39.84,40.1,39.03,39.21,276712.0
2023-06-27,39.43,39.95,38.9,39.62,244120.0
2023-06-28,39.66,40.01,39.27,40.01,202818.0
2023-06-29,40.16,40.67,39.875,39.92,264632.0
2023-06-30,40.27,40.8,40.0,40.63,219218.0
2023-07-03,40.57,41.37,40.57,41.29,142302.0
2023-07-05,41.17,41.3843,40.35,40.63,290881.0
2023-07-06,40.13,40.44,39.3701,39.76,223197.0
2023-07-07,39.9,40.205,39.52,39.98,249334.0
2023-07-10,39.85,40.84,39.85,40.1,1000652.0
2023-07-11,40.08,40.9,40.08,40.53,271131.0
2023-07-12,41.19,43.6475,40.75,40.82,191028.0
2023-07-13,40.85,41.37,40.5101,40.82,189080.0
2023-07-14,40.86,41.21,40.42,41.19,225586.0
2023-07-17,40.95,41.28,39.33,39.33,371730.0
2023-07-18,39.27,40.065,39.18,39.69,366702.0
2023-07-19,39.71,40.09,39.24,39.43,477210.0
2023-07-20,39.5,39.5,38.21,39.0,537049.0
2023-07-21,39.31,39.675,38.66,38.8,422887.0
2023-07-24,39.05,39.93,38.7,39.65,431929.0
2023-07-25,39.4,39.74,38.885,39.2,604299.0
2023-07-26,38.32,39.36,36.0,36.96,1276097.0
2023-07-27,37.35,37.86,36.645,36.71,533265.0
2023-07-28,36.72,37.35,36.6,36.68,353035.0
2023-07-31,36.66,37.215,36.531,36.65,488098.0
2023-08-01,36.56,37.115,36.035,36.06,334639.0
2023-08-02,35.65,35.74,34.58,35.24,729582.0
2023-08-03,35.51,36.31,35.15,36.09,601948.0
2023-08-04,36.2,36.24,35.29,35.32,318523.0
2023-08-07,35.3,35.5003,34.58,34.63,363026.0
2023-08-08,34.43,35.11,34.1,34.91,330529.0
2023-08-09,34.82,34.99,34.35,34.54,574122.0
2023-08-10,34.76,35.17,34.22,34.47,321134.0
2023-08-11,34.33,34.63,34.02,34.61,297458.0
2023-08-14,34.57,34.57,33.87,34.55,290734.0
2023-08-15,34.34,34.69,34.03,34.67,274095.0
2023-08-16,34.59,35.08,34.16,34.46,392480.0
2023-08-17,34.46,34.7,33.59,33.6,370334.0
2023-08-18,33.56,34.41,33.56,34.23,332169.0
2023-08-21,34.2,34.21,33.66,33.91,390225.0
2023-08-22,34.07,34.39,33.48,34.26,227239.0
2023-08-23,34.12,34.85,34.1,34.8,331049.0
2023-08-24,34.59,34.59,33.68,33.74,387746.0
2023-08-25,33.98,34.44,33.22,33.27,304444.0
2023-08-28,33.55,33.8,33.42,33.58,282375.0
2023-08-29,33.51,33.66,33.24,33.37,279950.0
2023-08-30,33.47,33.835,33.35,33.39,277567.0
2023-08-31,33.5,33.825,32.711,32.74,461828.0
2023-09-01,32.9,33.6,32.9,33.58,348711.0
2023-09-05,33.46,33.46,32.37,32.76,413766.0
2023-09-06,32.81,32.88,32.05,32.46,351787.0
2023-09-07,32.3,32.305,31.24,31.25,365608.0
2023-09-08,31.33,31.51,31.11,31.27,306375.0
2023-09-11,31.3,31.38,30.37,30.47,388761.0
2023-09-12,30.51,30.79,29.66,29.7,456010.0
2023-09-13,29.87,30.26,29.66,30.05,427158.0
2023-09-14,30.13,30.62,30.05,30.27,707447.0
2023-09-15,30.32,30.46,29.5,29.56,1459708.0
2023-09-18,29.66,29.78,29.14,29.63,499247.0
2023-09-19,29.66,30.01,29.41,29.43,295196.0
2023-09-20,29.42,29.58,28.96,29.1,273874.0
2023-09-21,28.96,29.33,28.89,28.93,316734.0
2023-09-22,28.89,28.995,28.33,28.44,399948.0
2023-09-25,28.43,28.72,28.06,28.15,305515.0
2023-09-26,28.03,28.27,27.34,27.37,305802.0
2023-09-27,27.64,27.8,27.18,27.52,270044.0
2023-09-28,27.43,27.65,27.2,27.56,391301.0
2023-09-29,27.87,28.01,27.5,27.77,344540.0
2023-10-02,27.7,27.725,26.22,26.34,617926.0
2023-10-03,26.3,26.99,26.26,26.95,501342.0
2023-10-04,27.02,27.25,26.78,27.02,385157.0
2023-10-05,27.03,27.33,26.63,27.02,385589.0
2023-10-06,26.81,27.51,26.75,26.91,405982.0
2023-10-09,26.82,27.145,26.47,26.47,316837.0
2023-10-10,26.55,27.53,26.55,27.07,456548.0
2023-10-11,27.22,27.4,26.21,26.43,362135.0
2023-10-12,26.49,26.49,25.66,26.31,504697.0
2023-10-13,26.36,26.76,25.43,25.71,358769.0
2023-10-16,26.0,27.03,25.8,26.73,416359.0
2023-10-17,26.45,26.86,26.17,26.5,437357.0
2023-10-18,26.35,26.4,25.825,26.13,347398.0
2023-10-19,25.95,26.04,25.12,25.15,463113.0
2023-10-20,25.19,25.29,24.95,25.0,415926.0
2023-10-23,24.98,25.26,24.6,24.68,792999.0
2023-10-24,24.95,25.24,24.62,24.69,924728.0
2023-10-25,25.89,26.3,22.72,26.13,1409587.0
2023-10-26,25.75,25.98,24.75,25.74,597905.0
2023-10-27,25.8,26.16,25.62,26.02,447315.0
2023-10-30,25.95,26.125,24.84,24.9,585570.0
2023-10-31,24.82,25.06,24.41,24.82,436584.0
2023-11-01,24.72,25.28,24.0,24.6,486697.0
2023-11-02,25.1,26.23,25.1,25.97,600930.0
2023-11-03,26.49,27.13,26.36,26.84,432634.0
2023-11-06,26.6,26.985,26.26,26.31,421852.0
2023-11-07,26.19,27.02,25.93,26.99,464980.0
2023-11-08,26.88,27.355,26.37,26.63,485071.0
2023-11-09,26.55,26.75,26.16,26.22,277454.0
2023-11-10,26.32,27.445,26.02,26.89,389494.0
2023-11-13,26.65,27.145,26.65,26.75,305717.0
2023-11-14,27.55,28.28,27.55,28.02,411101.0
2023-11-15,28.04,29.35,28.02,29.13,622132.0
2023-11-16,28.78,28.9,28.12,28.24,541514.0
2023-11-17,28.53,28.79,28.2,28.7,414647.0
2023-11-20,28.54,29.1,28.31,28.93,369353.0
2023-11-21,28.55,28.83,28.24,28.65,396291.0
2023-11-22,28.81,29.1852,28.55,29.02,306941.0
2023-11-24,29.02,29.38,28.92,29.24,197979.0
2023-11-27,29.11,29.25,28.84,29.15,470990.0
2023-11-28,28.98,29.75,28.24,29.48,443847.0
2023-11-29,29.85,30.49,29.48,29.49,538590.0
2023-11-30,29.59,29.59,28.7301,28.92,473031.0
2023-12-01,29.0,29.94,28.68,29.9,426811.0
2023-12-04,29.85,30.795,29.85,30.53,507717.0
2023-12-05,30.29,30.66,29.63,29.71,484876.0
2023-12-06,30.07,30.35,29.54,29.63,489211.0
2023-12-07,29.53,30.845,28.95,30.59,446347.0
2023-12-08,30.48,31.01,30.18,30.33,352470.0
2023-12-11,30.33,30.915,30.28,30.91,514742.0
2023-12-12,30.93,30.93,30.32,30.7,405761.0
2023-12-13,30.78,31.51,29.44,31.45,420578.0
2023-12-14,32.11,33.52,32.11,33.26,585759.0
2023-12-15,33.48,33.48,32.31,32.41,802243.0
2023-12-18,32.45,32.66,31.01,31.44,419089.0
2023-12-19,31.6,32.11,31.55,31.98,285875.0
2023-12-20,32.04,32.38,31.145,31.16,454832.0
2023-12-21,31.5,31.69,30.82,31.19,507605.0
2023-12-22,31.3,31.54,31.17,31.18,326439.0
2023-12-26,31.48,31.48,30.46,30.48,243479.0
2023-12-27,30.42,30.515,29.88,29.89,274592.0
