date,open,high,low,close,volume
2023-01-11,21.09,21.335,20.95,21.2,1094142.0
2023-01-12,21.45,22.445,21.29,22.27,3482339.0
2023-01-13,21.96,22.62,21.77,22.46,919898.0
2023-01-17,22.4,22.86,22.255,22.8,779751.0
2023-01-18,22.8,23.0278,22.41,22.54,1226910.0
2023-01-19,22.47,22.65,22.13,22.61,1532154.0
2023-01-20,22.91,23.3727,22.78,23.0,1795028.0
2023-01-23,23.04,23.36,22.98,23.23,1040988.0
2023-01-24,23.36,23.585,23.04,23.15,1166716.0
2023-01-25,22.87,23.63,22.75,23.52,1170002.0
2023-01-26,23.75,23.83,23.145,23.48,633369.0
2023-01-27,23.29,23.84,23.29,23.76,982482.0
2023-01-30,23.42,24.2,23.42,23.91,1474981.0
2023-01-31,23.91,24.55,23.85,24.49,1668046.0
2023-02-01,24.35,25.245,24.35,24.95,1725610.0
2023-02-02,25.11,25.795,25.11,25.78,1661571.0
2023-02-03,25.44,25.96,25.2,25.44,1798108.0
2023-02-06,25.07,25.28,24.66,24.78,2112298.0
2023-02-07,24.51,24.86,24.15,24.75,1491631.0
2023-02-08,24.47,24.73,24.07,24.14,1724280.0
2023-02-09,24.42,24.67,23.62,23.79,2457392.0
2023-02-10,24.18,24.43,22.75,23.17,4416989.0
2023-02-13,23.295,23.86,23.08,23.83,2161741.0
2023-02-14,23.51,23.955,23.365,23.88,1869348.0
2023-02-15,23.72,24.43,23.72,24.13,1616090.0
2023-02-16,23.75,24.32,23.62,24.02,1465039.0
2023-02-17,24.06,24.06,23.59,23.81,1020645.0
2023-02-21,23.47,23.648,23.32,23.33,725423.0
2023-02-22,23.32,23.585,23.06,23.49,1418749.0
2023-02-23,23.65,23.77,23.24,23.76,1146328.0
2023-02-24,23.45,23.56,23.18,23.41,892424.0
2023-02-27,23.62,23.64,23.31,23.46,727603.0
2023-02-28,23.41,23.6759,23.105,23.18,1661359.0
2023-03-01,23.18,23.565,23.07,23.41,1974928.0
2023-03-02,23.03,23.5,23.0,23.42,1105503.0
2023-03-03,23.49,23.795,23.38,23.63,989402.0
2023-03-06,23.81,24.085,23.59,23.72,1423250.0
2023-03-07,23.69,23.74,22.97,23.02,1995724.0
2023-03-08,23.13,23.29,22.8,23.12,1083188.0
2023-03-09,23.07,23.37,22.82,22.92,1340222.0
2023-03-10,23.09,23.09,22.02,22.54,1658280.0
2023-03-13,22.09,22.59,21.74,22.21,1739810.0
2023-03-14,22.94,22.95,22.01,22.22,2011932.0
2023-03-15,21.64,21.78,20.89,21.41,2847610.0
2023-03-16,21.21,21.72,21.06,21.45,1938561.0
2023-03-17,21.64,21.64,20.83,20.93,2148350.0
2023-03-20,21.1,21.47,20.89,20.97,1376525.0
2023-03-21,21.35,21.65,21.25,21.47,1261087.0
2023-03-22,21.43,21.51,20.66,20.67,1916232.0
2023-03-23,20.85,21.205,20.08,20.49,2206916.0
2023-03-24,20.2,20.54,19.96,20.54,2094408.0
2023-03-27,20.79,20.8,20.28,20.66,1414225.0
2023-03-28,20.68,20.99,20.53,20.9,1497756.0
2023-03-29,21.14,21.28,20.99,21.0,1221257.0
2023-03-30,21.22,21.33,21.045,21.16,1398634.0
2023-03-31,21.27,21.62,21.18,21.62,1877184.0
2023-04-03,21.51,21.735,21.3,21.72,1191494.0
2023-04-04,21.86,21.86,21.35,21.46,1182174.0
2023-04-05,21.31,21.325,20.83,20.84,1351583.0
2023-04-06,20.78,20.86,20.56,20.7,1248145.0
2023-04-10,20.73,21.73,20.6,21.71,2584996.0
2023-04-11,21.82,22.715,21.8,22.51,2163769.0
2023-04-12,22.8,22.88,22.06,22.34,991316.0
2023-04-13,22.43,22.56,22.27,22.38,889859.0
2023-04-14,22.45,22.77,22.29,22.4,961787.0
2023-04-17,22.33,22.44,22.1,22.29,852194.0
2023-04-18,22.5,22.79,22.4,22.65,907062.0
2023-04-19,22.6,22.875,22.49,22.83,814329.0
2023-04-20,22.72,22.98,22.555,22.62,1103012.0
2023-04-21,22.63,23.01,22.26,22.87,1324424.0
2023-04-24,22.85,22.97,22.6105,22.69,1555142.0
2023-04-25,22.56,22.65,22.065,22.21,1246211.0
2023-04-26,22.04,22.385,22.01,22.11,1109570.0
2023-04-27,22.25,22.39,21.75,22.29,1296155.0
2023-04-28,22.23,22.435,21.995,22.17,1359338.0
2023-05-01,22.25,22.53,21.845,21.95,1170397.0
2023-05-02,21.73,22.145,21.51,22.09,1974111.0
2023-05-03,22.15,22.79,22.07,22.27,1401516.0
2023-05-04,22.01,22.335,21.89,22.18,1148744.0
2023-05-05,22.51,22.6,22.06,22.34,1105486.0
2023-05-08,22.35,22.41,21.825,21.84,2757121.0
2023-05-09,21.83,21.86,21.495,21.64,2610742.0
2023-05-10,20.5,20.68,17.61,18.8,11216737.0
2023-05-11,18.61,18.64,17.53,17.59,6195737.0
2023-05-12,17.89,18.04,16.975,17.28,5099279.0
2023-05-15,17.57,18.2674,17.46,18.18,4525727.0
2023-05-16,18.05,18.18,17.275,17.37,3088129.0
2023-05-17,17.38,18.14,17.33,17.95,3752688.0
2023-05-18,17.79,17.865,17.3107,17.46,3409984.0
2023-05-19,17.49,17.53,16.38,16.5,5483304.0
2023-05-22,16.5,16.62,16.13,16.45,4435187.0
2023-05-23,16.67,17.235,16.45,16.76,3305824.0
2023-05-24,16.71,17.33,16.62,17.27,4147169.0
2023-05-25,16.98,17.29,16.86,17.15,3483011.0
2023-05-26,17.17,17.275,17.025,17.13,1947653.0
2023-05-30,17.28,17.35,17.09,17.27,1676368.0
2023-05-31,17.13,17.53,17.05,17.07,2286499.0
2023-06-01,17.13,17.505,17.01,17.44,2840009.0
2023-06-02,17.81,18.385,17.66,18.35,3159716.0
2023-06-05,18.26,18.52,18.075,18.29,2477442.0
2023-06-06,18.28,19.48,18.28,19.3,5298467.0
2023-06-07,19.58,19.81,19.25,19.59,3568573.0
2023-06-08,19.6,19.67,19.15,19.34,2507480.0
2023-06-09,19.8,20.11,19.5801,19.64,2104039.0
2023-06-12,19.6,19.85,19.45,19.63,2705213.0
2023-06-13,19.72,19.86,19.52,19.66,3906715.0
2023-06-14,19.64,19.83,19.325,19.54,1954827.0
2023-06-15,19.37,19.78,19.2993,19.78,2204726.0
2023-06-16,19.98,19.98,19.09,19.46,3305188.0
2023-06-20,19.39,19.39,18.911,19.03,2573364.0
2023-06-21,18.94,19.38,18.935,19.24,1911396.0
2023-06-22,19.18,19.25,19.02,19.19,1346371.0
2023-06-23,18.91,19.29,18.89,19.2,3324758.0
2023-06-26,19.14,19.41,18.995,19.31,1675523.0
2023-06-27,19.45,20.05,19.35,19.92,1976972.0
2023-06-28,19.81,20.0,19.54,19.71,1446509.0
2023-06-29,19.68,19.91,19.64,19.89,1455181.0
2023-06-30,20.06,20.155,19.84,19.85,3600067.0
2023-07-03,19.93,20.205,19.88,20.05,1221443.0
2023-07-05,20.05,20.05,19.6,19.92,1475120.0
2023-07-06,19.62,19.6991,19.325,19.56,1901394.0
2023-07-07,19.62,19.91,19.5601,19.74,1475660.0
2023-07-10,19.73,20.23,19.66,20.05,1911396.0
2023-07-11,20.15,20.3799,19.88,20.31,1853653.0
2023-07-12,20.68,20.7539,20.23,20.45,2475731.0
2023-07-13,20.52,20.57,20.3,20.31,1568938.0
2023-07-14,20.29,20.38,19.54,19.58,2645341.0
2023-07-17,19.5,19.88,19.35,19.6,2325285.0
2023-07-18,19.66,19.985,19.53,19.57,1477071.0
2023-07-19,19.66,20.05,19.55,20.0,2843205.0
2023-07-20,20.12,20.135,19.47,19.56,1470782.0
2023-07-21,19.67,19.6712,19.315,19.41,1583556.0
2023-07-24,19.45,19.8,19.36,19.64,1705512.0
2023-07-25,19.56,19.585,19.255,19.44,2209174.0
2023-07-26,19.36,19.92,19.36,19.84,1706882.0
2023-07-27,20.04,20.14,19.43,19.45,1457636.0
