date,open,high,low,close,volume
2023-01-11,31.95,32.2,31.94,32.09,13396.0
2023-01-12,32.38,32.79,32.0,32.6,21907.0
2023-01-13,32.32,33.43,32.32,33.3,27063.0
2023-01-17,33.45,34.1583,32.97,33.14,29798.0
2023-01-18,33.16,33.24,32.32,32.32,25608.0
2023-01-19,32.1,32.985,32.05,32.74,27287.0
2023-01-20,32.94,33.17,32.783,33.07,74719.0
2023-01-23,32.92,33.05,32.4906,32.88,23172.0
2023-01-24,32.1475,32.71,32.1475,32.62,38775.0
2023-01-25,32.53,32.78,32.4,32.78,10487.0
2023-01-26,32.5501,32.68,32.31,32.68,13405.0
2023-01-27,32.39,32.5742,30.755,30.89,29374.0
2023-01-30,30.45,31.21,30.32,30.47,39419.0
2023-01-31,30.49,31.365,30.49,31.15,40897.0
2023-02-01,31.12,31.93,30.99,31.42,49593.0
2023-02-02,31.67,32.01,31.21,31.98,43610.0
2023-02-03,31.9,32.14,31.76,32.05,29784.0
2023-02-06,32.1699,32.1699,31.67,31.82,16676.0
2023-02-07,31.81,32.02,31.495,31.66,18796.0
2023-02-08,31.44,31.68,31.15,31.53,28198.0
2023-02-09,31.81,31.81,30.89,30.98,21037.0
2023-02-10,31.7801,31.7801,30.725,31.1,14912.0
2023-02-13,31.23,31.42,31.19,31.27,15750.0
2023-02-14,31.21,31.345,30.59,30.75,17755.0
2023-02-15,30.52,31.06,30.5,30.97,25130.0
2023-02-16,30.55,30.96,30.55,30.64,18907.0
2023-02-17,30.82,31.44,30.51,31.22,31400.0
2023-02-21,30.95,30.99,30.76,30.81,22864.0
2023-02-22,30.52,31.05,30.52,30.68,17947.0
2023-02-23,30.83,31.21,30.7,30.89,16627.0
2023-02-24,30.53,30.65,30.18,30.45,61213.0
2023-02-27,30.63,30.78,30.3,30.5,14759.0
2023-02-28,30.3,30.35,30.01,30.04,57688.0
2023-03-01,29.91,30.12,29.78,29.91,26002.0
2023-03-02,29.7,30.02,29.66,29.94,23366.0
2023-03-03,29.87,30.02,29.77,29.84,25795.0
2023-03-06,29.81,29.97,29.29,29.42,57141.0
2023-03-07,29.44,29.475,29.06,29.18,38524.0
2023-03-08,29.07,29.24,28.67,28.88,18305.0
2023-03-09,28.77,28.77,27.5,27.6,30597.0
2023-03-10,27.33,27.41,26.49,26.9,40334.0
2023-03-13,26.46,26.46,23.89,24.22,63667.0
2023-03-14,24.93,26.7879,24.245,24.52,65759.0
2023-03-15,23.94,24.9,23.8,24.9,33084.0
2023-03-16,24.7,26.13,24.7,25.45,39452.0
2023-03-17,25.27,25.27,24.15,24.17,80622.0
2023-03-20,24.3,24.875,24.25,24.28,43115.0
2023-03-21,24.65,25.1074,24.23,24.51,65611.0
2023-03-22,24.39,24.8775,23.57,23.57,65439.0
2023-03-23,23.79,23.8104,22.78,23.02,29873.0
2023-03-24,22.79,23.73,22.73,23.69,32491.0
2023-03-27,24.07,24.62,23.86,24.04,38114.0
2023-03-28,24.0,24.22,23.85,24.03,22165.0
2023-03-29,24.19,24.21,23.75,24.13,43057.0
2023-03-30,24.39,24.39,23.81,23.94,47871.0
2023-03-31,24.2,24.7,23.9,24.42,104822.0
2023-04-03,24.41,24.41,23.79,24.36,45529.0
2023-04-04,24.35,24.35,23.14,23.25,31011.0
2023-04-05,23.11,23.39,22.8634,23.24,30572.0
2023-04-06,23.35,23.39,23.09,23.25,20998.0
2023-04-10,23.07,23.5,23.06,23.33,32229.0
2023-04-11,23.34,23.37,22.77,22.8,20466.0
2023-04-12,23.33,23.33,22.57,22.89,27191.0
2023-04-13,22.86,23.09,22.71,22.88,22836.0
2023-04-14,23.03,23.03,21.88,21.96,30586.0
2023-04-17,22.06,22.38,21.5952,22.375,19017.0
2023-04-18,22.39,22.5999,21.44,21.54,22538.0
2023-04-19,21.48,21.665,21.0111,21.54,33606.0
2023-04-20,21.41,21.58,21.18,21.48,20668.0
2023-04-21,21.38,21.58,20.82,21.2,77055.0
2023-04-24,21.23,22.005,21.16,21.3,28977.0
2023-04-25,21.15,21.2305,20.27,20.61,35104.0
2023-04-26,20.55,20.74,20.15,20.4,32268.0
2023-04-27,20.57,20.6799,20.165,20.44,42169.0
2023-04-28,20.44,21.19,20.01,20.7,65850.0
2023-05-01,20.76,21.0999,19.84,19.91,42674.0
2023-05-02,19.95,20.07,18.73,19.07,39877.0
