date,open,high,low,close,volume
2023-01-11,293.84,302.76,292.01,302.76,706372.0
2023-01-12,302.05,302.05,297.06,299.15,365179.0
2023-01-13,297.85,305.62,295.8,300.25,309619.0
2023-01-17,301.58,305.31,297.47,299.32,414927.0
2023-01-18,298.9,301.48,294.685,295.2,409079.0
2023-01-19,297.13,301.0,295.8585,298.07,489017.0
2023-01-20,297.45,297.81,293.27,297.45,601099.0
2023-01-23,299.3,299.3,291.73,297.27,371909.0
2023-01-24,295.02,296.92,292.03,296.21,271950.0
2023-01-25,296.63,301.27,295.85,297.22,420366.0
2023-01-26,298.22,300.57,296.12,298.35,261419.0
2023-01-27,298.83,301.55,294.72,300.41,428201.0
2023-01-30,302.12,307.75,301.01,302.69,647012.0
2023-01-31,303.99,312.36,303.99,311.83,566935.0
2023-02-01,311.45,313.99,308.11,311.75,503845.0
2023-02-02,305.8,309.03,301.51,304.39,809762.0
2023-02-03,305.36,308.81,298.485,301.07,456091.0
2023-02-06,302.27,305.62,298.69,299.05,409200.0
2023-02-07,299.05,302.77,295.79,302.77,398166.0
2023-02-08,301.18,307.655,301.18,307.17,736011.0
2023-02-09,315.0,316.51,299.23,301.33,918462.0
2023-02-10,301.26,306.24,298.34,304.31,644779.0
2023-02-13,303.31,305.17,297.88,299.38,552942.0
2023-02-14,299.64,302.67,296.39,297.91,422294.0
2023-02-15,296.31,297.48,292.545,293.92,484601.0
2023-02-16,292.83,296.82,291.99,292.97,388801.0
2023-02-17,293.03,297.41,291.87,296.07,589539.0
2023-02-21,292.88,295.8562,290.545,292.67,421547.0
2023-02-22,293.72,295.81,292.05,294.15,335941.0
2023-02-23,293.4,295.61,288.47,293.69,426081.0
2023-02-24,292.7,292.7,286.92,287.29,357678.0
2023-02-27,289.14,291.06,285.57,285.89,335305.0
2023-02-28,285.31,286.8856,273.98,275.33,837741.0
2023-03-01,273.58,277.11,273.285,273.8,439539.0
2023-03-02,274.08,279.915,271.75,277.83,446039.0
2023-03-03,277.41,280.69,273.44,280.6,376658.0
2023-03-06,281.16,284.32,280.67,280.99,663097.0
