date,open,high,low,close,volume
2023-01-11,188.57,189.65,182.6682,186.64,3152749.0
2023-01-12,186.54,189.29,179.15,188.06,3881563.0
2023-01-13,185.08,192.12,185.05,192.0,3214839.0
2023-01-17,187.895,194.63,187.64,190.69,3722084.0
2023-01-18,200.322,207.51,195.02,197.02,11058942.0
2023-01-19,196.21,197.31,190.32,190.38,4273936.0
2023-01-20,190.6,194.585,188.52,193.98,4034681.0
2023-01-23,192.61,198.86,192.21,196.94,2907292.0
2023-01-24,195.83,197.06,193.215,196.76,1851328.0
2023-01-25,194.33,194.96,189.75,193.07,2288175.0
2023-01-26,194.43,195.0,187.55,193.24,2392332.0
2023-01-27,191.91,193.52,188.28,189.35,3314113.0
2023-01-30,187.23,187.59,180.64,180.87,3198156.0
2023-01-31,176.5,180.21,173.78,176.06,6202464.0
2023-02-01,174.7,176.3,167.28,174.3,5607529.0
2023-02-02,173.4,176.73,170.51,176.35,4061548.0
2023-02-03,172.74,178.74,172.4,173.25,2821351.0
2023-02-06,171.98,174.41,169.67,170.27,2858045.0
2023-02-07,170.26,171.87,167.03,171.06,2574091.0
2023-02-08,169.33,170.39,164.15,164.34,2960515.0
2023-02-09,167.03,170.1,163.19,164.48,2853832.0
2023-02-10,164.0,169.51,162.65,169.28,2945181.0
2023-02-13,168.73,171.77,166.01,171.48,2702267.0
2023-02-14,170.89,176.04,169.29,175.62,2906417.0
2023-02-15,173.17,177.37,172.45,177.28,1963347.0
2023-02-16,173.07,176.2,171.59,172.31,2466634.0
2023-02-17,163.0,166.72,160.66,166.6,5056964.0
2023-02-21,165.25,166.86,159.49,160.09,3295748.0
2023-02-22,160.35,161.49,157.0,158.17,3082490.0
2023-02-23,153.73,157.5,143.7192,147.57,9378868.0
2023-02-24,140.53,144.27,138.21,139.26,5998695.0
2023-02-27,139.52,140.91,136.72,138.27,4965970.0
2023-02-28,138.27,140.96,137.3702,138.81,3994993.0
2023-03-01,138.39,140.28,133.66,135.66,4588069.0
2023-03-02,135.36,139.03,135.34,137.86,3306708.0
2023-03-03,138.68,144.855,138.15,143.2,3964829.0
2023-03-06,143.3,145.06,142.63,144.03,2871108.0
2023-03-07,143.78,145.74,139.68,141.05,2777656.0
2023-03-08,140.32,142.53,140.32,142.08,2193844.0
2023-03-09,142.04,144.03,136.5159,137.36,3092631.0
2023-03-10,137.06,141.55,135.5919,138.29,3886257.0
2023-03-13,138.49,148.94,138.06,147.9,5681250.0
2023-03-14,148.98,154.88,148.05,151.28,3952630.0
2023-03-15,148.88,151.19,147.61,149.6,2740001.0
