date,open,high,low,close,volume
2023-01-11,12.98,13.2,12.98,13.07,4606440.0
2023-01-12,13.18,13.3,13.08,13.29,2737468.0
2023-01-13,13.19,13.31,13.08,13.25,1685603.0
2023-01-17,13.3,13.395,13.19,13.34,2424285.0
2023-01-18,13.36,13.725,13.31,13.44,4854658.0
2023-01-19,13.3,13.66,13.26,13.62,4352271.0
2023-01-20,13.74,13.825,13.57,13.72,3037954.0
2023-01-23,13.72,13.93,13.69,13.85,3553950.0
2023-01-24,13.8,13.97,13.749,13.75,2038700.0
2023-01-25,13.67,13.89,13.6,13.85,2297404.0
2023-01-26,13.95,14.385,13.94,14.33,5275423.0
2023-01-27,14.33,14.39,14.11,14.16,2200457.0
2023-01-30,14.08,14.18,13.865,13.9,2011466.0
2023-01-31,13.92,14.14,13.89,14.12,2410623.0
2023-02-01,14.03,14.31,13.94,14.23,2786017.0
2023-02-02,14.69,14.69,14.1,14.29,4574438.0
2023-02-03,14.14,14.36,14.02,14.17,3651186.0
2023-02-06,14.08,14.15,13.72,13.78,2725203.0
2023-02-07,13.7,14.04,13.63,14.0,2699505.0
2023-02-08,13.87,14.03,13.84,13.96,2403049.0
2023-02-09,14.04,14.1,13.8,13.81,1979551.0
2023-02-10,13.82,14.04,13.81,13.92,2519962.0
2023-02-13,13.89,14.145,13.89,14.11,1636945.0
2023-02-14,14.11,14.23,13.95,14.07,1705077.0
2023-02-15,13.98,14.2,13.98,14.18,1764815.0
2023-02-16,13.95,14.17,13.92,14.01,1905232.0
2023-02-17,14.02,14.12,13.935,14.04,3227105.0
2023-02-21,13.9,13.95,13.515,13.6,2814783.0
2023-02-22,13.58,13.77,13.555,13.64,2491906.0
2023-02-23,13.74,13.82,13.515,13.73,1384951.0
2023-02-24,13.65,13.8,13.53,13.79,1752191.0
2023-02-27,13.91,13.97,13.715,13.78,2207634.0
2023-02-28,13.74,13.91,13.7,13.76,3528160.0
2023-03-01,13.7,13.87,13.555,13.72,2828288.0
2023-03-02,13.63,13.81,13.5587,13.75,1592293.0
2023-03-03,13.74,13.93,13.74,13.91,1524871.0
2023-03-06,13.97,14.25,13.8,13.84,3062322.0
2023-03-07,13.81,13.935,13.705,13.82,2233749.0
2023-03-08,13.83,13.855,13.69,13.81,2361756.0
2023-03-09,13.82,13.865,13.27,13.33,3559569.0
2023-03-10,13.09,13.24,12.705,12.9,3981360.0
2023-03-13,12.73,12.78,12.2,12.47,6044552.0
2023-03-14,12.96,13.17,12.61,12.72,6373896.0
2023-03-15,12.38,12.675,12.3,12.59,5511978.0
2023-03-16,12.49,13.04,12.23,12.81,4460828.0
2023-03-17,12.64,12.64,12.155,12.39,22212465.0
2023-03-20,12.54,12.74,12.48,12.61,5364293.0
2023-03-21,12.93,12.99,12.8,12.83,3827621.0
2023-03-22,12.78,12.85,12.51,12.51,2825398.0
2023-03-23,12.57,12.665,12.35,12.38,2602029.0
2023-03-24,12.2,12.81,12.16,12.76,3967062.0
2023-03-27,12.94,13.01,12.755,12.85,1747825.0
2023-03-28,12.82,13.0,12.78,13.0,3040641.0
2023-03-29,13.11,13.24,13.07,13.23,2809916.0
2023-03-30,13.31,13.35,13.165,13.28,1961167.0
2023-03-31,13.31,13.46,13.27,13.42,2147394.0
2023-04-03,13.38,13.525,13.33,13.46,1790590.0
2023-04-04,13.48,13.53,13.15,13.19,1543215.0
2023-04-05,13.11,13.29,13.11,13.27,1804593.0
2023-04-06,13.27,13.44,13.23,13.25,1625434.0
2023-04-10,13.23,13.3,13.11,13.26,2457101.0
2023-04-11,13.63,13.88,13.495,13.76,4559544.0
2023-04-12,13.9,14.17,13.83,14.08,2792263.0
2023-04-13,14.05,14.15,13.91,14.11,1471015.0
2023-04-14,14.18,14.28,14.045,14.15,1283726.0
2023-04-17,14.03,14.27,14.01,14.25,1528221.0
2023-04-18,14.23,14.32,14.14,14.28,1680002.0
2023-04-19,14.26,14.37,14.12,14.32,1444060.0
2023-04-20,14.25,14.37,14.21,14.34,1421816.0
2023-04-21,14.3,14.3375,14.18,14.3,1152759.0
2023-04-24,14.25,14.38,14.2,14.31,1593962.0
2023-04-25,14.18,14.325,14.135,14.19,1246996.0
2023-04-26,14.1,14.275,14.03,14.07,2564640.0
2023-04-27,14.1,14.735,14.0809,14.61,3239413.0
2023-04-28,14.6,14.94,14.57,14.87,2607091.0
2023-05-01,14.8,14.985,14.765,14.92,2416082.0
2023-05-02,14.82,14.845,14.205,14.57,3636474.0
2023-05-03,14.67,14.99,14.52,14.56,3414635.0
2023-05-04,14.52,14.74,13.965,14.37,2454221.0
2023-05-05,14.68,14.87,14.61,14.77,2050877.0
2023-05-08,14.85,14.89,14.665,14.76,1240676.0
2023-05-09,14.66,14.89,14.65,14.83,1948002.0
2023-05-10,14.86,14.9,14.61,14.66,1722007.0
2023-05-11,14.58,14.83,14.51,14.82,1439763.0
2023-05-12,14.88,14.935,14.7,14.75,1265425.0
2023-05-15,14.82,14.96,14.78,14.89,1955987.0
2023-05-16,14.85,14.89,14.73,14.74,2880058.0
2023-05-17,14.89,15.19,14.85,15.15,2511671.0
2023-05-18,15.09,15.47,15.07,15.43,1838220.0
2023-05-19,15.46,15.47,15.13,15.19,1686193.0
2023-05-22,15.22,15.26,15.07,15.07,1761283.0
2023-05-23,15.07,15.3,15.03,15.1,1575686.0
2023-05-24,15.01,15.05,14.825,14.9,1804759.0
2023-05-25,14.83,15.0,14.725,14.9,1745532.0
2023-05-26,14.91,15.41,14.855,15.13,2868845.0
2023-05-30,15.26,15.525,15.23,15.47,2102494.0
2023-05-31,15.38,15.47,15.05,15.12,2550955.0
2023-06-01,15.12,15.285,15.0,15.2,2437768.0
2023-06-02,15.33,15.63,15.33,15.56,1719669.0
2023-06-05,15.45,15.49,15.14,15.35,2188305.0
2023-06-06,15.39,15.885,15.375,15.87,1909923.0
2023-06-07,15.92,16.07,15.785,15.99,2709761.0
2023-06-08,15.91,16.01,15.815,15.89,1491693.0
2023-06-09,15.88,15.91,15.815,15.85,1161903.0
2023-06-12,15.79,15.84,15.605,15.68,2376371.0
2023-06-13,15.65,15.8,15.53,15.57,2962353.0
2023-06-14,15.53,15.57,15.285,15.34,2207155.0
2023-06-15,15.26,15.41,15.17,15.39,4096901.0
