date,open,high,low,close,volume
2023-01-11,11.05,11.52,11.02,11.47,293585.0
2023-01-12,11.66,12.1,11.55,12.01,328923.0
2023-01-13,11.85,11.9799,11.33,11.7,247390.0
2023-01-17,11.7,11.94,11.17,11.38,256717.0
2023-01-18,11.69,12.705,11.69,12.31,407686.0
2023-01-19,12.18,12.18,11.37,11.53,168286.0
2023-01-20,11.64,12.0,11.34,11.9,190613.0
2023-01-23,11.96,12.62,11.875,12.55,191381.0
2023-01-24,12.48,12.78,12.45,12.69,106586.0
2023-01-25,12.55,12.8,12.48,12.79,161557.0
2023-01-26,12.78,13.0,12.55,12.9,185072.0
2023-01-27,12.87,13.2999,12.87,13.22,145897.0
2023-01-30,13.01,13.19,13.01,13.17,253045.0
2023-01-31,13.13,13.79,13.08,13.7,283510.0
2023-02-01,13.62,14.25,13.48,14.23,279298.0
2023-02-02,14.45,14.45,14.08,14.14,287208.0
2023-02-03,14.1,14.2147,13.9,14.1,225944.0
2023-02-06,14.04,14.11,13.845,13.99,264092.0
2023-02-07,13.87,14.11,13.73,14.0,257105.0
2023-02-08,14.0,14.09,13.82,14.05,164419.0
2023-02-09,14.15,14.2993,13.6897,13.76,204965.0
2023-02-10,13.62,13.7,13.47,13.64,241926.0
2023-02-13,13.64,14.035,13.53,13.99,171505.0
2023-02-14,13.84,14.03,13.67,13.9,147135.0
2023-02-15,13.75,14.39,13.64,14.32,196512.0
2023-02-16,13.98,14.3899,13.89,14.36,214053.0
2023-02-17,14.45,14.56,14.1825,14.36,234554.0
2023-02-21,15.84,18.0,15.82,16.22,1195572.0
2023-02-22,16.26,17.035,16.15,16.33,737448.0
2023-02-23,16.65,18.14,16.5838,17.74,706706.0
2023-02-24,17.47,18.41,17.3568,18.1,590468.0
2023-02-27,18.26,18.4985,17.77,18.22,523151.0
2023-02-28,18.19,19.18,18.115,18.91,649077.0
2023-03-01,18.9,19.51,18.9,19.26,427762.0
2023-03-02,19.01,19.56,18.84,19.4,399600.0
2023-03-03,19.56,19.73,19.2575,19.56,361281.0
2023-03-06,19.84,20.2,19.32,19.54,525916.0
2023-03-07,19.54,19.92,19.31,19.49,343377.0
2023-03-08,19.58,19.8,19.15,19.8,417252.0
2023-03-09,19.8,19.86,18.78,18.8,500165.0
2023-03-10,18.81,18.8729,17.56,17.75,676846.0
2023-03-13,17.36,17.56,16.66,16.89,970694.0
2023-03-14,17.4,18.61,17.31,17.96,594897.0
2023-03-15,17.18,17.388,16.59,16.95,684050.0
2023-03-16,16.67,17.76,16.45,17.27,523205.0
2023-03-17,17.02,17.02,16.12,16.15,644587.0
2023-03-20,16.37,17.17,16.35,16.77,588455.0
2023-03-21,17.29,17.79,17.14,17.76,481952.0
2023-03-22,17.74,17.74,16.75,16.77,432770.0
2023-03-23,16.9,17.53,16.64,16.87,352856.0
2023-03-24,16.51,16.715,16.19,16.64,281481.0
2023-03-27,16.6,16.68,15.87,16.43,458553.0
2023-03-28,16.33,16.44,16.04,16.24,399684.0
2023-03-29,16.49,16.73,16.1701,16.49,352068.0
2023-03-30,16.69,17.04,16.6,16.68,247845.0
2023-03-31,16.8,17.12,16.71,17.09,287719.0
2023-04-03,16.08,16.76,16.04,16.74,469664.0
2023-04-04,16.87,16.87,14.52,14.77,513019.0
2023-04-05,14.58,14.94,14.405,14.59,481466.0
2023-04-06,14.59,14.7,14.17,14.54,446458.0
2023-04-10,14.54,14.98,14.525,14.74,375627.0
2023-04-11,14.88,15.05,14.72,14.88,338111.0
2023-04-12,15.07,15.32,14.95,15.17,417133.0
2023-04-13,15.3,15.355,15.04,15.1,291009.0
2023-04-14,15.17,15.38,14.89,15.06,204454.0
2023-04-17,15.08,15.695,14.98,15.66,406258.0
2023-04-18,15.79,16.04,15.615,15.97,195287.0
2023-04-19,15.9,15.94,15.69,15.93,260973.0
2023-04-20,15.82,16.02,15.64,15.75,168510.0
2023-04-21,15.71,15.79,15.3,15.58,226068.0
2023-04-24,15.61,16.1,15.61,16.09,239597.0
2023-04-25,15.91,15.99,15.25,15.26,296318.0
2023-04-26,15.17,15.47,15.06,15.14,238423.0
2023-04-27,15.15,15.18,14.55,14.9,277550.0
2023-04-28,14.79,15.44,14.79,15.29,240520.0
2023-05-01,16.21,17.0581,15.86,16.21,533697.0
2023-05-02,16.44,17.12,15.9033,16.91,857822.0
2023-05-03,17.49,18.46,16.8,17.22,931613.0
2023-05-04,17.37,17.37,15.16,15.26,505308.0
2023-05-05,15.8,15.8,15.2921,15.5,431019.0
2023-05-08,15.61,15.85,15.25,15.42,411417.0
2023-05-09,15.3,15.59,14.95,15.5,421407.0
2023-05-10,15.78,15.92,15.48,15.85,394894.0
2023-05-11,15.54,15.7272,15.21,15.28,255445.0
2023-05-12,15.32,15.67,15.12,15.24,186223.0
2023-05-15,15.36,15.535,15.06,15.47,253383.0
2023-05-16,15.18,15.395,14.92,14.96,230973.0
2023-05-17,15.13,15.49,15.06,15.28,231779.0
2023-05-18,15.16,15.9,15.12,15.85,300136.0
2023-05-19,16.1,16.211,15.415,15.63,291482.0
2023-05-22,15.74,15.9,15.35,15.42,278223.0
2023-05-23,15.25,15.65,15.08,15.24,169745.0
2023-05-24,15.03,15.13,14.67,14.79,290311.0
2023-05-25,14.65,15.05,14.53,14.89,187744.0
2023-05-26,14.97,15.1,14.792,14.95,145356.0
2023-05-30,14.96,15.04,14.67,14.72,146225.0
2023-05-31,14.72,14.815,14.025,14.35,302722.0
2023-06-01,14.34,14.92,14.25,14.82,197083.0
2023-06-02,15.18,16.23,15.16,16.18,257614.0
2023-06-05,16.04,16.1112,15.41,15.86,262739.0
2023-06-06,15.85,17.5,15.805,17.29,359682.0
2023-06-07,17.42,18.065,17.24,18.01,296606.0
2023-06-08,17.84,17.98,17.42,17.66,248681.0
2023-06-09,17.62,17.72,17.16,17.37,157339.0
2023-06-12,17.35,17.75,17.17,17.63,195799.0
2023-06-13,17.74,18.265,17.65,17.98,195629.0
2023-06-14,18.0,18.19,17.678,17.98,247805.0
2023-06-15,17.78,18.1,17.5,18.06,308167.0
2023-06-16,18.24,18.24,17.5375,17.75,357333.0
2023-06-20,17.69,18.05,17.55,17.86,208371.0
2023-06-21,17.57,18.15,17.515,17.8,219179.0
2023-06-22,17.75,17.865,17.48,17.75,159620.0
2023-06-23,17.35,17.635,17.28,17.53,397024.0
2023-06-26,17.51,18.09,17.465,17.67,261414.0
2023-06-27,17.68,18.32,17.67,18.23,256922.0
2023-06-28,18.25,18.6199,17.97,18.41,397387.0
2023-06-29,18.44,18.878,18.44,18.71,205041.0
2023-06-30,18.95,19.07,18.6634,18.83,203083.0
2023-07-03,18.73,19.05,18.62,18.87,134323.0
2023-07-05,18.82,18.82,17.84,17.93,268583.0
2023-07-06,17.67,17.7954,17.14,17.42,225545.0
2023-07-07,17.42,18.19,17.25,17.94,304474.0
2023-07-10,17.94,18.165,17.68,17.86,174352.0
2023-07-11,17.97,18.09,17.57,17.98,386601.0
2023-07-12,18.36,19.51,18.28,19.32,858709.0
2023-07-13,19.41,19.81,19.04,19.71,401819.0
2023-07-14,19.71,19.72,18.826,19.33,291824.0
2023-07-17,19.33,19.52,19.02,19.05,234204.0
2023-07-18,19.0,19.665,19.0,19.6,192868.0
2023-07-19,19.6,19.67,19.22,19.4,216659.0
2023-07-20,19.43,19.43,18.93,19.01,145856.0
2023-07-21,19.19,19.19,18.4,18.56,221492.0
2023-07-24,18.5,18.8227,18.43,18.59,123589.0
2023-07-25,18.31,18.35,17.91,17.94,233906.0
2023-07-26,17.94,18.3719,17.48,17.77,243235.0
2023-07-27,17.87,18.135,17.65,17.76,210586.0
2023-07-28,17.83,18.13,17.56,17.84,177683.0
2023-07-31,17.9,18.26,17.9,18.12,201965.0
2023-08-01,18.14,19.02,18.14,18.85,578301.0
2023-08-02,18.55,18.84,18.08,18.24,309557.0
2023-08-03,18.14,18.19,17.69,17.72,315281.0
2023-08-04,17.65,17.95,17.15,17.54,347289.0
2023-08-07,17.61,18.33,17.59,18.21,561663.0
2023-08-08,19.2,19.48,16.95,17.45,896527.0
2023-08-09,17.63,17.63,16.1601,16.46,670333.0
2023-08-10,16.55,16.82,16.39,16.81,491412.0
2023-08-11,16.95,17.13,16.76,17.07,363495.0
2023-08-14,16.91,17.04,16.4,16.76,184394.0
2023-08-15,16.61,16.76,16.3304,16.65,247483.0
2023-08-16,16.55,16.87,16.12,16.15,311317.0
2023-08-17,16.19,16.48,15.61,15.67,345574.0
2023-08-18,15.4,15.89,15.4,15.73,414622.0
2023-08-21,15.72,15.94,15.34,15.61,281381.0
2023-08-22,15.69,15.82,15.54,15.6,194742.0
2023-08-23,15.71,15.79,15.51,15.68,145102.0
2023-08-24,15.6,15.71,15.25,15.42,223846.0
2023-08-25,15.51,15.62,15.21,15.47,164362.0
2023-08-28,15.57,16.0,15.57,15.94,347317.0
2023-08-29,15.94,16.78,15.82,16.77,235470.0
2023-08-30,16.65,16.975,16.3,16.88,274803.0
2023-08-31,16.95,16.995,16.75,16.92,257975.0
2023-09-01,17.08,17.2,16.66,16.83,227875.0
2023-09-05,16.71,16.82,16.32,16.42,242514.0
2023-09-06,16.41,16.64,16.1,16.22,165567.0
2023-09-07,16.06,16.06,15.21,15.23,297705.0
2023-09-08,15.12,15.32,14.98,15.22,214013.0
2023-09-11,15.38,15.38,14.58,14.63,262736.0
2023-09-12,14.51,14.875,14.27,14.37,192976.0
2023-09-13,14.38,14.38,13.93,14.18,531161.0
2023-09-14,14.47,14.779,14.24,14.76,252048.0
2023-09-15,14.72,15.0,14.617,14.91,440084.0
2023-09-18,14.94,15.34,14.94,15.15,150583.0
2023-09-19,15.15,15.35,14.98,15.22,153450.0
2023-09-20,15.33,15.65,14.95,14.98,193850.0
2023-09-21,14.71,14.94,14.5,14.9,184436.0
2023-09-22,14.74,14.89,14.53,14.64,184545.0
2023-09-25,14.25,14.96,14.25,14.7,180612.0
2023-09-26,14.55,14.84,14.35,14.47,213548.0
2023-09-27,14.67,14.9312,14.63,14.88,182203.0
