date,open,high,low,close,volume
2023-01-11,22.4,22.71,22.36,22.54,7016330.0
2023-01-12,22.74,22.92,22.57,22.73,6399070.0
2023-01-13,22.61,22.8,22.5,22.7,4913072.0
2023-01-17,22.63,22.82,22.45,22.5,6819572.0
2023-01-18,22.67,22.82,22.475,22.57,5804064.0
2023-01-19,22.38,22.56,22.25,22.46,5578393.0
2023-01-20,22.43,22.75,22.33,22.74,5766695.0
2023-01-23,22.69,22.77,22.53,22.61,5946062.0
2023-01-24,22.0,24.8,22.0,22.41,5112912.0
2023-01-25,22.24,22.35,22.137,22.26,5042339.0
2023-01-26,22.39,22.79,22.37,22.79,4365344.0
2023-01-27,22.82,23.42,22.725,23.34,5659059.0
2023-01-30,23.12,23.27,22.81,22.9,4584087.0
2023-01-31,23.25,23.48,23.16,23.47,8029355.0
2023-02-01,23.4,24.15,23.315,24.0,7094166.0
2023-02-02,24.23,24.43,24.0,24.12,5639307.0
2023-02-03,23.97,23.97,23.56,23.75,5090521.0
2023-02-06,23.5,23.58,22.82,22.99,5571607.0
2023-02-07,22.83,23.375,22.72,23.33,4727089.0
2023-02-08,23.3,23.3899,23.035,23.11,4441954.0
2023-02-09,23.47,23.62,21.76,21.77,13785954.0
2023-02-10,21.62,21.97,21.45,21.66,9038886.0
2023-02-13,21.54,21.945,21.51,21.93,6141177.0
2023-02-14,21.85,21.9399,21.42,21.71,5094231.0
2023-02-15,21.53,21.75,21.41,21.69,4607805.0
2023-02-16,21.45,21.88,21.35,21.71,3880865.0
2023-02-17,21.68,21.73,21.375,21.59,4317090.0
2023-02-21,21.24,21.32,20.7701,20.88,5502161.0
2023-02-22,20.8,21.24,20.8,21.24,4935359.0
2023-02-23,21.37,21.4627,20.94,21.09,4117836.0
2023-02-24,20.91,21.04,20.675,20.82,4464258.0
2023-02-27,20.97,21.07,20.63,20.71,3491565.0
2023-02-28,20.71,20.74,20.57,20.68,5261730.0
2023-03-01,20.55,20.63,19.975,20.14,5826859.0
2023-03-02,20.0,20.05,19.68,20.0,5290039.0
2023-03-03,20.12,20.4172,20.01,20.33,3799197.0
2023-03-06,20.46,20.68,20.34,20.34,4577388.0
2023-03-07,20.37,20.515,20.09,20.11,3296238.0
2023-03-08,20.26,20.43,20.05,20.37,4452519.0
2023-03-09,20.39,20.52,19.25,19.25,5943293.0
2023-03-10,19.2,19.28,18.29,18.4,8345353.0
2023-03-13,18.185,18.77,17.55,18.49,9344711.0
2023-03-14,18.83,19.55,18.69,18.92,6997981.0
2023-03-15,18.61,18.945,18.3013,18.68,9993497.0
2023-03-16,18.41,19.01,18.3,18.87,8941666.0
2023-03-17,18.87,18.89,18.34,18.4,9176695.0
2023-03-20,18.48,18.69,18.335,18.35,5516254.0
2023-03-21,18.67,18.7903,18.52,18.59,5495236.0
2023-03-22,18.55,18.77,18.25,18.25,5284446.0
2023-03-23,18.36,19.21,18.245,18.35,7855519.0
