date,open,high,low,close,volume
2023-01-11,10.95,11.44,10.67,11.31,229314.0
2023-01-12,11.36,11.87,11.07,11.81,434063.0
2023-01-13,11.62,11.9,11.32,11.66,561219.0
2023-01-17,11.69,11.97,11.375,11.92,268884.0
2023-01-18,11.97,12.74,11.97,12.2,348058.0
2023-01-19,12.19,12.51,11.67,12.2,327147.0
2023-01-20,12.46,12.94,12.14,12.69,332455.0
2023-01-23,12.62,13.02,12.4,12.65,299013.0
2023-01-24,12.52,13.189,12.52,12.75,231712.0
2023-01-25,12.55,12.6,12.08,12.46,170121.0
2023-01-26,12.58,12.59,11.78,12.1,176752.0
2023-01-27,11.95,12.64,11.79,12.38,161676.0
2023-01-30,12.29,12.38,11.6,11.87,253219.0
2023-01-31,11.98,12.47,11.91,12.29,245771.0
2023-02-01,12.29,12.65,11.85,12.36,264824.0
2023-02-02,12.49,13.4,12.49,13.26,401964.0
2023-02-03,12.46,13.28,12.46,12.52,362307.0
2023-02-06,12.49,12.57,11.882,12.13,187784.0
2023-02-07,12.16,12.44,11.58,12.28,421304.0
2023-02-08,12.29,12.29,11.53,11.54,229756.0
2023-02-09,11.77,12.03,11.15,11.23,216254.0
2023-02-10,11.02,11.78,10.96,11.65,263226.0
2023-02-13,11.58,11.7099,10.64,11.01,230961.0
2023-02-14,10.95,11.335,10.63,10.83,261715.0
2023-02-15,10.66,10.8,10.2,10.35,286288.0
2023-02-16,10.34,10.34,9.695,9.86,578118.0
2023-02-17,9.92,9.94,9.56,9.72,392379.0
2023-02-21,9.51,9.65,8.85,9.03,565707.0
2023-02-22,9.1,9.3575,8.91,9.33,465513.0
2023-02-23,9.37,9.4499,9.06,9.1,237716.0
2023-02-24,8.84,8.88,8.58,8.81,335170.0
2023-02-27,8.92,9.18,8.68,8.98,332298.0
2023-02-28,9.55,10.0885,9.34,9.43,541944.0
2023-03-01,9.3,9.62,8.85,9.17,282904.0
2023-03-02,9.07,9.16,8.9315,9.03,230778.0
2023-03-03,9.21,9.4273,8.88,9.07,271096.0
2023-03-06,9.07,9.1,8.82,8.96,319036.0
2023-03-07,9.0,9.2991,8.9,9.09,325114.0
2023-03-08,9.11,9.24,8.895,9.05,239572.0
2023-03-09,9.48,9.5,8.83,9.07,485790.0
2023-03-10,9.07,9.08,8.34,8.56,663045.0
2023-03-13,8.41,9.335,8.3964,9.21,399034.0
2023-03-14,9.35,9.48,9.12,9.34,292995.0
2023-03-15,9.17,9.47,8.94,9.33,342724.0
2023-03-16,9.3,9.34,8.8,9.1,211765.0
2023-03-17,9.0,9.095,8.83,9.01,493949.0
2023-03-20,9.07,9.63,8.885,9.52,715535.0
2023-03-21,9.6,9.6,9.07,9.35,353386.0
2023-03-22,9.32,9.45,9.02,9.03,336802.0
2023-03-23,9.16,9.24,8.78,8.98,342256.0
2023-03-24,8.86,8.99,8.57,8.84,293265.0
2023-03-27,8.93,9.115,8.73,9.06,246845.0
2023-03-28,9.1,9.16,8.67,8.7,253404.0
2023-03-29,8.8,9.07,8.605,8.98,410342.0
2023-03-30,9.01,9.115,8.59,8.63,360126.0
2023-03-31,8.65,8.98,8.58,8.88,488012.0
2023-04-03,8.93,9.28,8.73,8.86,448615.0
2023-04-04,8.92,9.024,8.46,8.7,376835.0
2023-04-05,8.71,8.88,8.55,8.78,254487.0
2023-04-06,8.81,9.405,8.67,9.32,409879.0
2023-04-10,9.06,9.1799,8.52,8.93,492629.0
2023-04-11,8.98,9.43,8.77,9.25,266070.0
2023-04-12,9.32,9.45,8.95,9.01,273305.0
2023-04-13,9.17,10.23,9.01,10.13,368500.0
2023-04-14,10.49,12.606,10.215,12.22,1277521.0
2023-04-17,12.37,13.99,12.2734,13.28,1091179.0
2023-04-18,13.26,13.41,11.47,11.7,661046.0
2023-04-19,11.56,12.77,11.56,11.88,654410.0
2023-04-20,11.67,11.98,10.511,10.87,642684.0
2023-04-21,10.83,11.05,10.42,10.8,329764.0
2023-04-24,10.67,10.7,10.17,10.38,497616.0
2023-04-25,10.34,10.54,10.07,10.11,289871.0
2023-04-26,10.09,10.44,9.815,10.37,416991.0
2023-04-27,10.41,10.41,9.6,9.62,273992.0
2023-04-28,9.6,9.83,9.2,9.63,215345.0
2023-05-01,9.59,10.01,9.43,9.9,262549.0
2023-05-02,9.9,9.915,9.26,9.4,400350.0
2023-05-03,9.45,9.67,9.24,9.36,418311.0
2023-05-04,9.35,9.83,9.08,9.44,250440.0
2023-05-05,9.55,9.83,9.27,9.68,330448.0
2023-05-08,9.74,9.88,9.12,9.22,260096.0
2023-05-09,9.16,9.83,9.05,9.7,252082.0
2023-05-10,9.86,10.35,9.6701,10.23,302017.0
2023-05-11,10.17,10.35,9.84,10.18,238820.0
2023-05-12,10.22,10.36,10.07,10.34,133870.0
2023-05-15,10.42,11.12,10.245,10.86,262902.0
2023-05-16,10.53,10.565,9.75,9.83,241790.0
2023-05-17,9.85,10.085,9.42,10.01,218015.0
2023-05-18,9.96,10.04,9.47,9.74,213945.0
2023-05-19,9.9,10.14,9.62,9.71,152198.0
2023-05-22,9.77,10.1225,9.77,9.89,160926.0
2023-05-23,9.89,10.4,9.89,10.24,262710.0
2023-05-24,10.12,10.12,9.59,9.87,189381.0
2023-05-25,9.92,9.92,9.57,9.73,206448.0
2023-05-26,9.71,9.88,9.59,9.79,165595.0
2023-05-30,9.76,10.1538,9.565,9.8,205788.0
2023-05-31,9.81,10.41,9.635,10.12,351471.0
2023-06-01,10.07,10.297,9.76,10.17,172977.0
2023-06-02,10.37,11.07,10.14,10.92,272544.0
2023-06-05,10.88,11.25,10.62,10.97,167033.0
2023-06-06,10.97,11.39,10.61,11.33,266401.0
2023-06-07,11.37,11.77,11.13,11.61,361156.0
2023-06-08,11.54,11.62,10.71,10.84,245575.0
2023-06-09,10.92,10.92,9.82,10.14,256154.0
2023-06-12,10.23,10.91,10.06,10.77,237323.0
2023-06-13,10.82,11.83,10.82,11.52,268298.0
2023-06-14,11.61,11.62,10.685,10.97,266910.0
2023-06-15,10.92,11.219,10.7,11.11,310512.0
2023-06-16,11.29,11.34,10.71,10.89,1097013.0
2023-06-20,10.84,10.89,10.31,10.46,334607.0
2023-06-21,10.32,10.38,9.28,10.01,481901.0
2023-06-22,9.98,10.24,9.59,10.19,204344.0
2023-06-23,10.0,10.09,9.76,10.01,382122.0
2023-06-26,10.11,10.14,9.59,9.62,298007.0
2023-06-27,9.77,9.87,9.4,9.74,262390.0
2023-06-28,9.7,10.14,9.64,10.12,256981.0
2023-06-29,10.12,10.18,9.895,10.0,261301.0
2023-06-30,10.14,10.25,9.92,9.99,245265.0
2023-07-03,9.98,10.19,9.86,10.06,191041.0
2023-07-05,10.05,10.22,9.83,10.05,211090.0
2023-07-06,9.98,9.99,9.7,9.87,253709.0
2023-07-07,9.82,10.03,9.8,9.94,208955.0
2023-07-10,9.87,10.2,9.87,9.99,295957.0
2023-07-11,10.03,10.099,9.5,9.61,313700.0
2023-07-12,9.84,10.185,9.51,9.98,288061.0
2023-07-13,10.0,10.35,9.81,10.08,427584.0
2023-07-14,10.84,11.58,9.6,9.76,721626.0
2023-07-17,9.9,10.71,9.79,9.86,611848.0
2023-07-18,9.84,10.1977,9.66,9.75,268869.0
2023-07-19,9.77,10.16,9.72,9.73,410113.0
2023-07-20,9.69,9.9,9.51,9.675,392633.0
2023-07-21,9.72,10.2383,9.55,10.07,464349.0
2023-07-24,10.04,10.13,9.5,9.64,404338.0
2023-07-25,9.59,9.71,9.53,9.56,248288.0
2023-07-26,9.51,9.69,9.27,9.41,222454.0
2023-07-27,9.47,9.47,9.1,9.21,357535.0
2023-07-28,9.35,9.82,9.29,9.74,306606.0
2023-07-31,9.72,9.97,9.61,9.71,249242.0
2023-08-01,9.63,9.63,9.3,9.5,196986.0
2023-08-02,9.3,9.41,9.135,9.35,196610.0
2023-08-03,9.32,9.54,9.12,9.29,201623.0
2023-08-04,9.3,9.67,9.29,9.63,149471.0
2023-08-07,9.61,9.61,8.78,8.85,305004.0
2023-08-08,8.8,9.11,8.64,8.81,254910.0
2023-08-09,8.8,9.17,8.53,9.09,276110.0
2023-08-10,9.12,9.56,9.1034,9.43,220423.0
2023-08-11,9.39,9.5,9.11,9.25,153143.0
2023-08-14,9.15,9.15,8.87,9.06,217315.0
2023-08-15,9.04,9.04,8.77,8.98,221791.0
2023-08-16,8.91,9.03,8.58,8.6,152123.0
2023-08-17,8.61,8.65,8.515,8.54,145298.0
2023-08-18,8.42,8.79,8.35,8.56,195978.0
2023-08-21,8.56,8.77,8.44,8.58,218835.0
2023-08-22,8.64,8.68,8.425,8.64,177875.0
2023-08-23,8.66,8.97,8.52,8.57,139048.0
2023-08-24,8.57,8.57,8.34,8.4,198381.0
2023-08-25,8.4,8.54,8.22,8.51,179768.0
2023-08-28,8.54,8.77,8.335,8.62,318345.0
2023-08-29,8.63,8.71,8.35,8.59,202299.0
2023-08-30,8.54,8.63,8.39,8.59,155747.0
2023-08-31,8.56,8.62,8.44,8.5,256261.0
2023-09-01,8.59,8.81,8.56,8.65,178431.0
2023-09-05,8.56,8.72,8.32,8.37,261067.0
2023-09-06,8.37,8.41,8.12,8.29,181342.0
2023-09-07,8.92,9.48,8.47,8.98,2216548.0
2023-09-08,9.28,9.7971,9.1,9.45,646364.0
2023-09-11,9.35,9.6,9.2,9.32,357501.0
2023-09-12,9.31,9.5499,9.12,9.15,217951.0
2023-09-13,9.16,9.3,8.91,8.95,492682.0
2023-09-14,9.06,9.16,8.84,8.88,202452.0
2023-09-15,8.83,8.93,8.62,8.86,886039.0
2023-09-18,8.85,9.05,8.61,8.91,214238.0
2023-09-19,8.94,9.36,8.83,9.34,164930.0
2023-09-20,9.34,9.605,9.208,9.23,203091.0
2023-09-21,9.12,9.19,8.845,9.04,263672.0
2023-09-22,9.05,9.07,8.79,8.85,189252.0
2023-09-25,8.8,8.835,8.32,8.48,279568.0
2023-09-26,8.5,8.88,8.5,8.52,183110.0
2023-09-27,8.53,8.67,8.255,8.32,335046.0
2023-09-28,8.47,8.47,7.88,8.14,291312.0
2023-09-29,8.2,8.31,7.775,7.86,288274.0
2023-10-02,7.82,7.82,7.0,7.23,379919.0
2023-10-03,7.14,7.14,6.64,6.75,435272.0
2023-10-04,6.75,6.77,6.35,6.61,308875.0
2023-10-05,6.59,6.96,6.55,6.88,512617.0
2023-10-06,6.67,7.16,6.67,7.12,427790.0
2023-10-09,7.04,7.1,6.42,6.59,455061.0
2023-10-10,6.66,6.86,6.53,6.72,504039.0
2023-10-11,6.81,7.17,6.42,6.63,583897.0
2023-10-12,6.6,6.725,6.17,6.23,751058.0
2023-10-13,6.39,6.49,5.92,6.37,623808.0
2023-10-16,6.44,6.55,6.07,6.41,837956.0
2023-10-17,6.37,6.63,6.07,6.08,641398.0
2023-10-18,6.01,6.01,5.17,5.28,813351.0
2023-10-19,5.24,5.24,4.715,4.765,654750.0
2023-10-20,4.82,4.95,4.66,4.78,1334252.0
2023-10-23,4.77,4.92,4.53,4.69,481630.0
2023-10-24,4.75,4.85,4.62,4.65,851771.0
2023-10-25,4.6,4.6,4.23,4.25,800310.0
2023-10-26,4.27,4.459,4.22,4.42,419713.0
2023-10-27,4.41,4.5,4.27,4.4,455060.0
2023-10-30,4.47,5.28,4.38,5.26,1032975.0
2023-10-31,5.23,5.64,5.0292,5.59,827885.0
2023-11-01,5.62,5.75,5.39,5.66,483856.0
2023-11-02,5.57,5.71,5.03,5.555,1137153.0
2023-11-03,5.74,6.67,5.7,6.46,650323.0
2023-11-06,6.34,6.4,5.755,5.905,450157.0
2023-11-07,5.88,6.04,5.7101,6.02,441945.0
2023-11-08,6.02,6.06,5.47,5.58,1253098.0
2023-11-09,5.67,5.885,5.2,5.28,486154.0
2023-11-10,5.3,5.415,5.02,5.27,380952.0
