date,open,high,low,close,volume
2023-01-11,111.42,114.4,111.42,114.28,97730.0
2023-01-12,114.48,115.23,113.5468,114.36,92644.0
2023-01-13,113.22,115.1546,113.22,114.81,176301.0
2023-01-17,114.99,115.71,112.33,112.36,177664.0
2023-01-18,112.61,113.8423,110.92,110.97,112143.0
2023-01-19,110.27,112.51,110.13,111.67,162397.0
2023-01-20,112.02,114.295,110.35,114.16,159050.0
2023-01-23,114.02,115.96,113.735,115.12,99184.0
2023-01-24,115.68,115.68,113.95,114.95,77592.0
2023-01-25,113.49,113.49,110.5,110.83,144759.0
2023-01-26,111.1,111.92,110.5,111.54,161353.0
2023-01-27,110.85,111.23,108.28,108.6,206288.0
2023-01-30,107.95,109.85,107.95,108.77,142724.0
2023-01-31,108.86,110.7,108.43,110.55,178814.0
2023-02-01,109.46,110.98,107.92,110.41,203328.0
2023-02-02,110.83,114.0,110.2651,113.88,162672.0
2023-02-03,112.46,114.45,112.46,113.26,207336.0
2023-02-06,112.63,113.325,111.0,112.0,147718.0
2023-02-07,110.78,113.38,110.0724,113.38,175103.0
2023-02-08,112.43,113.17,110.51,111.79,183358.0
2023-02-09,115.0,119.0,114.21,116.63,332120.0
2023-02-10,116.61,119.125,116.46,118.0,324996.0
2023-02-13,118.18,118.91,117.41,118.77,276470.0
2023-02-14,118.75,119.84,117.65,119.22,241370.0
2023-02-15,118.18,120.28,118.18,120.19,223183.0
2023-02-16,118.88,123.68,118.88,123.18,265987.0
2023-02-17,123.55,125.95,123.55,125.59,320176.0
2023-02-21,124.72,125.61,124.29,124.29,248121.0
2023-02-22,124.05,125.89,123.3282,124.49,220828.0
2023-02-23,124.98,125.26,122.5,123.86,199098.0
2023-02-24,122.59,123.31,120.51,122.09,166802.0
2023-02-27,123.05,124.76,122.37,122.65,312463.0
2023-02-28,122.65,125.7,122.65,124.09,375567.0
2023-03-01,123.17,125.36,122.72,123.92,251574.0
2023-03-02,122.82,124.07,122.76,124.03,176889.0
2023-03-03,124.46,124.46,122.73,123.39,138584.0
2023-03-06,122.95,124.16,122.5597,124.14,144763.0
2023-03-07,124.14,124.9,122.79,123.35,140567.0
2023-03-08,123.43,124.15,122.1001,122.79,121595.0
2023-03-09,122.69,123.255,121.12,121.16,175380.0
2023-03-10,120.87,121.04,118.15,118.56,280997.0
2023-03-13,116.89,118.15,114.76,117.12,494229.0
2023-03-14,120.19,120.66,116.97,118.88,367202.0
2023-03-15,116.68,117.77,113.83,116.96,381478.0
2023-03-16,116.17,119.66,115.58,119.01,264217.0
2023-03-17,118.69,119.32,115.21,116.34,1467572.0
2023-03-20,117.53,120.14,117.19,118.57,245060.0
2023-03-21,120.7,121.05,118.55,119.82,207260.0
2023-03-22,119.95,120.0,116.37,116.44,216052.0
2023-03-23,116.41,118.25,114.15,114.56,258726.0
2023-03-24,113.61,116.1,112.79,115.74,158094.0
2023-03-27,116.79,117.73,116.27,117.22,135733.0
2023-03-28,116.83,118.47,116.83,117.35,96599.0
2023-03-29,118.05,118.84,117.2,118.0,124527.0
2023-03-30,118.78,119.4,118.0,118.68,140092.0
2023-03-31,119.86,121.72,119.18,121.55,222171.0
2023-04-03,121.0,121.35,119.75,121.11,124791.0
2023-04-04,121.64,121.64,118.42,119.1,199931.0
2023-04-05,117.94,119.44,117.94,119.39,169240.0
2023-04-06,119.6,121.075,118.91,120.64,303288.0
2023-04-10,120.1,122.74,120.1,121.7,241095.0
2023-04-11,122.25,122.58,121.41,121.72,160014.0
2023-04-12,122.44,124.24,121.79,122.46,210945.0
2023-04-13,123.15,124.65,122.14,124.53,190809.0
2023-04-14,124.52,125.54,122.83,123.53,144146.0
2023-04-17,123.93,127.05,123.35,127.0,210985.0
2023-04-18,127.13,128.12,125.44,127.98,268456.0
2023-04-19,127.63,128.96,127.255,127.76,250190.0
2023-04-20,126.6,128.81,125.7947,128.48,267417.0
2023-04-21,129.05,131.085,128.7,129.74,441579.0
2023-04-24,127.38,127.47,119.2,122.76,703601.0
2023-04-25,121.6,122.385,119.62,120.1,463736.0
2023-04-26,118.0,120.57,116.39,119.77,521507.0
2023-04-27,120.16,122.73,119.12,122.0,455207.0
2023-04-28,121.31,123.3,121.31,122.46,379924.0
2023-05-01,122.15,125.03,121.6,122.9,228918.0
2023-05-02,121.91,122.41,118.43,120.49,236630.0
2023-05-03,121.49,123.46,120.7,121.51,341916.0
2023-05-04,120.58,122.09,117.11,117.43,308544.0
2023-05-05,118.34,119.76,117.64,117.79,277313.0
2023-05-08,117.67,118.41,115.39,115.5,132290.0
2023-05-09,115.4,115.81,114.265,114.75,141857.0
2023-05-10,116.16,116.36,113.355,113.84,201086.0
2023-05-11,112.73,113.34,110.94,111.42,239026.0
2023-05-12,111.89,113.185,110.76,111.5,185936.0
2023-05-15,111.37,112.02,111.03,111.07,156191.0
2023-05-16,109.96,110.36,108.61,108.62,273714.0
2023-05-17,109.28,110.17,108.69,109.98,243537.0
2023-05-18,109.8,111.22,109.065,110.85,166453.0
2023-05-19,111.92,111.92,110.6183,111.2,224869.0
2023-05-22,111.37,113.44,110.36,113.41,448674.0
2023-05-23,113.03,114.72,112.665,112.88,341866.0
2023-05-24,113.25,113.25,111.62,111.66,233988.0
2023-05-25,111.49,111.69,109.89,110.47,201150.0
2023-05-26,110.17,111.99,110.17,110.45,119746.0
2023-05-30,109.45,111.005,108.865,110.39,206742.0
2023-05-31,110.2,111.385,108.565,110.72,426046.0
2023-06-01,110.32,113.32,109.97,112.98,289174.0
2023-06-02,114.24,118.63,114.12,118.3,233853.0
2023-06-05,117.49,118.585,116.54,118.16,164746.0
2023-06-06,118.21,121.25,118.06,120.57,256539.0
2023-06-07,120.63,124.85,120.63,123.93,218894.0
2023-06-08,123.82,125.8,123.28,125.65,207812.0
2023-06-09,125.32,128.91,125.32,127.03,374201.0
2023-06-12,127.24,128.71,126.56,126.82,290116.0
2023-06-13,126.57,127.8599,125.11,126.71,344615.0
2023-06-14,125.5,126.05,116.15,116.94,518896.0
2023-06-15,116.74,119.39,116.24,119.12,275728.0
