date,open,high,low,close,volume
2023-01-11,81.44,84.84,81.32,84.1,3019828.0
2023-01-12,84.08,85.46,83.57,85.27,1135633.0
2023-01-13,86.22,89.4605,86.0,88.36,2354440.0
2023-01-17,87.1,89.84,87.0,89.06,3982032.0
2023-01-18,91.33,91.96,88.48,88.5,1512383.0
2023-01-19,88.6,90.48,88.6,89.25,858950.0
2023-01-20,89.89,90.3,88.15,89.09,1358622.0
2023-01-23,89.56,91.63,89.5,90.28,911924.0
2023-01-24,89.86,91.25,89.635,89.95,944587.0
2023-01-25,89.75,90.45,88.85,90.3,873483.0
2023-01-26,92.68,93.19,91.08,92.29,1071526.0
2023-01-27,91.84,92.14,90.96,91.65,816019.0
2023-01-30,89.62,90.7,89.076,89.58,1364699.0
2023-01-31,89.57,89.8,88.4,88.61,1262455.0
2023-02-01,91.28,92.445,89.96,91.77,1156287.0
2023-02-02,90.89,91.68,89.7001,90.73,1323467.0
2023-02-03,91.26,91.55,89.85,89.9,1044124.0
2023-02-06,87.42,88.98,87.28,88.36,1959414.0
2023-02-07,89.81,90.11,87.32,88.32,1894150.0
2023-02-08,90.12,90.34,87.76,88.36,2386089.0
2023-02-09,90.7,91.8,88.9,89.2,1583944.0
2023-02-10,87.77,88.555,86.63,86.7,905118.0
2023-02-13,88.36,89.08,87.79,87.86,1150885.0
2023-02-14,87.39,87.39,85.97,86.76,1019089.0
2023-02-15,85.56,86.58,84.805,86.37,1174352.0
2023-02-16,87.4,88.8976,87.19,87.81,1786261.0
2023-02-17,86.3,86.9,85.32,85.84,716386.0
2023-02-21,84.76,86.3,83.9,85.21,1882117.0
2023-02-22,85.31,86.43,84.9,86.05,1588343.0
2023-02-23,88.0,89.8,80.16,82.89,3580438.0
2023-02-24,79.0,80.73,77.67,78.64,2799307.0
2023-02-27,79.6,79.95,78.1,78.98,1490435.0
2023-02-28,77.15,78.25,76.85,77.64,1531494.0
2023-03-01,83.15,83.35,81.27,81.52,3741074.0
2023-03-02,83.15,86.57,82.82,85.59,2833818.0
2023-03-03,86.13,87.88,85.78,85.9,1381723.0
2023-03-06,86.24,87.28,85.57,86.46,1012095.0
2023-03-07,85.56,85.6,83.23,83.8,1957837.0
2023-03-08,82.09,83.56,82.08,83.06,954853.0
2023-03-09,81.35,83.22,81.19,81.41,1651581.0
2023-03-10,81.38,83.59,81.38,82.83,1026310.0
2023-03-13,82.54,84.92,82.54,83.77,906902.0
2023-03-14,82.94,85.33,82.69,85.31,807617.0
2023-03-15,83.74,84.84,82.5,83.83,1221480.0
2023-03-16,82.87,85.54,82.87,85.51,967253.0
2023-03-17,86.9,87.465,85.16,85.87,1193798.0
2023-03-20,84.61,86.58,84.47,85.87,987713.0
2023-03-21,85.58,86.23,85.06,86.08,682957.0
2023-03-22,86.03,86.67,84.9,85.17,824297.0
2023-03-23,88.9,90.89,88.48,90.1,1561666.0
