date,open,high,low,close,volume
2023-01-11,74.96,75.39,73.755,74.09,2329089.0
2023-01-12,74.72,76.5445,73.95,76.26,2606632.0
2023-01-13,75.4,75.55,74.57,75.17,1985532.0
2023-01-17,76.19,77.14,75.285,76.27,2445712.0
2023-01-18,76.75,79.37,76.66,77.35,2878465.0
2023-01-19,76.73,77.05,74.85,76.23,1765777.0
2023-01-20,76.05,78.97,75.95,78.82,2080629.0
2023-01-23,79.3,79.67,78.56,79.1,1443549.0
2023-01-24,80.94,80.94,77.37,78.71,1505870.0
2023-01-25,78.33,79.83,78.0,79.23,1319062.0
2023-01-26,79.81,81.83,79.5,81.73,1697053.0
2023-01-27,81.79,82.96,80.52,80.81,1408974.0
2023-01-30,79.82,80.84,79.6,79.67,1341033.0
2023-01-31,79.7,83.09,79.58,82.79,2411060.0
2023-02-01,82.17,84.39,82.17,83.65,2253682.0
2023-02-02,84.0,85.16,83.23,84.5,2364748.0
2023-02-03,83.48,83.61,82.22,82.96,2902395.0
2023-02-06,82.71,83.58,81.485,82.74,2352681.0
2023-02-07,82.49,82.7,80.25,81.2,2893061.0
2023-02-08,80.81,81.14,78.14,78.17,3083316.0
2023-02-09,79.07,79.34,78.01,78.56,1674876.0
2023-02-10,78.73,80.67,78.52,80.06,1516968.0
2023-02-13,80.06,80.13,77.88,78.63,2115628.0
2023-02-14,78.32,78.365,75.83,76.97,2992824.0
2023-02-15,75.71,77.11,74.78,77.05,3076460.0
2023-02-16,75.04,81.63,74.31,77.92,4348171.0
2023-02-17,77.01,77.15,74.66,74.71,1823524.0
2023-02-21,74.15,75.8,73.88,75.09,2127238.0
2023-02-22,75.49,77.67,75.33,77.59,2751250.0
2023-02-23,77.91,78.86,76.425,77.71,1599233.0
2023-02-24,77.12,77.12,75.31,76.87,1518066.0
2023-02-27,78.09,78.75,77.56,77.75,1054968.0
2023-02-28,77.87,78.595,77.32,77.78,1372983.0
2023-03-01,77.99,79.395,77.71,78.58,1375345.0
2023-03-02,78.32,82.905,77.92,82.55,2617194.0
2023-03-03,81.75,83.29,80.78,82.81,2040561.0
2023-03-06,82.51,82.68,80.55,81.17,1575623.0
2023-03-07,80.6,81.0,78.835,79.59,2900156.0
2023-03-08,79.55,81.58,79.195,81.32,2768211.0
2023-03-09,81.34,81.9,78.58,78.79,3716375.0
2023-03-10,78.48,79.22,75.67,75.77,3036270.0
2023-03-13,74.75,75.4,72.72,74.07,2638535.0
2023-03-14,76.79,79.09,75.23,76.11,3851604.0
2023-03-15,73.82,73.85,71.42,72.98,2584018.0
2023-03-16,72.12,73.74,71.29,72.68,1928055.0
2023-03-17,72.09,73.13,71.66,72.71,1921564.0
2023-03-20,73.3,74.61,72.77,73.83,2005648.0
2023-03-21,75.45,76.45,74.665,75.22,2556753.0
2023-03-22,75.44,75.88,74.22,74.37,3231914.0
2023-03-23,75.07,76.08,72.86,73.23,2175577.0
2023-03-24,72.45,72.54,70.68,71.77,1977436.0
2023-03-27,72.94,73.44,71.018,72.51,1853114.0
2023-03-28,72.49,73.27,71.77,72.15,1753425.0
2023-03-29,73.22,73.85,72.42,72.71,1980516.0
2023-03-30,73.39,73.73,72.36,72.68,1387208.0
2023-03-31,72.54,73.88,72.51,73.85,1471912.0
2023-04-03,74.89,75.29,73.421,74.14,1136125.0
2023-04-04,74.09,74.6,72.315,73.04,1583365.0
2023-04-05,72.64,72.77,71.11,71.43,1826816.0
