date,open,high,low,close,volume
2023-01-11,44.01,44.5,42.54,42.64,445827.0
2023-01-12,42.91,43.24,42.41,42.62,457765.0
2023-01-13,42.24,42.43,41.46,41.75,396768.0
2023-01-17,41.86,42.3,41.67,41.87,284737.0
2023-01-18,41.99,42.5,41.09,41.21,418577.0
2023-01-19,41.1,41.145,40.37,40.65,610313.0
2023-01-20,40.91,42.2,40.655,42.12,479128.0
2023-01-23,42.27,42.44,41.85,42.14,421622.0
2023-01-24,41.92,43.98,41.86,43.78,463369.0
2023-01-25,43.33,43.77,42.75,43.77,702006.0
2023-01-26,43.83,44.2,42.48,42.91,623466.0
2023-01-27,42.89,43.01,42.19,42.56,391322.0
2023-01-30,42.18,42.97,42.18,42.29,606010.0
2023-01-31,41.6,42.88,40.97,42.88,4514385.0
2023-02-01,42.79,44.5,42.2,44.28,476809.0
2023-02-02,44.1,44.72,43.61,43.93,445764.0
2023-02-03,43.37,44.26,43.055,44.23,545882.0
2023-02-06,43.86,43.88,43.14,43.41,289377.0
2023-02-07,43.06,44.36,43.03,44.32,423302.0
2023-02-08,43.75,44.23,43.32,43.9,311001.0
2023-02-09,44.5,44.55,42.9,43.03,347904.0
2023-02-10,43.05,43.165,42.35,42.54,279100.0
2023-02-13,42.87,43.9,42.68,43.74,274173.0
2023-02-14,43.61,44.07,43.11,43.32,315649.0
2023-02-15,43.23,45.55,43.135,45.38,735879.0
2023-02-16,40.76,44.55,40.5001,43.47,1096786.0
2023-02-17,43.58,43.76,42.56,43.75,660719.0
2023-02-21,43.05,43.45,41.52,41.53,475823.0
2023-02-22,41.42,42.34,41.41,41.46,604839.0
2023-02-23,41.7,41.8,41.0,41.32,509971.0
2023-02-24,40.41,40.94,40.0,40.87,374480.0
2023-02-27,41.16,41.65,40.75,41.5,556912.0
2023-02-28,41.14,41.385,39.84,39.84,1138550.0
2023-03-01,39.83,40.8,39.72,40.7,553226.0
2023-03-02,40.48,41.21,40.275,41.13,367537.0
2023-03-03,41.5,41.96,40.92,41.88,363278.0
2023-03-06,41.74,41.82,39.77,40.01,336855.0
2023-03-07,40.28,40.9,39.66,39.69,285326.0
2023-03-08,39.62,39.82,39.33,39.74,217349.0
2023-03-09,39.74,40.09,39.52,39.59,335099.0
2023-03-10,39.39,39.745,38.74,39.24,305939.0
2023-03-13,38.71,40.245,38.62,39.54,439030.0
2023-03-14,40.42,40.665,39.99,40.49,448624.0
2023-03-15,39.38,39.51,38.05,38.85,514122.0
2023-03-16,38.58,39.67,38.37,39.49,355756.0
2023-03-17,39.29,39.33,38.09,38.2,1664866.0
2023-03-20,38.55,39.81,38.4386,39.38,608210.0
2023-03-21,39.8,40.22,38.41,38.93,531624.0
2023-03-22,39.11,39.54,38.15,38.17,370311.0
2023-03-23,38.31,39.18,38.16,38.41,210407.0
2023-03-24,38.28,39.08,38.17,38.94,271768.0
2023-03-27,39.29,39.85,39.14,39.69,266569.0
2023-03-28,39.71,40.11,39.145,39.66,238530.0
2023-03-29,40.01,40.075,39.33,39.5,182704.0
2023-03-30,39.68,39.83,39.095,39.2,209495.0
2023-03-31,38.51,39.4699,38.51,39.31,353522.0
2023-04-03,39.46,40.42,39.34,40.42,390922.0
2023-04-04,40.68,40.77,38.99,39.74,345982.0
2023-04-05,39.5,40.01,39.3,40.0,252546.0
2023-04-06,40.15,40.37,39.44,40.34,288027.0
2023-04-10,39.97,40.95,39.97,40.91,413016.0
2023-04-11,41.17,41.33,40.9,41.1,309622.0
2023-04-12,41.4,41.4,40.225,40.49,337124.0
2023-04-13,40.93,41.0,40.585,40.68,275959.0
2023-04-14,40.55,41.0,40.035,40.49,236613.0
2023-04-17,40.89,40.89,40.09,40.65,248594.0
2023-04-18,40.8,40.98,40.29,40.92,289903.0
2023-04-19,40.86,40.97,40.42,40.86,238296.0
2023-04-20,40.58,41.2365,40.52,41.16,216121.0
2023-04-21,41.4,41.47,40.78,41.37,250781.0
2023-04-24,41.27,41.5,40.85,41.02,209272.0
2023-04-25,40.75,40.93,39.82,39.83,218906.0
2023-04-26,39.62,40.23,39.31,39.53,297555.0
2023-04-27,39.79,39.79,39.07,39.49,351392.0
2023-04-28,39.29,39.92,39.16,39.46,1611514.0
2023-05-01,39.59,40.505,39.59,40.04,263557.0
2023-05-02,39.85,39.97,38.75,39.86,431572.0
2023-05-03,39.12,40.68,39.12,39.72,486849.0
2023-05-04,38.905,39.38,37.4,38.4,491100.0
2023-05-05,38.95,39.37,38.55,38.87,273558.0
2023-05-08,39.0,39.115,37.804,38.19,199466.0
2023-05-09,37.94,38.2,37.4,37.67,181593.0
2023-05-10,38.12,38.23,36.92,37.29,241428.0
2023-05-11,37.29,37.66,37.0825,37.58,197033.0
2023-05-12,37.65,37.755,36.81,37.1,215049.0
2023-05-15,37.47,37.78,37.22,37.42,212661.0
2023-05-16,37.2,37.54,36.59,36.6,272116.0
2023-05-17,36.73,37.03,36.52,36.71,295861.0
2023-05-18,36.5,36.73,36.07,36.43,298105.0
2023-05-19,36.89,37.15,36.12,36.25,507640.0
2023-05-22,36.1,36.25,35.28,35.66,395918.0
2023-05-23,35.77,35.94,35.17,35.21,438783.0
2023-05-24,35.05,35.27,34.75,34.84,281420.0
2023-05-25,34.28,34.67,34.115,34.6,247977.0
2023-05-26,34.52,34.85,34.37,34.55,338143.0
2023-05-30,34.54,34.64,33.55,34.0,305958.0
2023-05-31,33.92,34.2,33.17,33.33,423647.0
2023-06-01,33.35,33.705,32.94,33.62,385513.0
2023-06-02,33.98,34.89,33.82,34.64,408350.0
2023-06-05,34.51,34.51,33.56,33.74,331029.0
2023-06-06,33.58,34.955,33.47,34.63,303286.0
2023-06-07,34.67,35.625,34.67,35.45,480099.0
2023-06-08,35.57,35.66,35.03,35.19,232378.0
2023-06-09,35.04,35.245,34.31,34.47,324886.0
2023-06-12,34.68,34.93,32.94,33.7,942441.0
2023-06-13,33.88,34.2,33.425,33.48,545900.0
2023-06-14,33.67,34.18,33.39,33.45,1471891.0
2023-06-15,33.32,33.52,32.72,33.43,608357.0
2023-06-16,33.78,33.81,33.24,33.52,1951737.0
2023-06-20,33.44,33.44,32.61,32.66,881527.0
2023-06-21,32.71,32.84,32.21,32.8,592142.0
2023-06-22,32.84,32.84,32.265,32.51,788246.0
2023-06-23,32.21,32.75,31.905,32.11,1261433.0
2023-06-26,32.12,32.92,32.11,32.66,503888.0
2023-06-27,32.58,32.83,32.3,32.79,340439.0
