date,open,high,low,close,volume
2023-01-11,14.05,14.17,14.0,14.15,458681.0
2023-01-12,14.2,14.42,14.1,14.29,455427.0
2023-01-13,14.2,14.4,14.03,14.34,550819.0
2023-01-17,14.38,14.42,14.155,14.2,453367.0
2023-01-18,14.17,14.17,13.75,13.77,628835.0
2023-01-19,13.68,13.86,13.6,13.74,501349.0
2023-01-20,13.89,13.89,13.665,13.81,700089.0
2023-01-23,13.74,13.88,13.53,13.56,668497.0
2023-01-24,13.59,13.76,13.47,13.75,442881.0
2023-01-25,13.59,13.67,13.34,13.41,795720.0
2023-01-26,13.46,13.548,13.305,13.42,499731.0
2023-01-27,13.52,13.95,13.465,13.9,863750.0
2023-01-30,13.91,13.99,13.74,13.76,760745.0
2023-01-31,13.84,14.24,13.83,14.14,1970748.0
2023-02-01,13.91,14.35,13.81,14.14,962944.0
2023-02-02,14.14,14.53,14.14,14.52,649578.0
2023-02-03,14.46,14.64,14.435,14.59,811782.0
2023-02-06,14.59,14.62,14.26,14.41,661426.0
2023-02-07,14.33,14.52,14.25,14.43,523967.0
2023-02-08,14.38,14.43,14.24,14.26,468913.0
2023-02-09,14.37,14.39,13.9,13.95,588817.0
2023-02-10,13.98,14.2,13.93,14.15,558428.0
2023-02-13,14.16,14.25,14.09,14.21,304879.0
2023-02-14,14.24,14.25,13.99,14.11,465725.0
2023-02-15,14.0,14.2,14.0,14.18,320930.0
2023-02-16,14.04,14.125,13.97,14.04,374139.0
2023-02-17,14.06,14.12,13.98,14.06,623124.0
2023-02-21,13.95,13.98,13.7,13.72,548216.0
2023-02-22,13.72,13.965,13.6961,13.88,1048213.0
2023-02-23,13.9,13.96,13.71,13.92,597663.0
2023-02-24,13.86,13.89,13.735,13.83,586135.0
2023-02-27,13.92,13.98,13.76,13.78,413375.0
2023-02-28,13.83,13.955,13.81,13.82,630033.0
2023-03-01,13.75,13.81,13.67,13.74,501068.0
2023-03-02,13.69,13.705,13.57,13.68,558208.0
2023-03-03,13.79,13.81,13.6,13.79,399462.0
2023-03-06,13.77,13.85,13.35,13.43,755177.0
2023-03-07,13.38,13.4,13.265,13.29,495255.0
2023-03-08,13.35,13.36,13.18,13.29,403016.0
2023-03-09,13.22,13.25,12.61,12.75,837502.0
2023-03-10,12.45,12.92,12.275,12.76,1245710.0
2023-03-13,12.29,13.33,11.73,12.85,2346001.0
2023-03-14,13.42,13.94,12.83,12.97,1421157.0
2023-03-15,12.51,13.01,12.4574,12.8,1460821.0
2023-03-16,12.63,13.48,12.485,13.18,1258671.0
2023-03-17,12.95,13.035,12.37,12.52,4086845.0
2023-03-20,13.05,13.05,12.59,12.65,1101650.0
2023-03-21,13.05,13.308,12.91,13.01,915046.0
2023-03-22,12.98,13.03,12.28,12.32,1432858.0
2023-03-23,12.45,12.65,12.105,12.15,1087433.0
2023-03-24,12.19,12.635,12.1,12.62,1303292.0
2023-03-27,12.83,12.89,12.345,12.35,1019832.0
2023-03-28,12.34,12.4525,12.2,12.28,582019.0
2023-03-29,12.41,12.41,12.16,12.3,796250.0
2023-03-30,12.42,12.42,11.88,12.01,794643.0
2023-03-31,12.13,12.14,11.91,12.03,781781.0
2023-04-03,12.07,12.12,11.82,11.88,714321.0
2023-04-04,11.89,11.9,11.45,11.64,887519.0
2023-04-05,11.51,11.66,11.48,11.56,671216.0
2023-04-06,11.51,11.755,11.51,11.67,707281.0
2023-04-10,11.7,11.85,11.6,11.75,742729.0
2023-04-11,11.79,11.83,11.645,11.67,537337.0
2023-04-12,11.74,11.77,11.54,11.59,460184.0
2023-04-13,11.56,11.67,11.46,11.59,643348.0
2023-04-14,11.77,11.85,11.36,11.45,777854.0
2023-04-17,11.45,11.67,11.28,11.67,645514.0
2023-04-18,11.67,11.778,11.31,11.4,527507.0
2023-04-19,11.43,11.7,11.38,11.6,615155.0
2023-04-20,11.53,11.59,11.39,11.51,598156.0
2023-04-21,11.47,11.5675,11.36,11.46,580395.0
2023-04-24,11.42,11.705,11.42,11.61,600366.0
2023-04-25,11.37,11.5,11.13,11.2,881340.0
2023-04-26,11.16,11.3761,11.13,11.31,1038372.0
2023-04-27,11.4,11.72,11.375,11.72,760362.0
2023-04-28,11.76,11.845,11.62,11.69,642643.0
2023-05-01,11.68,11.75,11.3,11.33,989406.0
2023-05-02,11.35,11.35,10.6505,10.86,1141033.0
2023-05-03,10.68,10.92,10.58,10.62,1333345.0
2023-05-04,10.38,10.46,9.91,10.34,1108809.0
2023-05-05,10.7,10.72,10.395,10.64,1081438.0
2023-05-08,10.76,10.76,10.37,10.39,723243.0
2023-05-09,10.34,10.4487,10.18,10.33,795232.0
2023-05-10,10.54,10.54,10.26,10.4,736420.0
2023-05-11,10.32,10.41,10.23,10.32,655052.0
2023-05-12,10.39,10.6,10.26,10.59,683365.0
2023-05-15,10.6,10.79,10.54,10.64,921037.0
2023-05-16,10.69,10.79,10.54,10.54,626469.0
2023-05-17,10.72,11.22,10.66,11.15,987112.0
2023-05-18,11.05,11.21,10.96,11.05,706408.0
2023-05-19,11.18,11.188,10.675,10.77,552521.0
2023-05-22,10.88,10.9,10.685,10.79,1009440.0
2023-05-23,10.82,11.17,10.8,10.85,813657.0
2023-05-24,10.79,10.88,10.63,10.76,660017.0
2023-05-25,10.62,10.75,10.545,10.66,626341.0
2023-05-26,10.69,10.76,10.55,10.75,417605.0
2023-05-30,10.78,10.78,10.535,10.75,509114.0
2023-05-31,10.68,10.71,10.41,10.51,734750.0
2023-06-01,10.55,10.85,10.49,10.77,557594.0
2023-06-02,10.91,11.409,10.81,11.36,790202.0
2023-06-05,11.33,11.33,10.9,10.95,726742.0
2023-06-06,10.94,11.51,10.94,11.38,682480.0
2023-06-07,11.52,11.9,11.45,11.78,884196.0
2023-06-08,11.74,11.77,11.45,11.58,537258.0
2023-06-09,11.6,11.66,11.38,11.45,455011.0
2023-06-12,11.49,11.73,11.395,11.45,693986.0
2023-06-13,11.52,11.79,11.45,11.71,614659.0
2023-06-14,11.69,11.825,11.465,11.5,782656.0
2023-06-15,11.44,11.73,11.41,11.69,597980.0
2023-06-16,11.77,11.77,11.35,11.59,3198526.0
2023-06-20,11.58,11.59,11.28,11.31,679952.0
2023-06-21,11.31,11.31,10.98,11.0,716028.0
2023-06-22,10.96,11.01,10.64,10.68,743676.0
2023-06-23,10.62,10.74,10.37,10.51,2438424.0
2023-06-26,10.51,10.7,10.5,10.63,788065.0
2023-06-27,10.62,10.81,10.51,10.65,522808.0
2023-06-28,10.67,10.7,10.51,10.62,542300.0
2023-06-29,10.73,10.8509,10.73,10.76,410354.0
2023-06-30,10.78,10.82,10.59,10.6,482563.0
2023-07-03,10.6,10.82,10.6,10.73,305808.0
2023-07-05,10.67,10.77,10.53,10.66,579237.0
2023-07-06,10.51,10.545,10.36,10.5,564671.0
2023-07-07,10.5,10.735,10.5,10.64,497529.0
2023-07-10,10.6,10.88,10.6,10.77,537801.0
2023-07-11,10.81,10.89,10.69,10.79,405052.0
2023-07-12,10.99,11.07,10.885,10.94,436646.0
2023-07-13,11.0,11.16,10.94,11.15,526361.0
2023-07-14,11.28,11.28,10.96,11.14,631194.0
2023-07-17,11.15,11.41,11.125,11.3,475623.0
2023-07-18,11.3,11.65,11.28,11.64,480965.0
2023-07-19,11.66,11.89,11.58,11.88,609665.0
2023-07-20,11.89,11.89,11.58,11.75,558599.0
2023-07-21,11.82,11.85,11.635,11.71,529781.0
2023-07-24,11.64,12.04,11.64,11.98,417532.0
2023-07-25,11.97,12.05,11.795,11.89,524343.0
2023-07-26,12.01,12.305,11.95,12.21,576970.0
2023-07-27,12.29,12.33,12.13,12.2,628685.0
2023-07-28,12.33,12.445,12.26,12.35,550981.0
2023-07-31,12.34,12.46,12.29,12.36,533721.0
2023-08-01,12.45,12.45,12.08,12.19,564823.0
2023-08-02,11.91,11.995,11.77,11.9,488224.0
2023-08-03,11.88,12.145,11.763,12.11,450314.0
2023-08-04,11.96,12.16,11.96,12.02,434931.0
2023-08-07,12.05,12.16,11.97,12.09,427579.0
2023-08-08,11.91,12.065,11.665,12.04,365661.0
2023-08-09,11.98,11.995,11.8075,11.93,371331.0
2023-08-10,11.98,12.16,11.905,11.96,434687.0
2023-08-11,11.94,12.0,11.8892,11.99,352095.0
2023-08-14,11.95,11.9699,11.745,11.85,594170.0
2023-08-15,11.73,11.73,11.45,11.46,535077.0
2023-08-16,11.42,11.55,11.365,11.4,371648.0
2023-08-17,11.42,11.48,11.35,11.37,360216.0
2023-08-18,11.3,11.525,11.2601,11.44,429388.0
2023-08-21,11.45,11.48,11.2146,11.25,449045.0
2023-08-22,11.24,11.34,10.975,11.0,448188.0
2023-08-23,10.99,11.11,10.84,11.01,381755.0
2023-08-24,10.97,11.16,10.94,11.07,535144.0
2023-08-25,11.08,11.24,10.89,10.94,370459.0
2023-08-28,11.0,11.13,10.99,11.02,344777.0
2023-08-29,11.01,11.12,10.95,11.1,336899.0
2023-08-30,11.08,11.1,10.935,10.96,371386.0
2023-08-31,10.96,11.06,10.92,11.0,538685.0
2023-09-01,11.02,11.27,11.01,11.26,435932.0
2023-09-05,11.16,11.16,10.86,10.86,532331.0
