date,open,high,low,close,volume
2023-01-11,58.29,58.865,58.21,58.66,298936.0
2023-01-12,58.87,59.33,58.615,59.07,224237.0
2023-01-13,58.82,58.89,58.405,58.6,198101.0
2023-01-17,58.91,59.11,58.04,58.06,384227.0
2023-01-18,58.1,58.1,56.46,56.48,367558.0
2023-01-19,56.3,56.38,55.02,55.76,547498.0
2023-01-20,55.94,55.94,54.31,55.66,714325.0
2023-01-23,54.83,56.0,54.53,55.7,549172.0
2023-01-24,55.79,57.21,55.56,56.8,420814.0
2023-01-25,56.62,56.9,55.605,56.17,383092.0
2023-01-26,56.02,56.71,55.82,56.65,314740.0
2023-01-27,56.8,56.835,56.2,56.73,313733.0
2023-01-30,56.54,56.85,55.82,55.92,264208.0
2023-01-31,56.2,56.83,55.62,56.8,1352324.0
2023-02-01,56.56,58.08,56.285,57.54,416889.0
2023-02-02,57.43,58.83,57.3,58.82,338508.0
2023-02-03,58.5,58.55,56.41,57.63,425211.0
2023-02-06,57.51,57.875,56.94,57.26,330088.0
2023-02-07,56.88,57.55,56.69,57.32,323289.0
2023-02-08,56.86,57.14,56.25,56.51,429395.0
2023-02-09,56.58,56.94,54.91,55.13,438753.0
2023-02-10,55.51,56.73,55.35,56.51,466935.0
2023-02-13,56.47,57.22,56.47,56.87,236427.0
2023-02-14,56.66,56.91,56.12,56.41,384965.0
2023-02-15,55.94,56.89,55.94,56.85,346654.0
2023-02-16,56.35,57.42,56.18,56.92,427564.0
2023-02-17,58.98,58.99,57.09,58.48,492190.0
2023-02-21,57.89,58.42,57.575,58.09,331843.0
2023-02-22,58.28,58.74,57.741,57.81,321968.0
2023-02-23,57.95,58.14,57.545,57.64,297291.0
2023-02-24,57.4,57.98,56.95,57.73,302631.0
2023-02-27,57.98,58.69,57.85,57.9,388683.0
2023-02-28,57.68,58.8,57.46,57.78,684122.0
2023-03-01,57.29,57.39,56.18,56.83,402229.0
2023-03-02,56.83,57.73,56.5,57.42,292385.0
2023-03-03,57.76,57.93,57.114,57.7,310381.0
2023-03-06,57.81,58.01,57.17,57.64,324060.0
2023-03-07,57.73,57.98,56.56,56.63,272595.0
2023-03-08,56.85,57.28,56.56,57.26,258531.0
2023-03-09,57.38,57.56,56.42,56.49,206715.0
2023-03-10,56.37,56.5479,55.6,55.84,396719.0
2023-03-13,55.64,57.36,55.54,56.16,424532.0
2023-03-14,56.24,57.48,56.03,56.52,503062.0
2023-03-15,55.91,57.04,55.91,56.7,380707.0
2023-03-16,56.28,57.41,56.01,57.2,315292.0
2023-03-17,56.87,57.24,56.165,56.45,843576.0
2023-03-20,56.59,57.75,56.44,57.24,373335.0
2023-03-21,57.47,57.5,55.305,56.01,337023.0
2023-03-22,55.86,56.05,54.86,54.9,352291.0
2023-03-23,54.72,54.93,53.39,53.5,543516.0
2023-03-24,53.52,55.17,53.44,55.17,359334.0
2023-03-27,55.54,56.1675,55.0,55.83,341312.0
2023-03-28,55.57,56.56,55.57,56.42,352092.0
2023-03-29,56.74,57.12,56.19,57.05,345743.0
2023-03-30,57.16,57.88,56.515,57.42,257764.0
2023-03-31,57.63,57.94,57.2,57.86,370815.0
2023-04-03,57.62,57.95,57.0572,57.39,298175.0
2023-04-04,57.36,58.7,57.15,58.5,530871.0
2023-04-05,58.72,60.6575,58.71,59.99,550762.0
2023-04-06,60.26,61.16,60.1604,61.07,352642.0
2023-04-10,61.24,61.24,59.981,60.83,372355.0
2023-04-11,60.97,61.06,60.12,60.52,312087.0
2023-04-12,60.88,60.94,60.01,60.16,285410.0
2023-04-13,60.1,60.1,58.58,59.61,387264.0
2023-04-14,59.5,59.5,58.12,58.59,361758.0
2023-04-17,58.54,59.36,58.39,59.11,242277.0
2023-04-18,59.14,59.57,58.29,58.74,223249.0
2023-04-19,58.88,59.21,58.75,59.04,132700.0
2023-04-20,59.22,59.25,58.78,59.21,149776.0
2023-04-21,59.32,59.9,58.73,59.27,161220.0
2023-04-24,59.28,59.73,59.16,59.58,202232.0
2023-04-25,59.44,59.6,59.05,59.28,176866.0
2023-04-26,59.03,59.34,57.8477,58.12,280939.0
2023-04-27,57.93,59.02,57.87,58.97,223216.0
2023-04-28,60.56,60.56,58.4,58.62,351667.0
2023-05-01,58.62,59.27,58.59,58.94,264080.0
2023-05-02,58.69,58.915,57.59,58.22,304647.0
2023-05-03,58.63,59.72,58.27,58.87,336198.0
2023-05-04,58.69,59.35,58.16,59.33,248813.0
2023-05-05,59.49,59.955,59.32,59.71,176079.0
2023-05-08,59.5,59.805,59.28,59.58,156676.0
2023-05-09,59.44,59.82,59.25,59.53,148699.0
2023-05-10,59.89,60.29,59.44,59.7,212285.0
2023-05-11,59.48,59.68,58.93,59.11,201546.0
2023-05-12,59.46,59.8,59.12,59.36,141748.0
2023-05-15,59.63,59.63,58.595,58.9,155852.0
2023-05-16,58.77,58.82,58.27,58.46,171939.0
2023-05-17,58.52,58.545,57.73,58.36,273330.0
2023-05-18,57.92,58.44,57.46,58.37,215722.0
2023-05-19,58.81,58.89,58.02,58.06,392129.0
2023-05-22,58.26,58.52,57.67,58.01,174136.0
2023-05-23,57.92,58.65,57.6058,57.67,395569.0
2023-05-24,57.7,57.96,57.22,57.62,223192.0
2023-05-25,57.25,57.25,56.125,56.5,132529.0
2023-05-26,56.48,56.76,55.87,56.12,265188.0
2023-05-30,56.03,56.81,55.88,56.61,397399.0
2023-05-31,56.61,56.93,56.325,56.59,305736.0
2023-06-01,56.63,56.645,55.89,56.01,199481.0
2023-06-02,55.95,57.755,55.77,57.63,294318.0
2023-06-05,57.2,57.89,56.445,56.83,232302.0
2023-06-06,56.76,57.78,56.54,57.54,283482.0
2023-06-07,57.65,59.29,57.397,58.95,284630.0
2023-06-08,58.83,59.2525,58.515,59.13,219149.0
2023-06-09,59.09,59.42,58.48,59.12,292449.0
2023-06-12,58.94,59.115,58.505,59.03,308627.0
2023-06-13,58.7,59.59,58.57,59.27,340978.0
2023-06-14,58.35,59.07,57.92,58.04,291845.0
2023-06-15,58.05,58.465,57.75,58.4,301941.0
2023-06-16,58.69,59.13,58.32,58.73,743578.0
2023-06-20,58.73,59.08,57.8,58.45,326226.0
2023-06-21,58.44,59.12,57.435,58.61,297429.0
2023-06-22,58.79,58.79,57.54,57.75,244282.0
2023-06-23,57.95,58.09,56.09,56.13,734523.0
2023-06-26,56.34,57.18,56.14,57.01,283443.0
2023-06-27,57.05,57.63,56.87,57.53,307173.0
2023-06-28,57.66,57.66,56.52,56.91,289449.0
2023-06-29,56.96,57.52,56.41,56.79,290814.0
2023-06-30,57.04,57.13,56.6,56.76,315189.0
2023-07-03,56.78,57.41,56.78,57.23,105516.0
2023-07-05,56.98,57.85,56.78,57.33,142718.0
2023-07-06,56.98,57.02,56.34,56.59,215811.0
2023-07-07,56.73,56.97,56.06,56.42,551233.0
2023-07-10,56.34,56.76,55.81,56.16,276887.0
2023-07-11,56.2,56.64,55.78,56.59,134126.0
2023-07-12,57.0,57.57,56.79,57.17,365132.0
2023-07-13,57.2,57.48,56.88,57.34,216341.0
2023-07-14,57.13,57.37,56.63,56.85,173675.0
2023-07-17,56.51,57.41,56.155,56.86,288956.0
2023-07-18,56.97,57.53,56.37,57.03,233681.0
2023-07-19,57.11,57.54,56.99,57.17,344530.0
2023-07-20,57.51,58.03,57.07,58.01,262271.0
2023-07-21,58.12,58.375,57.37,57.39,372479.0
