date,open,high,low,close,volume
2023-01-11,48.89,49.36,48.36,49.26,157467.0
2023-01-12,49.5,49.94,49.2,49.7,152832.0
2023-01-13,49.65,50.0,49.15,49.58,120221.0
2023-01-17,49.49,49.867,49.0,49.58,148214.0
2023-01-18,49.55,49.6,48.345,48.6,124680.0
2023-01-19,48.68,48.7751,47.99,48.5,110421.0
2023-01-20,48.74,48.76,47.83,48.76,118689.0
2023-01-23,48.99,49.46,48.5229,49.12,99084.0
2023-01-24,48.95,49.5288,48.66,49.36,100791.0
2023-01-25,49.21,49.65,48.94,49.21,123660.0
2023-01-26,49.27,49.54,48.98,49.45,141596.0
2023-01-27,49.52,50.29,49.3476,50.04,256877.0
2023-01-30,49.25,49.93,48.94,49.09,128706.0
2023-01-31,49.38,50.89,49.29,50.14,733461.0
2023-02-01,49.97,51.61,49.82,51.13,227021.0
2023-02-02,51.7,52.39,51.49,52.27,246394.0
2023-02-03,52.02,52.31,50.865,51.77,226690.0
2023-02-06,51.61,51.87,50.93,51.61,223748.0
2023-02-07,51.06,51.42,50.07,51.37,227937.0
2023-02-08,50.97,51.33,48.58,48.9,309984.0
2023-02-09,49.03,49.25,47.18,47.28,176514.0
2023-02-10,47.41,48.6,47.41,48.54,185976.0
2023-02-13,48.48,49.13,48.33,48.94,134401.0
2023-02-14,48.74,48.81,47.9,48.17,133327.0
2023-02-15,47.82,48.77,47.47,48.59,135602.0
2023-02-16,48.02,48.72,47.15,48.4,129871.0
2023-02-17,48.84,49.47,48.56,49.07,121748.0
2023-02-21,48.6,48.98,47.72,47.81,117644.0
2023-02-22,48.09,48.61,47.855,48.24,225004.0
2023-02-23,48.41,48.93,48.0,48.15,136636.0
2023-02-24,47.79,47.99,47.15,47.58,194496.0
2023-02-27,47.78,48.51,47.4613,47.75,164169.0
2023-02-28,47.59,48.49,47.37,48.34,269729.0
2023-03-01,48.0,48.0,46.43,47.04,193197.0
2023-03-02,46.77,47.85,46.62,47.82,254799.0
2023-03-03,48.13,48.54,47.48,48.27,176401.0
2023-03-06,48.19,48.34,46.85,47.41,216346.0
2023-03-07,47.55,47.685,46.61,46.96,135070.0
2023-03-08,47.1,47.14,46.59,47.06,160979.0
2023-03-09,47.23,47.28,46.32,46.35,142483.0
