date,open,high,low,close,volume
2023-07-06,13.37,14.25,13.28,13.55,1502836.0
2023-07-07,13.51,13.705,13.45,13.55,2105995.0
2023-07-10,13.58,13.62,13.47,13.53,1297118.0
2023-07-11,13.55,13.81,13.53,13.79,1639996.0
2023-07-12,13.87,14.1,13.795,14.04,2474433.0
2023-07-13,14.05,14.17,13.89,13.93,1449361.0
2023-07-14,14.04,14.05,13.87,13.9,2200026.0
2023-07-17,13.89,14.1,13.8,14.03,1379839.0
2023-07-18,14.1,14.28,14.03,14.15,1330061.0
2023-07-19,14.22,14.27,14.1,14.14,1443589.0
2023-07-20,14.11,14.12,13.94,13.99,1260824.0
2023-07-21,14.0,14.0,13.88,13.94,1088478.0
2023-07-24,13.99,14.13,13.86,14.07,1368497.0
2023-07-25,14.09,14.15,13.98,14.0,1322275.0
2023-07-26,13.96,14.17,13.96,14.08,859831.0
2023-07-27,14.13,14.19,14.02,14.05,971555.0
2023-07-28,14.19,14.19,14.08,14.13,1069988.0
2023-07-31,14.23,14.3199,14.08,14.16,2658925.0
2023-08-01,14.16,14.19,13.98,14.01,2305900.0
2023-08-02,14.02,14.02,13.91,13.97,1751649.0
2023-08-03,13.93,14.005,13.87,13.94,1376966.0
2023-08-04,13.95,14.075,13.9,14.04,1556403.0
2023-08-07,14.06,14.1387,14.0,14.05,1023028.0
2023-08-08,14.02,14.04,13.89,14.01,1208659.0
2023-08-09,13.96,14.02,13.865,13.91,1833782.0
2023-08-10,14.05,14.16,13.82,13.91,2388732.0
2023-08-11,13.89,13.9,13.78,13.84,1508109.0
2023-08-14,13.88,13.88,13.77,13.8,909877.0
2023-08-15,13.76,13.81,13.67,13.7,1363895.0
2023-08-16,13.63,13.71,13.43,13.52,1868964.0
2023-08-17,13.5,13.53,13.31,13.35,1739075.0
2023-08-18,13.29,13.55,13.22,13.5,1182527.0
2023-08-21,13.51,13.69,13.45,13.65,1106413.0
2023-08-22,13.65,13.7,13.46,13.47,1283523.0
2023-08-23,13.45,13.58,13.42,13.53,1643057.0
2023-08-24,13.59,13.72,13.565,13.58,837309.0
2023-08-25,13.63,13.675,13.55,13.6,760110.0
2023-08-28,13.7,13.79,13.65,13.7,1313734.0
2023-08-29,13.72,13.92,13.71,13.86,1379788.0
2023-08-30,13.85,13.97,13.8301,13.87,1110659.0
2023-08-31,13.9,13.99,13.87,13.92,1183686.0
2023-09-01,14.0,14.08,13.99,14.0,1356993.0
2023-09-05,14.02,14.155,13.66,13.67,2675919.0
2023-09-06,13.62,13.62,13.325,13.39,3859801.0
2023-09-07,13.37,13.4399,13.33,13.34,2252570.0
2023-09-08,13.34,13.63,13.32,13.53,2803326.0
2023-09-11,13.6,13.65,13.53,13.59,1974092.0
2023-09-12,13.66,13.66,13.46,13.49,2737035.0
2023-09-13,13.5,13.69,13.48,13.65,2183398.0
2023-09-14,13.75,13.79,13.67,13.75,1839129.0
2023-09-15,13.79,13.79,13.72,13.77,2109872.0
2023-09-18,13.81,13.89,13.77,13.84,1677863.0
2023-09-19,13.9,13.97,13.87,13.91,1462552.0
2023-09-20,13.96,14.03,13.88,13.91,1733709.0
2023-09-21,13.84,13.85,13.72,13.73,1854103.0
2023-09-22,13.74,13.87,13.72,13.8,1542643.0
2023-09-25,13.8,14.0,13.77,13.92,2508188.0
2023-09-26,13.95,14.02,13.88,13.89,2497691.0
2023-09-27,14.02,14.285,14.0,14.07,3752648.0
2023-09-28,13.71,13.93,13.7,13.88,1818807.0
2023-09-29,13.9,14.08,13.84,13.85,2315383.0
2023-10-02,13.85,13.88,13.39,13.54,3049214.0
2023-10-03,13.5,13.53,13.205,13.3,2372239.0
2023-10-04,13.3,13.35,13.04,13.26,1808135.0
2023-10-05,13.21,13.38,13.19,13.37,1951854.0
2023-10-06,13.27,13.54,13.27,13.41,1723732.0
2023-10-09,13.34,13.56,13.29,13.48,1805961.0
2023-10-10,13.51,13.6696,13.45,13.49,1595810.0
2023-10-11,13.5,13.65,13.41,13.54,1814170.0
2023-10-12,13.65,13.68,13.4036,13.51,1606794.0
2023-10-13,13.61,13.67,13.44,13.5,1994912.0
2023-10-16,13.58,13.965,13.563,13.84,1956396.0
2023-10-17,13.7,13.81,13.68,13.77,1620466.0
2023-10-18,13.7,13.81,13.59,13.62,1039527.0
2023-10-19,13.57,13.64,13.41,13.44,1129556.0
2023-10-20,13.44,13.465,13.19,13.39,1696103.0
2023-10-23,13.27,13.4529,13.2,13.33,1146464.0
2023-10-24,13.4,13.54,13.3675,13.41,1155466.0
2023-10-25,13.37,13.49,13.2,13.29,1100682.0
2023-10-26,13.3,13.41,13.23,13.26,1313673.0
2023-10-27,13.305,13.32,12.99,13.03,1305370.0
2023-10-30,13.14,13.36,13.0801,13.25,1032226.0
2023-10-31,13.24,13.37,13.155,13.24,1445290.0
2023-11-01,13.27,13.56,13.26,13.53,1159778.0
2023-11-02,13.62,13.81,13.6,13.78,1396424.0
2023-11-03,13.9,14.02,13.8798,13.99,1472933.0
2023-11-06,14.0,14.0231,13.815,13.96,1187853.0
2023-11-07,13.92,13.95,13.83,13.89,1317715.0
2023-11-08,13.89,13.94,13.84,13.87,1368444.0
2023-11-09,13.95,14.32,13.9,14.12,3304573.0
2023-11-10,14.3,14.39,14.24,14.34,2661373.0
2023-11-13,14.27,14.45,14.25,14.38,2029149.0
2023-11-14,14.49,14.68,14.455,14.61,2006822.0
2023-11-15,14.6,14.66,14.53,14.55,1843056.0
2023-11-16,14.55,14.58,14.38,14.42,1702735.0
2023-11-17,14.48,14.52,14.38,14.48,2220691.0
2023-11-20,14.5,14.66,14.45,14.64,1978308.0
2023-11-21,14.65,14.705,14.62,14.63,1827934.0
2023-11-22,14.67,14.73,14.63,14.73,1868735.0
2023-11-24,14.79,14.8295,14.74,14.82,1143764.0
2023-11-27,14.81,14.84,14.67,14.73,2809807.0
2023-11-28,14.73,14.77,14.689,14.71,1609060.0
2023-11-29,14.71,14.735,14.63,14.63,1741845.0
2023-11-30,14.68,14.74,14.62,14.66,1472281.0
2023-12-01,14.66,14.8,14.6399,14.76,1687203.0
2023-12-04,14.7,14.79,14.7,14.76,1760797.0
2023-12-05,14.75,14.79,14.59,14.65,1578207.0
2023-12-06,14.69,14.73,14.595,14.62,1485020.0
2023-12-07,14.66,14.73,14.63,14.73,1441207.0
2023-12-08,14.69,14.9199,14.68,14.9,1943736.0
2023-12-11,14.89,14.955,14.862,14.87,1278349.0
2023-12-12,14.92,15.06,14.9,15.02,2024417.0
2023-12-13,15.02,15.11,14.97,15.06,2228403.0
2023-12-14,15.15,15.19,15.01,15.05,2392622.0
2023-12-15,15.09,15.1,14.9,15.01,2412535.0
2023-12-18,14.95,15.09,14.885,15.02,1808250.0
2023-12-19,15.05,15.12,14.99,15.1,1940087.0
2023-12-20,15.11,15.21,15.06,15.06,2183319.0
2023-12-21,15.06,15.085,14.92,15.0,2195326.0
2023-12-22,15.0,15.1099,14.98,15.05,1967198.0
2023-12-26,15.16,15.265,15.11,15.14,2032993.0
2023-12-27,15.17,15.19,15.05,15.17,2035523.0
2023-12-28,14.86,14.97,14.795,14.85,2485214.0
2023-12-29,14.88,14.915,14.76,14.76,1641543.0
2024-01-02,14.69,14.78,14.62,14.71,2365693.0
2024-01-03,14.62,14.675,14.5,14.63,1630425.0
2024-01-04,14.69,14.97,14.6726,14.91,2030923.0
2024-01-05,14.97,15.025,14.915,14.96,1791808.0
2024-01-08,14.96,15.1,14.9103,15.08,3201407.0
2024-01-09,15.04,15.15,14.99,15.06,1522313.0
2024-01-10,15.08,15.16,15.035,15.05,2229109.0
2024-01-11,15.05,15.08,14.83,15.07,2057556.0
2024-01-12,15.15,15.18,15.07,15.1,2273869.0
2024-01-16,15.07,15.14,14.905,15.0,1951543.0
2024-01-17,14.95,14.985,14.86,14.93,1699385.0
2024-01-18,14.98,15.105,14.91,15.07,2064791.0
2024-01-19,15.12,15.13,15.02,15.06,1683977.0
2024-01-22,15.06,15.18,15.035,15.13,1712444.0
2024-01-23,15.1,15.165,15.04,15.11,1315866.0
2024-01-24,15.13,15.15,15.04,15.06,1195102.0
2024-01-25,15.11,15.13,14.98,15.04,1078462.0
2024-01-26,15.05,15.12,15.03,15.1,1146735.0
2024-01-29,15.09,15.12,14.92,14.98,1520338.0
2024-01-30,14.98,15.06,14.97,15.05,1740682.0
2024-01-31,15.02,15.06,14.81,14.82,1377305.0
2024-02-01,14.84,14.89,14.68,14.79,1815346.0
2024-02-02,14.75,14.82,14.6813,14.77,1390603.0
2024-02-05,14.74,14.74,14.515,14.64,1583269.0
2024-02-06,14.65,14.7,14.45,14.53,1500971.0
2024-02-07,14.56,14.69,14.505,14.67,2225435.0
2024-02-08,14.71,14.72,14.58,14.65,1421883.0
2024-02-09,14.62,14.78,14.62,14.74,1642833.0
2024-02-12,14.74,14.895,14.73,14.86,1434894.0
2024-02-13,14.72,14.81,14.65,14.77,1430423.0
2024-02-14,14.85,14.905,14.68,14.81,2210609.0
2024-02-15,14.82,15.005,14.82,14.98,2732599.0
2024-02-16,14.97,15.015,14.905,14.97,1663668.0
2024-02-20,14.96,15.0,14.86,14.96,1845087.0
2024-02-21,14.96,15.07,14.9,15.0,2604901.0
2024-02-22,15.2,15.35,15.04,15.19,4520655.0
2024-02-23,15.255,15.27,15.055,15.08,2993169.0
2024-02-26,15.09,15.12,15.0,15.06,1920452.0
2024-02-27,15.1,15.1,14.92,15.09,2021455.0
2024-02-28,15.11,15.1162,15.0,15.04,1849829.0
2024-02-29,15.01,15.09,14.99,15.08,1840912.0
2024-03-01,15.06,15.1,14.93,15.05,1887416.0
2024-03-04,15.0,15.1198,14.94,15.05,2077807.0
2024-03-05,15.05,15.1,14.96,14.96,1930817.0
2024-03-06,15.05,15.15,15.03,15.09,2163425.0
2024-03-07,15.11,15.16,15.06,15.09,2035087.0
2024-03-08,15.13,15.22,15.09,15.17,2288629.0
2024-03-11,15.17,15.26,15.105,15.18,2055889.0
2024-03-12,15.2,15.23,15.15,15.2,1344547.0
2024-03-13,15.24,15.37,15.23,15.29,1572410.0
2024-03-14,15.3,15.315,15.03,15.04,1624022.0
2024-03-15,15.05,15.24,14.99,15.22,2736951.0
2024-03-18,15.19,15.32,15.13,15.25,3760250.0
2024-03-19,15.22,15.2999,15.16,15.24,1983407.0
2024-03-20,15.25,15.4057,15.2,15.33,3077579.0
2024-03-21,15.33,15.48,15.31,15.41,1741267.0
2024-03-22,15.45,15.46,15.35,15.4,1267968.0
2024-03-25,15.42,15.525,15.39,15.41,2125203.0
2024-03-26,15.5,15.545,15.42,15.53,2518483.0
2024-03-27,15.24,15.3185,15.21,15.27,2189566.0
2024-03-28,15.3,15.42,15.3,15.38,2798498.0
2024-04-01,15.4,15.43,15.2601,15.28,1882169.0
2024-04-02,15.22,15.41,15.2,15.37,2605151.0
2024-04-03,15.35,15.43,15.295,15.3,2399315.0
2024-04-04,15.4,15.47,15.32,15.33,2699046.0
2024-04-05,15.39,15.48,15.34,15.47,1374681.0
2024-04-08,15.49,15.6,15.465,15.57,1730416.0
2024-04-09,15.6,15.67,15.55,15.57,1699302.0
2024-04-10,15.5,15.55,15.455,15.49,1606789.0
2024-04-11,15.49,15.58,15.425,15.54,2662464.0
2024-04-12,15.5,15.83,15.34,15.43,2088532.0
2024-04-15,15.56,15.58,15.28,15.3,3094334.0
2024-04-16,15.35,15.42,15.25,15.39,2046694.0
2024-04-17,15.45,15.49,15.27,15.35,1424859.0
2024-04-18,15.42,15.4799,15.33,15.45,1738147.0
2024-04-19,15.46,15.58,15.445,15.54,2232906.0
2024-04-22,15.6,15.82,15.5798,15.79,2439690.0
2024-04-23,15.79,15.8,15.73,15.74,1999372.0
2024-04-24,15.76,15.85,15.74,15.81,1861657.0
2024-04-25,15.75,15.82,15.71,15.75,1183200.0
2024-04-26,15.78,15.95,15.75,15.93,1546877.0
2024-04-29,15.95,16.0193,15.91,15.95,1796389.0
2024-04-30,15.9,15.965,15.865,15.9,1530141.0
2024-05-01,15.9,16.07,15.9,16.04,2009690.0
2024-05-02,16.13,16.16,15.98,16.04,1509050.0
2024-05-03,16.07,16.12,15.99,16.02,1325362.0
2024-05-06,16.11,16.34,16.1,16.33,3067813.0
2024-05-07,16.35,16.42,16.305,16.32,2204751.0
2024-05-08,16.3,16.335,16.22,16.32,2018506.0
2024-05-09,16.1,16.42,16.04,16.17,2836376.0
2024-05-10,16.3,16.56,16.28,16.55,2293641.0
2024-05-13,16.57,16.595,16.35,16.35,2662644.0
2024-05-14,16.41,16.6,16.4,16.51,2655955.0
2024-05-15,16.54,16.605,16.44,16.45,2573265.0
2024-05-16,16.48,16.56,16.33,16.38,2844275.0
2024-05-17,16.46,16.47,16.33,16.44,2142446.0
2024-05-20,16.46,16.62,16.46,16.54,1910530.0
2024-05-21,16.56,16.64,16.55,16.6,1393854.0
2024-05-22,16.58,16.626,16.52,16.58,1250952.0
2024-05-23,16.46,16.55,16.43,16.44,1609889.0
2024-05-24,16.51,16.6,16.5,16.6,1254542.0
2024-05-28,16.6,16.7,16.58,16.58,1439028.0
2024-05-29,16.52,16.66,16.49,16.64,1230488.0
2024-05-30,16.63,16.7,16.61,16.65,1468674.0
2024-05-31,16.61,16.87,16.61,16.86,1604092.0
2024-06-03,16.89,16.91,16.78,16.8,1383574.0
2024-06-04,16.73,16.74,16.5,16.54,2136508.0
2024-06-05,16.52,16.5298,16.23,16.34,2550299.0
2024-06-06,16.34,16.43,16.33,16.4,1845149.0
2024-06-07,16.36,16.4895,16.32,16.33,1625957.0
2024-06-10,16.29,16.35,16.2,16.21,1762373.0
2024-06-11,16.15,16.1899,15.88,15.95,2958918.0
2024-06-12,16.1,16.1,15.91,15.98,1681600.0
2024-06-13,15.96,15.985,15.79,15.84,1639613.0
2024-06-14,15.79,15.91,15.72,15.87,1575723.0
2024-06-17,15.79,15.91,15.71,15.82,2014489.0
2024-06-18,15.8,15.86,15.72,15.77,1785248.0
2024-06-20,15.78,15.98,15.78,15.92,2056909.0
2024-06-21,15.89,15.93,15.64,15.68,5287443.0
2024-06-24,15.72,15.9,15.7,15.85,2067413.0
2024-06-25,15.82,15.8482,15.71,15.71,1530489.0
2024-06-26,15.7,15.78,15.66,15.69,1857109.0
2024-06-27,15.72,15.85,15.56,15.58,2719989.0
2024-06-28,15.35,15.48,15.28,15.36,2268361.0
2024-07-01,15.34,15.495,15.32,15.39,1978917.0
2024-07-02,15.41,15.59,15.4,15.58,1807467.0
2024-07-03,15.62,15.695,15.51,15.55,1246240.0
2024-07-05,15.56,15.61,15.51,15.6,1537937.0
2024-07-08,15.65,15.7,15.45,15.5,1766410.0
2024-07-09,15.48,15.515,15.33,15.38,2045181.0
2024-07-10,15.39,15.57,15.38,15.54,1325546.0
2024-07-11,15.54,15.585,15.39,15.46,2028946.0
2024-07-12,15.5,15.76,15.5,15.67,2441770.0
2024-07-15,15.76,15.78,15.63,15.65,2570926.0
2024-07-16,15.66,15.698,15.46,15.51,1997658.0
2024-07-17,15.44,15.545,15.44,15.49,1986514.0
2024-07-18,15.49,15.54,15.27,15.35,1787456.0
2024-07-19,15.37,15.47,15.27,15.29,1174936.0
2024-07-22,15.31,15.5,15.31,15.47,1548448.0
2024-07-23,15.46,15.51,15.4,15.45,1584781.0
2024-07-24,15.43,15.47,15.25,15.29,1278072.0
2024-07-25,15.29,15.47,15.28,15.37,1283790.0
2024-07-26,15.42,15.5,15.3837,15.49,1460949.0
2024-07-29,15.5,15.53,15.44,15.46,1637306.0
2024-07-30,15.53,15.78,15.485,15.68,2501500.0
2024-07-31,15.8,15.865,15.52,15.52,2228962.0
2024-08-01,15.53,15.575,15.43,15.45,1390490.0
2024-08-02,15.39,15.39,14.955,14.98,3778923.0
2024-08-05,14.28,14.77,13.98,14.47,6236650.0
2024-08-06,14.55,14.89,14.53,14.81,2668802.0
2024-08-07,14.98,15.08,14.665,14.68,2493157.0
2024-08-08,14.74,14.74,14.17,14.58,4115948.0
2024-08-09,14.51,14.58,14.35,14.5,2951570.0
2024-08-12,14.56,14.685,14.36,14.38,1999039.0
2024-08-13,14.35,14.44,14.23,14.32,2656183.0
2024-08-14,14.38,14.39,14.125,14.29,2223778.0
2024-08-15,14.46,14.58,14.34,14.45,2419060.0
2024-08-16,14.45,14.58,14.405,14.51,2552662.0
2024-08-19,14.61,14.63,14.49,14.54,2276856.0
2024-08-20,14.55,14.62,14.5201,14.53,1204094.0
2024-08-21,14.6,14.6999,14.57,14.67,1343953.0
2024-08-22,14.7,14.8,14.685,14.74,1446272.0
2024-08-23,14.92,14.96,14.77,14.91,1859809.0
2024-08-26,14.98,15.14,14.9773,15.02,1831178.0
2024-08-27,15.02,15.215,15.01,15.11,1695893.0
2024-08-28,15.07,15.19,15.02,15.04,1489394.0
2024-08-29,15.06,15.18,15.05,15.1,1999582.0
2024-08-30,15.18,15.3,15.07,15.16,4019143.0
2024-09-03,15.06,15.1401,14.86,14.9,1638516.0
2024-09-04,14.94,15.05,14.9,14.93,1188881.0
2024-09-05,14.96,15.03,14.865,14.92,1153455.0
2024-09-06,14.94,14.9558,14.64,14.67,1811872.0
2024-09-09,14.75,14.82,14.66,14.73,1511496.0
2024-09-10,14.7,14.74,14.51,14.58,1772835.0
2024-09-11,14.53,14.67,14.39,14.65,1552363.0
2024-09-12,14.64,14.78,14.625,14.72,1328902.0
2024-09-13,14.79,14.925,14.76,14.8,1564273.0
2024-09-16,14.85,14.865,14.655,14.7,2133155.0
2024-09-17,14.71,14.75,14.6643,14.7,1503193.0
2024-09-18,14.67,14.87,14.65,14.79,1443251.0
2024-09-19,14.96,14.99,14.875,14.94,1421499.0
2024-09-20,14.95,14.96,14.89,14.95,1799331.0
2024-09-23,14.95,15.05,14.92,14.95,1864628.0
2024-09-24,14.97,15.0092,14.885,14.91,1735693.0
2024-09-25,14.95,14.99,14.805,14.82,1681590.0
2024-09-26,14.85,14.97,14.81,14.9,1783552.0
2024-09-27,14.9,15.07,14.8842,15.0,2222960.0
2024-09-30,14.76,14.86,14.51,14.57,2900981.0
2024-10-01,14.51,14.535,14.34,14.4,2342077.0
2024-10-02,14.45,14.565,14.365,14.47,1810251.0
2024-10-03,14.6,14.8,14.57,14.7,2205305.0
2024-10-04,14.76,14.85,14.64,14.81,1682062.0
2024-10-07,14.79,14.88,14.775,14.83,1750610.0
2024-10-08,14.8,14.86,14.69,14.85,1660513.0
2024-10-09,14.85,14.88,14.78,14.79,1902245.0
2024-10-10,14.82,14.9,14.76,14.9,1057354.0
