date,open,high,low,close,volume
2023-01-11,55.3493,55.6393,54.938,55.0333,5097600.0
2023-01-12,55.076,55.076,53.9207,54.0567,7768245.0
2023-01-13,53.7507,54.4647,53.734,54.3647,4874325.0
2023-01-17,54.4193,54.776,53.8367,53.9827,4499130.0
2023-01-18,53.8267,54.3457,53.587,53.672,5278740.0
2023-01-19,53.7833,54.1353,52.8327,52.9153,5230260.0
2023-01-20,52.8593,52.958,52.4763,52.892,6444270.0
2023-01-23,52.8387,53.116,52.2687,52.96,7372875.0
2023-01-24,52.9893,53.786,52.7373,53.2727,6064620.0
2023-01-25,53.1973,53.6653,52.7013,53.3647,5434485.0
2023-01-26,53.64,54.079,53.326,53.3753,5315175.0
2023-01-27,53.1507,53.3707,51.1513,51.4113,13582140.0
2023-01-30,51.8,53.16,51.7963,52.642,7103130.0
2023-01-31,53.11,53.4917,52.3493,52.8233,6202710.0
2023-02-01,52.5707,54.3173,52.3147,53.862,7728195.0
2023-02-02,54.018,54.2157,53.3507,53.7107,6873945.0
2023-02-03,53.648,54.1107,52.8093,52.9893,5823435.0
2023-02-06,53.0187,54.0073,52.9467,53.9633,7988805.0
2023-02-07,53.6673,53.6883,52.5457,53.4013,10310385.0
2023-02-08,52.8393,53.1193,51.762,52.4907,13635750.0
2023-02-09,53.7467,54.8333,52.1667,54.4667,14863290.0
2023-02-10,54.694,56.2247,54.694,55.0213,10117155.0
2023-02-13,55.0213,56.6587,54.6727,56.6327,10625025.0
2023-02-14,56.6707,57.668,56.3333,57.4,14372220.0
2023-02-15,57.1987,57.6167,57.1773,57.4153,8361105.0
2023-02-16,56.8147,57.72,56.808,57.4667,9340110.0
2023-02-17,57.6893,58.2627,57.42,58.2007,8783220.0
2023-02-21,57.6867,57.9167,57.2907,57.342,7500930.0
2023-02-22,57.272,57.3467,55.9843,56.1673,7523535.0
2023-02-23,56.5167,56.5167,55.446,56.0773,5455365.0
2023-02-24,55.4947,55.889,55.3653,55.4547,4867995.0
2023-02-27,55.8453,56.4287,55.5893,56.3973,6344355.0
2023-02-28,56.342,56.4923,55.2267,55.34,8514540.0
2023-03-01,54.846,55.227,54.1533,54.948,6665445.0
2023-03-02,55.002,56.2513,54.7977,56.0593,7584045.0
2023-03-03,55.976,56.0587,55.2847,55.8687,6170340.0
2023-03-06,56.0,56.5027,55.842,55.9627,6669405.0
2023-03-07,56.0413,56.3067,55.0153,55.248,5185725.0
2023-03-08,55.25,55.5333,54.9233,55.3707,4299525.0
2023-03-09,55.5447,55.874,54.6513,54.8207,5697540.0
2023-03-10,54.8207,55.5343,54.614,54.6613,6498360.0
2023-03-13,54.3247,55.6667,54.3247,54.5487,6336540.0
2023-03-14,54.548,55.16,54.2243,54.7487,6303345.0
2023-03-15,54.3867,54.7313,53.9747,54.5507,5507820.0
2023-03-16,54.2013,54.8517,54.1313,54.6347,6440085.0
2023-03-17,54.4353,54.4847,53.0527,53.1913,9986505.0
2023-03-20,53.2047,54.6,53.2047,54.404,6645765.0
2023-03-21,54.7827,54.8947,54.3023,54.642,5447010.0
2023-03-22,54.608,55.0213,53.8973,53.9313,5156970.0
2023-03-23,53.8467,54.0113,53.0497,53.4253,5350905.0
2023-03-24,53.5793,54.2537,53.36,54.0507,4714170.0
2023-03-27,54.088,54.7813,54.0788,54.6027,5682690.0
2023-03-28,54.6467,55.4788,54.6467,55.2567,4618830.0
2023-03-29,55.3133,55.4727,54.7743,55.472,4980900.0
2023-03-30,55.5927,56.184,55.5547,56.1,4382070.0
2023-03-31,56.2067,56.6667,56.192,56.5987,6065505.0
2023-04-03,56.778,57.9763,56.748,57.8633,5287815.0
2023-04-04,57.764,57.8307,57.027,57.6293,5470740.0
2023-04-05,57.612,57.8803,57.016,57.2233,5407230.0
2023-04-06,57.068,57.6207,57.0587,57.4087,3765990.0
2023-04-10,57.3353,58.0455,57.3193,57.9833,4994925.0
2023-04-11,58.35,58.549,57.9913,58.0693,4810905.0
2023-04-12,58.288,58.8087,58.134,58.49,4365750.0
2023-04-13,58.6907,59.3327,58.3093,59.1967,4599615.0
2023-04-14,59.018,59.7445,59.018,59.4847,3563280.0
2023-04-17,59.8807,60.3033,59.5027,59.8187,5057280.0
2023-04-18,59.984,60.7043,59.6347,60.6613,4516770.0
2023-04-19,60.222,60.5693,59.8433,59.9427,5157225.0
2023-04-20,59.9033,60.6083,59.8393,60.3573,6457515.0
2023-04-21,60.4933,60.8,60.188,60.254,4105260.0
2023-04-24,60.254,60.4887,59.8853,60.4667,4770975.0
2023-04-25,60.298,60.4627,59.7853,59.8507,4687425.0
2023-04-26,59.206,60.0793,59.0213,59.6133,7864980.0
2023-04-27,58.9307,61.2427,58.8827,61.0447,8516310.0
2023-04-28,61.0913,61.52,60.6213,61.154,5335860.0
2023-05-01,61.1833,61.9847,60.9897,61.9733,5819175.0
2023-05-02,61.932,62.4827,61.2867,62.4347,8557905.0
2023-05-03,62.4347,62.7913,61.8933,62.1113,7908390.0
2023-05-04,62.392,62.6383,61.8073,62.2413,4466880.0
2023-05-05,62.0933,62.8507,62.0933,62.7187,4049310.0
2023-05-08,62.6527,63.1433,62.314,63.1093,5328045.0
2023-05-09,63.156,63.6293,63.0987,63.564,5150370.0
2023-05-10,63.5553,64.0747,62.945,63.6513,5263215.0
2023-05-11,63.6733,63.9093,63.3387,63.884,3998385.0
2023-05-12,63.9267,64.3053,63.498,64.14,5145705.0
2023-05-15,63.924,64.14,62.6173,63.0187,7906515.0
2023-05-16,62.6133,63.124,62.4051,62.5033,5565615.0
2023-05-17,62.3807,62.9293,62.166,62.6287,6703410.0
2023-05-18,62.2433,62.839,62.0047,62.7867,5213280.0
2023-05-19,62.8327,63.656,62.6067,63.62,7384965.0
2023-05-22,63.9133,64.0,61.7247,61.876,6912915.0
2023-05-23,61.2587,61.8733,60.364,60.7993,11629320.0
2023-05-24,61.2427,62.228,61.0707,61.9293,7483305.0
2023-05-25,61.3993,62.636,61.118,62.3347,6990390.0
2023-05-26,62.2307,62.353,61.4513,61.5333,6412905.0
2023-05-30,61.3247,61.9053,61.016,61.872,5943555.0
2023-05-31,59.078,60.545,58.252,60.2207,17800800.0
2023-06-01,60.2207,60.6333,59.4933,59.6853,7538835.0
2023-06-02,59.7333,60.2089,59.4253,59.6893,8136450.0
2023-06-05,59.7793,60.338,59.744,60.1407,6474240.0
2023-06-06,60.1527,60.1527,58.3373,59.062,8994330.0
2023-06-07,58.9333,59.9893,58.6707,58.874,8182545.0
2023-06-08,58.8427,60.4967,58.6677,60.4453,6087060.0
2023-06-09,60.314,60.9797,59.92,60.466,5900895.0
2023-06-12,60.3333,60.9153,60.1747,60.7853,5570415.0
2023-06-13,60.9487,61.1954,60.5773,61.0847,6076905.0
2023-06-14,61.0793,61.2333,60.1207,60.6427,11282580.0
2023-06-15,61.1013,62.0133,60.6417,61.8327,6510225.0
2023-06-16,62.6927,62.6927,61.126,61.268,13283400.0
2023-06-20,61.5887,62.0213,61.0573,61.166,5072475.0
2023-06-21,61.3447,63.07,61.194,62.5287,7599435.0
2023-06-22,62.5333,62.652,61.8233,62.17,4778085.0
2023-06-23,62.1753,62.2047,61.3713,61.6507,25739745.0
2023-06-26,61.8733,62.698,61.7607,62.11,5159910.0
2023-06-27,62.4667,62.7143,62.1627,62.3593,3963675.0
2023-06-28,62.1753,63.0127,61.679,62.4687,4526385.0
2023-06-29,62.512,62.7593,62.092,62.4947,3301950.0
2023-06-30,63.1333,63.9867,62.8313,63.6867,5796900.0
2023-07-03,63.6307,63.6307,62.6607,63.1387,2771985.0
2023-07-05,63.1887,63.3307,62.558,63.1893,4585065.0
2023-07-06,62.7267,63.6153,62.7267,62.9553,5599995.0
2023-07-07,62.678,62.758,62.014,62.298,7116960.0
2023-07-10,62.462,64.4427,62.462,64.0727,6033090.0
2023-07-11,64.4887,64.8393,64.064,64.504,4245210.0
2023-07-12,64.7167,65.048,64.454,64.6153,4339395.0
2023-07-13,64.5993,64.6573,63.6013,63.7373,4963665.0
2023-07-14,63.528,64.1977,63.4033,64.094,4330155.0
2023-07-17,64.0627,64.966,63.9573,64.5973,3721425.0
2023-07-18,64.6667,64.757,63.5727,64.1607,4602555.0
2023-07-19,63.9147,64.749,63.9147,64.23,4943595.0
2023-07-20,64.516,64.516,63.4077,63.482,5318760.0
2023-07-21,63.7327,64.3757,63.546,63.7487,15660330.0
2023-07-24,63.6407,64.0293,63.3813,63.8653,4593810.0
2023-07-25,63.2027,64.3067,63.0133,64.2873,5297055.0
2023-07-26,64.206,64.7327,63.4893,64.3747,6030720.0
2023-07-27,63.3007,63.8407,60.9597,61.3073,12747630.0
2023-07-28,61.478,62.3547,61.3007,61.9193,6356025.0
2023-07-31,61.84,62.188,61.328,61.7193,5426340.0
2023-08-01,61.7627,62.528,61.73,62.07,5611995.0
2023-08-02,62.086,62.2667,61.1953,61.2307,8477085.0
2023-08-03,61.578,62.2653,61.41,62.052,5760045.0
2023-08-04,62.1093,62.4107,61.632,61.7287,4133880.0
2023-08-07,62.12,62.498,61.8323,62.1173,4423590.0
2023-08-08,62.134,62.4953,61.6753,61.9467,4959675.0
2023-08-09,61.8953,62.3647,61.7013,61.9827,4260855.0
2023-08-10,62.32,62.784,62.0533,62.4427,5715660.0
2023-08-11,62.6447,63.042,62.486,62.904,3869295.0
2023-08-14,63.1653,63.5816,62.7026,63.01,4689375.0
2023-08-15,63.014,63.6347,63.014,63.424,3838665.0
2023-08-16,63.6607,64.0307,63.3273,63.404,4447950.0
2023-08-17,63.5047,63.6943,62.06,62.1113,5106960.0
2023-08-18,62.1113,63.0813,62.1113,62.5333,8273745.0
2023-08-21,62.52,63.1367,62.1113,63.0327,5363040.0
2023-08-22,62.7707,63.1767,61.8287,62.2687,4232730.0
