date,open,high,low,close,volume
2023-01-11,11.75,12.02,11.72,12.01,4446004.0
2023-01-12,12.12,12.39,11.85,12.37,3610901.0
2023-01-13,12.24,12.4,12.18,12.38,2309684.0
2023-01-17,12.33,12.725,12.315,12.54,2662344.0
2023-01-18,12.66,12.82,12.495,12.54,2787093.0
2023-01-19,12.42,12.54,11.97,12.12,4147080.0
2023-01-20,12.19,12.58,12.06,12.49,1623470.0
2023-01-23,12.45,12.53,12.325,12.52,2443391.0
2023-01-24,12.32,12.52,12.24,12.51,1736526.0
2023-01-25,12.28,12.41,12.01,12.4,2021526.0
2023-01-26,12.53,12.6135,12.365,12.57,2139954.0
2023-01-27,12.6,12.765,12.38,12.61,3108145.0
2023-01-30,12.43,12.53,12.25,12.26,3171493.0
2023-01-31,12.28,12.6,12.25,12.58,2624282.0
2023-02-01,12.54,13.04,12.535,12.92,1993015.0
2023-02-02,13.06,13.44,13.025,13.1,5546709.0
2023-02-03,12.83,13.12,12.74,13.04,4409122.0
2023-02-06,12.92,13.1,12.82,12.94,2609439.0
2023-02-07,12.85,13.34,12.76,13.34,3028750.0
2023-02-08,13.32,13.52,13.215,13.44,5100516.0
2023-02-09,13.55,13.635,12.99,13.14,5190945.0
2023-02-10,12.93,13.05,12.65,12.82,4556568.0
2023-02-13,12.96,13.01,12.53,12.88,4363911.0
2023-02-14,13.1,13.44,12.855,13.35,5130456.0
2023-02-15,13.35,14.04,13.31,13.78,4810918.0
2023-02-16,13.52,13.85,13.41,13.67,3543235.0
2023-02-17,13.53,13.665,13.425,13.52,3510583.0
2023-02-21,13.28,13.32,12.67,12.73,4159541.0
2023-02-22,12.8,12.95,12.665,12.75,2796377.0
2023-02-23,12.65,12.84,12.49,12.66,3542234.0
2023-02-24,12.5,12.535,12.3,12.41,4683051.0
2023-02-27,12.68,12.705,12.195,12.31,4040375.0
2023-02-28,12.38,12.64,12.24,12.34,6728963.0
2023-03-01,12.31,12.58,12.22,12.4,5572917.0
2023-03-02,12.24,12.36,12.07,12.25,4108628.0
2023-03-03,12.25,12.68,12.22,12.6,5544863.0
2023-03-06,12.6,12.72,12.465,12.5,3880977.0
2023-03-07,12.48,12.505,12.15,12.19,3525356.0
2023-03-08,12.25,12.41,12.175,12.31,3118359.0
2023-03-09,12.3,12.41,11.79,11.83,2586987.0
2023-03-10,11.76,11.77,10.5201,10.64,12287727.0
2023-03-13,10.19,10.555,9.83,10.13,8737514.0
2023-03-14,10.78,10.96,10.175,10.28,4326428.0
2023-03-15,10.0,10.225,9.935,10.12,4073528.0
2023-03-16,9.9,10.57,9.89,10.45,5190921.0
2023-03-17,10.32,10.45,9.97,10.23,4445153.0
2023-03-20,10.35,10.39,10.06,10.25,2613911.0
2023-03-21,10.56,11.24,10.56,11.04,3453590.0
2023-03-22,11.31,11.31,10.71,10.72,5147975.0
2023-03-23,10.81,11.035,10.7225,10.91,4338982.0
2023-03-24,10.73,11.05,10.56,11.0,2956789.0
2023-03-27,11.22,11.22,10.94,11.0,3300460.0
2023-03-28,11.0,11.06,10.88,11.06,2603505.0
2023-03-29,11.18,11.25,10.96,11.07,6625279.0
2023-03-30,11.23,11.27,10.85,11.01,2122901.0
2023-03-31,11.16,11.34,10.95,11.08,5273269.0
2023-04-03,10.89,11.04,10.735,11.0,3126403.0
2023-04-04,11.06,11.07,10.745,10.89,3269122.0
2023-04-05,10.74,10.785,10.46,10.51,3340605.0
2023-04-06,10.5,10.77,10.44,10.72,1532828.0
2023-04-10,10.68,10.82,10.61,10.81,1382519.0
2023-04-11,10.84,11.02,10.83,10.97,1947622.0
2023-04-12,11.07,11.125,10.7,10.71,3626164.0
2023-04-13,10.82,11.0,10.69,10.89,14173134.0
2023-04-14,10.96,11.12,10.705,10.79,2703156.0
2023-04-17,10.74,11.09,10.71,11.08,1523815.0
2023-04-18,11.18,11.19,10.98,11.0,1802358.0
2023-04-19,10.93,11.23,10.9,11.14,1739745.0
2023-04-20,10.96,11.14,10.835,11.08,2496806.0
2023-04-21,11.12,11.13,10.715,10.89,2298832.0
2023-04-24,10.95,11.08,10.89,11.03,2671990.0
2023-04-25,10.86,10.91,10.63,10.75,2105718.0
2023-04-26,10.77,10.94,10.6,10.6,2114491.0
2023-04-27,10.71,10.9875,10.66,10.97,1782834.0
2023-04-28,10.88,11.33,10.88,11.26,2783576.0
2023-05-01,11.2,11.62,11.04,11.18,4487816.0
2023-05-02,11.07,11.17,10.62,10.73,3324845.0
2023-05-03,10.74,11.02,10.62,10.65,3548894.0
2023-05-04,10.96,11.16,9.8203,9.94,8660951.0
2023-05-05,10.37,10.57,10.2,10.3,3738221.0
2023-05-08,10.35,10.52,10.13,10.29,3394532.0
2023-05-09,10.16,10.245,10.11,10.14,1907621.0
2023-05-10,10.3,10.35,10.0,10.13,2905187.0
2023-05-11,10.08,10.25,10.0,10.22,2393774.0
2023-05-12,10.29,10.295,10.04,10.13,1740695.0
2023-05-15,10.14,10.27,10.07,10.23,1858134.0
2023-05-16,10.14,10.1688,9.98,9.98,2062380.0
2023-05-17,10.1,10.19,9.94,10.13,2379460.0
2023-05-18,10.03,10.06,9.85,10.0,2476269.0
2023-05-19,10.22,10.25,9.985,10.07,2746942.0
2023-05-22,10.07,10.32,9.99,10.22,2134648.0
2023-05-23,10.17,10.32,10.02,10.13,1981544.0
2023-05-24,10.01,10.02,9.9,9.96,2278498.0
2023-05-25,9.99,10.02,9.7,9.85,2629348.0
2023-05-26,9.89,10.12,9.86,9.99,2105102.0
2023-05-30,10.1,10.175,9.955,10.13,1752305.0
2023-05-31,10.13,10.31,9.99,10.25,4806464.0
2023-06-01,9.96,10.26,9.84,10.2,8033225.0
2023-06-02,10.36,10.63,10.335,10.36,3766543.0
2023-06-05,10.32,10.51,10.24,10.42,2195767.0
2023-06-06,10.35,11.0497,10.35,10.96,4706566.0
2023-06-07,11.04,11.41,11.02,11.28,4194904.0
2023-06-08,11.32,11.66,11.165,11.63,5286691.0
2023-06-09,11.65,11.7,11.15,11.21,5444306.0
2023-06-12,11.19,11.46,11.11,11.37,2785895.0
2023-06-13,11.49,11.615,11.41,11.52,3664808.0
2023-06-14,11.55,11.585,11.325,11.44,3413479.0
2023-06-15,11.37,11.75,11.34,11.72,2974262.0
2023-06-16,11.69,11.77,11.38,11.55,3237795.0
2023-06-20,11.45,11.63,11.315,11.58,2423697.0
2023-06-21,11.5,11.56,11.27,11.3,3187905.0
2023-06-22,11.26,11.285,11.02,11.08,6086824.0
2023-06-23,10.94,11.06,10.77,11.02,10767786.0
2023-06-26,10.99,11.2,10.99,11.06,3793736.0
2023-06-27,11.04,11.27,10.87,11.21,5068231.0
2023-06-28,11.18,11.47,11.13,11.43,3243190.0
2023-06-29,11.43,11.6,11.4,11.54,2606676.0
2023-06-30,11.68,11.71,11.595,11.65,3269235.0
2023-07-03,11.6,11.65,11.47,11.58,1195827.0
2023-07-05,11.53,11.53,11.295,11.3,3156474.0
2023-07-06,11.14,11.22,10.85,11.09,2910297.0
2023-07-07,11.08,11.42,11.07,11.32,3223068.0
2023-07-10,11.3,11.48,11.26,11.31,1985433.0
2023-07-11,11.33,11.46,11.22,11.3,3523703.0
2023-07-12,11.5,11.575,11.385,11.4,2728491.0
2023-07-13,11.4,11.64,11.37,11.62,2334612.0
2023-07-14,11.7,11.7,11.42,11.54,1563272.0
2023-07-17,11.525,11.715,11.43,11.68,3718121.0
2023-07-18,11.68,12.1278,11.635,12.04,3276221.0
2023-07-19,12.08,12.31,12.06,12.25,2773134.0
2023-07-20,12.21,12.255,12.05,12.18,2576657.0
2023-07-21,12.32,12.32,12.0111,12.16,2016812.0
2023-07-24,12.16,12.37,12.1331,12.35,3267397.0
2023-07-25,12.41,12.59,12.34,12.39,2680482.0
2023-07-26,12.38,12.53,12.345,12.43,2698362.0
2023-07-27,12.55,12.56,12.08,12.11,3217394.0
2023-07-28,12.31,12.43,12.225,12.38,2676011.0
2023-07-31,12.39,12.405,12.24,12.32,3180983.0
2023-08-01,12.09,12.38,11.8,12.28,5348783.0
2023-08-02,12.09,12.37,11.94,12.33,3805049.0
2023-08-03,12.3,12.525,12.2333,12.31,2773011.0
2023-08-04,12.38,12.51,12.24,12.27,2508269.0
2023-08-07,12.35,12.415,12.165,12.29,1850595.0
2023-08-08,12.1,12.11,11.85,12.0,3614868.0
2023-08-09,11.97,11.97,11.59,11.67,5329151.0
