date,open,high,low,close,volume
2023-01-11,9.3,9.51,9.12,9.51,3321107.0
2023-01-12,9.61,9.69,9.22,9.58,2917249.0
2023-01-13,9.34,9.62,9.34,9.45,1967689.0
2023-01-17,9.13,9.25,8.4726,9.07,6818982.0
2023-01-18,9.23,9.475,9.07,9.13,3417382.0
2023-01-19,8.99,9.07,8.765,8.98,2425367.0
2023-01-20,8.845,9.035,8.67,8.87,3912726.0
2023-01-23,8.99,9.18,8.915,9.09,4128428.0
2023-01-24,8.94,9.39,8.91,9.35,2608027.0
2023-01-25,9.22,9.64,9.08,9.62,2137770.0
2023-01-26,9.81,10.37,9.8,10.33,3836952.0
2023-01-27,10.28,10.66,10.095,10.44,2755277.0
2023-01-30,10.05,10.245,9.855,9.88,2010637.0
2023-01-31,10.06,10.14,9.915,10.09,2759790.0
2023-02-01,10.11,10.23,9.8672,10.1,2374270.0
2023-02-02,10.74,10.7521,9.98,10.18,6315121.0
2023-02-03,9.86,10.1,9.59,9.64,2608372.0
2023-02-06,9.36,9.51,9.065,9.21,3544341.0
2023-02-07,9.12,9.31,9.0,9.2,2609184.0
2023-02-08,9.13,9.31,9.07,9.24,2706683.0
2023-02-09,9.32,9.44,9.22,9.25,4117143.0
2023-02-10,9.14,9.21,8.99,9.09,3151692.0
2023-02-13,9.11,9.31,9.05,9.24,2322102.0
2023-02-14,9.13,9.39,9.03,9.32,2076341.0
2023-02-15,9.25,9.685,9.25,9.66,2513965.0
2023-02-16,9.39,9.615,9.27,9.43,1538671.0
2023-02-17,9.25,9.37,9.112,9.21,2313953.0
2023-02-21,9.05,9.21,8.905,8.91,1557539.0
2023-02-22,9.02,9.13,8.835,8.96,1176725.0
2023-02-23,9.1,9.11,8.88,9.02,928476.0
2023-02-24,8.83,8.96,8.78,8.86,1580090.0
2023-02-27,8.91,8.97,8.66,8.66,2030960.0
2023-02-28,8.68,8.79,8.63,8.67,1925911.0
2023-03-01,8.79,8.86,8.44,8.56,2930647.0
2023-03-02,8.4,8.59,8.29,8.46,5150702.0
2023-03-03,9.1,10.09,8.84,8.92,8792796.0
2023-03-06,8.81,9.25,8.8,8.9,3513936.0
2023-03-07,8.86,9.105,8.69,8.84,2847455.0
2023-03-08,8.95,9.25,8.935,9.24,2775345.0
2023-03-09,9.24,9.26,8.73,8.79,2015182.0
2023-03-10,8.67,8.725,8.175,8.27,8516149.0
2023-03-13,8.1,8.345,7.7591,8.06,3991639.0
2023-03-14,8.31,8.6,8.24,8.39,2715787.0
2023-03-15,8.16,8.33,7.935,8.29,3772971.0
2023-03-16,8.27,8.32,8.025,8.21,2585554.0
2023-03-17,8.22,8.23,7.74,7.91,4062978.0
2023-03-20,7.97,7.97,7.67,7.8,4780091.0
2023-03-21,8.0,8.38,7.91,8.28,2553483.0
2023-03-22,8.32,8.39,7.97,7.98,2347784.0
2023-03-23,8.06,8.1,7.7,7.77,2984315.0
2023-03-24,7.67,7.95,7.6325,7.89,1967623.0
2023-03-27,8.08,8.18,7.906,8.0,2456915.0
2023-03-28,8.38,8.65,8.29,8.33,3001264.0
2023-03-29,8.42,8.63,8.35,8.42,3492043.0
2023-03-30,8.64,8.8,8.35,8.4,2844490.0
2023-03-31,8.41,8.71,8.41,8.57,6108021.0
2023-04-03,8.56,8.57,8.119,8.16,1878669.0
2023-04-04,8.15,8.23,7.87,7.9,2127339.0
2023-04-05,7.79,7.86,7.655,7.68,3346796.0
2023-04-06,7.64,7.83,7.63,7.74,2589798.0
2023-04-10,7.7,7.95,7.56,7.78,3267605.0
2023-04-11,7.9,8.64,7.8,8.52,7326958.0
2023-04-12,8.52,8.75,8.52,8.64,6181520.0
2023-04-13,8.72,9.33,8.65,9.0,4862420.0
2023-04-14,9.0,9.425,8.945,9.25,3956824.0
2023-04-17,9.2,9.22,8.92,9.04,2364476.0
2023-04-18,9.11,9.295,9.03,9.19,3485648.0
2023-04-19,9.01,9.16,8.72,8.95,4039253.0
2023-04-20,8.84,9.26,8.81,9.12,2719887.0
2023-04-21,9.1,9.19,8.87,9.02,1832705.0
2023-04-24,9.17,9.27,9.02,9.2,2611941.0
2023-04-25,9.0,9.12,8.93,9.09,2501147.0
2023-04-26,9.19,9.4883,9.02,9.18,3319529.0
2023-04-27,9.19,9.47,9.1,9.45,2782165.0
2023-04-28,9.38,9.88,9.34,9.84,3184886.0
2023-05-01,9.81,10.0,9.61,9.71,2204557.0
2023-05-02,9.62,9.74,9.225,9.3,2998805.0
2023-05-03,9.38,10.01,9.29,9.84,3996122.0
2023-05-04,9.83,10.18,9.81,10.1,4473319.0
2023-05-05,10.25,10.96,10.17,10.77,8025469.0
2023-05-08,10.81,12.06,10.81,11.32,10107398.0
2023-05-09,11.2,11.46,11.05,11.19,3289154.0
2023-05-10,11.39,12.05,11.36,11.65,7496161.0
2023-05-11,11.75,12.465,11.69,12.26,5948183.0
2023-05-12,12.345,12.65,12.065,12.22,4000270.0
2023-05-15,12.37,12.71,12.14,12.51,5590560.0
2023-05-16,12.36,12.48,12.03,12.11,3332439.0
2023-05-17,12.24,12.55,11.9547,12.51,3297310.0
2023-05-18,12.34,12.53,12.1525,12.44,5600223.0
2023-05-19,12.49,12.7,12.255,12.34,4532083.0
2023-05-22,12.63,12.83,12.45,12.65,7328516.0
2023-05-23,12.65,13.185,12.51,12.57,5454681.0
2023-05-24,12.4,12.54,11.895,12.0,4164705.0
2023-05-25,12.05,12.67,11.89,12.12,5226120.0
2023-05-26,11.39,11.39,10.03,10.44,12819482.0
2023-05-30,10.56,10.59,9.71,10.08,8464191.0
2023-05-31,10.01,10.075,9.87,9.95,6042628.0
2023-06-01,9.84,10.215,9.84,10.1,5188845.0
2023-06-02,10.2,10.43,9.99,10.16,5095054.0
2023-06-05,10.11,10.5,10.06,10.27,3317824.0
2023-06-06,10.24,10.46,10.22,10.32,3711628.0
2023-06-07,10.45,10.455,10.065,10.3,8066759.0
2023-06-08,10.25,10.387,9.93,9.93,2667397.0
2023-06-09,10.06,10.19,9.93,9.95,2823871.0
2023-06-12,9.88,10.16,9.84,10.12,3358508.0
2023-06-13,10.615,10.66,10.26,10.39,7601439.0
