date,open,high,low,close,volume
2023-01-11,13.86,14.65,13.86,14.52,157150.0
2023-01-12,14.65,15.04,14.5,14.72,149482.0
2023-01-13,14.71,15.02,14.265,14.69,135571.0
2023-01-17,14.71,14.94,14.535,14.7,118620.0
2023-01-18,14.7,15.2,14.62,14.87,119314.0
2023-01-19,14.86,15.31,14.83,15.24,97593.0
2023-01-20,15.31,15.48,15.0566,15.33,110541.0
2023-01-23,15.19,15.69,15.19,15.44,142616.0
2023-01-24,15.29,15.4,15.02,15.15,58548.0
2023-01-25,15.11,15.24,14.66,15.21,48575.0
2023-01-26,15.29,15.4,15.15,15.29,39050.0
2023-01-27,15.25,15.4,15.15,15.25,51483.0
2023-01-30,15.24,15.36,15.06,15.1,64475.0
2023-01-31,15.0826,15.47,15.08,15.4,115701.0
2023-02-01,15.39,15.94,15.38,15.89,114180.0
2023-02-02,15.98,16.32,15.76,16.26,119286.0
2023-02-03,16.2,16.3269,16.0,16.26,130926.0
2023-02-06,16.29,16.29,15.89,15.99,99314.0
2023-02-07,15.88,16.31,15.67,16.05,266726.0
2023-02-08,15.92,15.94,15.705,15.9,108613.0
2023-02-09,16.34,16.34,15.59,15.9,207270.0
2023-02-10,15.9,16.04,15.58,15.75,136591.0
2023-02-13,15.69,15.95,15.62,15.84,87482.0
2023-02-14,15.87,16.19,15.77,16.08,160798.0
2023-02-15,15.95,16.35,15.81,16.3,50531.0
2023-02-16,16.09,16.38,15.82,16.28,82873.0
2023-02-17,16.4,16.43,16.09,16.37,80054.0
2023-02-21,16.25,16.35,15.91,16.0,91429.0
2023-02-22,16.1,16.15,15.64,15.72,97483.0
2023-02-23,15.81,15.96,15.59,15.92,86289.0
2023-02-24,15.67,15.72,15.5,15.52,91413.0
2023-02-27,15.6,15.93,15.53,15.87,136536.0
2023-02-28,15.7,15.905,15.47,15.71,186820.0
2023-03-01,15.73,16.0,15.73,15.93,65690.0
2023-03-02,15.86,16.06,15.8,16.0,71549.0
2023-03-03,16.13,16.36,15.95,16.12,78927.0
2023-03-06,16.13,16.14,15.58,15.75,144091.0
2023-03-07,15.7,15.87,15.43,15.87,65010.0
2023-03-08,15.83,16.52,15.825,15.9,110029.0
