date,open,high,low,close,volume
2023-01-11,38.67,39.235,38.28,39.16,1744637.0
2023-01-12,39.54,40.35,39.4,40.05,2281728.0
2023-01-13,40.23,40.85,39.62,39.78,1909329.0
2023-01-17,40.03,41.18,39.66,40.18,1421806.0
2023-01-18,40.48,41.29,39.51,39.54,1810256.0
2023-01-19,39.5,40.87,39.355,40.76,1722654.0
2023-01-20,41.22,42.67,40.74,42.37,2776672.0
2023-01-23,42.8,45.41,42.66,43.8,3292880.0
2023-01-24,44.01,45.78,43.15,45.08,2948392.0
2023-01-25,44.82,45.34,43.62,43.75,2051934.0
2023-01-26,44.7,45.44,43.4,45.41,1908587.0
2023-01-27,45.26,45.58,43.091,43.17,1750469.0
2023-01-30,42.71,43.0918,41.18,41.35,2142570.0
2023-01-31,41.2,42.05,40.89,41.99,2463480.0
2023-02-01,41.83,42.0899,38.713,40.2,2940573.0
2023-02-02,40.2,40.34,38.61,39.96,2981927.0
2023-02-03,40.29,41.38,39.48,39.6,2225170.0
2023-02-06,39.81,40.36,37.77,38.21,2811450.0
2023-02-07,38.56,40.82,38.41,40.51,2574675.0
2023-02-08,40.45,40.64,39.05,40.02,1582271.0
2023-02-09,40.27,40.33,39.29,39.72,1597242.0
2023-02-10,40.65,42.46,40.52,42.27,2435620.0
2023-02-13,42.11,42.775,41.6515,42.1,2203075.0
2023-02-14,42.1,43.15,41.62,42.13,2190625.0
2023-02-15,41.2,42.01,40.51,41.78,2959927.0
2023-02-16,44.59,47.29,44.54,44.94,7640747.0
2023-02-17,45.4,45.67,41.3,41.84,4675414.0
2023-02-21,41.66,44.54,41.66,44.25,4026433.0
2023-02-22,44.05,44.925,42.12,42.75,2519331.0
2023-02-23,43.74,44.53,42.64,43.87,5445787.0
2023-02-24,43.19,43.785,41.55,43.54,2076232.0
2023-02-27,43.63,45.14,43.37,44.76,2106002.0
2023-02-28,45.49,45.6,43.71,43.71,3056838.0
2023-03-01,43.89,47.25,43.75,46.93,2823249.0
2023-03-02,46.53,47.86,46.09,47.33,2069757.0
2023-03-03,46.99,48.515,46.0,48.07,1991280.0
2023-03-06,47.33,47.75,46.77,47.17,1911319.0
2023-03-07,46.95,47.89,46.195,46.69,2035299.0
2023-03-08,46.67,47.73,44.57,45.46,2170782.0
2023-03-09,45.54,47.4,44.37,44.45,2566674.0
2023-03-10,45.39,46.75,44.2,44.28,2641585.0
2023-03-13,42.06,43.005,40.4563,41.29,3579797.0
2023-03-14,41.61,43.26,40.69,41.47,3249324.0
2023-03-15,39.71,39.71,37.32,39.17,4698800.0
2023-03-16,38.2,40.595,37.74,40.54,3204196.0
2023-03-17,40.01,41.04,39.54,40.42,8922371.0
2023-03-20,40.55,42.82,39.81,42.12,3173296.0
2023-03-21,43.49,43.6,42.14,42.79,3355730.0
2023-03-22,42.65,44.77,42.31,43.02,2847574.0
2023-03-23,43.25,44.36,40.89,41.25,3570211.0
2023-03-24,40.1,41.22,39.22,41.0,3933305.0
2023-03-27,41.85,43.02,40.74,42.52,2404699.0
2023-03-28,42.37,44.64,41.96,43.79,3256693.0
2023-03-29,44.02,44.56,43.2245,43.92,2506105.0
2023-03-30,44.57,44.58,42.9,43.19,1398180.0
2023-03-31,43.08,43.58,42.26,43.36,2246673.0
2023-04-03,45.3,45.43,41.73,43.35,3693118.0
2023-04-04,43.3,43.34,39.64,39.91,3624311.0
2023-04-05,39.96,42.32,39.8,42.2,3444586.0
2023-04-06,42.21,42.42,40.45,40.51,1647547.0
2023-04-10,40.7,42.1384,40.62,41.79,1748023.0
2023-04-11,41.85,42.79,41.39,42.64,2215198.0
2023-04-12,42.6,42.64,40.41,40.51,2936456.0
2023-04-13,40.0,40.24,38.34,39.87,3147819.0
2023-04-14,39.9,40.04,38.34,38.64,3073292.0
2023-04-17,38.5,38.65,37.46,38.53,2637310.0
2023-04-18,38.31,38.31,37.22,37.75,2360042.0
2023-04-19,37.33,37.34,35.91,36.84,3455591.0
2023-04-20,36.27,36.57,35.285,35.64,3373360.0
2023-04-21,35.66,35.95,35.1,35.54,2078277.0
2023-04-24,35.3,36.51,35.175,36.23,2374914.0
2023-04-25,36.0,36.0,34.155,34.54,3422312.0
2023-04-26,34.34,35.33,33.65,34.67,2911749.0
2023-04-27,34.31,34.98,33.64,34.38,2638457.0
2023-04-28,34.26,35.3,34.15,34.86,2165432.0
2023-05-01,34.29,35.29,34.13,35.19,2008783.0
2023-05-02,34.65,34.83,32.74,33.64,4147533.0
2023-05-03,33.42,34.06,31.71,32.45,4427982.0
2023-05-04,32.05,32.95,31.255,31.43,4735475.0
2023-05-05,32.99,33.39,31.4607,32.01,5962339.0
2023-05-08,32.98,34.09,32.6,32.69,5325917.0
2023-05-09,32.41,34.34,32.24,33.89,4905812.0
2023-05-10,34.14,36.25,33.86,35.47,5264341.0
2023-05-11,34.62,35.78,34.46,35.29,3197324.0
2023-05-12,35.8,36.0299,34.9,35.18,2238935.0
2023-05-15,35.39,36.58,35.1,36.33,2714114.0
2023-05-16,35.94,36.25,34.96,35.49,2804055.0
2023-05-17,36.1,37.39,35.77,37.3,3039448.0
2023-05-18,37.09,37.83,36.78,37.81,2209881.0
2023-05-19,37.71,37.85,36.52,36.97,3010577.0
2023-05-22,37.13,38.74,37.0,38.54,3027044.0
2023-05-23,38.58,39.06,37.82,38.03,2557280.0
2023-05-24,38.4,38.845,37.8,38.76,2054683.0
2023-05-25,37.92,38.68,37.425,38.52,2819922.0
2023-05-26,38.76,39.495,38.42,39.25,2297515.0
2023-05-30,38.56,39.17,38.16,38.54,1719536.0
2023-05-31,37.73,37.95,36.47,36.81,3315818.0
2023-06-01,36.99,37.02,35.46,35.68,3343784.0
2023-06-02,36.74,37.39,35.83,37.17,3639893.0
2023-06-05,37.57,37.64,36.0,36.37,2021515.0
2023-06-06,35.99,38.585,35.96,38.54,2438767.0
2023-06-07,38.73,40.975,38.23,40.87,3315877.0
2023-06-08,40.69,41.936,40.47,41.32,3572857.0
2023-06-09,41.34,41.78,40.25,41.69,2157805.0
2023-06-12,40.64,41.53,40.39,40.77,1692295.0
2023-06-13,41.5,41.78,40.05,40.1,1810799.0
2023-06-14,40.73,40.84,38.97,39.81,2160650.0
2023-06-15,39.81,40.45,39.41,40.41,1754383.0
2023-06-16,40.9,40.9,39.73,40.65,3626539.0
2023-06-20,40.48,40.49,39.03,39.45,1820186.0
2023-06-21,39.1,40.71,38.92,40.43,2632995.0
2023-06-22,39.48,40.01,38.63,40.01,2257558.0
2023-06-23,39.26,40.13,39.21,39.67,2703036.0
2023-06-26,39.72,40.39,39.08,39.88,1376069.0
2023-06-27,39.97,41.05,39.55,40.74,1481343.0
2023-06-28,40.92,42.085,40.5,41.81,2321589.0
2023-06-29,41.71,42.6,41.01,41.44,3457763.0
2023-06-30,41.3,41.33,40.42,40.94,2984498.0
2023-07-03,41.42,41.45,40.57,40.57,1423935.0
2023-07-05,40.85,41.0,40.17,40.54,2058402.0
2023-07-06,40.27,40.6,39.18,40.09,2312263.0
2023-07-07,39.9,41.89,39.9,41.47,1635090.0
2023-07-10,41.49,41.8,40.3,40.58,2055972.0
2023-07-11,40.68,41.54,40.49,41.29,1890258.0
2023-07-12,41.86,42.59,40.32,40.35,2174542.0
2023-07-13,40.26,41.378,40.26,40.71,1757735.0
2023-07-14,40.27,40.3268,39.46,39.9,2000730.0
2023-07-17,39.9,40.23,39.49,39.81,1602330.0
2023-07-18,40.05,41.33,39.965,40.8,1355825.0
2023-07-19,41.52,41.79,40.86,41.7,1723664.0
2023-07-20,42.4,42.82,41.91,42.73,1747578.0
2023-07-21,43.0,43.66,42.21,43.5,2459750.0
2023-07-24,43.91,46.24,43.71,45.46,2762393.0
2023-07-25,45.15,46.15,44.91,45.1,2070524.0
2023-07-26,44.87,46.645,44.63,46.29,2111898.0
2023-07-27,46.33,46.88,45.885,46.01,2150407.0
2023-07-28,46.35,47.44,46.08,47.29,1302530.0
2023-07-31,47.4,47.96,47.185,47.44,1644961.0
2023-08-01,47.23,48.2778,47.06,48.09,1612511.0
2023-08-02,47.95,48.59,46.81,47.41,2058742.0
2023-08-03,45.0,46.57,42.82,45.43,3751812.0
