date,open,high,low,close,volume
2023-01-11,65.69,66.8,65.11,65.21,276302.0
2023-01-12,65.23,66.11,64.92,65.77,374908.0
2023-01-13,66.85,67.185,65.84,66.62,238874.0
2023-01-17,66.44,67.45,65.65,65.84,453087.0
2023-01-18,65.9,66.21,65.62,65.83,208996.0
2023-01-19,65.48,66.915,65.25,66.48,256194.0
2023-01-20,66.6,66.77,65.865,66.72,220294.0
2023-01-23,66.82,67.13,66.24,67.05,210751.0
2023-01-24,67.03,67.03,66.07,66.22,305093.0
2023-01-25,66.31,66.31,65.29,65.41,303041.0
2023-01-26,65.48,65.91,65.03,65.62,159213.0
2023-01-27,65.67,65.94,64.855,65.69,211294.0
2023-01-30,65.59,66.13,65.41,65.49,155908.0
2023-01-31,65.5,66.2,65.18,65.76,320187.0
2023-02-01,65.67,66.99,65.58,66.19,277720.0
2023-02-02,65.35,65.71,58.61,60.35,927632.0
2023-02-03,60.02,61.46,59.5864,60.96,403907.0
2023-02-06,60.81,62.39,60.22,60.82,270504.0
2023-02-07,60.33,60.89,59.92,60.7,188263.0
2023-02-08,60.2,60.81,59.74,60.78,180019.0
2023-02-09,60.83,60.85,59.45,59.8,175861.0
2023-02-10,59.97,60.29,59.37,59.6,158622.0
2023-02-13,59.79,60.63,59.585,60.62,161310.0
2023-02-14,60.7,61.29,59.99,60.02,249948.0
2023-02-15,59.8,60.56,59.7,60.54,180360.0
2023-02-16,59.91,61.1,59.7,60.76,225120.0
2023-02-17,61.41,61.5,60.52,61.47,253586.0
2023-02-21,61.42,61.575,60.92,61.14,227097.0
2023-02-22,61.24,61.32,60.81,60.84,273391.0
2023-02-23,60.79,61.98,60.79,61.78,254170.0
2023-02-24,61.35,61.36,60.64,60.91,382966.0
2023-02-27,61.18,61.25,60.49,60.49,128430.0
2023-02-28,60.31,60.82,60.21,60.25,292837.0
2023-03-01,60.16,60.81,59.69,60.54,170953.0
2023-03-02,60.31,61.01,60.31,60.96,113873.0
2023-03-03,61.13,61.44,60.28,60.31,320237.0
2023-03-06,60.15,60.22,58.525,59.12,320368.0
2023-03-07,59.22,59.235,58.655,58.86,248190.0
2023-03-08,58.99,59.655,58.18,58.41,429313.0
2023-03-09,58.76,59.11,58.63,58.92,215242.0
2023-03-10,58.69,59.53,58.525,59.22,278527.0
2023-03-13,58.74,59.5,58.545,58.89,391277.0
2023-03-14,59.54,60.73,59.54,60.66,317624.0
2023-03-15,59.99,60.38,59.04,60.24,344896.0
2023-03-16,59.75,61.8,59.7,61.78,499403.0
2023-03-17,61.51,61.755,61.09,61.28,1052081.0
2023-03-20,61.54,62.45,61.54,61.62,279821.0
2023-03-21,62.02,62.54,60.605,61.36,388957.0
2023-03-22,61.36,62.21,60.82,60.96,236537.0
2023-03-23,61.03,61.56,60.46,60.98,250881.0
2023-03-24,61.02,62.505,60.46,62.28,194562.0
2023-03-27,62.69,63.325,61.75,62.45,416262.0
2023-03-28,62.14,62.87,62.14,62.66,208658.0
2023-03-29,62.73,62.73,61.25,61.49,213509.0
2023-03-30,61.6,62.09,61.28,62.02,164366.0
2023-03-31,62.19,62.71,61.98,62.63,249654.0
