date,open,high,low,close,volume
2023-01-11,11.88,12.1,11.8675,11.95,250642.0
2023-01-12,12.04,12.33,11.98,12.2,303476.0
2023-01-13,12.09,12.2,11.97,12.12,264276.0
2023-01-17,12.15,12.2524,12.12,12.16,392192.0
2023-01-18,12.06,12.09,11.71,11.76,311785.0
2023-01-19,11.65,11.78,11.6246,11.7,165284.0
2023-01-20,11.75,11.79,11.65,11.73,161652.0
2023-01-23,11.77,11.8416,11.7232,11.81,302014.0
2023-01-24,9.93,11.7,9.72,10.7,5107921.0
2023-01-25,10.68,10.85,10.59,10.71,987859.0
2023-01-26,10.73,10.79,10.65,10.7,527810.0
2023-01-27,10.74,10.84,10.69,10.75,613722.0
2023-01-30,10.75,10.86,10.62,10.63,611095.0
2023-01-31,10.65,10.89,10.65,10.87,390485.0
2023-02-01,10.93,11.0516,10.86,10.99,532724.0
2023-02-02,11.05,11.085,10.96,10.98,464917.0
2023-02-03,11.03,11.075,10.965,11.01,336938.0
2023-02-06,11.05,11.08,10.88,11.05,487137.0
2023-02-07,11.03,11.15,10.98,11.06,551694.0
2023-02-08,11.04,11.09,10.705,10.76,670349.0
2023-02-09,10.94,11.07,10.83,10.83,440642.0
2023-02-10,10.83,11.025,10.83,10.94,530206.0
2023-02-13,10.96,11.15,10.93,11.06,473726.0
2023-02-14,11.15,11.17,11.05,11.08,482076.0
2023-02-15,10.92,11.01,10.8499,10.96,423987.0
2023-02-16,10.79,11.04,10.7439,10.91,254033.0
2023-02-17,10.93,11.03,10.84,11.0,352543.0
2023-02-21,10.98,11.0,10.66,10.73,414812.0
2023-02-22,10.77,10.8465,10.73,10.82,273163.0
2023-02-23,10.89,10.99,10.76,10.89,273950.0
2023-02-24,10.84,10.96,10.78,10.84,178636.0
2023-02-27,10.94,11.069,10.86,10.91,292148.0
2023-02-28,10.89,10.97,10.68,10.68,478356.0
2023-03-01,10.72,10.91,10.685,10.74,312774.0
2023-03-02,10.73,10.84,10.6619,10.83,351201.0
2023-03-03,10.85,11.045,10.84,11.01,299763.0
2023-03-06,11.07,11.165,10.96,11.13,449606.0
2023-03-07,11.2,11.2,10.84,10.93,465527.0
2023-03-08,10.94,10.995,10.87,10.97,273904.0
2023-03-09,10.94,11.0,10.58,10.58,483760.0
2023-03-10,10.53,10.56,9.97,10.11,792971.0
2023-03-13,9.95,10.27,9.72,10.14,463391.0
2023-03-14,10.44,10.62,10.28,10.36,400599.0
2023-03-15,9.98,10.12,9.825,9.98,373006.0
2023-03-16,9.89,10.32,9.82,10.22,225678.0
2023-03-17,10.14,10.18,9.964,10.01,369051.0
2023-03-20,10.13,10.34,10.1,10.22,285371.0
2023-03-21,10.39,10.49,10.33,10.41,293782.0
2023-03-22,10.39,10.42,10.1,10.1,253888.0
2023-03-23,10.17,10.4299,10.14,10.23,146088.0
2023-03-24,10.17,10.39,10.11,10.38,128069.0
2023-03-27,10.5,10.58,10.415,10.56,161790.0
2023-03-28,10.56,10.61,10.52,10.61,145330.0
2023-03-29,10.67,10.6796,10.52,10.61,164014.0
2023-03-30,10.68,10.71,10.62,10.7,175495.0
2023-03-31,10.75,10.81,10.58,10.61,333271.0
2023-04-03,10.63,10.82,10.55,10.64,277107.0
2023-04-04,10.62,10.72,10.48,10.62,187990.0
2023-04-05,10.59,10.59,10.48,10.52,181629.0
2023-04-06,10.52,10.69,10.52,10.66,264916.0
2023-04-10,10.7,10.7399,10.47,10.64,231115.0
2023-04-11,10.75,10.76,10.63,10.67,372542.0
2023-04-12,10.72,10.88,10.72,10.8,296865.0
2023-04-13,10.86,11.09,10.8,11.06,242086.0
2023-04-14,11.1,11.15,10.86,10.95,331321.0
2023-04-17,10.87,11.01,10.83,10.99,264541.0
2023-04-18,11.0,11.0,10.73,10.79,245932.0
2023-04-19,10.8,10.91,10.71,10.89,155445.0
2023-04-20,10.85,10.8784,10.6615,10.73,165459.0
2023-04-21,10.75,10.76,10.6469,10.75,156663.0
2023-04-24,10.75,10.84,10.66,10.84,159914.0
2023-04-25,10.79,10.8399,10.76,10.77,134455.0
2023-04-26,10.77,10.84,10.58,10.61,271400.0
2023-04-27,10.66,10.72,10.43,10.72,435396.0
2023-04-28,10.7,10.9,10.6795,10.85,167684.0
2023-05-01,10.9,10.9699,10.8313,10.85,268979.0
2023-05-02,10.78,10.78,10.4683,10.53,285024.0
