date,open,high,low,close,volume
2023-01-11,60.65,63.67,60.65,62.67,645460.0
2023-01-12,63.25,63.82,62.43,63.52,364844.0
2023-01-13,62.9,63.83,62.53,63.09,209816.0
2023-01-17,63.0,64.81,63.0,64.19,308829.0
2023-01-18,63.97,65.25,63.46,63.65,300118.0
2023-01-19,62.92,63.55,61.87,62.59,354019.0
2023-01-20,62.93,65.39,62.3,64.76,529592.0
2023-01-23,64.79,66.02,64.48,65.58,231674.0
2023-01-24,65.67,65.93,64.11,64.16,233549.0
2023-01-25,63.68,64.43,63.35,64.26,265113.0
2023-01-26,64.75,65.86,63.845,65.85,256096.0
2023-01-27,65.84,66.46,65.335,65.97,272552.0
2023-01-30,65.64,66.31,65.11,65.96,385684.0
2023-01-31,66.42,67.58,66.27,67.42,298849.0
2023-02-01,66.97,69.61,66.85,68.96,465583.0
2023-02-02,69.7,73.79,69.52,72.55,922008.0
2023-02-03,69.76,69.765,65.84,66.29,1241494.0
2023-02-06,64.8,65.85,64.21,64.65,509214.0
2023-02-07,64.14,66.63,63.88,66.29,526245.0
2023-02-08,65.88,67.02,65.505,66.93,375284.0
2023-02-09,67.76,67.89,65.72,65.97,341614.0
2023-02-10,65.68,66.72,64.64,65.57,548494.0
2023-02-13,65.49,66.21,65.02,66.07,249359.0
2023-02-14,65.71,66.59,64.97,66.23,196772.0
2023-02-15,65.41,66.95,65.39,66.58,184596.0
2023-02-16,65.43,66.63,64.92,65.24,289298.0
2023-02-17,65.22,65.3,64.13,64.43,208384.0
2023-02-21,63.32,63.56,61.6,61.71,323517.0
2023-02-22,61.89,62.48,60.33,60.97,447327.0
2023-02-23,61.5,62.0,61.0,61.81,339762.0
2023-02-24,60.73,60.94,60.0,60.74,305090.0
2023-02-27,61.52,61.52,60.22,60.7,322118.0
2023-02-28,59.04,61.01,59.04,60.47,749399.0
2023-03-01,60.36,61.51,60.18,61.42,432477.0
2023-03-02,60.27,62.02,60.2652,61.78,275172.0
2023-03-03,62.18,63.27,61.84,62.98,304792.0
2023-03-06,63.0,63.83,61.875,62.18,404624.0
2023-03-07,62.09,62.72,60.59,60.65,300084.0
2023-03-08,60.98,61.95,60.15,61.63,308523.0
2023-03-09,61.36,62.13,59.33,59.5,435789.0
2023-03-10,59.06,59.67,57.285,57.82,620513.0
2023-03-13,56.33,58.72,54.0,57.71,861480.0
2023-03-14,59.6,60.745,57.145,57.66,568038.0
2023-03-15,56.03,57.07,55.33,56.4,502367.0
2023-03-16,55.73,59.27,55.15,57.97,512043.0
2023-03-17,57.1,57.1,55.76,56.75,870909.0
2023-03-20,57.42,58.73,56.69,56.75,465159.0
2023-03-21,57.9,59.15,57.61,57.77,468527.0
2023-03-22,57.74,58.34,55.85,55.94,346621.0
2023-03-23,56.01,57.4,55.07,55.82,394009.0
2023-03-24,55.02,57.96,54.55,57.4,471141.0
2023-03-27,57.94,58.05,57.02,57.33,314257.0
2023-03-28,57.29,57.565,56.835,56.98,358555.0
2023-03-29,57.6,58.535,56.56,58.2,304594.0
2023-03-30,58.47,59.28,57.92,58.31,302948.0
2023-03-31,58.62,59.7,58.16,59.61,344736.0
2023-04-03,59.34,60.83,59.062,60.77,333209.0
2023-04-04,60.91,60.91,59.2,60.0,286840.0
2023-04-05,59.53,60.84,59.09,60.38,249743.0
2023-04-06,60.44,60.93,59.525,59.66,345557.0
2023-04-10,59.28,60.12,59.0,59.46,584566.0
2023-04-11,59.82,62.3,59.03,61.82,365475.0
2023-04-12,62.57,62.735,61.49,61.71,255338.0
2023-04-13,61.98,63.1,61.52,63.03,253898.0
2023-04-14,63.4,63.96,62.675,63.27,470608.0
2023-04-17,62.94,63.38,61.9,62.65,436362.0
2023-04-18,62.76,63.15,62.14,62.72,278428.0
2023-04-19,62.45,63.54,62.16,63.4,217777.0
2023-04-20,63.03,63.4,62.635,63.33,181094.0
2023-04-21,63.45,64.17,63.0,63.6,341794.0
2023-04-24,63.47,64.695,63.255,63.98,453168.0
2023-04-25,63.25,64.13,63.25,63.88,340262.0
2023-04-26,63.54,64.55,63.54,64.01,421691.0
2023-04-27,64.44,65.93,64.09,65.92,463446.0
2023-04-28,61.31,65.58,59.17,62.49,650530.0
2023-05-01,62.56,62.56,60.37,60.74,499975.0
2023-05-02,60.51,60.51,58.37,59.85,563323.0
2023-05-03,59.98,60.11,58.925,59.02,564158.0
2023-05-04,58.38,58.67,57.11,57.2,439671.0
2023-05-05,57.93,58.78,57.76,58.48,391120.0
2023-05-08,57.45,58.24,56.16,57.62,383643.0
2023-05-09,57.3,57.42,56.46,56.59,347608.0
2023-05-10,57.39,57.89,56.6,57.33,303509.0
2023-05-11,56.87,58.74,56.87,58.66,253915.0
2023-05-12,59.15,59.7,59.085,59.54,254816.0
2023-05-15,59.59,61.21,59.59,60.85,370608.0
2023-05-16,60.58,61.63,60.58,61.09,333385.0
2023-05-17,61.69,63.375,61.67,62.59,509060.0
2023-05-18,62.27,64.7,62.27,64.68,597673.0
2023-05-19,64.98,65.11,62.34,63.23,376573.0
2023-05-22,63.22,63.64,61.97,61.99,290053.0
2023-05-23,61.25,63.0,61.21,61.27,277063.0
2023-05-24,60.87,61.155,59.74,60.64,230758.0
2023-05-25,60.57,60.69,58.67,58.94,336778.0
