date,open,high,low,close,volume
2023-01-11,36.06,36.1,35.61,35.87,45458
2023-01-12,36.08,37.06,35.69,36.43,40029
2023-01-13,36.03,36.62,35.86,36.47,32934
2023-01-17,36.56,36.775,36.16,36.29,68952
2023-01-18,36.2,36.2,35.25,35.32,43754
2023-01-19,35.12,35.53,35.025,35.43,54883
2023-01-20,35.69,35.93,35.41,35.85,64256
2023-01-23,35.77,35.78,35.49,35.53,44342
2023-01-24,35.37,35.605,35.2379,35.3,32252
2023-01-25,35.03,35.485,34.76,35.31,49837
2023-01-26,35.37,35.75,35.045,35.42,47496
2023-01-27,35.38,36.15,35.14,35.68,47204
2023-01-30,35.85,37.0,35.83,36.48,75894
2023-01-31,36.62,37.09,36.35,37.09,91612
2023-02-01,37.0,37.28,36.65,36.86,62923
2023-02-02,37.0,37.75,36.73,37.69,59324
2023-02-03,37.53,38.89,37.29,38.76,100928
2023-02-06,38.6,38.77,37.945,38.31,44032
2023-02-07,38.24,38.99,37.83,38.87,46227
2023-02-08,38.54,38.74,37.98,38.57,49919
2023-02-09,38.58,38.885,37.85,37.93,42603
2023-02-10,37.9,38.34,37.52,38.11,63338
2023-02-13,38.11,38.69,38.11,38.55,46218
2023-02-14,38.56,38.56,37.56,37.98,42311
2023-02-15,37.87,38.63,37.62,38.57,36323
2023-02-16,38.19,38.55,38.03,38.13,37107
2023-02-17,38.33,38.69,38.02,38.46,56265
2023-02-21,38.26,38.27,37.69,37.69,34422
2023-02-22,37.72,37.93,37.4,37.66,54371
2023-02-23,37.79,38.12,37.56,37.79,27778
2023-02-24,37.5,37.9,37.19,37.51,43001
2023-02-27,37.67,37.91,37.14,37.33,31613
2023-02-28,37.34,38.54,37.12,37.15,101188
2023-03-01,37.09,37.74,37.01,37.63,56068
2023-03-02,37.38,37.76,37.155,37.72,47647
2023-03-03,37.85,38.23,37.58,37.93,41924
2023-03-06,37.98,38.26,37.54,37.82,78340
2023-03-07,37.77,37.91,36.29,36.78,75058
2023-03-08,36.87,37.12,36.54,36.77,55812
2023-03-09,36.57,36.99,34.46,34.56,62153
2023-03-10,33.89,34.47,32.51,33.28,74364
2023-03-13,31.72,32.83,30.15,31.38,124781
2023-03-14,34.53,35.08,32.32,32.62,102370
2023-03-15,31.15,33.04,30.4246,32.66,105945
2023-03-16,32.23,34.76,31.39,33.49,123428
2023-03-17,33.27,33.27,30.78,31.03,155527
2023-03-20,31.48,31.87,30.75,30.96,91382
2023-03-21,31.85,32.87,31.83,32.28,103334
2023-03-22,32.29,32.29,30.1,30.29,88963
2023-03-23,30.54,31.38,29.04,29.19,85844
2023-03-24,28.66,30.56,28.34,30.43,130124
2023-03-27,30.95,30.95,30.29,30.36,111729
2023-03-28,29.99,30.6499,29.845,29.91,122295
2023-03-29,30.21,30.4899,29.79,30.31,118187
2023-03-30,30.49,30.49,29.05,29.26,49422
2023-03-31,29.43,29.89,29.21,29.62,107027
2023-04-03,29.85,30.235,29.6,29.97,103103
2023-04-04,30.17,30.17,28.68,28.9,55713
2023-04-05,28.72,28.76,28.47,28.62,39550
2023-04-06,28.49,28.95,28.32,28.37,45128
2023-04-10,28.34,28.87,28.05,28.12,89054
2023-04-11,28.32,28.46,27.67,27.87,78333
2023-04-12,28.03,28.15,27.57,27.73,46937
2023-04-13,27.92,28.185,27.58,28.02,34632
2023-04-14,28.35,28.37,27.35,27.59,81599
2023-04-17,27.59,28.08,27.42,28.08,42293
2023-04-18,28.06,29.205,27.12,27.36,51056
2023-04-19,27.53,28.4,27.34,28.2,55166
2023-04-20,27.92,28.23,27.73,28.02,41028
2023-04-21,27.93,27.93,27.285,27.41,42793
2023-04-24,27.33,27.76,27.03,27.21,53688
2023-04-25,27.06,27.29,25.95,26.09,51461
2023-04-26,26.3,26.6838,25.42,26.61,85430
2023-04-27,26.7,27.0,25.98,26.05,103920
2023-04-28,25.84,26.72,25.84,26.56,81089
2023-05-01,26.53,26.85,26.29,26.79,72498
2023-05-02,26.59,26.59,24.21,24.6,102906
2023-05-03,24.67,25.805,24.53,24.63,134184
2023-05-04,24.06,24.6,22.88,23.93,94915
2023-05-05,24.47,25.29,24.38,25.21,96587
2023-05-08,25.53,25.599,24.59,24.59,70452
2023-05-09,24.37,24.66,24.2201,24.43,62354
2023-05-10,24.86,24.98,24.32,24.9,77758
2023-05-11,24.51,24.95,24.43,24.54,80426
2023-05-12,24.69,24.69,24.22,24.54,58583
2023-05-15,24.57,25.38,24.57,24.94,80489
2023-05-16,25.1,25.38,24.93,24.96,61782
2023-05-17,25.35,27.11,25.35,27.11,95739
2023-05-18,26.99,27.9,26.5,27.77,103357
2023-05-19,28.11,28.5099,27.22,27.5,100463
2023-05-22,27.77,28.125,27.3,27.97,75959
2023-05-23,27.89,29.265,27.61,28.65,129345
2023-05-24,28.37,28.655,27.3,27.31,81165
2023-05-25,27.14,27.58,26.97,27.24,44086
2023-05-26,27.08,27.45,26.8101,27.43,31271
2023-05-30,27.4,27.4,26.75,27.03,33737
2023-05-31,26.89,26.89,25.81,26.39,82514
2023-06-01,26.42,27.01,26.025,26.72,46393
2023-06-02,27.05,28.99,27.05,28.18,73537
2023-06-05,28.19,28.23,27.05,27.28,65572
2023-06-06,27.18,29.4,26.92,29.06,64036
2023-06-07,29.39,30.38,29.1,30.05,81799
2023-06-08,29.97,29.97,29.18,29.7,67062
2023-06-09,29.61,29.9529,29.06,29.3,36454
2023-06-12,29.33,29.83,28.66,29.01,49009
2023-06-13,29.0,30.14,28.86,30.14,52418
2023-06-14,30.02,30.7,29.52,29.72,76719
2023-06-15,29.51,30.235,28.145,30.07,60672
2023-06-16,30.42,30.42,29.38,29.41,73189
2023-06-20,29.4,30.045,28.75,28.83,64176
2023-06-21,28.67,28.8,28.21,28.24,53875
2023-06-22,28.1,28.1,27.32,27.54,47152
2023-06-23,27.11,27.555,26.75,27.35,175963
2023-06-26,27.31,27.83,26.92,26.94,46056
2023-06-27,27.05,27.46,26.78,26.84,59355
