date,open,high,low,close,volume
2023-01-11,34.16,34.98,33.74,34.96,355723.0
2023-01-12,35.16,35.205,34.31,34.92,231752.0
2023-01-13,34.77,35.46,34.3101,35.41,320094.0
2023-01-17,34.94,35.48,34.14,35.0,375591.0
2023-01-18,35.49,36.4399,35.1,35.7,690386.0
2023-01-19,35.4,35.56,34.23,34.39,295137.0
2023-01-20,34.9,35.375,34.65,35.25,401429.0
2023-01-23,35.32,35.56,34.33,35.53,414210.0
2023-01-24,35.37,35.7797,34.48,34.59,183543.0
2023-01-25,34.32,35.01,33.76,34.95,282987.0
2023-01-26,35.74,36.03,34.72,35.79,429708.0
2023-01-27,35.4,37.21,35.17,36.29,878182.0
2023-01-30,35.79,36.56,35.0,36.19,512832.0
2023-01-31,36.38,38.13,36.38,37.49,593757.0
2023-02-01,37.41,37.525,35.27,37.22,559958.0
2023-02-02,38.96,40.0,38.32,39.48,942068.0
2023-02-03,38.64,39.61,37.8,37.87,320924.0
2023-02-06,37.4,38.22,36.71,37.2,361742.0
2023-02-07,37.18,38.79,36.64,38.77,341724.0
2023-02-08,38.59,39.32,37.58,38.0,669456.0
2023-02-09,38.77,39.16,37.84,38.02,438435.0
2023-02-10,37.68,38.01,36.64,37.89,378702.0
2023-02-13,38.2,38.3,37.67,37.96,313735.0
2023-02-14,37.43,38.55,37.43,38.23,247905.0
2023-02-15,38.16,39.59,38.09,39.32,389427.0
2023-02-16,38.24,38.76,37.22,38.32,349198.0
2023-02-17,38.27,38.41,36.59,36.77,332059.0
2023-02-21,35.74,36.265,34.82,35.29,531478.0
2023-02-22,35.37,36.355,35.06,35.69,372941.0
2023-02-23,35.86,36.44,34.77,36.42,296601.0
2023-02-24,35.43,36.06,34.83,35.25,258063.0
2023-02-27,35.82,36.145,35.315,36.1,207955.0
2023-02-28,35.98,36.9055,35.98,36.8,249655.0
2023-03-01,37.0,37.16,36.19,36.69,243308.0
2023-03-02,36.18,36.995,35.86,36.62,176963.0
2023-03-03,36.88,38.555,36.68,38.11,261368.0
2023-03-06,37.78,38.64,37.34,37.61,267222.0
2023-03-07,37.71,38.86,37.0,37.06,313252.0
2023-03-08,37.07,37.07,35.815,36.06,242087.0
2023-03-09,36.28,36.83,34.72,34.75,214677.0
2023-03-10,34.51,34.55,31.41,32.28,619927.0
2023-03-13,31.66,34.06,31.32,33.43,459489.0
2023-03-14,34.66,35.155,34.2,34.78,373572.0
2023-03-15,33.92,34.36,33.47,33.84,362141.0
2023-03-16,33.55,35.22,33.355,34.81,339499.0
2023-03-17,34.94,35.305,33.59,33.65,458701.0
2023-03-20,33.55,34.4,33.05,34.05,420440.0
2023-03-21,34.46,36.13,34.46,35.83,476961.0
2023-03-22,35.9,36.07,33.58,33.59,745791.0
2023-03-23,33.0,33.64,30.265,30.99,1318643.0
2023-03-24,30.67,32.26,30.665,31.5,817097.0
2023-03-27,32.03,32.59,31.42,32.23,430656.0
