date,open,high,low,close,volume
2023-01-11,38.08,38.35,37.83,38.35,37392
2023-01-12,38.56,39.2,38.51,38.71,60488
2023-01-13,38.35,38.945,38.35,38.81,33500
2023-01-17,39.06,39.06,38.47,38.77,38911
2023-01-18,38.91,39.11,38.3846,38.71,58601
2023-01-19,38.33,38.7,38.16,38.55,52350
2023-01-20,38.84,39.195,38.27,38.92,75457
2023-01-23,38.9,39.33,38.65,38.86,55539
2023-01-24,38.73,40.0,38.73,39.34,45603
2023-01-25,39.05,39.41,38.81,39.34,23901
2023-01-26,39.45,39.54,38.82,39.54,39310
2023-01-27,39.42,40.14,39.21,39.87,34039
2023-01-30,39.51,39.9748,39.2,39.27,39816
2023-01-31,39.35,40.49,39.35,40.41,67986
2023-02-01,40.13,41.4,39.92,40.8,64937
2023-02-02,40.84,41.07,40.1201,40.88,55314
2023-02-03,40.55,41.3,40.497,41.22,52512
2023-02-06,41.13,41.13,40.46,40.89,41233
2023-02-07,40.55,40.89,40.1702,40.69,48475
2023-02-08,40.41,40.8873,40.195,40.31,38955
2023-02-09,40.65,40.65,39.43,39.5,51439
2023-02-10,39.3,39.58,39.15,39.42,42447
2023-02-13,39.53,40.12,39.42,39.79,31106
2023-02-14,39.69,39.7999,38.64,39.16,39052
2023-02-15,38.82,39.83,38.6244,39.82,40278
2023-02-16,39.38,40.23,39.335,40.05,59494
2023-02-17,40.38,40.76,39.65,39.9,123724
2023-02-21,39.47,40.33,39.17,39.5,160464
2023-02-22,39.6,40.32,38.1,38.14,86220
2023-02-23,38.43,38.52,37.76,37.89,68276
2023-02-24,37.6,38.13,37.35,38.03,85605
2023-02-27,38.47,38.59,37.46,37.54,92741
2023-02-28,37.65,37.885,37.27,37.29,87633
2023-03-01,37.36,37.5775,37.08,37.36,79368
2023-03-02,37.11,37.42,36.96,37.12,65323
2023-03-03,37.42,37.76,37.01,37.55,98519
2023-03-06,37.63,37.63,36.2434,36.8,184519
2023-03-07,36.93,37.285,36.57,36.65,56749
2023-03-08,36.68,36.68,34.86,35.27,80185
2023-03-09,35.36,35.914,34.64,34.93,151098
2023-03-10,35.0,35.0,32.68,33.07,116199
2023-03-13,32.49,33.1,32.1,32.21,85648
2023-03-14,33.03,33.19,31.88,32.32,81497
2023-03-15,31.6,32.01,31.1933,31.95,98373
2023-03-16,31.5,32.31,31.2782,31.82,93884
2023-03-17,31.59,31.62,30.31,30.62,236037
2023-03-20,30.9,31.42,30.76,30.98,113104
2023-03-21,31.63,32.1,31.39,31.89,153441
2023-03-22,31.98,32.27,31.35,31.35,74863
2023-03-23,31.45,31.91,31.06,31.06,56410
2023-03-24,30.8,31.6,30.4188,31.46,125849
2023-03-27,31.89,32.04,31.5,31.69,101386
2023-03-28,31.63,31.95,31.17,31.46,93903
2023-03-29,31.82,31.82,31.28,31.4,107432
2023-03-30,31.74,31.89,31.19,31.37,91764
2023-03-31,31.56,32.015,31.54,31.89,121715
2023-04-03,31.91,32.14,31.42,31.76,100833
2023-04-04,31.97,32.14,31.26,31.48,87207
2023-04-05,31.25,31.25,29.54,30.26,93239
2023-04-06,30.37,30.37,29.92,30.0,62011
2023-04-10,29.89,30.62,29.78,30.31,73901
2023-04-11,30.55,30.695,29.98,30.09,99501
2023-04-12,30.37,30.37,29.65,29.78,49695
2023-04-13,29.77,30.24,29.56,30.08,97160
2023-04-14,30.15,30.35,29.64,29.71,77378
2023-04-17,29.85,30.05,29.4844,29.83,86831
2023-04-18,29.56,29.7,27.9,29.09,273363
2023-04-19,29.0,29.24,28.82,28.97,157252
2023-04-20,28.85,30.01,28.85,29.89,153157
2023-04-21,29.88,30.06,29.385,29.69,169321
2023-04-24,29.69,30.25,29.69,30.09,142638
2023-04-25,29.87,30.282,29.825,29.9,98878
2023-04-26,29.69,29.75,29.08,29.16,87513
2023-04-27,29.2,29.565,28.94,29.49,134221
2023-04-28,29.36,29.8,29.23,29.31,133910
2023-05-01,29.49,30.15,29.2,29.6,150560
2023-05-02,28.49,28.49,27.09,27.12,266029
2023-05-03,27.15,27.28,26.0717,26.36,273548
2023-05-04,26.15,26.72,25.49,26.66,271020
2023-05-05,27.05,27.86,26.98,27.73,131594
2023-05-08,27.85,27.99,26.85,27.33,73893
2023-05-09,27.12,27.46,26.985,27.14,79057
2023-05-10,27.66,27.66,26.78,27.0,89056
2023-05-11,27.31,27.925,27.22,27.86,107973
2023-05-12,27.89,28.16,27.508,28.12,75228
2023-05-15,28.23,28.23,27.5794,27.89,83545
