date,open,high,low,close,volume
2023-01-11,19.86,20.48,19.81,20.46,97163.0
2023-01-12,20.48,20.96,20.055,20.88,130749.0
2023-01-13,20.63,21.07,20.63,20.9,55644.0
2023-01-17,20.86,21.125,20.83,20.97,71799.0
2023-01-18,21.12,21.34,20.91,20.99,113781.0
2023-01-19,20.97,21.27,20.91,20.95,113035.0
2023-01-20,21.06,21.06,20.565,20.8,132882.0
2023-01-23,20.69,21.125,20.6501,20.95,145762.0
2023-01-24,20.77,21.26,20.7,21.16,107187.0
2023-01-25,21.15,21.21,20.89,21.1,62246.0
2023-01-26,21.26,21.7,21.25,21.7,148565.0
2023-01-27,21.6,21.69,21.37,21.55,82659.0
2023-01-30,21.4,21.78,21.32,21.65,200919.0
2023-01-31,21.75,22.5,21.65,22.38,301416.0
2023-02-01,22.18,22.42,21.56,22.15,374053.0
2023-02-02,22.28,23.2,22.28,22.78,214996.0
2023-02-03,22.53,22.86,22.38,22.74,205198.0
2023-02-06,22.55,22.55,21.7548,22.17,107772.0
2023-02-07,22.0,22.29,21.86,21.99,103743.0
2023-02-08,21.78,22.07,21.78,22.03,66490.0
2023-02-09,22.15,22.25,21.5,21.58,78402.0
2023-02-10,21.61,21.84,21.46,21.72,117659.0
2023-02-13,21.69,22.035,21.69,21.91,92133.0
2023-02-14,21.73,21.855,21.32,21.48,107869.0
2023-02-15,21.35,21.72,21.28,21.69,55871.0
2023-02-16,21.32,21.55,21.05,21.39,170313.0
2023-02-17,21.53,22.08,21.38,22.04,167926.0
2023-02-21,21.71,21.84,20.92,21.04,128757.0
2023-02-22,21.11,21.485,20.85,20.88,126239.0
2023-02-23,21.11,21.91,20.9766,21.88,127143.0
2023-02-24,21.59,21.7168,21.21,21.39,141529.0
2023-02-27,21.57,21.695,21.27,21.42,128245.0
2023-02-28,21.67,22.05,21.35,21.63,393740.0
2023-03-01,21.35,21.73,21.02,21.72,244673.0
2023-03-02,21.56,22.32,21.34,22.3,155830.0
2023-03-03,22.39,22.54,22.17,22.2,157211.0
2023-03-06,22.25,22.62,22.14,22.32,164230.0
2023-03-07,22.28,22.33,21.585,21.71,121392.0
2023-03-08,21.79,21.92,21.64,21.7,76978.0
2023-03-09,21.7,21.774,21.41,21.47,98354.0
2023-03-10,21.34,21.34,20.01,20.37,157722.0
2023-03-13,19.99,20.93,19.99,20.54,154907.0
2023-03-14,21.07,21.26,20.43,20.78,184976.0
2023-03-15,20.34,21.01,20.32,20.99,196059.0
2023-03-16,20.67,21.07,20.39,20.89,186898.0
2023-03-17,20.76,20.83,20.34,20.53,231260.0
2023-03-20,20.68,20.79,20.43,20.72,119289.0
2023-03-21,21.04,21.04,20.35,20.54,171601.0
2023-03-22,20.43,20.43,19.57,19.58,182054.0
2023-03-23,19.67,19.99,19.29,19.4,189293.0
2023-03-24,19.22,19.86,19.21,19.86,369682.0
2023-03-27,20.08,20.15,19.84,19.85,148369.0
2023-03-28,19.72,19.91,19.6165,19.85,169685.0
2023-03-29,19.95,20.3886,19.92,20.35,107938.0
2023-03-30,20.25,20.59,20.25,20.47,117010.0
2023-03-31,20.64,21.01,20.61,21.01,328607.0
2023-04-03,21.04,21.28,20.89,21.15,204397.0
2023-04-04,21.07,21.19,20.635,20.85,414503.0
2023-04-05,20.7,20.876,20.605,20.7,112074.0
2023-04-06,20.82,21.09,20.59,20.86,223295.0
2023-04-10,20.68,20.945,20.44,20.91,125520.0
2023-04-11,20.91,20.92,20.53,20.61,171821.0
2023-04-12,20.76,20.82,20.575,20.62,130481.0
2023-04-13,20.49,20.55,19.81,19.9,180698.0
2023-04-14,19.91,20.03,19.29,19.63,205033.0
2023-04-17,19.65,20.1599,19.6014,20.09,123573.0
2023-04-18,20.02,20.29,19.76,19.77,159077.0
2023-04-19,19.7,20.29,19.68,20.27,225553.0
2023-04-20,20.26,20.53,20.08,20.5,118386.0
2023-04-21,20.54,20.77,20.31,20.67,92696.0
2023-04-24,20.7,20.73,20.22,20.3,74074.0
2023-04-25,20.13,20.22,19.68,19.73,98166.0
2023-04-26,19.55,19.77,19.42,19.48,106127.0
2023-04-27,19.51,19.92,19.485,19.89,116216.0
2023-04-28,19.95,20.48,19.95,20.24,213895.0
2023-05-01,20.24,20.435,19.8,20.11,172631.0
2023-05-02,20.13,20.18,19.64,19.75,168143.0
2023-05-03,19.68,20.53,19.68,20.03,191654.0
2023-05-04,19.71,20.725,19.71,20.69,151022.0
2023-05-05,20.97,21.25,20.79,21.09,148127.0
2023-05-08,21.12,21.31,20.91,21.15,131848.0
2023-05-09,21.09,21.34,20.65,21.21,107660.0
2023-05-10,21.44,21.67,20.96,21.56,172610.0
2023-05-11,21.32,21.32,20.87,21.16,132251.0
2023-05-12,21.25,21.3,20.773,21.0,146499.0
2023-05-15,21.08,21.1,20.72,20.88,153471.0
2023-05-16,20.8,20.8,20.2,20.25,243211.0
2023-05-17,20.4,20.72,20.14,20.63,129993.0
2023-05-18,21.12,21.5,20.95,21.45,324394.0
2023-05-19,21.73,21.765,21.33,21.6,302859.0
2023-05-22,21.69,22.2,21.39,21.75,218571.0
2023-05-23,21.68,22.3,21.52,21.94,379840.0
2023-05-24,21.81,21.81,21.55,21.68,146088.0
2023-05-25,21.57,21.69,21.23,21.31,109671.0
2023-05-26,21.28,21.91,21.0825,21.91,146379.0
2023-05-30,22.08,22.24,21.82,21.97,178553.0
