date,open,high,low,close,volume
2023-01-11,13.66,13.85,13.63,13.79,739588.0
2023-01-12,13.94,14.025,13.77,13.92,723417.0
2023-01-13,13.8,14.43,13.79,14.42,542738.0
2023-01-17,14.5,14.705,14.43,14.55,721184.0
2023-01-18,14.58,14.79,14.47,14.6,465583.0
2023-01-19,14.34,14.57,14.275,14.55,431793.0
2023-01-20,14.66,14.83,14.44,14.83,667646.0
2023-01-23,14.86,14.965,14.78,14.86,501085.0
2023-01-24,14.95,14.95,14.52,14.77,350192.0
2023-01-25,14.69,14.85,14.57,14.74,397274.0
2023-01-26,14.86,15.12,14.785,15.11,517419.0
2023-01-27,15.18,15.25,14.985,15.12,1254781.0
2023-01-30,14.95,15.0598,14.8184,14.99,833673.0
2023-01-31,15.0,15.25,14.98,15.25,1304259.0
2023-02-01,15.19,15.57,15.1,15.4,850223.0
2023-02-02,15.5,15.55,15.38,15.48,734473.0
2023-02-03,15.23,15.23,14.14,14.93,2345440.0
2023-02-06,14.5,14.695,14.195,14.23,1062871.0
2023-02-07,13.98,14.37,13.89,14.37,1399184.0
2023-02-08,14.38,14.51,14.12,14.42,726403.0
2023-02-09,14.88,15.04,14.454,14.52,954680.0
2023-02-10,14.49,14.605,14.38,14.45,433887.0
2023-02-13,14.47,14.6061,14.44,14.55,392212.0
2023-02-14,14.45,14.555,14.13,14.22,453663.0
2023-02-15,14.13,14.27,14.03,14.26,285515.0
2023-02-16,14.06,14.34,14.06,14.25,401270.0
2023-02-17,13.91,14.13,13.84,14.09,715947.0
2023-02-21,13.88,13.8999,13.43,13.46,721262.0
2023-02-22,13.49,13.7299,13.49,13.53,578503.0
2023-02-23,13.56,13.67,13.36,13.43,533033.0
2023-02-24,13.22,13.33,13.115,13.15,664717.0
2023-02-27,13.22,13.33,13.09,13.16,615820.0
2023-02-28,13.12,13.23,13.015,13.03,575481.0
2023-03-01,13.0,13.12,12.905,12.99,537324.0
2023-03-02,12.85,13.01,12.76,13.01,741259.0
2023-03-03,13.1,13.18,13.0,13.13,633936.0
2023-03-06,13.2,13.295,12.99,13.13,617661.0
2023-03-07,13.15,13.235,12.82,12.83,704837.0
2023-03-08,12.95,12.98,12.78,12.95,690000.0
2023-03-09,12.95,12.99,12.48,12.5,647627.0
2023-03-10,12.43,12.52,11.99,12.08,1111526.0
2023-03-13,11.84,12.22,11.675,11.92,1428765.0
2023-03-14,12.25,12.62,12.15,12.24,1041348.0
2023-03-15,11.93,12.16,11.72,11.95,1013741.0
2023-03-16,11.86,12.1,11.645,11.99,854720.0
2023-03-17,11.9,11.9,11.35,11.36,2746445.0
2023-03-20,11.41,11.755,11.41,11.54,987534.0
2023-03-21,11.8,11.95,11.67,11.67,760321.0
2023-03-22,11.7,11.72,11.34,11.34,802978.0
2023-03-23,11.44,11.61,11.08,11.12,843027.0
2023-03-24,11.01,11.61,10.99,11.57,688743.0
2023-03-27,11.65,11.77,11.61,11.68,740688.0
2023-03-28,11.67,11.77,11.59,11.68,519457.0
2023-03-29,11.91,12.0,11.82,11.98,680716.0
2023-03-30,12.09,12.13,11.87,12.01,679424.0
2023-03-31,12.1,12.34,12.04,12.33,741195.0
2023-04-03,12.3,12.42,12.08,12.2,750600.0
2023-04-04,12.25,12.26,12.07,12.18,560950.0
2023-04-05,12.06,12.355,12.06,12.24,917768.0
2023-04-06,12.29,12.52,12.23,12.27,862550.0
2023-04-10,12.27,12.37,11.9501,12.34,1642561.0
2023-04-11,12.34,12.55,12.26,12.52,1123818.0
2023-04-12,12.6,12.63,12.335,12.4,1031075.0
2023-04-13,11.94,12.0392,11.83,11.96,1036314.0
2023-04-14,12.06,12.11,11.725,11.85,751228.0
2023-04-17,11.86,12.205,11.815,12.07,867592.0
2023-04-18,12.08,12.11,11.815,11.87,565104.0
2023-04-19,11.8,12.1,11.79,12.05,756170.0
2023-04-20,11.91,12.0,11.8999,11.98,550433.0
2023-04-21,11.94,12.0,11.81,11.95,586807.0
2023-04-24,11.89,12.005,11.642,11.98,610921.0
2023-04-25,11.95,11.95,11.66,11.67,598645.0
2023-04-26,11.69,11.88,11.53,11.58,970995.0
2023-04-27,11.69,11.85,11.61,11.76,686107.0
2023-04-28,12.23,12.615,12.2,12.43,1949890.0
2023-05-01,12.37,12.55,12.18,12.31,1650505.0
2023-05-02,12.26,12.35,11.53,11.78,1030208.0
2023-05-03,11.8,11.915,11.705,11.73,1152239.0
2023-05-04,11.61,11.775,11.5,11.67,1317861.0
2023-05-05,11.72,11.97,11.63,11.75,741405.0
2023-05-08,11.78,11.83,11.56,11.63,763812.0
2023-05-09,11.56,11.58,11.4,11.4,783834.0
2023-05-10,11.57,11.675,11.42,11.57,850651.0
2023-05-11,11.46,11.74,11.455,11.74,877548.0
2023-05-12,11.71,11.805,11.655,11.7,700473.0
2023-05-15,11.75,11.79,11.59,11.61,471817.0
2023-05-16,11.54,11.62,11.43,11.47,422735.0
2023-05-17,11.56,11.84,11.5099,11.79,568390.0
2023-05-18,11.72,11.95,11.68,11.92,596876.0
2023-05-19,11.99,12.03,11.77,11.83,1022220.0
2023-05-22,11.88,11.88,11.7,11.74,677177.0
2023-05-23,11.74,12.07,11.725,11.74,745934.0
2023-05-24,11.74,11.74,11.49,11.57,550744.0
2023-05-25,11.47,11.5,10.97,11.1,1004431.0
2023-05-26,11.06,11.49,11.03,11.44,627966.0
2023-05-30,11.55,11.6,11.52,11.52,14711.0
2023-05-31,11.69,11.75,11.545,11.64,601220.0
2023-06-01,11.69,11.97,11.65,11.95,677869.0
2023-06-02,12.1,12.505,12.03,12.44,761418.0
2023-06-05,12.34,12.38,12.14,12.23,797995.0
2023-06-06,12.24,12.63,12.2,12.49,608613.0
2023-06-07,12.56,12.77,12.55,12.67,580052.0
2023-06-08,12.66,12.875,12.59,12.82,621523.0
2023-06-09,12.83,12.83,12.62,12.69,484826.0
2023-06-12,12.69,12.935,12.65,12.88,511361.0
2023-06-13,12.91,13.095,12.88,13.05,572275.0
2023-06-14,13.07,13.1899,12.96,13.13,758883.0
2023-06-15,13.05,13.3575,13.0254,13.34,712238.0
2023-06-16,13.4,13.43,13.09,13.29,2106513.0
2023-06-20,13.24,13.27,13.11,13.17,533676.0
2023-06-21,13.15,13.34,13.07,13.32,525631.0
2023-06-22,13.28,13.28,13.055,13.23,565201.0
2023-06-23,13.07,13.08,12.73,12.78,1447452.0
2023-06-26,12.81,13.085,12.75,12.94,410642.0
2023-06-27,12.96,13.365,12.93,13.34,439442.0
2023-06-28,13.27,13.55,13.21,13.54,577054.0
2023-06-29,13.53,13.575,13.4,13.49,498608.0
2023-06-30,13.58,13.58,13.45,13.48,460220.0
2023-07-03,13.49,13.58,13.4,13.49,268257.0
2023-07-05,13.45,13.535,13.33,13.35,619320.0
2023-07-06,13.24,13.24,12.88,13.11,685821.0
2023-07-07,13.1,13.45,13.08,13.29,636158.0
2023-07-10,13.38,13.701,13.32,13.67,848875.0
2023-07-11,13.74,13.92,13.69,13.86,744638.0
2023-07-12,14.09,14.13,13.92,13.93,936561.0
2023-07-13,13.4,13.735,13.39,13.63,1020308.0
2023-07-14,13.7,13.7,13.465,13.53,580481.0
2023-07-17,13.54,13.7,13.51,13.69,625087.0
2023-07-18,13.65,13.825,13.65,13.77,633912.0
2023-07-19,13.85,14.12,13.82,14.09,766393.0
2023-07-20,14.08,14.11,13.971,14.05,483402.0
2023-07-21,14.1,14.24,13.96,13.99,781129.0
2023-07-24,14.0,14.205,13.9,14.14,416127.0
2023-07-25,14.14,14.28,14.11,14.17,472832.0
2023-07-26,14.21,14.465,14.2,14.39,435699.0
2023-07-27,14.44,14.59,14.135,14.19,707327.0
2023-07-28,14.22,14.22,12.68,12.93,2178020.0
2023-07-31,12.94,13.06,12.6,12.78,1544792.0
2023-08-01,12.72,12.865,12.65,12.73,694495.0
2023-08-02,12.74,12.76,12.55,12.63,622308.0
2023-08-03,12.55,12.6,12.263,12.32,601190.0
2023-08-04,12.34,12.645,12.3,12.6,652708.0
2023-08-07,12.65,13.0,12.625,13.0,751608.0
2023-08-08,12.91,13.205,12.79,13.18,777119.0
2023-08-09,13.15,13.245,13.09,13.16,537005.0
2023-08-10,13.19,13.3,12.945,13.01,423074.0
2023-08-11,13.0,13.0,12.86,12.89,307386.0
2023-08-14,12.89,12.89,12.72,12.75,489730.0
2023-08-15,12.72,12.745,12.58,12.61,438548.0
2023-08-16,12.57,12.71,12.515,12.57,437633.0
2023-08-17,12.56,12.7,12.54,12.55,675913.0
2023-08-18,12.46,12.68,12.4,12.62,460473.0
2023-08-21,12.62,12.65,12.46,12.61,389810.0
2023-08-22,12.72,12.775,12.5899,12.63,452178.0
2023-08-23,12.67,12.9,12.66,12.89,404872.0
2023-08-24,12.8,13.08,12.8,12.91,421075.0
2023-08-25,12.98,13.06,12.835,12.93,380251.0
2023-08-28,12.97,13.28,12.93,13.24,671819.0
2023-08-29,13.22,13.4301,13.16,13.4,530840.0
2023-08-30,13.35,13.43,13.25,13.38,306794.0
2023-08-31,13.39,13.49,13.375,13.41,520578.0
2023-09-01,13.53,13.58,13.42,13.46,377480.0
2023-09-05,13.32,13.33,13.01,13.04,550500.0
2023-09-06,13.03,13.1,12.87,12.92,471774.0
2023-09-07,12.93,13.03,12.85,12.87,399766.0
2023-09-08,12.91,12.96,12.85,12.88,328685.0
2023-09-11,12.93,12.96,12.825,12.85,493709.0
2023-09-12,12.79,13.05,12.75,12.76,527189.0
2023-09-13,12.79,12.855,12.705,12.78,383192.0
