date,open,high,low,close,volume
2023-01-11,75.65,76.5,75.465,76.46,720186.0
2023-01-12,76.5,77.18,76.04,76.2,727110.0
2023-01-13,75.78,75.935,74.96,75.37,651484.0
2023-01-17,75.53,75.79,75.01,75.11,764561.0
2023-01-18,75.12,75.29,74.01,74.39,988184.0
2023-01-19,74.6,74.75,73.775,74.19,902256.0
2023-01-20,74.2,75.4,73.18,75.36,1078820.0
2023-01-23,75.15,75.15,73.39,73.76,1044212.0
2023-01-24,73.76,74.36,72.82,74.06,746316.0
2023-01-25,73.7,74.1275,73.4,73.75,837182.0
2023-01-26,73.51,74.07,73.15,74.02,766648.0
2023-01-27,74.1,74.43,73.65,74.07,719597.0
2023-01-30,73.89,74.62,73.72,74.01,934622.0
2023-01-31,73.5,74.57,72.73,74.55,1760312.0
2023-02-01,74.21,76.835,73.94,76.53,1761703.0
2023-02-02,76.59,78.23,76.2801,77.74,1030842.0
2023-02-03,77.46,77.46,74.69,75.88,1062112.0
2023-02-06,75.73,76.07,74.53,75.61,820061.0
2023-02-07,75.2,75.2,73.69,74.97,768622.0
2023-02-08,74.57,74.66,73.12,73.29,621086.0
2023-02-09,73.18,73.58,71.67,72.12,883375.0
2023-02-10,72.24,74.15,72.13,74.09,685051.0
2023-02-13,74.09,74.7,73.83,74.65,473589.0
2023-02-14,74.64,74.96,73.59,74.07,549038.0
2023-02-15,73.83,74.76,73.35,74.65,576898.0
2023-02-16,73.9,74.885,73.56,74.28,660734.0
2023-02-17,74.66,75.68,74.005,75.1,1303993.0
2023-02-21,74.58,74.975,74.0077,74.14,566468.0
2023-02-22,74.14,74.6,73.33,73.6,786798.0
2023-02-23,73.3,74.0,73.17,73.38,715588.0
2023-02-24,72.78,73.58,72.45,73.38,1178224.0
2023-02-27,73.64,75.12,73.267,74.11,1737430.0
2023-02-28,73.65,75.44,73.13,73.68,1462953.0
2023-03-01,73.2,73.51,72.28,73.29,1153169.0
2023-03-02,73.11,75.29,72.56,75.27,1068350.0
2023-03-03,75.57,76.47,74.4,76.42,828774.0
2023-03-06,76.13,76.585,75.66,76.08,1018423.0
2023-03-07,76.13,76.39,74.55,75.7,1694161.0
2023-03-08,75.9,77.41,75.48,77.06,1310938.0
2023-03-09,77.31,78.05,75.61,75.66,1137997.0
2023-03-10,75.81,76.12,73.55,74.01,707415.0
2023-03-13,73.91,76.925,73.53,75.45,862252.0
2023-03-14,77.07,78.54,76.775,77.89,1683878.0
2023-03-15,77.86,79.07,77.1275,78.21,1243540.0
2023-03-16,77.84,78.98,77.33,78.68,959843.0
2023-03-17,78.31,78.5308,76.85,77.64,2373083.0
2023-03-20,77.87,80.05,77.51,79.62,1114823.0
2023-03-21,79.67,79.7,76.515,77.4,1256763.0
2023-03-22,77.1,77.34,75.33,75.34,1055867.0
2023-03-23,74.99,76.35,73.82,74.1,940620.0
2023-03-24,74.13,77.23,74.02,77.22,969391.0
2023-03-27,77.4,78.11,77.15,77.28,644942.0
2023-03-28,77.17,78.35,76.78,77.57,705124.0
2023-03-29,78.06,78.77,77.81,78.45,555596.0
2023-03-30,78.8,79.23,78.57,79.09,531721.0
2023-03-31,79.17,79.69,78.47,79.24,796484.0
2023-04-03,78.74,79.08,77.94,78.47,759464.0
2023-04-04,78.58,78.84,77.84,78.68,851108.0
2023-04-05,78.87,80.67,78.755,80.63,965258.0
2023-04-06,81.0,81.63,79.93,80.29,1197185.0
2023-04-10,79.91,80.465,79.59,80.42,793946.0
2023-04-11,80.59,80.99,79.88,80.05,1012117.0
2023-04-12,80.2,80.62,79.54,79.83,922193.0
2023-04-13,79.33,80.18,78.12,79.69,853770.0
2023-04-14,78.81,79.08,78.19,78.48,587296.0
2023-04-17,78.83,79.32,78.4,79.31,407791.0
2023-04-18,79.22,79.565,78.41,79.01,912431.0
2023-04-19,79.21,79.99,78.86,79.98,534217.0
2023-04-20,80.15,80.33,79.45,80.21,568647.0
2023-04-21,80.85,80.85,79.76,80.59,512490.0
2023-04-24,80.59,80.97,80.08,80.92,816187.0
2023-04-25,80.94,81.29,80.64,80.94,367498.0
2023-04-26,80.37,80.835,78.915,78.99,620946.0
2023-04-27,79.06,79.7,78.7,79.63,587051.0
2023-04-28,78.65,79.08,78.23,78.46,484598.0
2023-05-01,78.46,79.67,78.22,78.92,804258.0
2023-05-02,79.0,79.0,77.19,78.44,719260.0
2023-05-03,78.92,79.545,78.27,78.42,607665.0
2023-05-04,78.76,80.45,76.76,79.69,1012254.0
2023-05-05,78.95,80.27,78.54,80.12,495621.0
2023-05-08,80.06,80.89,79.7,79.82,692526.0
2023-05-09,79.55,80.22,79.23,79.85,492214.0
2023-05-10,80.55,80.9,79.6,80.66,423292.0
2023-05-11,80.78,80.98,79.93,80.56,700880.0
2023-05-12,81.0,81.46,80.31,80.81,510993.0
2023-05-15,81.04,81.04,79.42,80.15,733273.0
2023-05-16,80.21,80.21,78.35,78.63,529191.0
2023-05-17,78.89,78.89,77.86,78.52,505175.0
2023-05-18,77.86,78.35,77.34,78.21,681687.0
2023-05-19,78.74,78.75,77.485,77.52,858100.0
2023-05-22,77.7,78.06,77.25,77.69,497309.0
2023-05-23,77.6,78.2955,77.14,77.65,482846.0
2023-05-24,77.65,77.94,76.92,77.18,388271.0
2023-05-25,76.85,76.85,75.5125,76.39,423160.0
2023-05-26,76.45,76.85,75.76,76.8,677252.0
2023-05-30,76.94,77.63,76.44,76.61,619166.0
2023-05-31,76.84,77.79,76.26,77.28,816488.0
2023-06-01,77.35,77.56,75.74,76.07,712370.0
2023-06-02,75.56,77.5,75.0,77.36,859718.0
2023-06-05,77.17,78.465,77.07,77.76,555103.0
2023-06-06,78.21,79.72,77.94,79.43,1179464.0
2023-06-07,79.72,80.71,79.18,80.5,949407.0
2023-06-08,80.59,81.28,79.94,81.23,694318.0
2023-06-09,81.44,81.515,80.3,80.79,794739.0
2023-06-12,81.03,81.55,80.51,81.06,618405.0
2023-06-13,80.58,81.55,80.23,81.5,659339.0
2023-06-14,81.57,82.55,81.47,82.02,868801.0
2023-06-15,82.26,83.62,81.78,83.55,1035663.0
2023-06-16,83.98,84.59,82.96,83.25,1514326.0
2023-06-20,83.25,83.25,81.78,82.63,901158.0
2023-06-21,82.48,83.56,81.41,83.12,647777.0
2023-06-22,83.31,83.31,82.33,82.67,623669.0
2023-06-23,82.91,83.12,80.44,80.81,838803.0
2023-06-26,81.07,82.18,80.88,81.95,694494.0
2023-06-27,81.96,82.6,81.65,82.0,668693.0
2023-06-28,81.78,82.0,79.83,80.54,1256869.0
2023-06-29,79.83,81.57,79.75,80.73,796110.0
2023-06-30,80.96,81.726,80.46,81.46,610210.0
2023-07-03,81.4,82.025,81.13,81.74,369274.0
2023-07-05,81.39,83.155,81.25,82.68,502374.0
2023-07-06,82.15,82.15,81.16,82.05,440559.0
2023-07-07,81.64,82.77,81.47,81.92,985258.0
2023-07-10,81.7,82.205,80.59,81.38,561776.0
2023-07-11,81.51,82.18,81.28,82.17,475092.0
2023-07-12,82.53,83.38,82.22,83.34,594710.0
2023-07-13,83.08,83.8,82.52,83.25,790072.0
2023-07-14,82.88,83.64,82.5,83.2,569271.0
2023-07-17,83.0,83.0,82.01,82.43,516951.0
2023-07-18,82.42,83.04,81.23,82.54,595749.0
2023-07-19,82.47,83.16,82.0,82.42,1789139.0
2023-07-20,82.93,84.97,82.38,84.5,1178494.0
2023-07-21,85.0,85.92,84.58,85.42,690312.0
2023-07-24,85.32,85.735,84.71,85.33,543580.0
2023-07-25,85.27,86.03,84.94,85.24,498901.0
2023-07-26,85.09,85.999,84.36,84.74,747341.0
2023-07-27,84.59,84.8131,83.24,84.03,1170314.0
2023-07-28,84.79,84.92,83.4,83.8,684453.0
2023-07-31,83.24,83.379,82.48,82.82,1725056.0
2023-08-01,82.9,83.06,82.0,82.28,1349337.0
2023-08-02,82.45,83.165,81.87,82.57,774284.0
2023-08-03,81.89,82.35,79.3,79.3,1647000.0
2023-08-04,79.74,80.36,78.245,78.58,790117.0
2023-08-07,78.82,79.115,76.59,76.62,1059465.0
2023-08-08,76.57,77.259,75.51,77.08,835618.0
2023-08-09,78.3,79.56,77.72,77.96,1204927.0
2023-08-10,78.02,78.39,76.89,77.1,726005.0
2023-08-11,77.38,77.72,77.18,77.4,415622.0
2023-08-14,77.39,77.39,76.6,77.35,535405.0
2023-08-15,76.77,76.99,76.45,76.65,1157916.0
2023-08-16,77.07,77.7,76.7,77.3,750252.0
2023-08-17,77.32,78.13,77.21,77.33,813348.0
2023-08-18,77.45,78.645,77.45,78.25,1062578.0
2023-08-21,78.19,78.19,76.68,77.68,950251.0
2023-08-22,78.59,79.06,78.1,78.7,1429814.0
2023-08-23,79.35,79.49,78.21,78.9,875622.0
2023-08-24,78.85,80.24,78.67,78.79,895282.0
2023-08-25,78.79,79.57,78.72,79.16,632772.0
2023-08-28,79.06,79.62,78.76,78.82,397984.0
2023-08-29,78.78,79.32,78.59,78.77,573932.0
2023-08-30,78.45,79.4,78.01,78.05,791781.0
2023-08-31,78.29,78.476,77.06,77.27,728415.0
2023-09-01,77.67,77.7906,75.68,75.97,759360.0
2023-09-05,75.62,75.64,73.9494,74.08,847010.0
2023-09-06,74.1,75.5,73.72,75.44,882797.0
2023-09-07,76.07,76.6,75.595,75.98,752469.0
2023-09-08,76.14,76.765,75.83,76.62,512825.0
2023-09-11,76.14,77.19,76.14,76.52,863003.0
2023-09-12,76.73,76.93,76.0,76.48,546356.0
2023-09-13,76.2,77.725,76.2,77.42,624092.0
2023-09-14,77.92,78.71,77.6,78.7,575406.0
2023-09-15,79.18,79.31,78.38,78.62,1740470.0
2023-09-18,78.81,79.59,78.38,79.09,678522.0
2023-09-19,79.27,79.47,78.91,78.93,523082.0
2023-09-20,79.42,80.19,78.82,79.5,613028.0
2023-09-21,79.5,79.63,78.39,78.4,583085.0
2023-09-22,78.05,78.49,77.565,77.81,545988.0
2023-09-25,76.78,77.635,76.78,77.41,430865.0
2023-09-26,77.1,77.19,74.69,74.84,608356.0
2023-09-27,74.52,75.29,73.935,74.16,489994.0
2023-09-28,74.46,74.555,73.24,73.47,651381.0
2023-09-29,74.19,74.585,73.17,73.68,516272.0
2023-10-02,73.23,73.335,70.58,71.27,954232.0
2023-10-03,70.56,72.18,69.63,71.87,876970.0
2023-10-04,72.08,72.36,70.7601,71.74,901164.0
2023-10-05,72.03,72.45,71.465,72.14,737292.0
2023-10-06,71.36,72.72,69.56,72.36,908954.0
2023-10-09,71.95,73.1,71.75,73.04,618627.0
2023-10-10,73.2,74.32,73.01,74.17,836038.0
2023-10-11,74.52,75.735,74.31,75.44,709962.0
