date,open,high,low,close,volume
2023-01-11,141.04,143.67,139.965,140.69,875726.0
2023-01-12,141.55,147.98,141.2,147.81,1204037.0
2023-01-13,147.19,149.17,146.47,148.5,770802.0
2023-01-17,148.5,150.34,147.87,148.27,849908.0
2023-01-18,148.78,150.59,143.34,144.3,753251.0
2023-01-19,143.13,144.32,142.18,143.49,1677814.0
2023-01-20,143.75,146.38,143.22,146.24,931807.0
2023-01-23,147.44,149.78,147.0,149.55,766088.0
2023-01-24,148.83,153.57,148.1774,151.51,804646.0
2023-01-25,150.0,150.0333,145.6491,148.89,915235.0
2023-01-26,149.65,150.17,147.415,150.06,840381.0
2023-01-27,149.72,151.13,149.28,150.0,645298.0
2023-01-30,149.53,151.18,148.42,149.1,742984.0
2023-01-31,149.43,152.24,148.77,152.19,705499.0
2023-02-01,151.51,154.38,150.85,152.87,569149.0
2023-02-02,153.59,154.21,149.54,151.68,991900.0
2023-02-03,150.81,153.75,150.4025,152.43,850242.0
2023-02-06,151.84,153.37,151.43,152.72,696584.0
2023-02-07,152.35,154.04,150.5,153.57,569044.0
2023-02-08,152.99,154.6211,152.19,152.36,960300.0
2023-02-09,153.22,154.0,151.74,152.46,1313243.0
2023-02-10,152.39,154.0,150.35,151.34,1063756.0
2023-02-13,151.43,154.46,150.51,154.29,582194.0
2023-02-14,153.73,155.62,152.22,154.2,803737.0
2023-02-15,153.25,156.37,152.43,156.0,653652.0
2023-02-16,154.82,158.545,154.0,155.32,911411.0
2023-02-17,154.93,157.06,154.738,154.9,862597.0
2023-02-21,153.96,154.64,148.15,148.7,1098553.0
2023-02-22,149.16,149.98,147.33,148.4,1155858.0
2023-02-23,160.0,168.75,158.225,159.62,2860113.0
2023-02-24,158.21,163.12,157.12,160.64,1468922.0
2023-02-27,162.44,164.79,160.86,162.9,866780.0
2023-02-28,162.91,164.01,161.29,161.4,1194979.0
2023-03-01,161.92,163.3769,158.99,159.65,957525.0
2023-03-02,158.85,160.75,157.97,160.05,741157.0
2023-03-03,162.57,163.83,160.31,163.12,793101.0
2023-03-06,162.44,164.89,160.85,163.37,769311.0
2023-03-07,163.7,164.65,162.16,162.97,607280.0
2023-03-08,162.75,163.655,160.98,162.43,772169.0
2023-03-09,163.2,164.28,159.62,160.55,589891.0
