date,open,high,low,close,volume
2023-01-11,21.22,21.27,21.06,21.16,17721
2023-01-12,21.19,21.5,21.19,21.21,17058
2023-01-13,21.08,21.31,20.87,21.27,15288
2023-01-17,21.27,21.27,21.02,21.03,26846
2023-01-18,20.98,20.98,20.34,20.46,14958
2023-01-19,20.33,20.36,20.11,20.23,19577
2023-01-20,20.41,20.65,20.27,20.65,29943
2023-01-23,20.57,20.81,20.53,20.81,37029
2023-01-24,20.31,20.85,20.01,20.22,23798
2023-01-25,20.06,20.08,19.785,19.835,27899
2023-01-26,19.83,20.31,19.76,20.26,35751
2023-01-27,20.14,20.14,19.73,19.81,27108
2023-01-30,19.85,20.13,19.81,19.83,29806
2023-01-31,19.95,20.2,19.9,20.14,28381
2023-02-01,20.1,20.66,20.04,20.48,33990
2023-02-02,20.22,20.75,20.22,20.75,27435
2023-02-03,20.59,21.05,20.59,20.87,15040
2023-02-06,20.72,20.72,20.41,20.49,21675
2023-02-07,20.37,20.71,20.12,20.54,19070
2023-02-08,20.47,20.5171,20.18,20.18,13058
2023-02-09,19.99,20.09,19.76,20.06,34407
2023-02-10,19.91,20.2,19.91,20.09,11880
2023-02-13,20.01,20.33,20.01,20.33,14743
2023-02-14,20.19,20.19,19.91,19.96,11292
2023-02-15,19.91,20.15,19.91,20.1,18296
2023-02-16,19.87,19.93,19.34,19.81,19499
2023-02-17,19.88,20.2,19.65,20.07,35844
2023-02-21,20.0,20.19,19.82,19.96,30292
2023-02-22,19.94,20.1,19.9,19.94,22689
2023-02-23,20.0468,20.055,19.87,19.98,11609
2023-02-24,19.85,19.9125,19.63,19.8,18347
2023-02-27,19.89,19.99,19.65,19.85,22607
2023-02-28,19.7409,19.99,19.7409,19.76,32869
2023-03-01,19.76,19.97,19.6,19.87,29047
2023-03-02,19.72,20.0075,19.65,19.74,15085
2023-03-03,19.7385,19.8093,19.65,19.7,10539
2023-03-06,19.61,19.85,19.11,19.36,94514
2023-03-07,19.35,19.35,18.57,18.68,57265
2023-03-08,18.72,19.02,18.53,18.79,15009
2023-03-09,18.69,18.69,17.4,17.58,17505
2023-03-10,17.42,17.53,16.37,16.57,34388
2023-03-13,16.3,16.37,14.68,15.62,50584
2023-03-14,16.42,17.38,16.32,16.48,55956
2023-03-15,16.06,16.745,16.06,16.5,34986
2023-03-16,16.28,17.34,16.11,16.94,24064
2023-03-17,16.68,17.185,16.0,16.05,78178
2023-03-20,16.27,16.45,16.0,16.12,41575
2023-03-21,16.4,16.745,16.4,16.69,35279
2023-03-22,16.49,16.7116,16.0,16.06,37643
2023-03-23,16.2,16.2,15.5501,15.7,37054
2023-03-24,15.55,15.97,15.55,15.88,27758
2023-03-27,16.13,16.185,15.88,15.98,22079
2023-03-28,15.83,16.13,15.66,15.97,25938
2023-03-29,16.16,16.16,15.66,15.89,22450
2023-03-30,16.07,16.07,15.45,15.57,29250
2023-03-31,15.44,15.625,15.39,15.5,26482
2023-04-03,15.37,15.95,15.31,15.47,67444
2023-04-04,15.54,15.75,14.74,15.0,25225
2023-04-05,14.79,15.045,14.57,14.77,14921
2023-04-06,14.77,14.86,14.13,14.19,26050
2023-04-10,14.11,14.7499,14.11,14.69,40509
2023-04-11,14.54,15.61,14.42,14.63,20917
2023-04-12,14.64,14.64,14.05,14.16,17296
2023-04-13,14.075,14.59,14.075,14.29,42171
2023-04-14,14.56,14.65,13.86,14.0,33677
2023-04-17,13.89,14.15,13.56,14.03,24464
2023-04-18,14.12,14.16,13.62,13.715,21582
2023-04-19,13.88,14.13,13.68,13.96,16991
