date,open,high,low,close,volume
2023-01-11,213.0,222.34,213.0,221.32,158803.0
2023-01-12,221.86,227.05,221.04,225.03,125522.0
2023-01-13,224.27,225.41,220.48,223.83,93661.0
2023-01-17,225.63,234.46,224.91,231.74,168724.0
2023-01-18,233.34,235.58,231.45,234.06,167509.0
2023-01-19,231.71,234.18,224.545,226.84,141403.0
2023-01-20,228.34,234.735,226.545,233.99,174872.0
2023-01-23,233.59,239.35,232.19,235.36,160656.0
2023-01-24,235.52,237.4032,231.535,235.18,119332.0
2023-01-25,233.7,235.0,231.0,233.88,189537.0
2023-01-26,236.22,243.55,233.55,243.5,161529.0
2023-01-27,242.91,254.39,242.91,247.39,222622.0
2023-01-30,244.59,247.06,235.03,237.02,207221.0
2023-01-31,238.92,244.3,237.18,243.97,187782.0
2023-02-01,242.55,251.87,240.5155,247.77,193172.0
2023-02-02,249.51,254.5,247.08,249.53,142048.0
2023-02-03,246.79,252.74,246.13,247.68,135574.0
2023-02-06,245.66,247.3,244.49,245.87,185844.0
2023-02-07,245.94,247.4379,238.0,240.28,184919.0
2023-02-08,236.5,238.96,234.51,236.41,131101.0
2023-02-09,239.11,240.34,231.43,232.0,167646.0
2023-02-10,221.95,238.13,219.55,236.5,508696.0
2023-02-13,239.3,243.85,237.51,239.65,318105.0
2023-02-14,237.47,241.86,233.57,239.92,174542.0
2023-02-15,238.34,242.51,236.5,239.18,123195.0
2023-02-16,235.72,241.8,232.42,235.37,162757.0
2023-02-17,236.44,239.31,232.84,237.25,160148.0
2023-02-21,233.94,237.595,233.255,233.73,169261.0
2023-02-22,234.46,238.75,232.87,235.2,135937.0
2023-02-23,236.06,238.9,232.765,236.74,106840.0
2023-02-24,235.25,235.25,230.01,234.41,122388.0
2023-02-27,236.29,241.52,232.4,233.45,110545.0
2023-02-28,233.9,236.24,228.84,229.81,234892.0
2023-03-01,228.67,235.78,226.44,235.42,159447.0
2023-03-02,234.65,243.94,233.635,243.78,185071.0
2023-03-03,245.56,248.56,242.1,246.96,115692.0
2023-03-06,247.62,247.82,241.63,244.67,86702.0
2023-03-07,245.29,246.11,238.11,238.11,87015.0
2023-03-08,237.85,239.18,235.71,238.82,67961.0
2023-03-09,238.7,240.7,229.4,229.81,86415.0
2023-03-10,228.5,230.52,219.07,222.03,215504.0
2023-03-13,216.58,222.1,215.07,215.43,126284.0
2023-03-14,221.83,226.27,216.75,222.8,235523.0
2023-03-15,217.74,218.53,210.8,215.72,187004.0
2023-03-16,212.18,225.88,211.18,218.07,314242.0
2023-03-17,217.84,218.595,210.355,212.29,427523.0
2023-03-20,214.68,216.025,211.51,212.8,349679.0
2023-03-21,216.81,222.5,213.67,220.63,273324.0
2023-03-22,219.78,224.58,215.82,215.94,200880.0
2023-03-23,216.82,220.77,216.36,219.17,155823.0
2023-03-24,216.51,220.295,213.9428,219.87,148494.0
2023-03-27,222.73,224.21,219.45,222.56,89594.0
2023-03-28,221.21,226.02,220.72,225.48,100100.0
2023-03-29,227.87,228.8939,225.3,228.25,97376.0
2023-03-30,230.17,234.1,229.03,229.36,176578.0
2023-03-31,231.66,233.49,229.09,232.73,232140.0
2023-04-03,232.01,233.56,225.05,230.54,217414.0
2023-04-04,231.53,231.53,216.61,218.53,187972.0
2023-04-05,218.0,218.755,215.74,218.62,144920.0
2023-04-06,219.76,221.88,214.89,215.35,162927.0
2023-04-10,214.55,221.29,212.63,219.38,207034.0
2023-04-11,220.52,224.8,220.4,220.85,131532.0
2023-04-12,222.82,222.82,219.07,221.82,108228.0
2023-04-13,220.9,220.9,217.06,218.9,91216.0
2023-04-14,218.61,222.02,216.36,217.43,99768.0
2023-04-17,218.59,220.92,217.33,220.31,106370.0
2023-04-18,221.78,221.9,218.81,218.92,81902.0
2023-04-19,218.92,223.84,216.605,223.55,85089.0
2023-04-20,223.07,223.51,220.0,222.63,121725.0
2023-04-21,223.5,224.54,220.29,222.56,160868.0
2023-04-24,220.93,224.33,220.56,221.4,105377.0
2023-04-25,218.19,226.29,218.19,221.82,140912.0
2023-04-26,219.15,220.84,213.515,215.02,158596.0
2023-04-27,216.92,224.8,214.99,224.17,149007.0
2023-04-28,224.1,229.02,224.1,227.01,169825.0
2023-05-01,225.24,231.37,225.24,230.98,111112.0
2023-05-02,230.71,232.77,226.605,231.68,121587.0
2023-05-03,232.91,236.95,228.34,229.07,123081.0
2023-05-04,226.52,226.52,221.11,224.32,126266.0
2023-05-05,229.31,231.37,225.94,226.25,97129.0
2023-05-08,226.39,227.46,223.045,223.65,81505.0
2023-05-09,222.5,223.57,219.47,220.09,139275.0
2023-05-10,221.78,221.78,216.32,220.3,110219.0
2023-05-11,217.73,220.715,216.3,218.4,132102.0
2023-05-12,220.0,220.0,215.03,217.99,96417.0
2023-05-15,219.77,223.39,218.62,221.61,105995.0
2023-05-16,219.28,221.96,216.73,220.71,117524.0
2023-05-17,220.71,225.93,219.76,224.85,149567.0
2023-05-18,226.16,226.595,219.135,224.34,242780.0
2023-05-19,227.02,229.01,211.11,212.54,412470.0
2023-05-22,215.9,218.6,212.48,216.97,339604.0
2023-05-23,216.77,218.5,210.25,211.63,281998.0
2023-05-24,211.12,211.12,202.46,204.93,233525.0
2023-05-25,206.08,206.08,201.145,204.18,144646.0
2023-05-26,203.58,206.41,203.22,205.98,125040.0
2023-05-30,205.7,206.825,203.72,205.63,97084.0
2023-05-31,205.58,207.12,196.56,198.29,260140.0
2023-06-01,197.77,200.44,195.18,199.51,242457.0
2023-06-02,202.89,209.04,201.0,208.27,210961.0
2023-06-05,208.07,208.07,200.62,206.19,216229.0
2023-06-06,204.96,214.12,204.96,213.11,161876.0
2023-06-07,212.88,220.29,212.8,218.02,275010.0
2023-06-08,216.88,219.227,212.95,213.14,281058.0
2023-06-09,213.5,214.77,209.145,211.29,369450.0
2023-06-12,212.85,214.97,209.79,210.74,181320.0
2023-06-13,212.63,219.39,212.57,218.78,215359.0
2023-06-14,219.5,220.13,212.85,214.86,165981.0
2023-06-15,215.01,217.0,211.69,214.39,204930.0
2023-06-16,217.11,217.11,208.7,209.05,315828.0
2023-06-20,208.6,209.77,205.66,208.48,282874.0
2023-06-21,206.34,209.53,205.85,208.14,284988.0
2023-06-22,208.32,208.63,205.615,207.95,260273.0
2023-06-23,205.47,212.84,203.92,209.04,3690430.0
2023-06-26,210.83,217.49,209.67,209.92,190330.0
2023-06-27,210.32,215.95,210.32,215.6,257205.0
2023-06-28,216.52,216.975,214.22,215.9,274207.0
2023-06-29,215.51,219.15,215.51,217.33,171981.0
2023-06-30,219.58,220.06,216.27,217.47,119614.0
2023-07-03,217.0,219.6,216.67,219.06,53157.0
2023-07-05,219.09,219.09,214.45,214.48,132943.0
2023-07-06,213.19,214.48,210.29,213.25,181957.0
2023-07-07,212.92,218.37,212.92,215.98,255394.0
2023-07-10,216.01,219.99,216.01,218.08,154225.0
2023-07-11,219.67,221.49,218.0,220.98,124923.0
2023-07-12,223.89,223.89,219.55,222.82,109847.0
2023-07-13,223.45,226.0,223.29,223.46,163860.0
2023-07-14,223.61,223.61,217.43,218.45,186936.0
2023-07-17,218.5,219.53,215.035,218.04,155500.0
2023-07-18,217.24,221.44,216.97,218.95,155851.0
2023-07-19,218.97,222.25,218.015,222.13,134079.0
2023-07-20,221.58,222.31,219.58,220.37,83449.0
2023-07-21,221.61,224.41,219.69,223.19,208193.0
2023-07-24,222.61,225.13,222.61,223.06,153528.0
2023-07-25,221.96,224.84,220.63,221.92,105670.0
2023-07-26,221.87,224.24,218.57,220.27,127820.0
2023-07-27,220.7,221.0,217.875,220.2,128823.0
2023-07-28,221.84,227.41,221.765,224.57,194789.0
2023-07-31,225.31,228.95,225.0,226.05,176173.0
2023-08-01,224.87,228.525,223.17,226.32,143825.0
2023-08-02,224.27,225.08,219.78,220.0,120184.0
2023-08-03,218.26,218.35,214.43,214.45,201433.0
2023-08-04,216.5,220.83,203.65,220.78,409037.0
2023-08-07,222.2,227.6,222.2,225.59,212850.0
2023-08-08,223.39,227.5,221.84,226.16,187727.0
2023-08-09,228.42,233.83,225.47,226.14,163165.0
2023-08-10,227.5,228.72,224.0,225.07,145482.0
2023-08-11,224.43,229.95,223.96,229.31,103973.0
2023-08-14,228.4,229.26,226.955,227.87,80564.0
2023-08-15,226.07,228.58,225.0,226.55,102136.0
2023-08-16,225.45,228.12,224.895,225.76,199757.0
2023-08-17,226.44,228.385,221.91,221.99,123196.0
2023-08-18,220.51,223.31,218.71,219.09,131706.0
2023-08-21,219.82,219.82,214.951,217.46,106514.0
2023-08-22,218.55,218.55,214.95,217.37,105076.0
2023-08-23,218.14,222.14,217.59,222.05,68440.0
2023-08-24,220.64,223.28,219.91,220.24,94426.0
2023-08-25,221.16,222.75,218.62,220.96,70349.0
2023-08-28,222.7,225.67,222.7,222.9,63048.0
2023-08-29,222.5,228.22,222.5,227.24,75084.0
2023-08-30,226.75,230.52,225.5,230.0,100370.0
2023-08-31,229.98,234.29,229.98,230.54,173032.0
2023-09-01,231.96,234.32,230.51,233.8,95134.0
2023-09-05,252.0,253.0,234.57,235.99,531756.0
2023-09-06,235.23,241.95,234.43,239.77,326710.0
2023-09-07,238.45,244.695,238.01,241.37,383753.0
2023-09-08,241.02,245.495,239.54,241.86,312942.0
2023-09-11,240.67,243.09,233.62,238.99,315695.0
2023-09-12,238.06,241.21,236.37,236.88,218352.0
2023-09-13,236.5,239.19,232.73,238.77,351749.0
2023-09-14,240.74,242.37,237.575,238.01,309330.0
2023-09-15,237.65,241.25,234.75,240.2,4376036.0
2023-09-18,239.03,246.28,239.03,243.11,410158.0
2023-09-19,243.8,245.43,237.05,237.95,473181.0
2023-09-20,238.53,242.42,235.12,235.63,176232.0
2023-09-21,234.61,235.02,231.91,232.39,192930.0
2023-09-22,232.11,237.13,230.9,235.59,169847.0
2023-09-25,234.28,237.485,233.72,236.7,152063.0
2023-09-26,235.29,236.85,233.9,234.48,114071.0
2023-09-27,236.79,238.745,231.935,233.41,210251.0
2023-09-28,233.6,236.2,231.475,233.18,162776.0
2023-09-29,234.67,237.1899,233.66,234.13,200443.0
2023-10-02,233.79,234.95,228.66,229.14,181928.0
2023-10-03,228.25,230.21,227.05,230.08,183173.0
2023-10-04,230.35,236.46,228.5101,235.94,210811.0
2023-10-05,235.0,236.83,234.63,235.3,159323.0
2023-10-06,233.58,240.175,233.45,238.02,138468.0
2023-10-09,237.94,240.35,236.285,239.43,106359.0
2023-10-10,240.97,242.8,240.0232,240.68,86714.0
2023-10-11,240.72,244.38,240.72,244.25,125675.0
2023-10-12,244.99,244.99,239.07,240.24,107404.0
2023-10-13,240.97,240.97,237.54,237.78,92666.0
2023-10-16,239.99,241.555,237.18,240.98,128773.0
2023-10-17,239.72,246.24,239.47,244.81,178144.0
2023-10-18,242.56,242.56,221.605,222.19,265496.0
2023-10-19,221.94,224.45,219.95,220.06,273801.0
2023-10-20,221.0,225.38,220.52,225.28,272335.0
2023-10-23,224.49,225.93,219.685,220.33,145182.0
2023-10-24,221.72,226.16,221.65,226.0,190638.0
2023-10-25,225.0,226.71,220.21,220.29,110881.0
2023-10-26,221.33,224.0,219.11,220.62,103123.0
2023-10-27,221.85,221.85,215.77,216.1,99105.0
2023-10-30,218.73,221.08,214.14,220.9,222878.0
2023-10-31,221.0,222.43,218.8011,219.84,144782.0
2023-11-01,218.96,220.0,214.4902,218.26,131484.0
2023-11-02,221.34,223.9,220.18,221.12,132146.0
2023-11-03,225.16,225.375,219.57,220.44,248650.0
2023-11-06,220.27,220.27,216.2698,219.27,180417.0
2023-11-07,218.1,219.36,214.64,216.84,223129.0
2023-11-08,217.92,220.145,216.87,218.75,188841.0
2023-11-09,219.0,221.92,216.79,221.65,159988.0
2023-11-10,222.33,229.28,222.01,228.72,179955.0
2023-11-13,227.7,234.695,226.71,234.58,169699.0
2023-11-14,237.99,241.64,236.0,240.23,217011.0
2023-11-15,241.88,246.7,241.88,243.22,217610.0
2023-11-16,242.98,247.41,238.21,240.22,178039.0
2023-11-17,241.55,244.01,241.15,242.77,116493.0
2023-11-20,243.31,243.31,240.73,240.99,79101.0
2023-11-21,239.97,241.89,239.23,240.91,67149.0
2023-11-22,240.69,242.9,240.69,241.56,67121.0
2023-11-24,241.15,245.74,241.15,245.58,77847.0
2023-11-27,244.22,247.34,243.455,246.35,156043.0
2023-11-28,245.96,247.005,241.975,242.24,145439.0
2023-11-29,248.11,257.98,247.7762,254.47,255614.0
2023-11-30,255.64,257.92,254.0577,257.74,152263.0
2023-12-01,257.36,264.96,257.36,264.37,132239.0
2023-12-04,263.5,267.6,261.07,266.43,137051.0
2023-12-05,266.12,266.78,261.97,262.28,96313.0
2023-12-06,262.57,266.77,259.26,259.5,167775.0
2023-12-07,261.32,261.32,257.47,259.0,204934.0
2023-12-08,258.03,263.905,258.03,262.41,91197.0
2023-12-11,262.24,265.29,262.24,264.5,84617.0
2023-12-12,264.33,266.75,262.87,265.61,108745.0
2023-12-13,265.15,267.97,261.94,267.0,189092.0
2023-12-14,270.01,275.85,269.24,275.66,201133.0
2023-12-15,274.54,277.25,268.865,270.55,295205.0
2023-12-18,270.79,274.71,270.7,272.61,110333.0
2023-12-19,274.48,276.7299,272.4,275.89,100646.0
2023-12-20,275.46,280.0,274.635,274.82,126794.0
2023-12-21,276.7,279.54,275.58,278.7,115300.0
