date,open,high,low,close,volume
2023-01-11,1.01,1.06,1.0,1.04,173112.0
2023-01-12,1.1,1.1,1.03,1.09,184143.0
2023-01-13,1.11,1.16,1.0797,1.155,171931.0
2023-01-17,1.16,1.19,1.15,1.18,102186.0
2023-01-18,1.19,1.2,1.12,1.13,126688.0
2023-01-19,1.1,1.14,1.1,1.11,73556.0
2023-01-20,1.14,1.16,1.07,1.07,88983.0
2023-01-23,1.15,1.15,1.08,1.15,83956.0
2023-01-24,1.15,1.2,1.1366,1.19,114337.0
2023-01-25,1.18,1.2,1.1501,1.2,114090.0
2023-01-26,1.22,1.31,1.2,1.23,367049.0
2023-01-27,1.28,1.3,1.2201,1.26,146089.0
2023-01-30,1.28,1.3,1.16,1.16,141078.0
2023-01-31,1.18,1.22,1.15,1.21,62051.0
2023-02-01,1.2,1.25,1.1462,1.21,66914.0
2023-02-02,1.22,1.2563,1.15,1.15,154426.0
2023-02-03,1.16,1.23,1.15,1.17,89674.0
2023-02-06,1.19,1.54,1.175,1.41,1553188.0
2023-02-07,1.35,1.375,1.26,1.27,208760.0
2023-02-08,1.28,1.3199,1.2398,1.3,140552.0
2023-02-09,1.3,1.32,1.25,1.27,174869.0
2023-02-10,1.26,1.2804,1.1901,1.25,98284.0
2023-02-13,1.27,1.28,1.2,1.2,84518.0
2023-02-14,1.2,1.2497,1.17,1.2,110602.0
2023-02-15,1.2,1.25,1.17,1.2,126484.0
2023-02-16,1.2,1.24,1.17,1.23,76243.0
2023-02-17,1.25,1.2503,1.17,1.2,53954.0
2023-02-21,1.24,1.24,1.19,1.2,60354.0
2023-02-22,1.17,1.25,1.17,1.23,72928.0
2023-02-23,1.24,1.24,1.18,1.2,100014.0
2023-02-24,1.21,1.2298,1.17,1.19,49393.0
2023-02-27,1.19,1.28,1.18,1.25,208827.0
2023-02-28,1.26,1.31,1.2434,1.31,109404.0
2023-03-01,1.29,1.46,1.27,1.41,697589.0
2023-03-02,1.41,1.4599,1.31,1.42,201510.0
2023-03-03,1.44,1.44,1.34,1.37,159762.0
2023-03-06,1.36,1.43,1.3507,1.38,101253.0
2023-03-07,1.4,1.4,1.22,1.24,211844.0
2023-03-08,1.24,1.25,1.2,1.2,71213.0
2023-03-09,1.2,1.21,1.01,1.01,348907.0
2023-03-10,1.04,1.14,1.04,1.08,116361.0
