date,open,high,low,close,volume
2023-01-11,47.39,47.77,47.04,47.71,220644.0
2023-01-12,47.82,48.2,47.495,48.0,314627.0
2023-01-13,47.88,48.47,47.61,48.33,353890.0
2023-01-17,48.49,49.17,48.49,48.79,260117.0
2023-01-18,48.91,49.05,47.95,48.16,287094.0
2023-01-19,48.03,48.32,47.9288,48.12,172089.0
2023-01-20,48.33,49.02,47.78,48.9,225748.0
2023-01-23,48.76,48.76,48.175,48.36,289844.0
2023-01-24,48.44,50.13,48.26,49.73,523761.0
2023-01-25,49.8,50.16,49.19,49.22,793208.0
2023-01-26,49.24,49.58,48.86,49.06,332553.0
2023-01-27,48.81,49.09,48.47,48.56,343142.0
2023-01-30,48.45,48.86,48.15,48.17,208057.0
2023-01-31,48.06,48.68,47.93,48.65,457472.0
2023-02-01,48.43,48.77,48.0,48.68,272804.0
2023-02-02,49.405,49.65,48.13,48.39,420195.0
2023-02-03,48.46,48.78,47.95,48.77,249983.0
2023-02-06,48.76,49.21,48.405,49.04,273798.0
2023-02-07,48.97,49.32,48.49,48.71,275069.0
2023-02-08,48.53,49.06,48.53,48.94,189738.0
2023-02-09,49.05,49.19,48.15,48.46,282465.0
2023-02-10,48.54,48.89,48.22,48.41,290083.0
2023-02-13,48.45,49.03,48.4,48.76,227791.0
2023-02-14,48.77,49.16,48.27,49.1,195508.0
2023-02-15,48.58,48.98,48.39,48.64,230508.0
2023-02-16,48.6,48.85,47.92,48.71,211614.0
2023-02-17,48.79,49.2,48.36,49.09,230670.0
2023-02-21,48.95,49.15,48.43,48.76,164418.0
2023-02-22,48.81,48.84,48.32,48.55,155808.0
2023-02-23,48.73,48.73,47.937,48.18,242671.0
2023-02-24,47.7,48.05,47.38,48.02,170235.0
2023-02-27,48.19,48.34,47.7,47.71,146997.0
2023-02-28,47.82,47.99,47.34,47.78,308595.0
2023-03-01,47.92,48.25,47.5,47.6,228370.0
2023-03-02,47.47,47.54,46.82,47.03,184179.0
2023-03-03,47.17,47.515,46.87,47.41,195401.0
2023-03-06,47.46,47.785,47.18,47.2,153069.0
2023-03-07,47.16,47.315,46.1,46.16,220466.0
2023-03-08,46.41,46.63,45.79,45.83,246496.0
2023-03-09,45.55,45.55,44.13,44.19,415280.0
2023-03-10,44.45,45.05,43.58,44.87,274631.0
2023-03-13,44.58,45.215,44.16,44.37,408212.0
2023-03-14,44.7,45.19,44.64,45.12,205466.0
2023-03-15,44.63,44.63,43.49,44.04,364137.0
2023-03-16,43.97,44.46,43.65,44.44,267733.0
2023-03-17,44.71,44.94,44.18,44.75,364973.0
2023-03-20,45.11,45.905,45.01,45.8,256465.0
2023-03-21,45.92,45.92,45.1537,45.46,169963.0
2023-03-22,45.32,45.77,45.23,45.24,213147.0
2023-03-23,45.33,45.95,45.31,45.58,228723.0
2023-03-24,45.47,45.72,45.03,45.69,210124.0
2023-03-27,45.88,45.98,45.41,45.96,323983.0
2023-03-28,45.8,46.77,45.8,46.69,222662.0
2023-03-29,46.81,46.98,46.59,46.85,267586.0
2023-03-30,47.17,47.695,47.02,47.68,196485.0
2023-03-31,48.7,48.7,46.04,46.36,740591.0
2023-04-03,45.67,46.3,44.59,45.77,478206.0
2023-04-04,45.77,47.23,45.68,47.13,652081.0
2023-04-05,47.36,48.05,47.25,47.94,450360.0
2023-04-06,48.05,48.35,47.45,47.59,302997.0
2023-04-10,47.7,48.81,47.5,48.69,491474.0
2023-04-11,48.69,49.265,48.6,48.71,347512.0
2023-04-12,48.76,49.33,48.65,48.86,330676.0
2023-04-13,49.09,49.44,49.09,49.3,340811.0
2023-04-14,49.32,49.56,48.97,49.25,299662.0
2023-04-17,49.26,49.26,48.74,48.79,349999.0
2023-04-18,48.92,48.98,48.6,48.78,165078.0
2023-04-19,48.66,48.73,48.31,48.48,229438.0
2023-04-20,48.29,48.8,48.1,48.28,278217.0
2023-04-21,48.31,48.38,47.94,48.09,321634.0
2023-04-24,48.15,48.15,47.18,47.58,307672.0
2023-04-25,47.36,47.45,46.72,47.37,392110.0
2023-04-26,47.46,49.38,47.46,48.62,691044.0
2023-04-27,48.79,49.34,48.79,49.11,375036.0
2023-04-28,48.83,49.425,48.76,49.39,320271.0
2023-05-01,49.54,50.0,49.54,49.66,293871.0
2023-05-02,49.43,49.51,48.83,49.07,259059.0
2023-05-03,49.14,49.14,48.58,48.66,254036.0
2023-05-04,48.78,48.83,48.18,48.55,275437.0
2023-05-05,48.68,49.26,48.68,49.25,231436.0
2023-05-08,49.22,49.6,49.02,49.45,215321.0
2023-05-09,49.35,49.54,49.05,49.27,198259.0
2023-05-10,49.33,49.555,49.13,49.47,224598.0
2023-05-11,49.25,49.385,48.82,48.94,374805.0
2023-05-12,49.11,49.22,48.48,48.8,220492.0
2023-05-15,48.8,49.25,48.55,49.1,162630.0
2023-05-16,49.05,49.28,48.91,49.1,181419.0
2023-05-17,49.33,49.33,48.34,49.02,293175.0
2023-05-18,48.77,49.01,48.37,48.59,167373.0
2023-05-19,48.8,49.06,48.735,48.81,202880.0
2023-05-22,48.89,49.11,48.8,48.95,91158.0
2023-05-23,48.64,48.64,47.63,47.69,290960.0
2023-05-24,47.62,47.62,47.05,47.24,377116.0
2023-05-25,46.97,46.97,45.58,45.61,367777.0
2023-05-26,45.59,45.98,45.07,45.19,356940.0
2023-05-30,45.11,45.11,44.225,44.39,343774.0
2023-05-31,44.1,44.36,43.68,44.34,789697.0
2023-06-01,44.55,44.83,44.02,44.51,298072.0
2023-06-02,44.5,44.685,42.705,44.38,988531.0
2023-06-05,44.54,44.9,43.89,43.91,351214.0
2023-06-06,43.89,44.31,43.84,44.15,250925.0
2023-06-07,44.06,44.37,43.8,43.91,416274.0
2023-06-08,43.62,43.77,43.12,43.52,278001.0
2023-06-09,43.66,43.81,42.86,43.11,482643.0
2023-06-12,43.36,43.37,42.53,42.99,319835.0
2023-06-13,43.01,43.45,43.01,43.31,244685.0
2023-06-14,43.3,43.96,43.3,43.79,285917.0
2023-06-15,43.61,44.32,43.52,44.2,222205.0
2023-06-16,44.11,44.29,43.93,43.97,479517.0
2023-06-20,43.88,44.19,43.87,43.91,256806.0
2023-06-21,44.09,44.25,43.6,44.22,219199.0
2023-06-22,44.09,44.93,44.09,44.87,278327.0
2023-06-23,44.72,45.07,44.35,44.41,336366.0
2023-06-26,44.44,44.95,44.27,44.78,222786.0
2023-06-27,44.95,45.28,44.86,45.17,226910.0
2023-06-28,45.42,45.57,44.77,45.45,397306.0
2023-06-29,45.13,45.77,45.13,45.7,203405.0
2023-06-30,45.78,46.04,45.57,45.64,225471.0
2023-07-03,45.49,46.13,45.3114,45.99,74838.0
2023-07-05,45.74,46.26,45.66,45.74,225147.0
2023-07-06,45.4,45.865,45.055,45.11,219166.0
2023-07-07,45.0,45.39,44.88,45.34,271808.0
2023-07-10,45.27,45.38,44.19,44.24,237976.0
2023-07-11,44.19,44.68,44.11,44.68,165400.0
2023-07-12,45.18,45.18,44.5,44.61,277199.0
2023-07-13,44.73,45.42,44.54,45.35,171912.0
2023-07-14,45.11,45.4,44.23,44.56,235765.0
2023-07-17,44.68,44.77,43.89,43.94,244012.0
2023-07-18,43.96,44.87,43.6281,44.83,337547.0
2023-07-19,45.13,45.5,44.98,45.02,342415.0
2023-07-20,44.91,45.02,44.14,44.77,278000.0
2023-07-21,44.73,44.89,44.58,44.8,267217.0
2023-07-24,45.07,45.39,44.925,45.17,332871.0
2023-07-25,45.24,45.29,44.59,44.86,404628.0
2023-07-26,45.53,46.87,45.53,46.08,550850.0
2023-07-27,45.93,45.93,43.23,43.44,692080.0
2023-07-28,43.48,44.67,43.46,44.1,512074.0
2023-07-31,44.01,44.72,43.67,43.78,309467.0
2023-08-01,43.62,43.87,43.46,43.73,242610.0
2023-08-02,43.39,43.41,42.28,42.32,539324.0
2023-08-03,42.19,42.4,41.71,41.94,317417.0
2023-08-04,42.03,42.41,41.68,41.88,293890.0
2023-08-07,41.89,42.26,41.76,42.04,193880.0
2023-08-08,41.69,41.71,41.11,41.34,406195.0
2023-08-09,41.56,42.175,41.314,41.88,291976.0
2023-08-10,42.08,42.72,42.08,42.26,311822.0
2023-08-11,42.16,42.47,42.05,42.19,312639.0
2023-08-14,42.16,42.21,41.62,41.73,196503.0
2023-08-15,41.37,41.68,40.51,40.53,493278.0
2023-08-16,40.41,40.69,40.09,40.26,310728.0
2023-08-17,40.38,40.475,39.75,39.87,311658.0
2023-08-18,39.72,39.83,39.37,39.58,329304.0
2023-08-21,39.67,39.91,39.25,39.45,236830.0
2023-08-22,39.56,39.57,39.1,39.27,198830.0
2023-08-23,39.39,39.81,39.17,39.46,482188.0
2023-08-24,39.3,39.7,39.09,39.62,323815.0
2023-08-25,39.78,39.8,39.17,39.28,355216.0
2023-08-28,39.37,40.33,39.318,40.32,281904.0
2023-08-29,40.51,40.965,40.32,40.94,254789.0
2023-08-30,41.07,41.28,40.76,40.94,225539.0
2023-08-31,41.41,41.75,40.58,40.68,321483.0
2023-09-01,40.9,41.23,40.645,41.05,242861.0
2023-09-05,40.97,40.97,40.26,40.27,279049.0
2023-09-06,40.19,40.42,39.89,39.94,268764.0
2023-09-07,39.43,39.72,39.14,39.4,261968.0
2023-09-08,39.58,39.58,38.9728,39.07,500487.0
2023-09-11,39.08,39.68,38.98,39.65,288471.0
2023-09-12,39.73,40.4069,39.685,40.2,309910.0
2023-09-13,40.37,41.13,40.03,41.05,361269.0
2023-09-14,41.36,41.75,40.75,41.43,342708.0
2023-09-15,41.83,42.28,41.51,41.61,783339.0
2023-09-18,41.74,42.12,41.45,41.89,388745.0
2023-09-19,42.11,42.16,41.44,41.47,348793.0
2023-09-20,41.65,42.104,41.65,41.83,174026.0
2023-09-21,41.48,41.48,40.42,40.45,370611.0
2023-09-22,40.5,40.94,40.3443,40.67,433770.0
2023-09-25,40.46,40.53,40.07,40.22,240329.0
2023-09-26,39.99,40.11,39.15,39.2,490847.0
2023-09-27,39.2,39.2,37.95,38.59,451178.0
2023-09-28,38.63,39.09,38.23,38.71,560852.0
2023-09-29,38.75,38.97,38.28,38.39,450795.0
2023-10-02,38.21,38.21,36.9,37.01,495525.0
2023-10-03,36.78,37.42,36.78,37.09,477253.0
2023-10-04,37.12,37.43,36.69,37.31,326243.0
2023-10-05,37.25,38.0,37.25,37.94,480193.0
2023-10-06,37.82,38.24,36.95,38.04,491518.0
2023-10-09,37.89,38.63,37.83,38.51,249707.0
2023-10-10,38.71,39.5,38.7,39.23,446484.0
2023-10-11,39.36,39.95,39.16,39.88,651047.0
2023-10-12,39.78,39.78,38.63,38.78,416051.0
2023-10-13,38.87,39.34,38.6,38.64,344139.0
2023-10-16,38.78,39.4201,38.75,39.41,385133.0
2023-10-17,39.2,39.2,38.66,38.87,306892.0
2023-10-18,38.47,38.71,37.83,37.9,313313.0
2023-10-19,37.86,38.41,37.56,37.9,371693.0
2023-10-20,37.85,37.86,36.78,36.84,452906.0
2023-10-23,36.72,37.63,36.55,37.14,298110.0
2023-10-24,37.25,37.88,37.16,37.83,540738.0
2023-10-25,37.57,38.175,37.52,37.67,521159.0
2023-10-26,37.42,37.83,37.07,37.44,314128.0
2023-10-27,37.48,37.48,36.61,36.76,356267.0
2023-10-30,37.2,37.75,36.82,37.16,348046.0
2023-10-31,37.32,37.39,36.89,37.06,263664.0
2023-11-01,37.07,37.97,37.02,37.79,371854.0
2023-11-02,38.25,40.05,38.25,39.93,650158.0
2023-11-03,40.37,40.9,39.89,40.77,684110.0
2023-11-06,40.85,40.99,40.42,40.48,295434.0
2023-11-07,40.27,40.95,40.07,40.39,439886.0
2023-11-08,40.32,40.45,39.47,40.11,362604.0
2023-11-09,41.6,43.43,41.05,41.35,639190.0
2023-11-10,41.79,42.269,41.15,41.25,311391.0
2023-11-13,41.03,41.795,40.94,41.43,551555.0
2023-11-14,41.95,42.62,41.8015,42.23,279640.0
2023-11-15,42.12,42.57,42.12,42.54,181044.0
2023-11-16,42.23,42.61,42.11,42.2,616945.0
2023-11-17,42.47,42.85,42.29,42.79,566396.0
2023-11-20,42.62,42.9,42.38,42.65,257885.0
2023-11-21,42.73,43.16,42.67,42.75,446901.0
2023-11-22,42.83,42.94,42.375,42.86,532344.0
2023-11-24,43.01,43.41,42.93,43.4,134164.0
2023-11-27,43.26,43.26,42.885,42.95,357573.0
2023-11-28,42.82,43.15,42.57,42.65,306280.0
2023-11-29,42.68,42.89,42.05,42.25,410541.0
2023-11-30,42.36,43.255,42.1205,43.1,345261.0
2023-12-01,43.32,44.81,43.3,44.66,543690.0
2023-12-04,43.93,44.96,43.87,44.82,608380.0
2023-12-05,44.58,45.24,44.525,44.77,456667.0
2023-12-06,45.21,46.11,45.21,45.57,437402.0
2023-12-07,45.23,45.69,44.83,45.55,426930.0
2023-12-08,45.59,45.59,44.98,45.47,234828.0
2023-12-11,45.41,45.62,45.06,45.44,463661.0
2023-12-12,45.61,45.92,44.94,45.37,283257.0
2023-12-13,45.29,46.52,45.16,46.28,454631.0
2023-12-14,46.44,46.61,45.77,45.95,400237.0
2023-12-15,45.8,46.02,44.65,44.88,565186.0
2023-12-18,45.1,45.36,44.85,45.16,502256.0
2023-12-19,45.33,45.94,45.33,45.8,440810.0
2023-12-20,45.85,46.55,45.8,46.02,571546.0
2023-12-21,46.25,46.65,46.25,46.49,374945.0
2023-12-22,46.55,46.93,45.87,46.02,433408.0
