date,open,high,low,close,volume
2023-01-11,19.08,19.545,19.0,19.49,882622.0
2023-01-12,19.61,19.72,19.385,19.67,785690.0
2023-01-13,19.55,19.76,19.35,19.69,767194.0
2023-01-17,19.8,19.91,19.48,19.8,1036760.0
2023-01-18,20.87,21.23,20.375,20.62,2358403.0
2023-01-19,20.48,20.93,20.27,20.92,1244826.0
2023-01-20,21.09,21.15,20.725,21.11,1276534.0
2023-01-23,21.11,21.28,20.95,21.12,1127626.0
2023-01-24,21.05,21.358,20.97,20.97,1290265.0
2023-01-25,20.88,21.47,20.8295,21.47,1079481.0
2023-01-26,21.5,22.02,21.49,21.94,978089.0
2023-01-27,21.88,22.005,21.57,21.74,910361.0
2023-01-30,21.64,21.73,21.415,21.55,1035182.0
2023-01-31,21.64,22.11,21.57,22.1,1514584.0
2023-02-01,21.98,22.56,21.895,22.41,1440286.0
2023-02-02,22.54,23.215,22.47,22.91,1532998.0
2023-02-03,22.72,23.14,22.69,22.79,1409298.0
2023-02-06,22.59,22.74,22.04,22.25,1490326.0
2023-02-07,22.25,22.4,21.68,22.38,1870665.0
2023-02-08,22.18,22.33,21.83,21.98,1723166.0
2023-02-09,22.44,22.44,21.17,22.0,1993623.0
2023-02-10,21.98,22.2,21.795,21.97,1184918.0
2023-02-13,21.87,22.21,21.86,22.13,1563293.0
2023-02-14,22.09,22.22,21.865,22.13,955119.0
2023-02-15,21.99,22.3,21.935,22.28,677140.0
2023-02-16,22.29,22.5,22.19,22.3,971776.0
2023-02-17,22.39,22.53,22.135,22.5,878369.0
2023-02-21,22.23,22.31,21.505,21.68,1315271.0
2023-02-22,21.75,21.995,21.695,21.83,1218595.0
2023-02-23,21.86,21.99,21.54,21.87,898023.0
2023-02-24,21.4,21.68,21.28,21.66,740079.0
2023-02-27,21.8,21.86,21.48,21.56,606181.0
2023-02-28,21.61,21.82,21.32,21.35,2189863.0
2023-03-01,21.23,21.46,21.07,21.34,1866963.0
2023-03-02,21.08,21.62,21.08,21.53,1053430.0
2023-03-03,21.73,21.94,21.62,21.91,979797.0
2023-03-06,23.08,23.835,22.78,22.85,7046823.0
2023-03-07,22.66,22.94,22.55,22.65,3058107.0
2023-03-08,22.7,23.095,22.535,22.71,2613936.0
2023-03-09,22.65,22.77,21.9,21.9,2886236.0
2023-03-10,21.88,22.02,21.04,21.18,3549299.0
2023-03-13,20.75,21.25,20.14,20.7,4053105.0
2023-03-14,21.22,21.625,20.825,21.06,4054419.0
2023-03-15,20.5,20.925,20.29,20.84,4179797.0
2023-03-16,20.47,21.435,20.21,21.23,3571508.0
2023-03-17,20.98,21.04,20.01,20.37,36498534.0
2023-03-20,20.63,21.18,20.5,20.93,2636422.0
2023-03-21,21.42,21.67,21.16,21.22,2052725.0
2023-03-22,21.15,21.34,20.64,20.64,1792554.0
2023-03-23,20.8,20.98,20.485,20.56,2084152.0
2023-03-24,20.28,21.49,20.24,21.47,1693519.0
2023-03-27,21.86,21.93,21.32,21.58,1478082.0
2023-03-28,21.43,21.63,21.22,21.46,1203477.0
2023-03-29,21.66,21.77,21.525,21.75,1152487.0
2023-03-30,21.89,22.02,21.68,21.89,933066.0
2023-03-31,21.96,22.12,21.825,22.1,1322643.0
2023-04-03,22.07,22.29,21.945,22.14,1323943.0
2023-04-04,22.25,22.29,21.665,21.92,1327405.0
2023-04-05,21.71,22.015,21.71,21.83,1300227.0
2023-04-06,21.85,22.095,21.85,21.96,681423.0
2023-04-10,21.96,22.155,21.84,21.98,1539046.0
2023-04-11,22.575,23.23,22.44,23.11,1847829.0
2023-04-12,23.14,23.43,23.03,23.33,1658400.0
2023-04-13,23.33,23.49,23.165,23.4,1076738.0
2023-04-14,23.44,23.59,23.225,23.51,1052098.0
2023-04-17,23.4,23.56,23.26,23.5,1122751.0
2023-04-18,23.48,23.525,23.185,23.31,1466018.0
2023-04-19,23.34,23.395,23.015,23.33,1202888.0
2023-04-20,23.22,23.5,23.15,23.5,1224907.0
2023-04-21,23.49,23.51,23.13,23.39,977673.0
2023-04-24,23.31,23.55,23.225,23.39,915999.0
2023-04-25,23.17,23.43,23.09,23.29,1050098.0
2023-04-26,23.15,23.45,23.09,23.29,990989.0
2023-04-27,23.32,23.975,23.3,23.91,1704934.0
2023-04-28,23.85,24.38,23.82,24.27,1819683.0
2023-05-01,24.14,24.51,23.94,23.97,2341301.0
2023-05-02,23.97,23.97,22.935,23.47,1954784.0
2023-05-03,23.62,24.11,23.43,23.68,2785958.0
2023-05-04,23.89,24.43,23.13,23.97,1845357.0
2023-05-05,24.5,24.79,24.2,24.79,1920217.0
2023-05-08,24.725,24.94,24.55,24.85,1294752.0
