date,open,high,low,close,volume
2023-01-11,23.37,23.96,22.22,22.4,196460.0
2023-01-12,22.46,22.63,21.55,21.57,208561.0
2023-01-13,21.46,22.62,21.01,22.59,141462.0
2023-01-17,22.6,23.84,22.59,23.5,190375.0
2023-01-18,23.62,23.8031,22.94,23.46,131327.0
2023-01-19,23.25,24.23,23.175,23.62,190177.0
2023-01-20,23.81,24.27,23.6,24.0,212812.0
2023-01-23,24.19,24.9,23.87,24.37,165468.0
2023-01-24,24.21,24.73,23.85,24.01,83652.0
2023-01-25,23.86,23.86,22.88,23.8,126665.0
2023-01-26,24.11,24.1903,22.81,23.13,178584.0
2023-01-27,23.12,23.82,22.7901,23.14,152460.0
2023-01-30,23.0,23.01,21.28,21.58,247481.0
2023-01-31,21.69,22.47,21.34,22.35,101603.0
2023-02-01,22.35,23.11,22.1588,22.97,136421.0
2023-02-02,23.28,23.99,23.23,23.64,144322.0
2023-02-03,23.4,24.97,23.4,24.02,157499.0
2023-02-06,24.0,24.2,23.2001,23.71,133436.0
2023-02-07,23.75,24.16,23.4,23.88,99166.0
2023-02-08,24.08,24.97,22.5,22.59,246895.0
2023-02-09,22.85,23.37,22.175,22.33,117286.0
2023-02-10,22.24,22.45,21.61,22.3,87556.0
2023-02-13,22.27,22.92,22.135,22.44,57709.0
2023-02-14,22.3,22.945,22.3,22.79,81879.0
2023-02-15,23.1,24.72,23.0,24.39,346284.0
2023-02-16,24.41,24.66,23.8,24.16,151461.0
2023-02-17,24.1,24.3993,23.5,23.91,107258.0
2023-02-21,23.58,23.845,22.84,22.88,115296.0
2023-02-22,22.86,23.4059,22.835,22.86,98854.0
2023-02-23,23.14,23.2704,22.27,22.37,137530.0
2023-02-24,22.05,22.16,21.51,21.55,154876.0
2023-02-27,21.73,21.99,20.93,21.2,164431.0
2023-02-28,21.05,21.45,20.94,20.98,114740.0
2023-03-01,21.04,21.56,20.9201,21.21,82228.0
2023-03-02,20.97,21.39,20.7,21.12,85342.0
2023-03-03,21.27,21.62,20.92,21.57,168279.0
2023-03-06,21.63,21.755,21.0105,21.24,102468.0
2023-03-07,21.32,21.32,20.84,21.28,130005.0
2023-03-08,21.32,21.84,20.84,21.73,127103.0
2023-03-09,21.67,21.9,21.385,21.57,91240.0
2023-03-10,21.47,21.55,20.1,20.22,133871.0
2023-03-13,19.93,20.405,19.19,19.82,111396.0
2023-03-14,20.06,20.57,20.06,20.41,104474.0
2023-03-15,19.94,20.19,19.0,20.13,106933.0
2023-03-16,20.13,20.77,19.74,20.77,136346.0
2023-03-17,20.55,20.55,20.0,20.15,107873.0
2023-03-20,20.41,20.93,20.1001,20.69,94499.0
2023-03-21,21.03,22.15,20.71,21.17,218815.0
2023-03-22,21.3,21.67,20.89,20.94,192396.0
2023-03-23,21.05,21.85,20.66,20.91,188093.0
2023-03-24,20.72,21.35,20.3667,21.3,93354.0
2023-03-27,21.56,21.5888,21.0901,21.22,77673.0
2023-03-28,21.17,21.528,20.63,20.98,56608.0
2023-03-29,21.2,21.52,20.94,21.42,56441.0
2023-03-30,21.58,21.7491,21.305,21.45,70687.0
2023-03-31,21.56,22.425,21.5434,22.32,112244.0
2023-04-03,22.5,23.12,22.295,23.04,144767.0
2023-04-04,23.04,23.36,21.37,21.7,162932.0
2023-04-05,22.01,22.18,21.02,21.6,213118.0
2023-04-06,19.49,19.91,17.23,18.25,1439731.0
2023-04-10,18.25,19.54,17.92,19.35,399106.0
2023-04-11,19.33,19.33,18.35,19.01,260440.0
2023-04-12,19.25,19.49,18.6001,18.72,274938.0
2023-04-13,18.65,18.735,17.96,17.97,317647.0
2023-04-14,17.87,18.12,16.93,17.61,829526.0
2023-04-17,17.53,17.59,16.32,16.53,437817.0
2023-04-18,16.7,16.85,15.91,15.99,379895.0
2023-04-19,15.51,15.91,15.4,15.81,275365.0
2023-04-20,15.78,16.28,15.5504,16.0,167923.0
2023-04-21,16.01,16.18,15.47,15.69,163814.0
2023-04-24,15.53,15.61,15.16,15.42,166308.0
2023-04-25,15.21,15.415,14.86,15.03,233499.0
2023-04-26,15.17,15.41,14.87,15.21,122396.0
2023-04-27,15.24,15.47,14.985,15.3,108728.0
2023-04-28,15.28,15.52,15.16,15.43,131943.0
2023-05-01,15.36,15.73,15.36,15.68,86453.0
2023-05-02,15.66,15.8,15.4,15.78,93990.0
2023-05-03,15.71,15.9499,15.55,15.76,113194.0
2023-05-04,15.57,15.84,15.0101,15.52,166814.0
2023-05-05,15.69,15.92,15.533,15.69,54212.0
2023-05-08,15.62,15.828,15.47,15.5,44614.0
2023-05-09,15.48,15.73,15.48,15.69,60794.0
2023-05-10,15.91,16.4131,15.86,15.86,123970.0
2023-05-11,15.98,16.55,15.91,16.36,174408.0
2023-05-12,16.44,16.67,16.28,16.55,115210.0
2023-05-15,16.72,17.15,16.58,16.85,174802.0
2023-05-16,16.92,17.38,16.74,16.75,143594.0
2023-05-17,16.89,17.41,16.876,17.38,122085.0
2023-05-18,17.5,18.35,17.458,18.13,227881.0
2023-05-19,18.31,18.31,17.72,17.765,183552.0
2023-05-22,17.93,18.19,17.52,18.19,128852.0
2023-05-23,18.22,18.4,17.87,17.93,186210.0
2023-05-24,17.8,17.84,17.021,17.5,186552.0
2023-05-25,17.69,17.92,17.196,17.4,152871.0
2023-05-26,17.47,17.8,17.35,17.39,192414.0
2023-05-30,17.61,17.61,16.5522,16.67,213879.0
2023-05-31,16.57,16.74,16.15,16.59,143674.0
2023-06-01,16.57,16.75,16.34,16.39,90375.0
2023-06-02,16.55,16.85,15.93,16.75,143129.0
2023-06-05,16.75,16.95,16.4,16.43,103645.0
2023-06-06,16.4,17.6,16.35,17.48,101656.0
2023-06-07,17.65,18.54,17.65,18.48,118621.0
2023-06-08,18.75,19.0899,18.5,18.89,254084.0
2023-06-09,18.98,19.35,18.89,19.17,149758.0
2023-06-12,19.34,19.5798,18.85,18.98,140971.0
2023-06-13,19.09,19.32,18.76,18.81,108445.0
2023-06-14,18.91,19.11,18.19,18.25,101680.0
2023-06-15,18.3,18.92,18.3,18.41,137703.0
2023-06-16,18.6,18.67,17.95,18.09,144917.0
2023-06-20,18.0,18.515,17.98,18.33,132662.0
2023-06-21,18.28,18.39,17.7,18.32,137741.0
2023-06-22,18.4,18.4,17.97,18.0,107976.0
2023-06-23,17.74,17.92,16.67,16.74,1874848.0
2023-06-26,16.6,17.22,16.345,16.93,258921.0
2023-06-27,16.97,17.26,16.6934,16.84,141279.0
2023-06-28,16.7,16.89,16.32,16.52,155446.0
2023-06-29,16.59,16.725,16.38,16.54,135897.0
2023-06-30,16.7,16.79,16.37,16.5,482309.0
2023-07-03,16.5,16.72,16.35,16.57,108270.0
2023-07-05,16.35,16.54,15.75,15.79,200176.0
2023-07-06,15.52,15.68,15.17,15.46,291376.0
2023-07-07,15.5,15.73,15.062,15.12,195971.0
2023-07-10,15.0,15.61,14.987,15.49,158542.0
2023-07-11,15.55,15.88,15.21,15.29,138001.0
2023-07-12,15.49,15.6099,15.1221,15.19,100477.0
2023-07-13,15.1,15.5623,15.0501,15.31,125346.0
2023-07-14,15.34,15.35,14.8602,14.93,109902.0
2023-07-17,14.9,15.64,14.9,15.51,151579.0
2023-07-18,15.5,16.15,15.5,15.98,338997.0
2023-07-19,16.1,16.1,15.29,15.55,278065.0
2023-07-20,13.35,13.998,12.7601,13.71,855355.0
2023-07-21,13.86,13.94,13.3,13.42,320184.0
2023-07-24,13.34,13.64,13.18,13.57,313828.0
2023-07-25,13.68,14.73,13.68,14.65,226038.0
2023-07-26,14.53,14.76,14.25,14.28,204695.0
2023-07-27,14.33,14.53,13.5,13.6,142174.0
2023-07-28,13.78,13.96,13.51,13.83,114613.0
2023-07-31,13.83,13.97,13.68,13.8,103700.0
2023-08-01,13.71,13.75,13.28,13.46,111520.0
2023-08-02,13.4,13.4,13.04,13.18,117474.0
2023-08-03,13.18,13.2149,12.87,13.17,114504.0
2023-08-04,13.08,13.6,13.08,13.35,97392.0
2023-08-07,13.39,13.52,13.18,13.38,61533.0
2023-08-08,13.13,13.14,12.84,12.99,105880.0
2023-08-09,12.95,12.95,12.53,12.63,117583.0
2023-08-10,12.38,12.64,12.23,12.57,241972.0
2023-08-11,12.41,12.82,12.39,12.61,130902.0
