date,open,high,low,close,volume
2023-01-11,114.63,117.79,114.3,116.22,823545.0
2023-01-12,116.87,119.48,116.69,119.43,1159490.0
2023-01-13,118.0,119.82,117.31,118.81,618219.0
2023-01-17,118.46,119.735,118.19,119.27,693180.0
2023-01-18,119.75,121.45,118.82,118.92,643863.0
2023-01-19,117.76,118.025,115.47,117.34,610193.0
2023-01-20,119.71,121.88,118.36,121.05,859114.0
2023-01-23,120.64,127.305,120.255,126.87,1392849.0
2023-01-24,125.8,127.43,124.55,126.3,619254.0
2023-01-25,125.02,125.39,122.535,123.98,785917.0
2023-01-26,125.26,125.77,122.205,124.21,829581.0
2023-01-27,119.9,123.25,118.325,122.82,1285133.0
2023-01-30,121.49,123.795,121.45,121.86,1004107.0
2023-01-31,122.35,124.07,121.59,123.85,978141.0
2023-02-01,123.96,128.06,123.36,127.73,1160437.0
2023-02-02,127.67,128.94,125.59,126.9,1087649.0
2023-02-03,124.7,128.59,123.2036,125.89,880986.0
2023-02-06,124.72,124.735,120.72,120.97,1297469.0
2023-02-07,120.21,122.52,119.4,122.3,929841.0
2023-02-08,114.75,118.25,113.67,117.08,2929541.0
2023-02-09,120.02,123.31,116.77,117.62,2474163.0
2023-02-10,117.11,118.73,115.15,118.21,1382042.0
2023-02-13,120.17,123.59,118.82,122.88,1442784.0
2023-02-14,121.71,122.8599,120.2,122.12,998389.0
2023-02-15,121.11,123.845,120.66,123.63,813404.0
2023-02-16,122.28,124.25,121.44,122.93,950190.0
2023-02-17,122.22,122.855,120.995,122.77,823310.0
2023-02-21,121.56,122.155,118.39,118.59,958714.0
2023-02-22,118.85,119.61,117.57,119.08,718672.0
2023-02-23,119.8,119.93,117.27,118.62,756593.0
2023-02-24,116.29,119.38,115.98,118.95,707715.0
2023-02-27,120.03,120.24,118.81,119.1,792269.0
2023-02-28,119.31,120.22,118.16,118.19,910064.0
2023-03-01,118.67,119.49,116.78,116.88,930960.0
2023-03-02,116.03,119.045,115.42,118.39,734941.0
2023-03-03,118.64,119.0482,117.41,118.89,915121.0
2023-03-06,119.15,119.228,116.885,117.04,964568.0
2023-03-07,117.3,118.3,116.1,116.33,668858.0
2023-03-08,116.44,117.06,115.29,116.24,630617.0
2023-03-09,116.5,117.11,114.41,114.7,607597.0
2023-03-10,114.83,115.46,111.79,113.33,781294.0
2023-03-13,111.1,113.81,110.17,110.72,1346406.0
2023-03-14,113.55,114.18,111.0,111.82,889850.0
2023-03-15,109.07,112.04,108.9,111.64,824122.0
2023-03-16,110.51,113.5025,109.88,112.18,917943.0
2023-03-17,111.77,112.56,110.2,110.92,934487.0
2023-03-20,111.82,114.15,111.34,112.06,724511.0
2023-03-21,114.37,115.66,114.025,114.53,623321.0
2023-03-22,114.29,115.275,111.89,111.89,616430.0
2023-03-23,112.72,114.06,109.61,111.44,675571.0
2023-03-24,110.6,111.66,109.22,111.09,794488.0
2023-03-27,112.13,113.03,110.24,112.78,1075199.0
2023-03-28,116.03,118.14,114.57,115.6,1148590.0
2023-03-29,117.01,117.1899,115.57,116.62,878191.0
2023-03-30,117.09,118.41,114.22,114.28,962919.0
2023-03-31,114.42,117.21,114.15,116.67,805704.0
2023-04-03,117.14,118.11,116.41,117.52,688798.0
2023-04-04,118.17,118.17,114.99,115.54,719442.0
2023-04-05,114.34,115.4,113.36,113.84,1116047.0
2023-04-06,113.04,113.635,110.88,112.06,825839.0
2023-04-10,111.65,117.02,111.28,116.91,1298712.0
2023-04-11,117.79,120.93,117.23,120.42,1399446.0
2023-04-12,121.97,122.34,117.87,118.25,1269347.0
2023-04-13,119.16,120.09,118.425,119.98,745435.0
2023-04-14,121.0,122.94,119.46,120.07,813608.0
2023-04-17,120.02,120.32,117.35,118.04,840350.0
2023-04-18,118.0,118.475,117.0,117.36,951679.0
2023-04-19,116.87,117.35,115.94,116.92,821493.0
2023-04-20,116.55,117.83,114.95,115.77,746008.0
2023-04-21,115.51,115.51,114.025,115.11,659364.0
2023-04-24,115.06,116.405,114.495,116.13,630571.0
2023-04-25,114.62,115.39,111.59,112.43,853357.0
2023-04-26,112.39,112.68,111.47,111.99,591053.0
2023-04-27,112.62,114.75,111.72,114.74,611143.0
2023-04-28,114.75,115.65,113.57,114.79,655931.0
2023-05-01,114.82,116.1,113.02,113.7,613554.0
2023-05-02,113.42,113.42,109.95,112.5,722655.0
2023-05-03,112.0,114.4,111.8365,112.35,783941.0
2023-05-04,111.73,111.9,109.615,109.84,699476.0
2023-05-05,111.91,113.98,111.165,113.84,713636.0
2023-05-08,115.19,115.92,110.81,111.74,736338.0
2023-05-09,110.53,111.27,109.69,110.72,684521.0
2023-05-10,112.51,112.51,108.285,109.76,623999.0
2023-05-11,111.45,113.27,110.25,110.97,760272.0
2023-05-12,111.2,112.5,110.42,112.36,588112.0
2023-05-15,112.81,113.62,111.835,113.25,1062565.0
2023-05-16,112.07,112.405,109.41,109.48,802800.0
2023-05-17,109.47,112.46,109.47,112.0,801147.0
2023-05-18,112.11,113.795,111.52,112.78,921837.0
2023-05-19,111.25,112.18,108.14,109.12,1113851.0
2023-05-22,108.75,109.615,107.81,108.82,1340791.0
2023-05-23,107.78,109.405,106.67,107.96,1099432.0
2023-05-24,108.48,109.11,106.325,108.22,1660539.0
2023-05-25,114.0,117.945,112.433,114.0,2641197.0
2023-05-26,114.19,114.545,111.93,112.76,1317351.0
2023-05-30,113.01,113.18,109.11,109.32,1260582.0
2023-05-31,108.23,108.4928,105.07,106.31,1167122.0
2023-06-01,105.45,106.87,103.17,106.09,1246808.0
2023-06-02,108.15,113.44,107.675,112.58,1820049.0
2023-06-05,112.59,114.659,111.75,113.18,1341103.0
2023-06-06,113.19,116.255,112.92,115.49,954565.0
2023-06-07,115.61,119.24,115.61,119.03,939722.0
2023-06-08,119.0,119.015,117.08,117.73,767558.0
2023-06-09,117.7,118.24,116.755,117.33,565784.0
2023-06-12,117.75,118.5,116.53,118.31,657108.0
2023-06-13,118.46,121.465,118.46,120.62,1226186.0
2023-06-14,120.49,122.72,120.49,121.74,1030443.0
2023-06-15,121.0,122.615,120.8444,121.47,772704.0
2023-06-16,123.03,123.6,122.44,123.18,992141.0
2023-06-20,122.47,124.33,121.8801,123.38,1046562.0
2023-06-21,123.5,124.23,122.49,123.65,836666.0
2023-06-22,123.65,124.81,122.58,122.78,727096.0
2023-06-23,121.12,121.12,119.07,119.62,836930.0
2023-06-26,119.89,122.16,118.65,118.71,684247.0
2023-06-27,118.9,121.81,118.32,121.5,607854.0
2023-06-28,121.4,123.27,120.96,122.06,788810.0
2023-06-29,121.8,124.21,121.43,123.11,650033.0
2023-06-30,123.5,123.93,122.3,123.3,664619.0
2023-07-03,123.4,124.32,122.0,123.69,818624.0
2023-07-05,122.69,124.99,122.31,124.55,2870243.0
2023-07-06,122.91,124.11,122.04,123.69,2162016.0
2023-07-07,122.09,123.695,121.19,122.55,1730837.0
2023-07-10,123.15,129.32,122.89,128.75,1243287.0
2023-07-11,129.24,132.3,128.77,130.85,1053368.0
2023-07-12,132.23,132.66,129.32,129.4,1321111.0
2023-07-13,128.82,129.29,126.495,126.68,851663.0
2023-07-14,127.15,127.6,124.67,125.38,602560.0
2023-07-17,123.81,126.14,122.75,125.99,728885.0
2023-07-18,125.71,128.48,125.465,128.34,701949.0
2023-07-19,127.95,128.8,126.84,128.6,597126.0
2023-07-20,128.72,128.725,127.06,127.21,512325.0
2023-07-21,128.05,128.335,125.86,126.16,561572.0
2023-07-24,125.94,128.6,125.735,128.52,555186.0
2023-07-25,128.52,128.52,126.76,128.15,708418.0
2023-07-26,127.65,129.59,127.59,128.27,585176.0
2023-07-27,129.12,129.27,125.935,126.47,590138.0
2023-07-28,128.08,128.44,126.94,127.68,589959.0
2023-07-31,129.34,132.47,129.15,131.33,733130.0
2023-08-01,130.9,132.52,130.51,131.8,526030.0
2023-08-02,130.6,132.435,129.59,131.48,719217.0
2023-08-03,131.1,132.77,130.32,132.21,671938.0
2023-08-04,132.68,135.755,131.57,131.74,851902.0
2023-08-07,132.26,133.58,130.96,131.62,823648.0
2023-08-08,130.0,130.435,128.22,130.15,726167.0
2023-08-09,129.81,130.82,127.245,128.49,1224518.0
2023-08-10,123.32,129.1119,122.18,122.3,2068968.0
2023-08-11,122.24,124.81,121.34,121.46,1362799.0
2023-08-14,121.15,121.8,119.4,121.07,1079591.0
2023-08-15,119.76,121.03,118.84,119.63,1053753.0
2023-08-16,119.45,120.3,117.6,117.75,1112294.0
2023-08-17,118.46,119.38,116.39,116.72,985642.0
2023-08-18,115.67,117.52,114.86,115.43,995591.0
2023-08-21,116.01,116.385,114.26,115.05,681037.0
2023-08-22,113.5,114.34,112.37,113.1,850162.0
2023-08-23,112.23,114.86,111.03,113.7,1150558.0
2023-08-24,113.58,114.54,112.4,112.49,802566.0
2023-08-25,113.93,114.3,111.36,111.85,570720.0
2023-08-28,112.33,114.2,112.01,113.79,968054.0
2023-08-29,113.97,115.91,112.88,115.87,778770.0
2023-08-30,115.95,116.95,115.1,116.19,694566.0
2023-08-31,116.01,117.73,115.26,116.63,805475.0
2023-09-01,117.43,118.445,116.59,118.33,743590.0
2023-09-05,117.69,120.0,116.08,117.34,783290.0
2023-09-06,116.58,118.17,116.53,117.67,765352.0
2023-09-07,116.87,117.035,114.925,116.29,742412.0
2023-09-08,116.59,117.57,115.61,116.95,423825.0
2023-09-11,117.57,118.0,116.095,116.49,649144.0
2023-09-12,116.24,118.239,116.24,117.41,548680.0
2023-09-13,117.12,117.265,113.93,114.21,525245.0
2023-09-14,115.11,115.38,114.335,115.04,763267.0
2023-09-15,115.14,115.46,113.255,113.86,987087.0
2023-09-18,116.81,117.19,114.65,114.72,825584.0
2023-09-19,114.56,114.93,113.63,114.23,622761.0
2023-09-20,114.72,116.14,114.43,115.07,576805.0
2023-09-21,114.22,114.22,111.88,112.24,604283.0
2023-09-22,113.52,114.0,111.73,112.14,464304.0
2023-09-25,111.53,113.61,111.53,113.18,601993.0
