date,open,high,low,close,volume
2023-01-11,31.6005,31.94,31.4364,31.75,10430
2023-01-12,32.0,32.175,31.695,32.0,17824
2023-01-13,31.74,32.41,31.41,32.29,14689
2023-01-17,32.08,33.06,32.015,32.54,62392
2023-01-18,32.83,32.93,32.19,32.56,18809
2023-01-19,32.55,32.57,31.8,32.08,37968
2023-01-20,32.34,33.15,32.03,33.12,68206
2023-01-23,33.0,33.58,33.0,33.2,22195
2023-01-24,32.85,33.2962,32.61,32.63,10634
2023-01-25,32.34,33.3329,32.29,33.23,23317
2023-01-26,32.97,33.5,32.97,33.5,7318
2023-01-27,33.34,33.91,32.9761,33.77,15641
2023-01-30,33.57,34.07,33.47,33.67,9523
2023-01-31,33.66,35.0,33.66,34.49,56072
2023-02-01,34.19,36.32,33.795,35.98,171067
2023-02-02,37.0178,37.15,36.49,37.03,28187
2023-02-03,36.56,38.335,36.3401,37.84,31579
2023-02-06,37.39,37.39,36.23,36.53,17149
2023-02-07,36.01,36.94,35.41,36.78,32495
2023-02-08,36.8,37.1495,36.225,36.78,31863
2023-02-09,37.46,38.34,34.12,34.44,212731
2023-02-10,34.4,34.785,32.58,32.84,58637
2023-02-13,32.97,33.23,32.68,33.16,79455
2023-02-14,33.0,33.85,32.9,33.72,35595
2023-02-15,33.68,34.25,33.28,34.01,56525
2023-02-16,33.85,34.3,33.6,33.93,57515
2023-02-17,34.04,34.11,33.55,33.63,65397
2023-02-21,32.75,33.405,31.9601,32.08,39468
2023-02-22,32.26,32.26,31.25,31.48,44833
2023-02-23,31.74,32.105,31.37,31.99,42537
2023-02-24,31.5,31.93,31.32,31.76,18194
2023-02-27,31.99,32.11,31.64,31.71,25583
2023-02-28,31.83,32.41,31.41,31.52,77045
2023-03-01,31.97,32.08,31.46,31.55,37266
2023-03-02,31.26,31.42,30.72,31.29,31088
2023-03-03,31.41,31.935,31.1287,31.84,25322
2023-03-06,31.94,31.94,30.615,31.02,84109
2023-03-07,31.21,31.21,30.115,30.57,48331
2023-03-08,30.59,30.91,30.165,30.45,38283
2023-03-09,30.51,30.51,29.24,29.3,40257
2023-03-10,29.09,29.1285,27.38,27.8,48376
2023-03-13,27.25,27.89,26.6,26.74,56779
2023-03-14,27.81,27.81,26.05,26.78,67665
2023-03-15,25.85,27.3194,25.2139,26.25,44181
2023-03-16,25.68,27.04,25.42,26.52,39000
2023-03-17,26.18,26.18,25.15,25.19,150610
2023-03-20,25.28,25.75,24.375,24.97,49199
2023-03-21,25.7,27.14,25.7,26.84,39007
2023-03-22,26.83,27.01,26.15,26.21,26515
2023-03-23,26.42,26.6,24.51,25.05,25697
2023-03-24,24.83,25.23,24.63,25.12,23102
2023-03-27,25.42,25.715,25.25,25.49,28127
2023-03-28,25.55,25.96,25.4639,25.64,21622
2023-03-29,25.87,26.14,25.63,26.12,21947
2023-03-30,26.29,26.2946,25.41,25.54,12896
2023-03-31,25.55,26.17,25.55,26.09,39219
2023-04-03,26.56,26.56,25.6111,26.23,41511
2023-04-04,26.03,26.05,25.31,25.55,23446
2023-04-05,25.51,25.8,25.14,25.46,27386
2023-04-06,25.58,25.92,25.468,25.74,9506
2023-04-10,25.43,26.04,25.32,25.89,22120
2023-04-11,26.07,26.4,25.96,26.29,27202
2023-04-12,26.69,26.69,26.02,26.18,9698
2023-04-13,26.12,26.6,26.07,26.53,14170
2023-04-14,26.39,26.64,26.16,26.51,16124
2023-04-17,26.21,26.87,26.19,26.75,14229
2023-04-18,26.68,26.84,26.37,26.59,14810
2023-04-19,26.58,26.9399,26.28,26.76,13117
2023-04-20,26.98,27.32,26.51,27.17,13439
2023-04-21,27.13,27.295,26.76,26.89,21476
2023-04-24,26.81,27.08,26.7,26.96,18043
2023-04-25,26.55,27.25,25.46,25.66,57743
2023-04-26,25.41,26.02,25.36,25.97,16886
2023-04-27,26.12,27.11,26.12,27.0,11969
2023-04-28,26.91,27.62,26.33,26.76,24213
2023-05-01,26.83,27.15,26.18,26.53,18166
2023-05-02,26.69,26.69,25.52,25.56,30600
2023-05-03,25.85,26.4737,25.27,25.43,24926
2023-05-04,26.0,26.805,25.55,26.33,26663
2023-05-05,26.92,27.3499,26.32,27.13,19875
2023-05-08,27.5,27.61,26.665,26.69,19083
2023-05-09,26.4,26.85,26.02,26.53,15826
2023-05-10,26.97,26.97,25.73,25.8,13273
2023-05-11,25.5,25.84,25.43,25.71,13940
2023-05-12,25.71,25.91,25.19,25.65,8744
2023-05-15,25.65,26.3051,25.65,25.9,13433
2023-05-16,25.83,25.92,25.175,25.38,7384
2023-05-17,25.38,26.94,25.38,26.85,11837
2023-05-18,26.81,27.31,26.4,27.12,15984
2023-05-19,27.22,27.22,26.6,26.6,6082
2023-05-22,26.72,26.72,26.285,26.46,10250
2023-05-23,26.06,27.16,26.06,26.74,16484
2023-05-24,26.58,26.58,25.7696,25.88,14255
2023-05-25,25.69,25.69,24.98,25.0,13186
2023-05-26,25.02,25.76,24.7,25.31,123437
2023-05-30,25.44,26.98,25.2417,26.36,20944
2023-05-31,26.4,26.8295,25.745,26.15,54791
2023-06-01,26.33,26.44,25.73,26.44,67922
2023-06-02,26.77,27.31,26.56,27.26,79929
2023-06-05,27.41,28.14,26.9,27.36,29268
2023-06-06,27.23,30.6,27.23,30.26,21431
2023-06-07,30.26,32.09,30.26,31.53,41260
2023-06-08,31.81,31.81,30.42,30.55,21224
2023-06-09,30.47,30.69,29.36,29.5,19623
2023-06-12,29.57,31.02,29.57,30.72,33001
2023-06-13,30.53,31.51,30.24,31.23,23090
2023-06-14,31.38,31.38,30.15,30.52,31303
2023-06-15,31.38,31.38,30.04,30.42,39043
2023-06-16,31.07,31.09,30.11,30.13,29335
2023-06-20,30.16,30.32,29.2598,30.14,26282
2023-06-21,30.75,30.9125,30.42,30.61,26322
2023-06-22,30.45,30.45,29.585,29.63,14386
2023-06-23,29.09,30.16,28.92,29.72,159525
2023-06-26,29.57,30.315,27.55,28.46,90429
2023-06-27,28.03,29.68,27.86,29.58,37435
2023-06-28,29.37,30.345,29.1449,30.03,26974
2023-06-29,30.26,30.98,29.995,30.6,18326
2023-06-30,30.73,30.73,29.8218,30.5,73768
2023-07-03,30.06,30.9,29.972,30.68,11783
2023-07-05,30.21,31.64,30.21,31.18,26468
2023-07-06,31.0,31.5399,30.3101,31.17,28016
2023-07-07,31.14,31.9,31.14,31.3,97273
2023-07-10,31.68,32.3484,31.45,31.53,31762
2023-07-11,31.96,32.26,30.96,31.67,68901
2023-07-12,32.42,32.92,32.28,32.91,38294
2023-07-13,33.41,33.75,33.11,33.59,23575
2023-07-14,33.58,33.765,32.47,32.64,17231
2023-07-17,32.82,33.66,32.82,33.32,40541
2023-07-18,33.53,34.5173,33.53,33.99,25583
2023-07-19,34.32,34.53,33.93,34.45,33733
2023-07-20,34.6,34.6,33.2701,33.8,36358
2023-07-21,34.05,34.05,33.0,33.37,17433
2023-07-24,33.46,33.56,32.7,32.98,41675
2023-07-25,32.98,34.34,32.98,33.89,48277
2023-07-26,33.82,34.531,32.92,33.26,34052
2023-07-27,33.48,33.545,32.75,32.85,35262
2023-07-28,33.14,33.38,32.76,32.8,16008
2023-07-31,32.83,33.03,32.22,32.49,69497
2023-08-01,32.19,33.445,32.19,33.16,52979
2023-08-02,32.3991,32.91,31.89,32.11,73176
2023-08-03,33.99,33.99,31.34,32.74,74724
2023-08-04,32.64,32.64,31.63,31.67,30922
2023-08-07,31.15,31.36,30.45,30.89,48489
2023-08-08,30.52,30.94,30.49,30.81,37055
2023-08-09,30.64,30.69,30.0176,30.43,18358
2023-08-10,30.67,30.67,29.7042,29.75,16450
2023-08-11,29.74,29.76,28.97,29.07,21335
2023-08-14,28.84,28.84,28.12,28.31,24286
2023-08-15,27.94,28.015,27.16,27.48,60917
2023-08-16,27.46,27.9,27.22,27.44,37242
2023-08-17,27.69,27.69,27.2701,27.46,18349
2023-08-18,27.27,28.04,27.27,27.97,45663
2023-08-21,27.81,28.18,27.38,27.45,31492
2023-08-22,27.25,27.56,27.051,27.38,55296
