date,open,high,low,close,volume
2023-01-11,36.9,37.245,36.78,37.15,98078.0
2023-01-12,37.26,38.14,37.26,37.95,154538.0
2023-01-13,37.6,38.09,37.1,37.97,116143.0
2023-01-17,37.81,37.93,37.27,37.51,96262.0
2023-01-18,37.38,37.38,35.78,35.8,902035.0
2023-01-19,35.67,35.9,35.19,35.47,178222.0
2023-01-20,36.0,36.2,35.33,36.03,238926.0
2023-01-23,36.01,36.25,35.784,36.06,144585.0
2023-01-24,36.06,36.245,35.59,36.17,107444.0
2023-01-25,36.24,36.24,33.53,34.5,428427.0
2023-01-26,34.75,34.985,33.97,34.6,251763.0
2023-01-27,34.48,34.905,34.4,34.78,148027.0
2023-01-30,34.6,35.2328,34.58,34.76,209790.0
2023-01-31,34.61,35.78,34.61,35.58,255029.0
2023-02-01,35.26,36.7,35.005,36.2,308736.0
2023-02-02,36.2,37.77,35.9,37.74,297660.0
2023-02-03,37.46,38.29,37.34,38.23,268819.0
2023-02-06,38.2,38.405,36.94,37.51,165800.0
2023-02-07,37.16,38.08,37.05,37.98,178552.0
2023-02-08,37.66,37.96,35.85,37.61,168203.0
2023-02-09,37.65,38.05,36.85,37.19,194525.0
2023-02-10,37.08,37.4,37.04,37.22,101150.0
2023-02-13,37.16,37.61,37.1077,37.59,99511.0
2023-02-14,37.56,37.79,36.67,37.6,182658.0
2023-02-15,37.51,38.13,37.4,37.95,161693.0
2023-02-16,37.76,38.075,37.25,37.57,162269.0
2023-02-17,37.63,37.985,37.24,37.38,204903.0
2023-02-21,37.19,37.445,36.61,36.61,154497.0
2023-02-22,36.66,36.93,36.18,36.28,204929.0
2023-02-23,36.5,37.14,36.355,36.87,164700.0
2023-02-24,36.49,36.83,36.21,36.47,167792.0
2023-02-27,36.64,36.975,36.03,36.16,90763.0
2023-02-28,36.2,36.57,35.94,35.98,196879.0
2023-03-01,35.81,35.98,35.38,35.6,143990.0
2023-03-02,35.32,36.1198,34.87,35.28,176982.0
2023-03-03,35.41,35.78,34.88,35.72,198985.0
2023-03-06,35.67,35.97,34.18,34.41,275461.0
2023-03-07,34.41,34.41,33.34,33.6,222889.0
2023-03-08,33.63,33.7,33.16,33.47,167873.0
2023-03-09,33.31,33.31,31.52,31.62,206466.0
2023-03-10,31.24,32.11,29.99,32.05,384937.0
2023-03-13,30.83,32.8,28.64,31.07,488338.0
2023-03-14,33.23,33.58,31.0501,31.49,369186.0
2023-03-15,30.06,31.49,29.9,31.27,329832.0
2023-03-16,30.46,33.27,30.39,32.46,267519.0
2023-03-17,31.65,31.65,30.5,31.05,884863.0
2023-03-20,31.25,32.5387,30.75,30.79,306546.0
2023-03-21,31.81,33.7,31.5984,31.71,262722.0
2023-03-22,31.68,32.19,30.43,30.51,279866.0
2023-03-23,30.54,30.67,29.42,29.99,260035.0
2023-03-24,29.77,31.29,29.39,31.06,217941.0
2023-03-27,31.58,32.475,31.01,31.19,186184.0
2023-03-28,31.2,31.56,30.77,31.25,161877.0
2023-03-29,31.42,31.5155,30.73,31.21,228044.0
2023-03-30,31.5,31.5,29.9,30.06,184093.0
2023-03-31,30.23,30.8,29.959,30.58,248179.0
2023-04-03,30.61,30.92,30.14,30.71,211040.0
2023-04-04,30.79,30.79,28.8001,30.13,232309.0
2023-04-05,29.86,30.01,29.52,29.66,200215.0
2023-04-06,28.96,29.97,28.96,29.89,200247.0
2023-04-10,29.86,30.51,29.59,30.09,242139.0
2023-04-11,30.27,30.39,29.5,29.56,149612.0
2023-04-12,29.72,30.51,29.05,29.22,206758.0
2023-04-13,29.18,29.58,29.0,29.28,197413.0
2023-04-14,29.58,29.935,28.3,28.51,168066.0
2023-04-17,28.45,29.44,28.135,29.42,240374.0
2023-04-18,29.39,29.57,28.19,28.53,168063.0
2023-04-19,28.65,29.29,28.15,29.08,188876.0
2023-04-20,28.87,28.91,28.24,28.59,182255.0
2023-04-21,28.54,28.54,27.84,28.09,197650.0
2023-04-24,27.91,28.52,27.91,28.04,175411.0
2023-04-25,27.75,27.75,26.55,27.13,268999.0
2023-04-26,26.85,27.645,26.57,27.48,244511.0
2023-04-27,27.44,28.28,27.4,28.14,188936.0
2023-04-28,28.0,28.72,27.8482,28.12,230556.0
2023-05-01,28.14,28.31,27.45,27.71,169008.0
2023-05-02,27.58,28.155,25.97,26.22,238936.0
2023-05-03,26.3,26.86,25.74,25.85,259322.0
2023-05-04,25.45,26.04,24.82,25.64,406341.0
2023-05-05,26.22,26.75,25.74,26.54,268515.0
2023-05-08,26.84,27.9031,25.6,25.63,156037.0
2023-05-09,25.49,25.62,24.06,24.17,348365.0
2023-05-10,24.68,25.31,23.97,24.35,408739.0
2023-05-11,24.07,24.26,23.685,23.93,159145.0
2023-05-12,24.08,24.24,23.47,24.2,173214.0
2023-05-15,24.29,25.14,23.915,24.88,173343.0
2023-05-16,24.96,25.28,24.6,24.64,252338.0
2023-05-17,25.08,26.55,25.055,26.34,270526.0
2023-05-18,26.33,26.57,25.745,26.23,279250.0
2023-05-19,26.67,26.78,25.485,25.87,244203.0
2023-05-22,26.11,26.64,25.8,26.54,140179.0
2023-05-23,26.53,27.56,26.36,27.0,230179.0
2023-05-24,26.85,27.08,26.42,26.84,211056.0
2023-05-25,26.64,27.13,26.25,26.69,229095.0
2023-05-26,26.64,27.15,26.295,27.1,117079.0
2023-05-30,27.08,27.08,26.845,26.845,1528.0
2023-05-31,26.69,26.81,26.01,26.12,212714.0
2023-06-01,26.27,27.0,25.98,26.57,207338.0
2023-06-02,26.98,29.09,26.94,28.88,351742.0
2023-06-05,28.62,28.62,27.45,27.54,329374.0
2023-06-06,27.52,29.65,27.52,28.89,380711.0
2023-06-07,29.29,30.96,28.96,30.45,327480.0
2023-06-08,30.31,30.43,29.58,29.84,310771.0
2023-06-09,29.76,29.915,29.4,29.72,198955.0
2023-06-12,29.74,30.45,29.36,29.56,293173.0
2023-06-13,29.7,30.47,29.48,30.22,240869.0
2023-06-14,30.2,30.6199,29.13,29.24,319983.0
2023-06-15,28.82,29.95,28.39,29.88,250881.0
2023-06-16,30.22,30.23,29.04,29.48,796325.0
2023-06-20,29.4,29.4,28.68,28.95,212819.0
2023-06-21,28.89,29.06,28.46,28.59,177485.0
2023-06-22,28.49,28.77,27.32,27.54,217317.0
2023-06-23,27.07,27.63,26.81,27.25,430548.0
2023-06-26,27.41,27.995,27.25,27.31,215296.0
2023-06-27,27.36,28.12,27.0,27.29,159930.0
2023-06-28,27.1,27.1,26.63,26.75,188984.0
2023-06-29,26.94,27.33,26.565,26.71,211389.0
2023-06-30,26.96,27.73,25.99,26.13,248570.0
2023-07-03,26.08,26.67,25.905,26.53,95948.0
2023-07-05,26.28,26.54,25.945,26.27,174830.0
2023-07-06,25.93,26.13,25.45,25.95,197126.0
2023-07-07,26.05,26.79,26.04,26.51,156925.0
2023-07-10,26.41,27.18,26.41,26.82,194338.0
2023-07-11,26.95,27.33,26.4997,27.28,162037.0
2023-07-12,27.84,28.29,27.71,28.03,228989.0
2023-07-13,28.24,28.59,27.96,28.36,167940.0
2023-07-14,28.54,28.54,27.26,27.59,190448.0
2023-07-17,27.42,28.23,27.42,28.05,198829.0
2023-07-18,28.04,29.37,28.04,29.32,164501.0
2023-07-19,29.35,30.46,29.09,30.42,229242.0
2023-07-20,30.36,30.36,29.52,29.72,256876.0
2023-07-21,30.01,30.05,29.32,29.54,243685.0
2023-07-24,29.38,30.27,29.38,30.08,268792.0
2023-07-25,30.07,30.405,29.48,29.69,230003.0
2023-07-26,30.89,31.635,30.44,31.55,341322.0
2023-07-27,31.55,31.93,30.26,30.69,300939.0
2023-07-28,30.91,31.03,30.47,30.67,141087.0
2023-07-31,30.61,31.25,30.61,30.94,222194.0
2023-08-01,30.85,30.85,30.08,30.54,116865.0
2023-08-02,30.02,30.64,29.9,30.12,151381.0
2023-08-03,30.16,30.8,29.87,30.47,133668.0
2023-08-04,30.4,31.02,30.39,30.8,149421.0
2023-08-07,30.86,31.56,30.64,31.48,145803.0
2023-08-08,30.73,31.15,30.035,31.09,137932.0
2023-08-09,30.74,30.99,29.5,30.83,148403.0
2023-08-10,30.85,31.29,30.55,30.87,179363.0
2023-08-11,30.67,31.16,30.61,30.92,139627.0
2023-08-14,30.67,30.7,30.18,30.6,174780.0
2023-08-15,30.13,30.3975,29.8,29.86,223720.0
2023-08-16,29.7,30.06,29.14,29.25,118213.0
2023-08-17,29.47,29.685,29.19,29.34,114754.0
2023-08-18,29.06,29.765,29.06,29.55,299363.0
2023-08-21,29.6,29.91,28.78,28.8,139202.0
2023-08-22,28.75,28.8,27.94,28.11,200297.0
2023-08-23,28.05,28.57,28.05,28.24,123194.0
2023-08-24,28.1,28.79,28.04,28.32,156142.0
2023-08-25,28.45,28.985,27.74,28.03,104556.0
2023-08-28,28.25,28.74,28.13,28.19,91544.0
2023-08-29,28.29,28.645,27.91,28.17,108514.0
2023-08-30,28.12,28.33,27.71,27.93,101300.0
2023-08-31,27.92,28.24,27.7,27.85,252334.0
2023-09-01,28.13,28.585,27.97,28.38,214229.0
2023-09-05,28.2,28.385,27.08,27.13,208212.0
2023-09-06,27.21,27.61,26.46,26.75,200664.0
2023-09-07,26.71,26.88,26.27,26.46,199507.0
2023-09-08,26.49,26.65,25.99,26.28,140818.0
2023-09-11,26.48,26.76,25.96,26.06,157984.0
2023-09-12,26.13,26.39,25.96,26.26,123066.0
2023-09-13,26.35,26.52,25.73,25.89,135131.0
2023-09-14,25.99,26.51,25.91,26.46,198479.0
2023-09-15,26.32,26.64,26.0,26.22,740953.0
2023-09-18,26.28,26.28,25.77,25.86,167968.0
2023-09-19,25.93,26.13,25.29,25.58,189379.0
2023-09-20,25.79,25.96,25.16,25.2,123600.0
2023-09-21,25.03,25.37,24.83,25.0,242222.0
2023-09-22,25.05,25.34,24.84,25.06,218640.0
2023-09-25,25.03,25.61,24.97,25.59,216542.0
2023-09-26,25.35,25.84,24.41,25.1,279647.0
2023-09-27,25.1,25.385,24.94,25.09,254535.0
2023-09-28,25.17,26.01,24.81,25.66,312665.0
2023-09-29,25.97,26.48,25.745,26.19,396551.0
2023-10-02,26.17,26.205,25.434,25.66,260637.0
2023-10-03,25.45,25.78,25.11,25.69,228573.0
2023-10-04,25.72,26.09,25.44,25.9,178024.0
2023-10-05,25.88,26.34,25.86,26.28,233478.0
2023-10-06,25.99,26.49,25.83,26.06,213618.0
2023-10-09,25.94,26.3,25.89,26.05,132932.0
2023-10-10,26.16,26.315,25.97,26.14,234574.0
2023-10-11,26.2,26.52,25.95,26.05,124839.0
2023-10-12,25.93,25.93,25.305,25.69,175730.0
2023-10-13,26.0,26.115,24.92,24.92,207104.0
2023-10-16,25.26,25.575,25.05,25.29,201856.0
2023-10-17,25.21,26.53,25.21,26.16,217426.0
2023-10-18,25.78,25.84,25.3,25.51,126222.0
2023-10-19,25.62,25.74,25.07,25.11,165726.0
2023-10-20,25.13,25.18,24.214,24.4,229402.0
2023-10-23,24.2,24.72,24.04,24.19,142605.0
2023-10-24,24.29,24.29,22.99,23.89,273520.0
2023-10-25,24.61,24.89,23.955,24.54,291079.0
2023-10-26,24.35,24.91,24.32,24.68,178469.0
2023-10-27,24.55,24.55,23.51,23.91,286974.0
2023-10-30,23.84,24.59,23.84,24.32,138690.0
2023-10-31,24.04,24.62,24.04,24.39,163319.0
2023-11-01,24.22,24.6,24.02,24.36,134488.0
2023-11-02,24.88,26.23,24.77,26.03,270259.0
2023-11-03,26.87,27.44,26.69,27.14,286770.0
2023-11-06,27.0,27.06,26.62,26.64,198581.0
2023-11-07,26.4,26.59,25.84,26.23,142902.0
2023-11-08,26.21,26.21,25.43,25.69,144395.0
2023-11-09,25.67,25.7882,25.22,25.5,153552.0
2023-11-10,25.48,25.98,25.195,25.77,185739.0
2023-11-13,25.48,26.04,25.07,25.87,150601.0
2023-11-14,27.22,28.22,26.62,28.02,249788.0
2023-11-15,28.03,28.64,28.03,28.34,216904.0
2023-11-16,28.39,28.56,27.57,28.15,275232.0
2023-11-17,28.22,28.83,27.82,28.39,300643.0
