date,open,high,low,close,volume
2023-01-11,27.64,28.21,27.46,28.16,72238.0
2023-01-12,28.29,29.07,28.055,29.03,118042.0
2023-01-13,28.66,28.8427,26.98,27.64,201509.0
2023-01-17,27.53,27.63,26.235,26.41,274246.0
2023-01-18,26.67,27.53,26.62,26.74,184148.0
2023-01-19,26.69,26.69,25.245,25.71,170214.0
2023-01-20,26.14,26.388,25.5851,26.14,310295.0
2023-01-23,26.14,26.72,26.07,26.26,155443.0
2023-01-24,26.16,26.49,26.13,26.31,137049.0
2023-01-25,26.11,27.38,25.84,27.32,116790.0
2023-01-26,27.46,27.77,26.935,27.19,122524.0
2023-01-27,27.08,28.2,26.92,27.92,126246.0
2023-01-30,27.64,28.1,27.47,27.6,92685.0
2023-01-31,27.64,28.33,27.63,28.29,203121.0
2023-02-01,28.18,28.67,27.48,28.32,119552.0
2023-02-02,28.58,29.01,28.455,28.98,99577.0
2023-02-03,28.7,28.97,28.51,28.71,73006.0
2023-02-06,28.48,28.7102,27.85,28.15,115064.0
2023-02-07,28.05,28.25,27.45,28.17,146328.0
2023-02-08,28.01,28.26,27.63,27.71,177935.0
2023-02-09,27.73,28.26,27.12,27.16,164797.0
2023-02-10,26.47,27.7,26.47,26.59,231311.0
2023-02-13,26.61,27.313,26.34,27.13,268969.0
2023-02-14,27.04,28.63,26.92,28.36,208491.0
2023-02-15,28.07,30.32,27.938,30.13,213087.0
2023-02-16,29.66,30.94,28.02,29.54,283478.0
2023-02-17,29.73,29.77,28.25,29.25,158821.0
2023-02-21,28.86,29.426,27.31,27.37,197730.0
2023-02-22,27.42,27.6,26.55,26.64,159774.0
2023-02-23,26.79,27.7425,26.69,27.07,125245.0
2023-02-24,26.65,27.57,26.44,27.56,105488.0
2023-02-27,27.66,28.03,27.28,27.33,96252.0
2023-02-28,27.33,27.69,26.76,27.05,158566.0
2023-03-01,27.08,27.82,27.08,27.39,109446.0
2023-03-02,27.16,27.76,26.765,27.43,75964.0
2023-03-03,27.52,28.26,27.05,28.1,194320.0
2023-03-06,28.08,28.1,27.49,27.97,194423.0
2023-03-07,28.0,28.23,27.17,27.87,235422.0
2023-03-08,27.86,27.86,27.25,27.49,163019.0
2023-03-09,27.61,27.61,26.24,26.29,196850.0
2023-03-10,26.21,26.34,25.13,25.38,227346.0
2023-03-13,24.8,25.88,24.57,25.5,180898.0
2023-03-14,26.18,26.625,26.09,26.37,255054.0
2023-03-15,25.6,26.185,24.98,26.15,623283.0
2023-03-16,25.71,27.63,25.57,26.85,257402.0
2023-03-17,26.45,26.82,26.08,26.14,331950.0
2023-03-20,26.4,26.95,26.0375,26.77,208421.0
2023-03-21,27.12,27.8,27.12,27.64,147502.0
2023-03-22,27.52,27.59,26.63,26.63,109718.0
2023-03-23,26.76,27.12,26.28,26.59,122558.0
2023-03-24,26.35,26.97,26.0,26.75,130610.0
2023-03-27,27.03,27.16,26.59,26.8,127011.0
2023-03-28,26.65,27.02,26.57,26.8,115549.0
2023-03-29,27.17,27.17,26.27,26.8,162314.0
2023-03-30,27.1,27.145,26.49,26.71,89368.0
2023-03-31,26.97,27.11,26.72,26.94,178104.0
2023-04-03,26.95,27.0386,25.735,25.86,136348.0
2023-04-04,25.98,26.28,24.925,25.01,155453.0
2023-04-05,24.8,24.84,24.1218,24.75,225541.0
2023-04-06,24.77,25.11,24.57,24.93,105565.0
2023-04-10,24.65,25.33,24.65,25.22,158966.0
2023-04-11,25.29,25.84,25.19,25.31,145573.0
2023-04-12,25.52,26.0825,25.28,25.63,90887.0
2023-04-13,25.78,25.78,24.98,25.28,115705.0
2023-04-14,25.34,25.54,24.885,24.94,98183.0
