date,open,high,low,close,volume
2023-01-11,57.12,59.22,56.64,59.04,95248.666667
2023-01-12,59.46,61.32,58.8,61.26,68314.166667
2023-01-13,60.72,60.84,60.09,60.36,42626.333333
2023-01-17,60.12,62.16,60.12,61.38,68279.666667
2023-01-18,61.86,62.04,59.88,60.36,53367.5
2023-01-19,59.94,60.42,59.64,59.88,49687.333333
2023-01-20,59.94,60.42,59.1,60.3,59682.333333
2023-01-23,60.24,61.17,59.88,61.02,35851.0
2023-01-24,60.72,61.2,60.36,60.96,31732.833333
2023-01-25,60.66,61.02,60.27,61.02,25187.0
2023-01-26,61.5,61.8,60.78,61.5,32674.333333
2023-01-27,61.44,62.7,61.32,62.34,34429.166667
2023-01-30,61.86,62.16,60.72,60.78,23055.666667
2023-01-31,60.96,63.15,60.72,62.88,83985.166667
2023-02-01,62.88,64.44,62.1,63.6,94170.5
2023-02-02,64.32,66.3,64.11,65.34,59971.0
2023-02-03,64.38,64.98,63.81,64.74,77152.333333
2023-02-06,64.38,64.38,62.76,63.84,41721.333333
2023-02-07,63.24,64.41,62.52,63.3,54479.333333
2023-02-08,62.7,63.3,62.13,62.4,26864.666667
2023-02-09,62.82,63.36,60.99,61.14,75465.333333
2023-02-10,61.2,62.88,61.2,62.52,69434.666667
2023-02-13,62.1,63.54,62.1,63.42,57489.833333
2023-02-14,62.94,64.05,62.64,62.88,57991.833333
2023-02-15,62.46,63.66,62.4,63.6,57083.5
2023-02-16,64.8,66.24,62.64,65.04,78028.166667
2023-02-17,65.1,65.4,63.99,64.8,94421.666667
2023-02-21,62.22,64.2,61.164,62.28,101811.166667
2023-02-22,62.52,63.63,62.22,62.58,126361.5
2023-02-23,62.94,63.96,62.34,63.54,93908.0
2023-02-24,62.64,63.66,62.34,63.24,73352.333333
2023-02-27,63.96,65.01,63.36,63.84,85824.666667
2023-02-28,63.66,65.28,63.6,64.32,133356.166667
2023-03-01,63.96,64.8,62.61,64.44,117140.0
2023-03-02,64.02,64.5,63.78,64.2,46390.833333
2023-03-03,64.56,64.92,63.84,64.56,45090.166667
2023-03-06,64.5,64.8,63.24,63.48,51910.833333
2023-03-07,63.48,63.96,61.38,61.92,43126.833333
2023-03-08,62.16,62.52,61.26,62.22,111959.666667
2023-03-09,62.1,62.46,60.6,60.6,63152.0
2023-03-10,60.42,60.6,57.18,58.08,103185.5
2023-03-13,56.94,58.38,56.814,57.3,111818.0
2023-03-14,58.98,60.3,58.5,59.22,87231.166667
2023-03-15,57.6,58.83,57.3,58.74,107318.333333
2023-03-16,58.02,58.92,55.86,57.36,81959.833333
2023-03-17,55.44,55.44,53.52,53.58,289989.833333
2023-03-20,54.06,56.13,54.06,54.9,105074.666667
2023-03-21,55.8,57.06,55.8,56.4,138283.666667
2023-03-22,56.16,56.16,52.68,52.8,112790.333333
2023-03-23,52.86,53.55,52.29,52.68,116118.833333
2023-03-24,51.9,53.91,51.72,53.7,91172.166667
2023-03-27,54.6,54.8994,53.94,54.18,52766.833333
2023-03-28,53.7,54.12,53.28,53.82,69876.5
2023-03-29,54.3,54.66,53.58,54.6,91593.0
