date,open,high,low,close,volume
2023-01-11,35.1,35.3133,34.5733,34.8133,263734.5
2023-01-12,34.9,35.0867,34.5133,34.86,293415.0
2023-01-13,34.6,34.7733,34.4933,34.52,201043.5
2023-01-17,34.3933,34.6933,34.08,34.1,272731.5
2023-01-18,34.08,34.5067,34.08,34.24,249780.0
2023-01-19,34.22,34.3167,33.4733,33.84,220198.5
2023-01-20,34.0667,34.0667,33.6133,33.8467,517716.0
2023-01-23,33.8467,34.02,33.5533,33.7733,216598.5
2023-01-24,33.7733,34.5,33.44,34.4333,468303.0
2023-01-25,34.4467,34.68,34.22,34.5067,222505.5
2023-01-26,34.5933,35.34,34.4533,35.2533,375450.0
2023-01-27,35.6133,35.6133,34.8333,35.0333,299589.0
2023-01-30,34.92,35.4267,34.7793,34.8,342271.5
2023-01-31,34.9933,35.8867,34.86,35.8733,690418.5
2023-02-01,35.8733,37.34,35.811,37.16,544240.5
2023-02-02,37.1933,38.4867,37.1933,38.2,387756.0
2023-02-03,37.94,38.4,37.9367,37.9933,219435.0
2023-02-06,37.7533,38.08,37.2333,37.3667,320530.5
2023-02-07,37.1667,37.28,36.66,37.16,257880.0
2023-02-08,36.9267,37.3,36.28,36.28,245872.5
2023-02-09,36.6533,37.1167,36.3533,36.7,242200.5
2023-02-10,36.7,37.0133,36.4333,36.88,300196.5
2023-02-13,37.0067,38.0067,36.9433,37.9,348237.0
2023-02-14,37.7533,38.14,37.4615,38.02,276406.5
2023-02-15,37.6533,38.4667,37.4867,38.4267,352021.5
2023-02-16,38.4067,41.2133,38.12,40.9,784642.5
2023-02-17,41.3267,41.4667,39.8733,40.1067,482305.5
2023-02-21,39.6267,39.68,37.96,38.0467,363375.0
2023-02-22,38.1533,38.6167,37.9333,37.9667,341614.5
2023-02-23,38.08,38.4233,37.88,38.1067,253102.5
2023-02-24,37.8067,37.9267,37.4133,37.8133,227620.5
2023-02-27,38.1133,38.5733,38.0533,38.2067,262959.0
2023-02-28,38.1533,38.4133,37.6,37.7867,404698.5
2023-03-01,37.8333,38.62,37.74,38.3133,209644.5
2023-03-02,38.0067,38.5867,37.8933,38.4267,176851.5
2023-03-03,38.56,38.7467,38.21,38.5333,141606.0
2023-03-06,38.5333,38.6433,37.5667,37.7533,182085.0
2023-03-07,37.7933,38.4067,37.5133,37.6733,156375.0
2023-03-08,37.62,37.8733,36.9533,37.1467,316905.0
2023-03-09,37.3267,37.48,36.6467,36.6933,160324.5
2023-03-10,36.62,37.0333,36.1067,36.36,331596.0
2023-03-13,35.7467,35.9333,34.6267,34.9867,338014.5
2023-03-14,35.8333,36.2267,34.93,35.4933,297160.5
2023-03-15,34.4267,35.0933,34.2733,35.04,373623.0
2023-03-16,34.52,35.5533,34.43,35.38,255441.0
2023-03-17,35.0867,35.3267,34.2867,34.4067,467727.0
2023-03-20,34.78,35.4267,34.5667,34.9733,272307.0
2023-03-21,35.5533,36.2067,35.2067,35.5133,237114.0
2023-03-22,35.4533,35.8133,34.7733,34.7733,187159.5
2023-03-23,34.8933,35.4967,34.4667,34.5267,242191.5
2023-03-24,34.32,34.9467,34.0333,34.74,313435.5
2023-03-27,34.9333,35.36,34.6667,35.1933,351120.0
2023-03-28,35.16,35.5733,35.16,35.3733,141072.0
2023-03-29,35.72,35.8333,35.4067,35.7267,182770.5
