date,open,high,low,close,volume
2023-01-11,22.99,23.8,22.82,23.77,935321.0
2023-01-12,24.03,24.05,22.82,23.78,731062.0
2023-01-13,23.31,23.96,23.1892,23.94,716742.0
2023-01-17,24.1,24.57,23.4,24.02,1362388.0
2023-01-18,24.33,25.05,23.39,23.69,1010403.0
2023-01-19,23.53,23.6,22.8294,23.15,769405.0
2023-01-20,23.75,25.16,23.57,25.04,1711157.0
2023-01-23,25.28,27.58,24.97,26.68,1717984.0
2023-01-24,26.5,26.98,25.8,26.58,779419.0
2023-01-25,25.65,27.17,24.6,27.12,1222876.0
2023-01-26,27.88,28.155,26.19,26.65,1113076.0
2023-01-27,26.65,28.07,26.58,28.04,1083000.0
2023-01-30,27.21,28.25,27.0,27.57,1742358.0
2023-01-31,27.57,28.9738,27.57,28.54,1826173.0
2023-02-01,28.54,30.29,27.88,29.79,1936915.0
2023-02-02,30.46,32.59,29.91,30.81,2559645.0
2023-02-03,29.75,31.65,29.1112,30.33,1066503.0
2023-02-06,29.92,30.4,28.755,29.04,1125520.0
2023-02-07,28.81,29.585,28.39,28.95,1327608.0
2023-02-08,28.73,29.02,27.13,27.66,1763515.0
2023-02-09,28.09,28.65,25.88,25.96,2141905.0
2023-02-10,25.19,25.38,24.09,25.21,1979995.0
2023-02-13,25.35,26.56,24.84,26.54,1425506.0
2023-02-14,26.17,26.64,25.07,26.44,1056626.0
2023-02-15,26.35,27.37,25.58,27.26,1094029.0
2023-02-16,26.39,27.16,25.8,25.96,1058753.0
2023-02-17,25.87,26.54,25.45,26.54,1048119.0
2023-02-21,25.77,26.49,24.755,24.86,1249613.0
2023-02-22,25.33,25.56,24.721,25.47,1079800.0
2023-02-23,25.48,25.48,24.22,24.73,2438241.0
2023-02-24,25.4,26.87,24.37,25.76,2575165.0
2023-02-27,26.03,26.38,25.66,26.33,1546962.0
2023-02-28,26.33,27.81,26.33,27.08,1665709.0
2023-03-01,26.84,27.43,26.43,26.82,1718983.0
2023-03-02,26.55,27.63,26.55,27.18,1519756.0
2023-03-03,27.46,28.195,27.06,28.09,952562.0
2023-03-06,28.25,28.72,27.325,27.35,1022247.0
2023-03-07,27.47,28.41,27.13,27.77,731337.0
2023-03-08,27.6,27.655,26.2,26.48,991917.0
2023-03-09,26.3,26.94,25.83,25.93,1104422.0
2023-03-10,25.73,25.73,24.27,24.66,1287446.0
2023-03-13,24.15,25.11,23.65,24.67,1031855.0
2023-03-14,25.45,26.01,24.54,24.66,1392375.0
2023-03-15,23.87,24.93,23.74,24.92,997731.0
2023-03-16,24.72,25.455,24.3,24.69,1215340.0
2023-03-17,24.7,25.07,23.95,24.78,1643843.0
2023-03-20,24.68,25.29,23.95,24.45,735613.0
2023-03-21,24.95,25.61,24.825,25.4,1124421.0
2023-03-22,25.48,26.38,24.95,24.99,1409533.0
2023-03-23,25.22,25.96,24.9,25.4,847385.0
2023-03-24,25.27,25.57,24.94,25.16,1007834.0
2023-03-27,25.52,26.56,25.075,26.25,1435882.0
2023-03-28,26.11,26.6996,25.78,26.33,900683.0
2023-03-29,26.3,26.57,25.39,25.88,1635240.0
2023-03-30,26.43,26.59,25.5475,25.63,904921.0
2023-03-31,25.93,26.76,25.69,26.3,1283756.0
2023-04-03,26.19,26.41,25.58,25.92,1172886.0
2023-04-04,26.22,26.45,25.86,26.23,654754.0
