date,open,high,low,close,volume
2023-01-11,30.7287,31.8083,30.7287,31.7448,313044.802619
2023-01-12,31.8899,32.0986,31.4454,32.017,306574.725786
2023-01-13,31.8719,31.9988,31.636,31.7176,381025.800701
2023-01-17,31.8174,31.8809,31.1914,31.2186,336773.561402
2023-01-18,31.1642,31.4998,30.7559,30.8739,335414.514599
2023-01-19,30.765,31.0009,30.6016,30.8467,258183.621324
2023-01-20,30.8013,31.7085,30.706,31.6178,392988.278362
2023-01-23,31.7176,31.9897,31.5189,31.8719,433220.693094
2023-01-24,31.636,31.9353,31.3456,31.3819,422052.921633
2023-01-25,31.2277,31.763,31.019,31.7176,304038.499757
2023-01-26,31.8627,32.2982,31.772,32.271,260865.341415
2023-01-27,32.0986,32.7654,32.0986,32.4887,576178.528722
2023-01-30,32.3436,32.3889,31.9988,32.1168,614046.664953
2023-01-31,32.1894,33.0331,32.1894,33.0149,430635.969044
2023-02-01,32.7972,33.7136,32.5976,33.4777,798645.562365
2023-02-02,33.8134,34.2842,33.3416,33.8134,948152.835224
2023-02-03,33.5593,33.5593,32.4797,32.6612,740584.613941
2023-02-06,32.2528,32.3799,31.645,31.7357,634641.790271
2023-02-07,31.7085,32.1258,31.3093,32.0986,532216.175319
2023-02-08,31.8809,32.6612,31.8809,32.2801,410545.66403
2023-02-09,32.6702,32.8244,31.4817,31.5452,388318.139428
2023-02-10,31.4998,32.1802,31.4454,32.1802,303189.784397
2023-02-13,32.3436,32.3981,31.8719,32.3073,361861.366989
2023-02-14,32.1168,32.2166,31.5996,31.6087,351523.573017
2023-02-15,31.3819,31.5996,31.3093,31.5271,372868.213199
2023-02-16,31.0644,31.7811,30.9736,31.3275,404625.598839
2023-02-17,31.4273,31.4273,30.9283,31.3819,472194.363746
2023-02-21,31.0281,31.3275,30.393,30.5654,449068.523537
2023-02-22,30.8013,31.1277,30.638,30.9011,383549.902225
2023-02-23,31.1642,31.3456,30.8194,31.137,310994.659023
2023-02-24,30.7377,30.8647,30.4937,30.8285,249396.661782
2023-02-27,31.2912,31.3414,30.5019,30.6198,301519.909371
2023-02-28,30.6198,30.8375,30.4565,30.4656,570941.844731
2023-03-01,30.3839,30.7559,30.2478,30.7468,423065.868926
2023-03-02,30.5744,30.7196,30.1662,30.6924,378509.414772
2023-03-03,30.8375,30.8919,30.6288,30.7014,291118.186191
2023-03-06,30.6742,30.6742,29.894,29.9575,410841.061064
2023-03-07,29.9484,29.9484,29.3859,29.4222,319611.875493
2023-03-08,29.4131,30.1934,29.3315,30.139,580546.657256
2023-03-09,30.2297,30.6924,29.7398,29.8215,484102.832248
2023-03-10,29.649,29.7125,28.7963,29.3497,721908.467118
2023-03-13,29.1228,29.7125,29.0412,29.5946,398293.300473
2023-03-14,30.139,30.5109,29.3451,29.8487,664198.027115
2023-03-15,29.3315,29.8033,29.2771,29.5764,431891.40644
2023-03-16,29.1319,29.6218,28.9595,29.5584,473215.026633
2023-03-17,29.4858,29.5402,28.7509,28.7963,1215568.716098
2023-03-20,29.023,29.5856,29.023,29.5764,444855.809115
2023-03-21,29.8395,29.894,29.0774,29.4767,539911.929399
2023-03-22,29.3315,29.8305,28.8597,28.8869,784359.588629
2023-03-23,28.9232,29.2136,28.3335,28.4242,818278.442867
2023-03-24,28.2428,29.1138,27.9434,29.0956,440098.59419
2023-03-27,29.2953,29.5674,28.9868,29.2861,432840.424524
2023-03-28,29.141,29.3497,29.0276,29.1954,395784.630138
2023-03-29,29.5039,29.7035,29.2861,29.6128,369651.912654
