date,open,high,low,close,volume
2023-01-11,49.91,50.83,49.485,50.24,300354.0
2023-01-12,50.79,51.22,49.305,50.48,289873.0
2023-01-13,49.34,49.565,48.06,49.32,193783.0
2023-01-17,47.62,49.4,47.55,48.5,224372.0
2023-01-18,48.88,50.3861,47.93,48.11,244180.0
2023-01-19,47.45,48.7,46.51,48.67,280870.0
2023-01-20,49.01,49.26,48.12,49.25,262559.0
2023-01-23,49.38,49.79,48.7,48.86,215918.0
2023-01-24,48.49,49.04,47.86,48.34,173982.0
2023-01-25,48.35,49.64,47.7,49.6,103735.0
2023-01-26,49.83,51.05,49.16,51.0,161665.0
2023-01-27,51.07,51.96,49.665,50.86,291702.0
2023-01-30,50.37,51.81,50.37,51.32,193230.0
2023-01-31,51.5,54.12,51.5,53.71,373125.0
2023-02-01,53.44,56.25,53.305,55.66,322920.0
2023-02-02,56.0,59.47,56.0,58.23,335024.0
2023-02-03,57.26,60.11,56.58,58.96,251107.0
2023-02-06,58.92,59.52,57.685,58.14,202900.0
2023-02-07,57.9,58.06,56.73,57.8,208900.0
2023-02-08,57.38,58.28,56.7,57.74,171707.0
2023-02-09,58.59,59.35,57.78,58.11,243238.0
2023-02-10,58.02,58.73,57.15,58.42,189243.0
2023-02-13,58.35,60.31,58.01,60.3,274250.0
2023-02-14,59.95,61.6,59.42,61.29,285397.0
2023-02-15,60.5,62.26,59.61,60.64,439146.0
2023-02-16,58.46,59.67,57.57,58.99,421495.0
2023-02-17,58.83,60.42,56.11,60.0,909585.0
2023-02-21,57.69,57.815,53.85,55.26,921759.0
2023-02-22,55.69,59.04,55.5,57.83,640423.0
2023-02-23,58.0,58.15,56.8285,57.13,625815.0
2023-02-24,55.85,57.6,55.63,56.27,418614.0
2023-02-27,56.89,57.965,56.55,56.73,414181.0
2023-02-28,56.79,58.0,56.79,56.89,509336.0
2023-03-01,56.56,58.38,56.56,57.78,440845.0
2023-03-02,57.37,58.76,57.25,58.46,356635.0
2023-03-03,58.74,59.965,58.56,59.52,266556.0
2023-03-06,59.33,59.775,58.76,58.84,417797.0
2023-03-07,58.73,59.8,58.41,58.91,287018.0
2023-03-08,59.15,60.2,58.62,58.65,405961.0
2023-03-09,58.81,59.035,57.13,57.42,464484.0
2023-03-10,56.83,56.83,53.93,55.98,604677.0
2023-03-13,54.34,55.5029,53.275,53.48,722624.0
2023-03-14,54.75,56.06,52.9,53.38,552885.0
2023-03-15,51.91,52.43,49.39,51.87,623020.0
2023-03-16,50.75,51.66,49.56,51.31,467658.0
2023-03-17,50.45,50.575,49.04,49.53,1809184.0
2023-03-20,50.27,52.33,50.025,50.79,414273.0
2023-03-21,52.18,53.36,51.08,51.08,592276.0
2023-03-22,51.62,52.22,50.47,50.5,330219.0
2023-03-23,50.76,51.54,49.08,50.23,517060.0
2023-03-24,49.77,51.56,49.095,51.53,437869.0
2023-03-27,52.3,52.57,51.62,52.26,295345.0
2023-03-28,52.06,53.08,51.83,52.23,258022.0
2023-03-29,52.68,52.74,51.54,52.6,173079.0
2023-03-30,53.12,53.725,52.76,53.06,202063.0
2023-03-31,53.55,54.45,52.9,54.34,253925.0
2023-04-03,54.24,54.97,53.38,53.84,227929.0
2023-04-04,54.28,54.5,52.2,52.36,197006.0
2023-04-05,51.74,51.83,50.0,50.82,262629.0
2023-04-06,50.75,50.98,50.1807,50.62,283982.0
2023-04-10,50.36,51.58,50.02,50.98,349837.0
2023-04-11,51.8,53.87,51.37,53.32,266019.0
2023-04-12,53.89,53.92,52.085,52.56,177685.0
2023-04-13,53.05,53.37,52.06,52.95,140022.0
2023-04-14,53.45,54.32,53.43,54.19,234234.0
2023-04-17,54.0,54.05,52.66,53.17,246712.0
2023-04-18,53.62,54.44,53.29,53.56,219816.0
2023-04-19,52.51,53.6,50.85,53.44,293882.0
2023-04-20,52.76,53.57,51.63,52.61,361775.0
2023-04-21,52.72,53.3,51.43,53.01,178834.0
2023-04-24,52.81,53.91,52.81,52.88,160568.0
2023-04-25,52.5,53.35,51.325,51.84,443260.0
2023-04-26,51.89,52.7,51.395,52.17,436309.0
2023-04-27,48.11,48.5,45.11,46.07,1046512.0
2023-04-28,46.0,46.45,44.26,44.52,442157.0
2023-05-01,43.97,46.502,43.46,46.1,575463.0
2023-05-02,45.76,45.83,42.4,43.41,441133.0
2023-05-03,43.48,43.725,41.69,41.75,409235.0
2023-05-04,41.34,41.5,39.13,39.98,390078.0
2023-05-05,40.59,41.59,39.95,40.61,282806.0
2023-05-08,40.83,41.3,39.5,40.22,242583.0
2023-05-09,39.83,39.96,39.03,39.56,199235.0
2023-05-10,40.07,40.99,39.7617,40.66,250460.0
2023-05-11,40.0,40.8,40.0,40.58,349769.0
2023-05-12,40.81,41.34,40.13,40.69,349128.0
2023-05-15,40.82,40.85,39.51,40.6,210950.0
2023-05-16,39.9,39.9,39.02,39.07,206742.0
2023-05-17,39.73,40.735,39.33,40.52,299938.0
2023-05-18,40.55,41.46,40.43,41.43,326402.0
2023-05-19,41.59,41.82,40.27,40.52,349928.0
2023-05-22,40.8,41.22,40.26,40.86,309184.0
2023-05-23,40.88,43.97,40.42,42.44,687857.0
2023-05-24,42.49,42.79,41.0,41.75,285206.0
2023-05-25,41.6,42.0,40.635,41.73,276971.0
2023-05-26,41.87,42.17,41.33,41.8,209446.0
2023-05-30,42.29,42.97,41.83,42.84,318069.0
2023-05-31,41.72,42.66,40.765,41.44,543179.0
2023-06-01,41.82,41.82,41.02,41.26,255479.0
2023-06-02,41.97,43.79,41.91,43.61,354843.0
2023-06-05,43.25,43.39,41.67,42.5,241473.0
2023-06-06,42.29,45.11,42.17,44.67,229730.0
2023-06-07,45.38,46.84,44.885,46.41,265582.0
2023-06-08,46.38,46.99,45.235,46.69,178835.0
2023-06-09,46.73,46.73,45.39,45.76,220494.0
2023-06-12,45.94,46.36,45.27,46.01,189772.0
2023-06-13,46.23,47.75,45.84,46.43,258804.0
2023-06-14,46.02,46.02,44.31,44.85,231248.0
2023-06-15,44.59,45.8,44.5,45.77,208825.0
2023-06-16,46.02,46.45,44.42,44.81,713386.0
2023-06-20,44.83,45.865,44.58,45.79,281218.0
2023-06-21,45.65,46.28,45.17,45.88,179000.0
2023-06-22,45.67,46.85,44.96,46.54,270457.0
2023-06-23,46.9,47.82,46.34,46.93,758311.0
2023-06-26,47.12,48.12,46.59,46.97,177552.0
2023-06-27,47.06,48.23,46.53,48.12,180308.0
2023-06-28,48.09,49.41,47.88,49.22,234335.0
2023-06-29,49.44,50.37,48.9101,49.0,223570.0
2023-06-30,49.53,49.53,47.59,47.67,290030.0
2023-07-03,47.98,49.265,47.98,48.71,142984.0
2023-07-05,48.51,48.635,47.975,48.02,201171.0
2023-07-06,47.81,48.07,47.21,47.76,275538.0
2023-07-07,47.83,48.85,47.83,48.34,179133.0
2023-07-10,48.24,49.35,48.24,48.79,249753.0
2023-07-11,49.45,50.52,49.29,50.1,232744.0
2023-07-12,51.03,52.44,50.82,51.56,247628.0
2023-07-13,51.42,52.28,51.22,51.67,225476.0
2023-07-14,51.36,51.76,50.62,50.87,228807.0
2023-07-17,50.9,51.67,50.25,51.48,156657.0
2023-07-18,51.19,53.05,51.19,52.42,165223.0
2023-07-19,54.0,54.75,52.07,52.77,343320.0
2023-07-20,52.76,52.935,51.76,52.77,233393.0
2023-07-21,53.06,53.06,50.38,50.58,331215.0
2023-07-24,50.62,51.755,48.3,50.26,332513.0
2023-07-25,49.94,50.17,48.89,49.15,199534.0
2023-07-26,49.07,51.24,49.07,51.07,245393.0
2023-07-27,51.17,53.75,49.625,50.81,467260.0
2023-07-28,51.3,51.7,48.9,49.17,398310.0
2023-07-31,49.14,49.63,47.49,47.89,390252.0
2023-08-01,47.45,50.125,47.45,49.6,467856.0
2023-08-02,49.42,50.36,49.42,49.81,246701.0
2023-08-03,49.8,50.3231,49.19,49.51,270598.0
2023-08-04,49.56,50.25,49.3,49.42,289213.0
2023-08-07,49.32,50.16,49.05,50.12,207274.0
2023-08-08,49.58,50.045,48.01,48.72,274878.0
2023-08-09,49.1,50.2,48.73,50.06,258946.0
2023-08-10,50.26,51.27,49.35,50.18,226198.0
2023-08-11,49.78,51.85,49.57,51.26,200146.0
2023-08-14,51.0,51.22,50.05,50.84,236036.0
2023-08-15,50.95,50.9575,49.85,50.38,287024.0
2023-08-16,50.4,51.0,49.94,50.35,323339.0
2023-08-17,50.48,52.15,50.245,50.48,384373.0
2023-08-18,49.96,51.92,49.63,51.79,310587.0
2023-08-21,51.51,52.3,51.12,51.45,286184.0
2023-08-22,51.3,51.55,50.58,51.06,263464.0
2023-08-23,50.74,52.41,50.35,52.39,278775.0
2023-08-24,52.1,52.89,51.63,51.77,302876.0
2023-08-25,52.04,53.0,51.13,51.81,263192.0
2023-08-28,51.99,53.14,51.99,52.82,280547.0
2023-08-29,52.9,53.895,52.9,53.51,156835.0
2023-08-30,53.26,54.0,53.26,53.68,183348.0
2023-08-31,53.62,54.06,53.19,53.32,145062.0
2023-09-01,53.56,53.66,53.11,53.45,129089.0
2023-09-05,52.77,53.77,51.7,53.4,237946.0
2023-09-06,53.32,54.0,52.25,52.48,273779.0
2023-09-07,52.36,52.71,51.6,51.84,301179.0
2023-09-08,52.0,53.06,51.36,52.07,263572.0
2023-09-11,52.66,52.92,51.41,51.61,287885.0
2023-09-12,51.28,52.82,51.28,51.87,265561.0
2023-09-13,52.28,52.38,51.27,51.61,313865.0
2023-09-14,51.78,54.16,51.78,54.07,377798.0
2023-09-15,53.6,54.12,52.1,52.56,700735.0
2023-09-18,52.66,53.02,51.93,52.26,197210.0
2023-09-19,52.38,52.79,51.5,51.68,169505.0
2023-09-20,51.82,52.25,51.26,51.38,146031.0
2023-09-21,50.89,51.21,50.42,50.5,173087.0
2023-09-22,50.7,51.02,48.71,49.15,233997.0
2023-09-25,49.11,50.12,49.11,49.47,179608.0
2023-09-26,49.34,49.35,48.38,48.87,194475.0
2023-09-27,49.12,49.53,48.68,49.23,211268.0
2023-09-28,47.25,49.61,47.06,49.15,290770.0
2023-09-29,49.72,50.0,47.56,47.76,293317.0
2023-10-02,47.85,48.49,46.51,46.6,237556.0
2023-10-03,46.35,46.59,44.71,45.12,192179.0
2023-10-04,45.17,45.39,44.35,44.95,248971.0
2023-10-05,44.79,44.79,42.42,42.65,292525.0
2023-10-06,42.3,43.36,41.52,42.71,189602.0
2023-10-09,42.12,43.235,41.71,43.13,165801.0
2023-10-10,43.25,44.06,43.0,43.74,325411.0
2023-10-11,43.93,44.41,42.68,43.44,210530.0
2023-10-12,43.39,43.39,41.19,42.52,250040.0
2023-10-13,42.65,42.79,41.59,41.84,228251.0
2023-10-16,42.67,43.98,42.56,43.94,370333.0
2023-10-17,43.71,46.1,43.71,46.0,307227.0
2023-10-18,45.49,46.33,45.24,45.94,230756.0
2023-10-19,45.77,46.72,45.25,45.66,225797.0
2023-10-20,45.78,46.305,45.2,45.46,341297.0
2023-10-23,45.32,46.1,44.67,45.65,334156.0
2023-10-24,44.94,45.92,43.51,43.99,384729.0
2023-10-25,43.9,44.34,42.57,43.33,441364.0
2023-10-26,47.5,51.15,46.33,49.16,911439.0
2023-10-27,49.44,49.845,47.46,49.15,572465.0
2023-10-30,49.62,49.86,47.09,47.53,308269.0
2023-10-31,47.24,47.96,46.37,47.85,349329.0
2023-11-01,48.14,49.61,47.0875,49.42,187492.0
2023-11-02,49.77,51.71,49.43,51.01,326001.0
2023-11-03,51.66,53.55,51.66,52.96,228884.0
2023-11-06,52.52,52.52,51.7,52.34,364077.0
2023-11-07,52.56,52.56,51.09,51.09,294933.0
2023-11-08,51.07,51.32,50.07,50.36,231579.0
2023-11-09,50.45,50.45,48.21,48.56,238279.0
2023-11-10,48.85,49.71,48.02,49.2,284783.0
2023-11-13,49.17,50.0,48.76,49.63,238131.0
2023-11-14,51.87,54.9,51.87,54.46,280224.0
2023-11-15,54.69,56.25,54.4,55.16,357929.0
2023-11-16,54.73,55.69,50.31,50.97,441472.0
2023-11-17,52.27,53.44,51.68,52.46,258742.0
2023-11-20,52.07,53.34,51.99,52.7,168467.0
2023-11-21,52.04,52.64,51.61,52.17,184913.0
2023-11-22,52.73,53.16,51.93,52.25,132412.0
2023-11-24,52.12,52.88,51.18,52.79,78788.0
2023-11-27,52.49,52.62,51.67,51.89,163115.0
2023-11-28,52.78,52.78,51.41,51.44,136214.0
2023-11-29,52.0,52.75,51.52,52.52,166461.0
2023-11-30,52.66,53.12,51.17,51.27,213914.0
2023-12-01,51.2,53.58,51.2,53.45,184548.0
2023-12-04,52.87,54.33,52.87,53.6,139035.0
2023-12-05,52.83,52.83,50.26,50.95,268371.0
2023-12-06,51.75,51.95,50.1,50.25,217046.0
2023-12-07,50.28,50.61,49.46,50.6,430861.0
2023-12-08,50.56,51.38,49.88,50.25,130488.0
2023-12-11,50.37,51.01,49.84,50.39,166924.0
2023-12-12,50.16,50.16,48.56,48.61,159073.0
2023-12-13,48.67,53.64,48.37,53.33,364370.0
2023-12-14,54.58,55.72,54.03,55.39,388255.0
2023-12-15,55.78,55.78,53.85,54.61,708482.0
2023-12-18,55.74,55.93,54.46,54.83,283221.0
2023-12-19,55.28,56.77,55.28,56.62,182318.0
2023-12-20,56.36,57.22,54.59,54.67,219525.0
2023-12-21,56.61,56.64,55.48,56.52,158390.0
2023-12-22,56.2,57.0,55.925,56.4,88065.0
2023-12-26,56.68,58.225,55.86,57.78,178251.0
2023-12-27,57.8,58.69,57.355,58.05,101345.0
2023-12-28,57.82,58.01,57.2,57.54,159453.0
2023-12-29,57.61,57.96,56.14,56.21,155443.0
2024-01-02,55.62,57.3,55.62,56.13,221974.0
2024-01-03,55.27,55.43,53.58,53.77,170892.0
2024-01-04,53.48,54.555,53.06,53.76,248958.0
2024-01-05,53.19,54.98,53.19,54.27,130150.0
2024-01-08,54.04,55.28,54.0,54.9,118071.0
2024-01-09,54.33,54.63,53.58,54.45,101878.0
2024-01-10,54.16,54.25,53.42,54.14,75735.0
2024-01-11,53.53,53.7,51.83,52.88,245101.0
2024-01-12,53.32,53.34,49.97,50.66,173189.0
2024-01-16,50.23,51.01,49.4876,50.51,193210.0
2024-01-17,49.73,50.99,49.73,50.86,123901.0
2024-01-18,51.51,51.51,50.57,51.3,107742.0
2024-01-19,51.44,52.19,50.345,50.82,162481.0
2024-01-22,51.11,52.9758,51.11,52.64,129234.0
2024-01-23,53.69,53.99,51.78,51.93,113009.0
2024-01-24,52.99,54.35,48.91,50.43,319973.0
2024-01-25,51.33,52.485,50.93,52.14,239670.0
2024-01-26,52.74,52.89,51.63,51.72,98377.0
2024-01-29,51.56,53.28,51.31,53.16,162161.0
2024-01-30,52.76,53.35,52.375,52.86,97753.0
