date,open,high,low,close,volume
2023-01-11,235.2,240.0634,231.51,236.64,370258.0
2023-01-12,238.06,240.09,232.27,240.0,308132.0
2023-01-13,238.49,242.16,235.03,242.09,276929.0
2023-01-17,241.37,243.38,237.13,238.26,275806.0
2023-01-18,239.21,254.32,227.33,242.94,468501.0
2023-01-19,238.52,243.44,235.5225,240.46,350636.0
2023-01-20,243.26,249.45,240.87,248.92,306122.0
2023-01-23,250.76,264.43,248.3,261.02,527789.0
2023-01-24,257.19,260.99,255.745,258.67,209362.0
2023-01-25,253.54,258.68,250.54,257.58,348570.0
2023-01-26,259.0,261.57,249.07,255.82,431993.0
2023-01-27,255.8,278.1,255.8,272.75,728288.0
2023-01-30,267.67,271.2,263.12,264.41,449878.0
2023-01-31,266.22,277.505,262.28,272.78,628360.0
2023-02-01,279.09,300.39,278.22,295.64,1016982.0
2023-02-02,294.56,306.4,286.24,287.61,1652168.0
2023-02-03,268.53,302.54,263.91,286.36,746178.0
2023-02-06,290.1,297.8,282.95,293.67,418601.0
2023-02-07,292.17,299.62,288.97,296.03,367796.0
2023-02-08,295.08,298.29,287.605,290.52,290737.0
2023-02-09,291.93,291.93,274.62,277.23,831370.0
2023-02-10,273.04,277.4,269.1,272.0,526879.0
2023-02-13,265.6,275.11,265.57,275.0,418021.0
2023-02-14,272.43,278.41,268.04,277.88,229168.0
2023-02-15,272.44,281.44,272.44,281.44,238834.0
2023-02-16,277.47,286.06,272.61,277.32,384743.0
2023-02-17,277.81,283.11,273.65,282.86,370939.0
2023-02-21,277.58,281.89,271.13,272.7,466421.0
2023-02-22,273.0,278.2,272.895,274.59,452595.0
2023-02-23,275.14,279.2,270.98,276.91,330357.0
2023-02-24,271.08,273.35,267.54,270.37,359548.0
2023-02-27,273.79,274.89,269.51,270.63,263014.0
2023-02-28,270.47,273.93,266.44,270.87,377327.0
2023-03-01,270.87,277.045,269.565,272.42,289809.0
2023-03-02,270.49,287.77,269.26,285.53,392884.0
2023-03-03,289.01,296.73,288.66,295.65,544768.0
2023-03-06,293.25,298.35,291.3,292.81,330042.0
2023-03-07,292.81,295.72,286.17,288.42,308364.0
2023-03-08,287.22,289.91,284.43,289.56,117529.0
2023-03-09,289.56,295.045,280.17,280.66,232281.0
2023-03-10,279.95,281.7675,272.8,276.31,457078.0
2023-03-13,272.32,274.485,263.845,270.43,289373.0
2023-03-14,278.43,283.22,269.76,276.43,467887.0
2023-03-15,270.12,273.85,264.17,272.14,441778.0
2023-03-16,267.65,279.99,264.67,278.41,292537.0
2023-03-17,275.26,281.21,266.91,267.82,472517.0
2023-03-20,268.09,272.83,264.72,270.65,312082.0
2023-03-21,277.97,282.95,275.89,281.51,382646.0
2023-03-22,278.32,283.4,272.8107,274.295,272559.0
2023-03-23,277.2,281.49,266.39,269.36,365261.0
2023-03-24,266.0,273.0,262.305,271.45,212644.0
2023-03-27,273.74,278.19,271.41,275.8,201648.0
2023-03-28,274.65,276.48,271.36,272.15,169699.0
2023-03-29,275.32,281.79,266.0,268.43,333214.0
2023-03-30,271.57,273.19,270.08,271.11,274282.0
2023-03-31,272.03,275.87,267.91,272.08,333448.0
2023-04-03,271.49,273.9868,258.33,264.66,412226.0
2023-04-04,265.16,265.16,253.9,256.29,388708.0
2023-04-05,253.02,256.91,244.7,256.06,695424.0
2023-04-06,255.22,259.99,249.45,254.09,357588.0
2023-04-10,252.46,267.385,252.46,266.94,311450.0
2023-04-11,268.68,273.9199,268.0125,271.52,336686.0
2023-04-12,273.88,276.97,270.1,272.39,261179.0
2023-04-13,273.93,273.93,253.59,258.02,533823.0
2023-04-14,257.24,264.71,255.3101,261.46,427952.0
2023-04-17,263.45,269.25,260.16,268.86,245402.0
2023-04-18,271.61,278.44,267.5,273.26,297450.0
2023-04-19,272.38,276.06,268.1218,274.25,393424.0
2023-04-20,271.36,285.38,271.36,278.64,396142.0
2023-04-21,280.72,291.92,277.715,279.98,581593.0
