date,open,high,low,close,volume
2023-01-11,114.21,114.92,113.99,114.87,785947.0
2023-01-12,115.31,116.69,114.13,116.68,1082805.0
2023-01-13,115.72,117.15,115.71,117.01,755604.0
2023-01-17,116.22,117.44,115.74,116.21,826789.0
2023-01-18,118.06,118.8,116.92,117.08,1394903.0
2023-01-19,114.85,116.13,114.65,115.67,891052.0
2023-01-20,115.56,117.15,115.21,117.12,728454.0
2023-01-23,115.64,117.02,115.595,116.71,1059925.0
2023-01-24,116.04,116.57,115.79,116.19,1022067.0
2023-01-25,115.42,116.519,114.51,116.16,1310862.0
2023-01-26,112.75,114.69,112.3,114.1,1869697.0
2023-01-27,112.55,114.02,112.25,113.21,957898.0
2023-01-30,116.51,117.06,115.71,116.09,1587784.0
2023-01-31,116.63,118.57,116.57,118.53,1270407.0
2023-02-01,119.37,121.42,118.3,121.03,853971.0
2023-02-02,122.71,123.275,122.19,122.97,866463.0
2023-02-03,120.18,121.91,120.09,120.63,1098469.0
2023-02-06,119.95,120.29,119.345,119.72,519551.0
2023-02-07,118.11,120.185,117.82,119.84,538364.0
2023-02-08,118.64,119.51,118.22,118.61,872221.0
2023-02-09,120.53,120.64,118.18,118.7,635978.0
2023-02-10,117.55,117.85,116.8,117.35,661962.0
2023-02-13,117.53,118.51,117.45,118.48,374226.0
2023-02-14,117.99,119.64,117.635,118.76,616018.0
2023-02-15,117.8,119.31,117.73,119.27,669453.0
2023-02-16,117.58,118.62,117.12,117.96,505005.0
2023-02-17,116.51,117.44,116.1728,117.35,411030.0
2023-02-21,115.16,115.76,114.72,114.78,867009.0
2023-02-22,115.53,115.89,114.79,115.26,510583.0
2023-02-23,116.31,116.77,114.86,116.01,784533.0
2023-02-24,113.96,114.36,112.57,113.18,991723.0
2023-02-27,115.18,115.54,114.74,115.13,579932.0
2023-02-28,114.07,114.84,113.76,113.82,693494.0
2023-03-01,115.12,115.12,113.4,114.23,848854.0
2023-03-02,113.05,114.6425,113.0,114.53,664916.0
2023-03-03,115.86,116.965,115.78,116.9,694527.0
2023-03-06,119.5,120.21,119.04,119.73,953744.0
2023-03-07,118.86,118.94,116.6,116.89,469634.0
2023-03-08,116.72,117.55,116.2,117.41,730066.0
2023-03-09,117.4,118.5,115.95,115.99,691873.0
2023-03-10,117.97,118.015,115.23,115.46,1005261.0
2023-03-13,114.31,115.81,113.64,115.03,1144659.0
2023-03-14,118.07,118.49,117.15,118.12,861994.0
2023-03-15,114.34,115.7,113.7,115.6,1111311.0
2023-03-16,116.38,120.4,116.21,120.3,1054054.0
2023-03-17,119.07,120.22,118.09,119.22,1040263.0
2023-03-20,121.34,121.48,120.52,121.38,771660.0
2023-03-21,122.43,123.61,122.12,123.48,594223.0
2023-03-22,122.82,124.47,122.22,122.24,480554.0
2023-03-23,124.04,125.28,123.05,123.74,599534.0
2023-03-24,123.11,123.54,122.03,123.29,907143.0
2023-03-27,123.85,124.3899,122.9875,123.25,571071.0
2023-03-28,123.55,123.65,122.74,123.47,631351.0
2023-03-29,123.58,124.56,123.54,124.32,915953.0
2023-03-30,125.51,126.07,125.11,126.07,745979.0
2023-03-31,125.84,126.77,125.73,126.55,668203.0
2023-04-03,126.18,126.425,125.57,126.32,876270.0
2023-04-04,126.95,127.86,126.91,127.81,788170.0
2023-04-05,128.01,128.23,126.28,126.74,665587.0
2023-04-06,128.0,128.88,127.2,128.71,989476.0
2023-04-10,127.6,127.6,125.8,127.45,604419.0
2023-04-11,126.69,127.05,126.345,126.54,1146772.0
2023-04-12,127.59,128.115,126.79,127.11,1318428.0
2023-04-13,127.06,128.49,127.06,128.05,1132137.0
2023-04-14,127.72,128.17,126.7,127.42,980031.0
2023-04-17,127.75,127.95,126.67,127.2,1387851.0
2023-04-18,128.13,128.3,127.35,127.64,1417059.0
2023-04-19,127.67,127.77,127.06,127.3,1512202.0
2023-04-20,126.93,127.72,126.4,126.86,1512413.0
2023-04-21,132.13,134.64,131.8,133.95,2742855.0
2023-04-24,132.89,133.74,131.9213,132.54,1406605.0
2023-04-25,134.46,135.67,133.41,133.43,1427161.0
2023-04-26,135.61,135.61,133.12,133.35,1346549.0
2023-04-27,135.79,136.85,135.01,136.65,967528.0
2023-04-28,135.34,135.71,134.83,135.27,746813.0
2023-05-01,135.57,135.57,134.44,134.48,467224.0
2023-05-02,133.61,134.5,133.49,134.36,867613.0
2023-05-03,136.08,137.32,135.28,135.78,1414814.0
2023-05-04,133.86,134.64,133.435,134.09,692458.0
2023-05-05,134.13,135.0,134.0,134.76,623760.0
2023-05-08,136.06,136.2,135.22,135.78,718470.0
2023-05-09,133.96,135.1018,133.84,134.68,674757.0
2023-05-10,134.84,135.41,133.85,134.83,733645.0
2023-05-11,134.07,134.13,132.81,133.69,756944.0
2023-05-12,131.79,132.0166,131.29,131.58,655466.0
2023-05-15,130.36,134.05,130.1,131.3,1864721.0
2023-05-16,131.32,133.89,131.21,133.16,2325289.0
2023-05-17,133.4,133.58,131.64,132.62,995657.0
2023-05-18,133.4,134.15,133.11,133.9,954724.0
2023-05-19,134.58,135.12,134.28,134.28,696744.0
2023-05-22,133.47,133.93,133.265,133.29,693541.0
2023-05-23,132.53,132.81,129.71,129.83,1170754.0
2023-05-24,129.63,129.63,128.77,129.21,717260.0
2023-05-25,129.8,129.825,128.84,129.44,1352206.0
2023-05-26,130.13,131.63,130.04,131.41,832101.0
2023-05-30,131.91,132.07,130.12,130.24,729130.0
2023-05-31,130.48,130.87,129.15,130.44,1324959.0
2023-06-01,131.15,132.37,130.62,132.17,783437.0
2023-06-02,133.26,133.53,132.51,132.97,532516.0
2023-06-05,132.3,132.33,131.26,131.5,557946.0
2023-06-06,132.16,132.24,131.52,131.84,551921.0
2023-06-07,132.75,133.26,131.48,131.7,805188.0
2023-06-08,132.01,133.29,131.96,133.21,417128.0
2023-06-09,132.95,133.6,132.05,132.72,499275.0
2023-06-12,131.96,133.94,131.74,133.77,1084361.0
2023-06-13,134.66,135.84,134.03,135.29,766587.0
2023-06-14,134.64,136.36,134.47,135.56,505925.0
2023-06-15,134.92,137.06,134.62,137.04,688508.0
2023-06-16,139.045,139.25,137.19,137.28,983348.0
2023-06-20,136.06,136.8307,135.48,136.01,686248.0
2023-06-21,135.57,135.68,134.38,134.79,824534.0
2023-06-22,134.38,135.42,134.3,135.11,697718.0
2023-06-23,133.7,134.12,133.275,133.47,477891.0
2023-06-26,133.1,133.209,132.25,132.43,474182.0
2023-06-27,132.49,133.2,132.01,133.01,682642.0
2023-06-28,133.75,134.97,133.7,134.27,679732.0
2023-06-29,134.3,134.43,133.54,134.43,454369.0
2023-06-30,135.46,137.15,135.3201,136.81,1073351.0
2023-07-03,135.67,135.89,133.86,134.55,612203.0
2023-07-05,133.7,134.48,133.47,134.4,1265067.0
2023-07-06,132.83,132.92,131.49,132.43,817501.0
2023-07-07,132.77,134.0,132.6,133.26,1029284.0
2023-07-10,133.39,135.04,133.37,134.88,1067629.0
2023-07-11,135.29,136.44,134.91,136.32,1114189.0
2023-07-12,138.69,140.79,138.08,140.58,1524836.0
2023-07-13,142.4,144.16,142.34,143.96,1576377.0
