date,open,high,low,close,volume
2023-01-11,20.67,20.905,20.17,20.44,1145055.0
2023-01-12,20.34,21.04,20.34,21.02,1602561.0
2023-01-13,20.79,21.03,20.705,20.8,1215129.0
2023-01-17,21.11,21.99,21.0,21.95,2847534.0
2023-01-18,22.2,22.4,21.63,21.73,2022548.0
2023-01-19,21.61,21.9,21.12,21.84,1330924.0
2023-01-20,22.07,22.53,21.84,22.45,2080504.0
2023-01-23,22.36,22.36,21.66,21.86,1811123.0
2023-01-24,21.74,21.81,21.35,21.47,1224422.0
2023-01-25,21.3,22.235,21.172,22.21,1370279.0
2023-01-26,22.5,22.56,21.68,22.11,959499.0
2023-01-27,22.26,23.45,22.17,23.39,1866202.0
2023-01-30,23.39,23.54,22.63,22.65,1809190.0
2023-01-31,22.64,22.81,22.4218,22.72,1241514.0
2023-02-01,22.88,22.88,22.33,22.56,1564693.0
2023-02-02,22.66,22.775,21.9894,22.13,1706370.0
2023-02-03,22.0,22.39,21.66,22.18,1294209.0
2023-02-06,22.23,22.43,22.01,22.32,837203.0
2023-02-07,22.44,22.79,22.27,22.72,1023571.0
2023-02-08,22.79,23.39,22.78,23.09,1267826.0
2023-02-09,23.15,23.4,22.94,23.2,1111460.0
2023-02-10,23.06,23.2,22.54,22.91,869827.0
2023-02-13,22.8,23.11,22.38,22.82,1477809.0
2023-02-14,22.55,22.8,22.34,22.57,1006748.0
2023-02-15,22.5,22.6,22.07,22.6,1100892.0
2023-02-16,22.44,22.71,22.32,22.57,1129734.0
2023-02-17,22.0,22.3,21.5644,21.62,2435024.0
2023-02-21,21.8,22.95,21.77,22.03,2168859.0
2023-02-22,22.245,23.02,22.09,22.93,1851564.0
2023-02-23,23.27,24.41,23.26,24.4,2599189.0
2023-02-24,24.15,24.9,23.82,24.58,3121704.0
2023-02-27,24.09,24.78,23.6089,23.97,2629234.0
2023-02-28,24.0,24.75,23.99,24.51,2133838.0
2023-03-01,24.69,25.03,23.945,24.04,1840482.0
2023-03-02,23.84,23.9099,23.07,23.14,1413394.0
2023-03-03,23.2,23.81,23.04,23.73,1614422.0
2023-03-06,23.68,23.68,22.76,22.92,1214259.0
2023-03-07,22.9,23.075,22.51,22.64,1536389.0
2023-03-08,22.85,23.15,22.63,23.12,1608051.0
2023-03-09,22.95,23.0,21.64,21.65,1955643.0
2023-03-10,21.65,22.06,21.6,21.68,1379938.0
2023-03-13,21.33,21.66,20.79,21.38,1397625.0
2023-03-14,22.0,22.91,21.985,22.5,1463176.0
2023-03-15,21.7,22.46,20.89,21.12,2848435.0
2023-03-16,20.89,21.435,20.46,21.38,1265183.0
2023-03-17,21.17,21.25,20.32,20.46,1587818.0
2023-03-20,20.33,20.58,20.06,20.31,1192874.0
2023-03-21,20.7,21.16,20.7,20.89,985162.0
2023-03-22,20.8,21.0,20.37,20.37,761168.0
2023-03-23,20.7,21.26,20.69,21.11,1195329.0
2023-03-24,20.96,21.33,20.73,21.31,692594.0
2023-03-27,21.45,21.45,20.38,20.73,876904.0
2023-03-28,20.76,20.82,20.375,20.49,877202.0
2023-03-29,20.75,21.17,20.59,20.93,1059885.0
2023-03-30,21.1,21.1,20.6,20.69,817619.0
2023-03-31,20.75,21.15,20.69,21.12,905243.0
2023-04-03,20.99,21.01,20.51,20.69,1142542.0
2023-04-04,20.89,21.34,20.68,21.02,895613.0
2023-04-05,20.8,20.82,20.6,20.68,1197711.0
2023-04-06,20.61,20.83,20.32,20.66,890640.0
2023-04-10,20.71,21.35,20.67,21.22,696462.0
2023-04-11,21.24,21.73,21.22,21.51,926244.0
