date,open,high,low,close,volume
2023-01-11,12.76,13.115,12.75,13.08,1314167.0
2023-01-12,13.2,13.285,13.01,13.27,1211814.0
2023-01-13,13.2,13.26,13.06,13.12,1135730.0
2023-01-17,13.18,13.345,13.17,13.24,1007866.0
2023-01-18,13.25,13.36,12.91,13.08,1786871.0
2023-01-19,13.06,13.0792,12.875,13.03,1421946.0
2023-01-20,13.1,13.19,12.89,13.19,1632514.0
2023-01-23,13.21,13.355,13.15,13.31,830495.0
2023-01-24,13.33,13.37,13.17,13.24,694816.0
2023-01-25,13.25,13.25,13.05,13.15,1024548.0
2023-01-26,13.17,13.27,13.115,13.27,816302.0
2023-01-27,13.3,13.52,13.18,13.46,1013593.0
2023-01-30,13.36,13.5,13.29,13.32,1176187.0
2023-01-31,13.37,13.54,13.28,13.5,2226191.0
2023-02-01,13.51,13.69,13.295,13.52,1265069.0
2023-02-02,13.58,13.95,13.58,13.86,1723068.0
2023-02-03,13.82,13.9,13.42,13.59,2022160.0
2023-02-06,13.52,13.57,13.3,13.5,1632826.0
2023-02-07,13.4,13.56,13.3,13.32,2037515.0
2023-02-08,13.25,13.29,13.06,13.12,1971552.0
2023-02-09,13.27,13.27,12.87,12.93,1466411.0
2023-02-10,12.785,13.19,12.63,13.13,4028151.0
2023-02-13,13.07,13.32,13.06,13.22,1423929.0
2023-02-14,13.18,13.2267,12.985,13.09,1089038.0
2023-02-15,12.91,13.095,12.89,12.99,2074899.0
2023-02-16,12.86,13.12,12.83,13.05,1748705.0
2023-02-17,13.14,13.15,12.885,13.02,1193001.0
2023-02-21,12.9,12.9875,12.55,12.7,2985157.0
2023-02-22,12.89,13.49,12.23,12.47,4405461.0
2023-02-23,12.55,12.62,12.165,12.39,2844687.0
2023-02-24,12.3,12.33,12.1,12.2,1619462.0
2023-02-27,12.25,12.34,12.04,12.15,1503907.0
2023-02-28,12.21,12.24,11.88,11.91,3961967.0
2023-03-01,11.85,11.93,11.695,11.8,2603283.0
2023-03-02,11.76,12.055,11.67,12.04,2388478.0
2023-03-03,12.16,12.18,11.97,12.02,1388274.0
2023-03-06,12.04,12.065,11.915,11.94,1193956.0
2023-03-07,11.95,11.96,11.62,11.66,2359465.0
2023-03-08,11.7,11.905,11.63,11.88,2058450.0
2023-03-09,11.8,11.9,11.54,11.57,1852601.0
