date,open,high,low,close,volume
2023-01-11,54.36,56.85,53.06,56.81,3943112.0
2023-01-12,57.98,58.39,54.66,58.38,3806402.0
2023-01-13,57.93,60.4499,57.52,60.12,4336125.0
2023-01-17,60.28,63.1,60.0101,62.19,4975198.0
2023-01-18,64.02,65.45,61.07,62.05,5670163.0
2023-01-19,61.45,62.6605,60.74,61.32,3026774.0
2023-01-20,63.04,68.65,62.56,65.86,11628539.0
2023-01-23,67.0,67.08,64.6858,66.73,4828621.0
2023-01-24,65.9,66.59,63.35,64.0,4028717.0
2023-01-25,63.89,64.9341,61.36,64.26,4381960.0
2023-01-26,67.8,68.76,65.36,67.0,3525558.0
2023-01-27,66.68,69.41,66.2,68.55,5069410.0
2023-01-30,66.78,66.78,64.14,64.61,4363000.0
2023-01-31,64.87,65.88,63.82,64.45,3433030.0
2023-02-01,65.0,69.12,64.41,68.95,4454390.0
2023-02-02,72.0,74.6834,69.8,72.51,7374443.0
2023-02-03,70.01,73.21,69.7201,70.47,4002675.0
2023-02-06,69.0,69.54,65.485,66.26,4332808.0
2023-02-07,66.77,68.85,65.6736,68.54,3317553.0
2023-02-08,67.53,69.65,67.24,68.35,2898069.0
2023-02-09,69.7,71.18,66.52,67.32,2933894.0
2023-02-10,66.0,66.44,63.8,64.0,3504368.0
2023-02-13,63.66,65.42,63.2201,65.02,2314778.0
2023-02-14,64.45,65.5194,62.951,64.23,3483266.0
2023-02-15,62.04,65.9,61.7,65.81,4430543.0
2023-02-16,66.94,69.77,65.18,66.83,6071530.0
2023-02-17,65.99,66.07,63.7476,65.01,5187196.0
2023-02-21,63.01,64.85,62.15,62.91,4987260.0
2023-02-22,63.22,64.06,61.8,63.3,3229431.0
2023-02-23,64.965,65.13,61.9,62.38,5143726.0
2023-02-24,60.2,60.54,57.95,60.01,4608612.0
2023-02-27,60.7,61.08,59.84,59.98,3152811.0
2023-02-28,60.19,63.31,59.9,62.49,3407085.0
2023-03-01,64.01,64.29,61.97,62.07,4008822.0
2023-03-02,61.81,63.635,61.49,63.56,3069164.0
2023-03-03,64.41,66.03,64.27,65.67,3946694.0
2023-03-06,66.34,67.56,64.7,65.71,8168037.0
2023-03-07,70.64,81.5199,68.69,80.06,50929339.0
2023-03-08,79.18,80.67,77.2601,79.81,13571958.0
2023-03-09,79.5,80.8795,76.3,77.57,8146816.0
2023-03-10,76.05,76.7599,72.15,73.45,8538876.0
2023-03-13,72.0,75.22,71.08,74.79,5485641.0
2023-03-14,75.99,78.51,75.82,76.64,4607966.0
2023-03-15,75.24,76.25,72.6,75.23,4121809.0
2023-03-16,75.5,78.51,74.2,78.27,3548603.0
2023-03-17,79.0,79.65,77.21,78.4,3251336.0
2023-03-20,77.16,78.51,75.53,76.91,3292181.0
2023-03-21,77.2,80.74,76.32,79.86,4634739.0
2023-03-22,80.98,81.48,77.64,77.66,5069221.0
2023-03-23,79.66,85.2,79.0,83.67,7812598.0
2023-03-24,83.28,85.09,80.22,82.38,4152237.0
2023-03-27,82.49,83.93,81.75,83.24,3459261.0
2023-03-28,84.97,86.23,81.4,81.75,4928841.0
2023-03-29,82.81,85.64,82.65,85.56,5908705.0
2023-03-30,86.79,87.68,84.365,86.62,3950894.0
2023-03-31,87.44,87.8778,86.15,86.55,3160942.0
2023-04-03,87.26,88.1361,85.24,87.82,4595213.0
2023-04-04,88.8,88.84,86.56,87.64,2874509.0
2023-04-05,87.99,87.99,84.41,85.7,3150767.0
2023-04-06,84.32,84.68,82.32,84.08,3686121.0
2023-04-10,82.57,83.67,81.655,83.53,3163903.0
2023-04-11,83.88,84.24,80.38,82.03,4376440.0
2023-04-12,83.29,83.91,80.78,81.3,2965593.0
2023-04-13,83.28,85.31,83.06,83.97,2602507.0
2023-04-14,83.35,85.3,82.48,83.52,1962013.0
2023-04-17,83.84,84.305,82.68,82.85,2779725.0
2023-04-18,83.54,84.24,81.55,82.51,2995805.0
2023-04-19,81.15,82.2,79.7788,81.49,1712421.0
2023-04-20,79.0,80.22,77.99,78.76,3604952.0
2023-04-21,78.46,79.42,77.67,79.17,2069209.0
2023-04-24,79.16,80.77,78.18,78.71,2309782.0
2023-04-25,76.84,78.1,74.33,74.94,3769886.0
2023-04-26,76.62,76.88,72.81,73.47,3044940.0
2023-04-27,74.71,75.68,73.74,74.73,2713485.0
2023-04-28,74.2,76.91,73.35,76.17,2431187.0
2023-05-01,75.11,76.92,74.965,75.85,1747693.0
2023-05-02,75.19,75.83,73.92,74.45,2111165.0
2023-05-03,73.73,76.22,73.01,74.62,1901586.0
2023-05-04,74.9,76.12,74.49,76.0,1369137.0
2023-05-05,77.51,79.45,77.1,78.41,3010206.0
2023-05-08,85.0,85.96,82.38,84.33,5764512.0
2023-05-09,83.0,85.83,82.86,84.0,4302517.0
2023-05-10,85.0,86.39,84.51,85.54,2757403.0
2023-05-11,85.96,87.38,85.25,86.71,3678276.0
2023-05-12,85.33,86.5,83.31,84.77,3743155.0
2023-05-15,86.12,88.39,85.79,88.07,5111606.0
2023-05-16,79.5,79.57,70.77,72.45,26427723.0
2023-05-17,71.35,74.85,71.3,72.39,9207318.0
2023-05-18,72.41,72.46,69.8,70.16,6045809.0
2023-05-19,70.57,71.41,69.44,69.44,5864977.0
2023-05-22,70.0,70.26,67.76,67.97,6179365.0
2023-05-23,67.45,67.67,64.15,64.36,10867358.0
2023-05-24,63.01,63.655,62.62,63.19,5912047.0
2023-05-25,63.3,63.49,59.68,60.48,7387119.0
2023-05-26,60.19,61.74,59.52,60.12,6617851.0
2023-05-30,60.72,61.27,58.03,58.57,6355603.0
2023-05-31,57.38,59.305,56.62,57.41,9795787.0
2023-06-01,56.75,58.8,56.05,57.98,6091912.0
2023-06-02,59.58,60.6,58.58,59.39,4677715.0
2023-06-05,58.76,59.92,58.11,58.6,4287487.0
2023-06-06,58.05,61.32,58.01,61.28,5743998.0
2023-06-07,62.0,62.7993,60.3,60.97,4765262.0
2023-06-08,61.7,64.16,61.05,63.54,5500102.0
2023-06-09,63.99,64.97,63.01,63.38,3517429.0
2023-06-12,63.99,65.69,63.92,65.03,3608685.0
2023-06-13,66.08,66.39,64.1301,65.7,5013430.0
2023-06-14,66.0,66.1,62.69,63.64,4509641.0
2023-06-15,63.06,63.51,61.41,62.87,5451902.0
2023-06-16,63.47,63.55,61.33,62.08,4709312.0
2023-06-20,61.13,62.41,60.93,61.21,2900111.0
2023-06-21,61.03,61.19,59.68,60.31,2863394.0
2023-06-22,59.97,60.0,58.92,59.49,3286751.0
2023-06-23,58.19,58.99,57.77,58.91,4025943.0
2023-06-26,58.65,58.86,56.588,56.99,4612155.0
2023-06-27,57.74,58.08,56.88,57.34,4426311.0
2023-06-28,56.91,57.48,56.23,57.1,5210378.0
2023-06-29,57.15,57.47,56.52,56.88,3334884.0
2023-06-30,56.8,58.7,56.4,58.04,5587239.0
2023-07-03,58.5,59.5,57.33,57.74,3155976.0
2023-07-05,57.04,58.67,56.27,57.99,3991215.0
2023-07-06,56.59,56.59,54.47,55.24,5413971.0
2023-07-07,54.53,55.81,54.34,54.98,3623415.0
2023-07-10,54.65,58.33,54.38,58.04,5418790.0
2023-07-11,58.0,59.4799,57.22,59.11,6265335.0
2023-07-12,61.01,61.84,60.714,61.03,5518630.0
2023-07-13,63.06,63.75,62.5,63.06,5123125.0
2023-07-14,62.43,63.185,61.56,62.5,3634132.0
2023-07-17,62.23,63.2143,61.61,62.74,2657791.0
2023-07-18,63.41,63.71,61.05,61.46,2924976.0
2023-07-19,62.6,63.9,62.1725,62.42,3341234.0
2023-07-20,61.55,61.98,59.71,60.16,3622161.0
2023-07-21,60.85,62.48,60.39,61.18,2981164.0
2023-07-24,60.04,61.51,59.22,61.16,4336630.0
2023-07-25,62.71,63.54,60.871,61.0,2731122.0
2023-07-26,61.94,62.92,61.34,61.7,2785739.0
2023-07-27,63.37,63.635,59.83,60.25,4359493.0
2023-07-28,62.5,63.845,62.2,63.72,5232646.0
2023-07-31,65.68,67.08,64.37,66.52,5512256.0
2023-08-01,65.34,66.15,65.01,65.91,3075038.0
2023-08-02,64.01,64.2,60.76,61.72,5210467.0
2023-08-03,60.7,62.3199,60.7,61.76,3261338.0
2023-08-04,62.28,62.28,59.0131,59.44,4802856.0
2023-08-07,59.79,60.08,58.155,58.53,3219836.0
2023-08-08,57.25,57.66,56.57,57.33,4785033.0
2023-08-09,57.4,57.51,56.14,56.31,3632160.0
2023-08-10,57.61,58.59,56.8,57.26,5434364.0
