date,open,high,low,close,volume
2023-01-11,8.16,8.2,7.9,8.18,141595.0
2023-01-12,8.29,8.41,8.0,8.16,127752.0
2023-01-13,8.13,8.3,7.98,8.3,140549.0
2023-01-17,8.3,8.3,8.06,8.08,138937.0
2023-01-18,8.22,8.25,8.02,8.09,176908.0
2023-01-19,8.04,8.13,7.91,7.99,124248.0
2023-01-20,8.05,8.12,7.935,7.99,171417.0
2023-01-23,7.96,8.3,7.91,8.26,430022.0
2023-01-24,8.24,8.3,7.72,7.89,679578.0
2023-01-25,7.79,7.93,7.19,7.91,2380104.0
2023-01-26,8.15,9.005,8.08,8.91,662597.0
2023-01-27,8.88,9.49,8.87,9.43,249263.0
2023-01-30,9.43,9.81,9.3448,9.8,170957.0
2023-01-31,9.8,9.96,9.705,9.77,287169.0
2023-02-01,9.77,10.08,9.73,9.82,165773.0
2023-02-02,9.93,10.57,9.8,10.49,164525.0
2023-02-03,10.24,10.49,10.14,10.17,158374.0
2023-02-06,10.05,10.17,9.71,9.76,89313.0
2023-02-07,9.63,10.14,9.56,10.03,135894.0
2023-02-08,9.98,10.07,9.51,9.56,72870.0
2023-02-09,9.72,9.9,9.375,9.38,82971.0
2023-02-10,9.28,9.34,8.95,9.04,106563.0
2023-02-13,9.12,9.26,8.87,8.87,132443.0
2023-02-14,8.84,9.29,8.8,9.09,111775.0
2023-02-15,8.97,9.88,8.97,9.79,340731.0
2023-02-16,9.57,9.7,9.05,9.17,156496.0
2023-02-17,9.08,9.1,8.9,9.04,110555.0
2023-02-21,8.86,9.0725,8.82,8.82,111773.0
2023-02-22,8.92,9.09,8.82,8.83,116943.0
2023-02-23,9.0,9.0261,8.83,9.0,121031.0
2023-02-24,8.75,8.8656,8.56,8.61,139474.0
2023-02-27,8.72,8.72,8.13,8.13,273762.0
2023-02-28,8.02,8.16,7.765,8.0,519319.0
2023-03-01,8.03,8.06,7.87,7.93,319382.0
2023-03-02,7.9,8.19,7.9,8.15,340004.0
2023-03-03,8.22,8.55,8.22,8.41,227714.0
2023-03-06,8.39,8.39,8.09,8.19,215815.0
2023-03-07,8.1,8.4373,8.015,8.24,356677.0
2023-03-08,8.24,8.33,8.05,8.18,339445.0
2023-03-09,8.18,8.24,7.875,7.9,212937.0
2023-03-10,7.87,7.94,7.6933,7.8,740820.0
2023-03-13,7.78,8.35,7.5,7.95,567390.0
2023-03-14,7.92,8.73,7.825,8.67,536547.0
2023-03-15,8.65,9.73,8.5,9.52,782249.0
2023-03-16,9.55,9.7,8.5,9.08,2589055.0
2023-03-17,9.1,9.19,8.395,8.56,896240.0
2023-03-20,8.55,8.9925,8.41,8.97,717207.0
2023-03-21,9.02,9.42,8.86,9.33,603131.0
2023-03-22,9.28,9.49,9.0901,9.35,370029.0
2023-03-23,9.43,9.56,9.265,9.46,207497.0
2023-03-24,9.43,9.48,9.195,9.39,185849.0
2023-03-27,9.39,9.66,9.3525,9.55,338150.0
2023-03-28,9.52,9.66,9.16,9.22,432062.0
2023-03-29,9.31,9.62,9.285,9.6,213325.0
2023-03-30,9.68,9.83,9.51,9.71,257896.0
2023-03-31,9.74,10.06,9.705,10.05,497216.0
2023-04-03,10.0,10.01,9.59,9.96,225679.0
2023-04-04,10.04,10.5572,10.0,10.29,277426.0
2023-04-05,10.19,10.19,9.78,9.89,167045.0
2023-04-06,9.79,9.93,9.69,9.91,132069.0
2023-04-10,9.83,10.29,9.79,10.18,224928.0
2023-04-11,10.07,10.2825,9.88,10.21,175205.0
2023-04-12,10.3,10.35,9.88,9.9,209648.0
2023-04-13,10.02,10.26,9.86,9.96,126152.0
2023-04-14,9.85,10.05,9.67,9.8,143827.0
2023-04-17,9.81,10.05,9.68,9.69,155071.0
2023-04-18,9.76,9.79,9.38,9.7,492693.0
2023-04-19,9.65,10.03,9.65,9.85,182446.0
2023-04-20,9.71,9.93,9.48,9.64,430633.0
2023-04-21,9.64,9.81,9.64,9.78,171817.0
2023-04-24,9.72,9.78,9.28,9.46,256464.0
2023-04-25,9.36,9.36,8.81,8.92,258057.0
2023-04-26,9.0,9.15,8.9,9.1,287301.0
2023-04-27,9.17,9.58,9.125,9.52,290181.0
2023-04-28,9.48,9.7,9.36,9.66,245570.0
2023-05-01,9.57,9.69,9.51,9.69,224181.0
2023-05-02,9.67,9.7,9.35,9.45,230310.0
2023-05-03,9.52,9.52,8.95,9.32,246130.0
2023-05-04,9.32,9.47,9.1061,9.26,228219.0
2023-05-05,9.34,9.65,9.3,9.58,200438.0
2023-05-08,9.6,9.87,9.5963,9.84,204424.0
2023-05-09,9.35,9.36,7.53,8.24,1088879.0
2023-05-10,8.24,8.69,8.1001,8.48,543331.0
2023-05-11,8.4,8.76,8.3412,8.64,331012.0
2023-05-12,8.58,8.6,8.35,8.35,200703.0
2023-05-15,8.3,8.76,8.22,8.68,325339.0
2023-05-16,8.68,8.76,8.0,8.32,1931186.0
2023-05-17,8.32,8.5,8.15,8.23,335209.0
2023-05-18,8.12,8.449,8.01,8.26,537414.0
2023-05-19,8.26,8.54,8.14,8.14,311513.0
2023-05-22,8.11,8.29,7.97,8.18,430339.0
2023-05-23,8.16,8.455,8.16,8.25,316814.0
2023-05-24,8.16,8.38,8.05,8.17,236950.0
2023-05-25,8.31,8.31,7.64,7.66,469539.0
2023-05-26,7.61,7.83,7.415,7.45,440789.0
2023-05-30,7.49,7.73,7.49,7.73,6377.0
2023-05-31,7.26,7.64,7.21,7.61,850918.0
2023-06-01,7.59,7.955,7.43,7.9,366549.0
2023-06-02,7.93,8.07,7.8,7.93,367122.0
2023-06-05,7.84,7.9,7.32,7.47,770031.0
2023-06-06,7.49,7.95,7.25,7.65,1525232.0
2023-06-07,7.68,7.95,7.39,7.5,425212.0
2023-06-08,7.54,7.67,7.4,7.46,369903.0
2023-06-09,7.41,7.645,7.25,7.45,428143.0
2023-06-12,7.49,7.81,7.425,7.71,274792.0
2023-06-13,7.77,8.0,7.66,7.95,671773.0
2023-06-14,8.0,8.39,7.9,8.22,992470.0
2023-06-15,8.06,8.78,8.005,8.53,1095989.0
2023-06-16,8.63,8.82,8.41,8.76,936099.0
2023-06-20,8.7,9.0,8.59,8.99,1015589.0
2023-06-21,8.94,8.9756,8.25,8.72,1009201.0
2023-06-22,8.63,8.935,8.53,8.83,491052.0
2023-06-23,8.71,8.92,8.34,8.58,4894621.0
2023-06-26,8.41,8.555,8.14,8.46,557067.0
2023-06-27,8.52,8.88,8.34,8.87,268141.0
2023-06-28,8.77,9.345,8.77,9.32,284906.0
2023-06-29,9.35,9.6,9.3,9.49,366088.0
2023-06-30,9.58,9.67,9.38,9.57,458403.0
2023-07-03,9.59,9.64,9.4,9.51,190234.0
2023-07-05,9.67,9.885,9.26,9.79,791221.0
2023-07-06,9.61,9.93,9.5,9.72,477547.0
2023-07-07,9.69,9.88,9.69,9.78,252007.0
2023-07-10,9.72,9.87,9.41,9.45,271965.0
2023-07-11,9.43,9.51,9.172,9.34,293442.0
2023-07-12,9.5,10.02,9.43,10.02,318236.0
2023-07-13,10.11,10.415,10.02,10.27,367864.0
2023-07-14,10.28,10.28,9.682,9.77,394646.0
2023-07-17,9.76,10.105,9.76,10.01,188164.0
2023-07-18,10.0,10.52,9.9,10.46,239968.0
2023-07-19,10.47,10.67,10.24,10.37,267465.0
2023-07-20,10.13,10.255,9.77,9.88,287971.0
2023-07-21,10.0,10.05,9.89,10.04,158860.0
2023-07-24,10.06,10.18,9.88,9.99,148338.0
2023-07-25,9.96,10.14,9.8751,9.96,133752.0
2023-07-26,9.92,10.36,9.9,10.35,191923.0
2023-07-27,10.41,10.518,10.03,10.12,192496.0
2023-07-28,10.21,10.53,10.21,10.47,122746.0
2023-07-31,10.5,10.75,10.47,10.61,172409.0
2023-08-01,10.55,10.69,10.34,10.63,164875.0
2023-08-02,10.51,10.51,10.11,10.18,196532.0
2023-08-03,10.13,10.24,9.98,10.18,192370.0
2023-08-04,9.88,10.51,9.21,10.47,617565.0
2023-08-07,10.75,11.01,9.64,9.68,345616.0
2023-08-08,9.54,9.82,9.33,9.77,364896.0
2023-08-09,9.72,9.72,9.21,9.29,216943.0
2023-08-10,9.39,9.43,9.23,9.38,221681.0
2023-08-11,9.32,9.5096,9.25,9.41,175811.0
2023-08-14,9.36,9.475,9.285,9.34,121798.0
2023-08-15,9.3,9.36,9.14,9.18,183876.0
2023-08-16,9.12,9.395,9.12,9.26,227751.0
2023-08-17,9.25,9.25,8.93,8.98,173328.0
2023-08-18,8.88,8.99,8.46,8.52,357123.0
2023-08-21,8.5,8.85,8.3,8.79,380467.0
2023-08-22,8.87,9.0,8.69,8.9,318164.0
2023-08-23,8.9,9.13,8.85,9.1,174564.0
2023-08-24,9.08,9.08,8.7846,8.89,138717.0
2023-08-25,8.95,9.01,8.85,8.97,150411.0
2023-08-28,8.99,9.12,8.88,8.96,129498.0
2023-08-29,8.93,9.07,8.87,9.06,97397.0
2023-08-30,9.04,9.32,8.98,9.29,232044.0
2023-08-31,9.32,9.47,9.26,9.45,372526.0
2023-09-01,9.5,9.6,9.15,9.23,300801.0
2023-09-05,9.16,9.23,9.06,9.09,209532.0
2023-09-06,9.01,9.09,8.92,8.96,147929.0
2023-09-07,8.9,9.1,8.68,9.1,251339.0
2023-09-08,9.21,9.29,8.82,8.87,217135.0
2023-09-11,8.95,9.01,8.79,8.89,157861.0
2023-09-12,8.8,8.92,8.6,8.65,149514.0
2023-09-13,8.66,8.66,8.34,8.39,173662.0
2023-09-14,8.41,8.62,8.31,8.61,230877.0
2023-09-15,8.62,8.715,8.45,8.68,755027.0
2023-09-18,8.64,8.865,8.54,8.68,193412.0
2023-09-19,8.65,8.66,8.45,8.55,125497.0
2023-09-20,8.57,8.62,8.38,8.38,141469.0
2023-09-21,8.27,8.27,7.96,7.97,194921.0
2023-09-22,8.04,8.27,7.99,8.12,206494.0
2023-09-25,8.04,8.18,8.03,8.12,138186.0
2023-09-26,8.06,8.1198,8.01,8.02,152168.0
2023-09-27,8.12,8.26,8.025,8.2,246890.0
2023-09-28,8.22,8.3,8.09,8.25,115699.0
2023-09-29,8.3,8.52,8.24,8.5,243494.0
2023-10-02,8.22,8.3992,8.17,8.24,267615.0
2023-10-03,8.19,8.28,7.96,7.99,164553.0
2023-10-04,8.02,8.16,7.9,8.13,151522.0
2023-10-05,8.13,8.13,7.82,7.99,201000.0
2023-10-06,7.83,8.285,7.83,8.27,220232.0
2023-10-09,8.14,8.42,8.09,8.29,110822.0
2023-10-10,8.31,8.52,8.28,8.29,100115.0
2023-10-11,8.4,8.475,8.22,8.28,95205.0
2023-10-12,8.29,8.29,8.03,8.12,100173.0
2023-10-13,8.12,8.12,7.83,7.97,156891.0
2023-10-16,8.06,8.33,8.0,8.3,109599.0
2023-10-17,8.21,8.425,8.2,8.38,120637.0
2023-10-18,8.25,8.38,8.1825,8.25,76827.0
2023-10-19,8.26,8.35,8.19,8.28,106000.0
2023-10-20,8.34,8.44,8.2,8.31,194653.0
2023-10-23,8.24,8.45,8.08,8.36,160802.0
2023-10-24,8.4,8.7,8.4,8.66,210062.0
2023-10-25,8.53,8.53,8.23,8.26,160329.0
2023-10-26,8.22,8.275,8.01,8.06,160435.0
2023-10-27,8.09,8.14,7.94,8.05,158955.0
2023-10-30,8.19,8.2,8.03,8.08,227938.0
2023-10-31,8.02,8.225,7.95,8.08,276973.0
2023-11-01,8.11,8.13,7.36,7.61,396363.0
2023-11-02,8.3,8.5,7.38,7.65,857088.0
2023-11-03,7.83,8.19,7.66,8.15,740869.0
2023-11-06,8.2,8.355,8.0885,8.3,273156.0
2023-11-07,8.31,8.415,8.12,8.31,219442.0
2023-11-08,8.41,8.42,8.12,8.4,147062.0
2023-11-09,8.4,8.47,8.13,8.21,281906.0
2023-11-10,8.23,8.595,8.12,8.55,184762.0
2023-11-13,8.55,8.84,8.41,8.81,183317.0
2023-11-14,9.04,9.545,9.03,9.54,459461.0
2023-11-15,9.62,10.0,9.498,9.69,453422.0
2023-11-16,9.56,9.58,9.12,9.53,277785.0
2023-11-17,9.58,9.64,9.43,9.51,181762.0
2023-11-20,9.48,9.91,9.48,9.75,198930.0
2023-11-21,9.67,9.92,9.58,9.88,307574.0
2023-11-22,10.0,10.07,9.81,9.82,194991.0
2023-11-24,9.75,9.95,9.71,9.93,114987.0
2023-11-27,9.94,10.53,9.85,10.43,490055.0
2023-11-28,10.42,10.92,10.16,10.92,311881.0
2023-11-29,11.1,11.21,10.915,11.06,565707.0
2023-11-30,11.18,11.18,10.77,10.92,395281.0
2023-12-01,10.95,11.4,10.87,11.17,464810.0
2023-12-04,11.17,11.47,11.01,11.19,669346.0
2023-12-05,11.01,11.4225,11.0,11.33,439669.0
2023-12-06,11.45,11.6512,11.38,11.52,283148.0
2023-12-07,11.5,11.65,10.96,11.21,402587.0
2023-12-08,11.12,11.53,11.12,11.5,507744.0
2023-12-11,11.46,11.645,11.3509,11.47,251174.0
2023-12-12,11.71,12.05,11.5,11.53,552100.0
2023-12-13,11.53,12.16,11.4625,12.05,555070.0
2023-12-14,12.29,12.45,11.6,11.94,608563.0
2023-12-15,12.15,12.15,11.56,11.82,492154.0
2023-12-18,11.72,12.025,11.58,11.95,274913.0
2023-12-19,12.09,12.54,11.94,12.54,387974.0
2023-12-20,12.49,13.1153,12.34,12.64,935539.0
2023-12-21,12.85,13.47,12.85,13.39,492254.0
2023-12-22,13.45,13.98,13.3032,13.88,430332.0
2023-12-26,13.89,13.96,13.58,13.89,242749.0
2023-12-27,13.93,14.05,13.82,14.0,190630.0
2023-12-28,14.0,14.06,13.831,14.05,237145.0
2023-12-29,14.05,14.09,13.63,13.66,267218.0
2024-01-02,13.57,13.57,12.86,13.18,625625.0
2024-01-03,12.98,13.03,12.435,12.68,637112.0
2024-01-04,12.61,12.81,12.48,12.51,326980.0
2024-01-05,12.43,12.67,12.33,12.5,381780.0
2024-01-08,12.37,12.71,12.27,12.46,651263.0
2024-01-09,11.96,12.63,11.7507,12.43,635042.0
2024-01-10,12.41,12.68,12.41,12.49,280614.0
2024-01-11,12.56,12.61,12.26,12.56,275280.0
2024-01-12,12.63,12.78,12.34,12.35,270540.0
2024-01-16,12.2,12.27,12.01,12.26,366009.0
2024-01-17,12.06,12.1,11.775,11.85,758183.0
2024-01-18,12.0,12.1,11.66,11.96,1229971.0
2024-01-19,12.02,12.02,11.56,11.73,591511.0
2024-01-22,11.82,12.13,11.81,12.13,400982.0
2024-01-23,12.29,12.29,11.915,12.01,224304.0
2024-01-24,12.17,12.22,11.615,11.7,352486.0
2024-01-25,11.82,11.87,11.64,11.75,236656.0
2024-01-26,11.82,12.03,11.77,11.77,250882.0
2024-01-29,11.78,12.09,11.7,12.08,427817.0
2024-01-30,12.08,12.14,11.78,11.89,285104.0
2024-01-31,11.82,11.91,11.49,11.54,420098.0
2024-02-01,11.61,11.835,11.4,11.55,497633.0
2024-02-02,11.42,11.49,11.22,11.42,483265.0
2024-02-05,11.31,11.32,11.02,11.16,431586.0
2024-02-06,11.16,11.26,11.05,11.21,446127.0
2024-02-07,11.87,12.52,11.73,12.45,981379.0
2024-02-08,12.49,12.61,12.1,12.14,577485.0
2024-02-09,12.18,12.37,12.02,12.24,359585.0
2024-02-12,12.21,12.2925,11.97,12.24,451130.0
