date,open,high,low,close,volume
2023-01-11,7.55,7.98,7.54,7.66,891327.0
2023-01-12,7.66,8.09,7.58,8.08,740140.0
2023-01-13,8.07,8.485,8.0,8.42,917793.0
2023-01-17,8.31,8.42,7.56,7.61,1330476.0
2023-01-18,7.66,7.84,7.43,7.48,752995.0
2023-01-19,7.48,7.635,7.48,7.55,508808.0
2023-01-20,7.64,7.64,7.44,7.59,439484.0
2023-01-23,7.57,7.77,7.51,7.56,495999.0
2023-01-24,7.53,7.635,7.495,7.54,787457.0
2023-01-25,7.51,7.51,7.33,7.45,356356.0
2023-01-26,7.51,7.56,7.32,7.51,451046.0
2023-01-27,7.47,7.515,7.245,7.41,610790.0
2023-01-30,7.36,7.475,7.26,7.3,537711.0
2023-01-31,7.3,7.358,7.16,7.33,627710.0
2023-02-01,7.3,7.46,7.12,7.41,766934.0
2023-02-02,7.43,7.868,7.35,7.74,932981.0
2023-02-03,7.67,7.67,7.26,7.31,809183.0
2023-02-06,7.34,7.3901,7.075,7.12,708646.0
2023-02-07,7.14,7.21,6.955,7.19,683821.0
2023-02-08,7.13,7.19,6.975,7.01,688133.0
2023-02-09,7.12,7.17,6.855,6.93,854762.0
2023-02-10,6.95,7.035,6.71,6.79,1221229.0
2023-02-13,6.74,6.7699,6.54,6.65,788686.0
2023-02-14,6.67,6.73,6.47,6.7,672562.0
2023-02-15,6.68,6.9,6.6101,6.9,998647.0
2023-02-16,6.8,6.955,6.745,6.83,678196.0
2023-02-17,6.85,7.04,6.76,7.0,626282.0
2023-02-21,6.9,7.02,6.69,6.69,825023.0
2023-02-22,6.73,6.855,6.575,6.7,876622.0
2023-02-23,6.71,6.9,6.66,6.87,521819.0
2023-02-24,6.76,6.89,6.7299,6.88,604831.0
2023-02-27,6.92,6.97,6.87,6.96,749253.0
2023-02-28,6.95,6.95,6.795,6.85,717847.0
2023-03-01,6.88,6.96,6.595,6.64,697076.0
2023-03-02,6.55,6.76,6.45,6.63,1127833.0
2023-03-03,6.63,6.645,6.275,6.39,1073998.0
2023-03-06,6.4,6.6085,6.04,6.07,1059605.0
2023-03-07,6.07,6.25,6.005,6.12,1069904.0
2023-03-08,6.12,6.17,5.885,5.92,823255.0
2023-03-09,5.91,5.96,5.33,5.46,1718771.0
2023-03-10,5.42,5.675,5.365,5.42,930083.0
2023-03-13,5.31,5.385,5.11,5.23,1611441.0
2023-03-14,5.4,5.53,5.32,5.52,955202.0
2023-03-15,5.41,5.62,5.39,5.62,882783.0
2023-03-16,5.53,5.7,5.41,5.62,916198.0
2023-03-17,5.59,5.6,5.42,5.46,1516792.0
2023-03-20,5.46,5.75,5.45,5.53,647739.0
2023-03-21,5.6,5.68,5.38,5.39,677114.0
2023-03-22,5.38,5.41,5.24,5.25,816755.0
2023-03-23,5.3,5.6,5.3,5.55,815219.0
2023-03-24,5.53,5.865,5.505,5.74,683738.0
2023-03-27,5.75,5.795,5.58,5.75,635029.0
2023-03-28,5.78,5.8415,5.595,5.71,1009230.0
2023-03-29,5.79,5.95,5.72,5.72,635166.0
2023-03-30,5.75,5.75,5.51,5.58,460899.0
2023-03-31,5.61,5.85,5.61,5.75,809479.0
2023-04-03,5.75,5.77,5.55,5.75,546755.0
2023-04-04,5.74,5.785,5.51,5.69,610695.0
2023-04-05,5.66,5.915,5.64,5.85,782886.0
2023-04-06,5.88,6.03,5.83,5.93,505513.0
2023-04-10,5.99,6.03,5.85,5.94,774720.0
2023-04-11,5.96,6.14,5.91,6.09,473490.0
2023-04-12,6.16,6.22,5.84,5.91,421289.0
2023-04-13,5.97,6.19,5.93,6.06,397498.0
2023-04-14,6.25,6.26,5.84,5.95,532015.0
2023-04-17,5.97,6.14,5.95,6.03,593193.0
2023-04-18,6.05,6.08,5.73,5.79,478946.0
2023-04-19,5.78,5.895,5.695,5.8,668160.0
2023-04-20,5.7,6.07,5.69,5.9,700062.0
2023-04-21,5.88,5.93,5.67,5.71,730128.0
