date,open,high,low,close,volume
2023-01-11,50.84,52.76,50.84,52.68,812810.0
2023-01-12,53.24,53.86,52.32,53.76,487238.5
2023-01-13,53.24,53.54,52.84,52.88,284163.0
2023-01-17,52.72,53.96,52.72,53.6,352040.5
2023-01-18,53.56,53.8,51.76,52.36,511766.25
2023-01-19,52.2,52.58,51.04,51.12,564314.5
2023-01-20,51.36,51.52,50.36,51.52,353109.0
2023-01-23,51.6,52.84,51.32,52.84,350329.5
2023-01-24,52.24,53.28,52.24,53.12,299104.0
2023-01-25,53.04,53.18,52.48,53.0,262018.0
2023-01-26,53.4,53.56,52.8,53.2,380125.5
2023-01-27,52.96,53.98,52.96,53.72,302662.5
2023-01-30,53.12,53.68,52.6,52.64,235308.5
2023-01-31,52.64,54.66,52.52,54.6,491536.5
2023-02-01,54.24,55.92,53.92,55.48,442821.75
2023-02-02,56.16,57.14,56.0,56.64,513811.75
2023-02-03,55.96,55.96,54.84,55.16,359682.25
2023-02-06,54.48,54.88,53.76,54.8,299453.25
2023-02-07,54.24,55.42,53.8,54.76,527134.0
2023-02-08,53.84,55.96,53.24,55.0,538423.75
2023-02-09,55.28,55.62,54.02,54.28,521987.0
2023-02-10,54.0,55.4,53.74,55.32,268437.5
2023-02-13,55.4,55.64,55.28,55.48,290596.0
2023-02-14,54.96,55.9,54.76,55.4,323816.5
2023-02-15,55.08,55.6,54.92,55.44,290705.75
2023-02-16,54.52,55.7,54.52,55.28,216654.5
2023-02-17,55.6,55.6,54.52,55.04,342365.25
2023-02-21,54.32,54.32,52.18,52.6,541000.5
2023-02-22,52.84,53.92,52.64,53.16,477634.0
2023-02-23,53.8,54.48,53.34,54.44,320800.0
2023-02-24,53.68,54.12,53.48,54.08,355795.5
2023-02-27,54.68,55.04,53.84,53.92,377004.5
2023-02-28,53.88,54.83,53.48,53.48,562766.0
2023-03-01,52.96,53.56,52.5,53.28,261281.5
2023-03-02,53.08,53.28,52.6,53.0,296459.75
2023-03-03,53.36,53.4,52.8,53.16,258539.75
2023-03-06,53.16,53.34,52.28,52.72,349850.0
2023-03-07,52.8,52.8,50.66,51.16,263778.0
2023-03-08,51.28,52.08,51.0,52.04,290050.5
2023-03-09,52.12,52.16,50.36,50.48,288867.5
2023-03-10,50.24,50.32,48.0,48.68,385320.0
2023-03-13,48.2,49.2,47.84,48.48,628428.0
2023-03-14,50.04,50.04,48.86,49.76,613240.25
2023-03-15,48.56,49.7,48.52,49.48,598618.75
2023-03-16,48.36,49.26,47.66,48.16,547325.75
2023-03-17,47.64,47.72,45.9,46.76,1333625.75
2023-03-20,47.08,48.58,46.8,48.12,489901.75
2023-03-21,48.96,49.4,48.48,48.6,503194.5
2023-03-22,48.6,48.6,46.12,46.2,619206.75
2023-03-23,46.2,46.94,45.02,45.16,1246645.75
2023-03-24,44.88,46.28,44.56,45.96,979418.5
2023-03-27,47.0,47.0,46.22,46.28,837966.25
2023-03-28,45.88,46.84,45.56,46.72,658551.75
2023-03-29,47.6,47.82,46.84,47.36,632924.0
2023-03-30,47.92,48.28,47.12,47.64,428150.75
2023-03-31,48.08,49.16,48.02,49.12,473191.5
2023-04-03,49.4,49.96,48.62,49.16,311907.25
2023-04-04,49.36,49.36,47.4,47.88,381996.75
2023-04-05,47.6,47.84,47.2,47.68,418984.0
2023-04-06,48.0,48.08,47.24,47.92,448852.75
2023-04-10,47.96,48.2,46.48,47.16,621759.5
2023-04-11,47.48,48.0,47.04,47.52,468529.5
2023-04-12,48.16,48.16,46.96,47.0,412606.25
2023-04-13,47.12,47.48,46.26,47.24,284723.25
2023-04-14,47.48,47.9,46.64,47.48,470004.0
2023-04-17,47.52,48.56,47.16,48.36,899676.0
2023-04-18,48.52,48.72,47.6,47.8,629355.5
2023-04-19,47.32,48.32,47.1,48.0,481149.75
2023-04-20,47.56,48.4,47.52,47.96,466499.5
2023-04-21,48.2,48.76,47.72,48.6,304880.75
2023-04-24,48.72,48.78,47.64,47.8,734599.75
2023-04-25,47.84,49.04,47.48,48.84,868442.75
2023-04-26,48.2,48.88,47.12,47.44,572765.0
2023-04-27,47.56,48.68,47.28,48.48,348645.0
2023-04-28,48.56,49.92,48.46,49.36,423770.0
2023-05-01,49.04,49.58,48.5,48.72,270384.0
2023-05-02,48.16,48.56,47.04,47.68,441372.25
2023-05-03,47.8,48.76,47.48,47.56,304510.0
2023-05-04,47.04,47.8,46.7,47.68,268848.5
2023-05-05,48.36,48.76,47.88,48.52,327940.75
2023-05-08,48.44,48.72,47.5608,47.92,235852.0
2023-05-09,47.68,47.68,46.64,47.04,255438.5
2023-05-10,47.62,47.84,46.78,47.08,226802.0
2023-05-11,46.56,46.86,46.16,46.56,325026.25
2023-05-12,46.68,46.8,46.32,46.76,409446.25
2023-05-15,46.96,48.2,46.82,47.92,398754.0
2023-05-16,47.84,47.86,45.72,45.76,319944.25
2023-05-17,46.2,47.44,45.96,47.28,418015.5
2023-05-18,47.04,47.98,46.88,47.32,583915.0
2023-05-19,47.32,47.92,46.6,47.08,354687.0
2023-05-22,47.2,48.6,46.88,48.52,354700.25
2023-05-23,48.56,49.68,47.96,47.96,391342.25
2023-05-24,47.44,47.56,46.4,46.6,300144.0
2023-05-25,45.92,46.38,45.56,46.04,291678.25
2023-05-26,46.12,46.7,45.76,46.52,206798.5
2023-05-30,46.72,47.18,46.4,46.8,314657.0
2023-05-31,46.8,47.86,46.64,47.68,653011.0
2023-06-01,47.72,47.94,47.12,47.8,751156.0
2023-06-02,48.56,50.2,48.32,50.04,411952.0
2023-06-05,49.48,50.36,48.94,49.4,552106.75
2023-06-06,49.36,51.16,49.34,51.04,316531.5
2023-06-07,51.52,53.44,51.12,53.16,406490.75
2023-06-08,52.84,53.16,52.14,52.84,610258.0
2023-06-09,52.76,52.92,52.4,52.88,260302.75
2023-06-12,53.04,53.16,52.24,52.52,738923.75
2023-06-13,52.48,53.002,52.08,52.6,686051.0
2023-06-14,52.64,53.36,52.36,52.76,463658.25
2023-06-15,52.44,52.88,51.8,52.8,634304.5
2023-06-16,53.24,53.56,52.64,53.44,1303048.25
2023-06-20,53.24,53.24,52.16,52.56,522632.0
2023-06-21,52.24,52.52,51.52,51.52,475662.5
2023-06-22,51.52,51.59,50.04,50.24,370121.25
2023-06-23,49.8,50.24,49.14,49.48,539999.75
2023-06-26,49.84,50.64,49.52,50.32,649122.0
2023-06-27,50.48,52.12,50.38,51.92,489930.75
2023-06-28,51.96,52.02,50.76,51.32,1003749.75
2023-06-29,51.08,52.78,51.04,52.64,244151.5
2023-06-30,53.32,53.52,52.2,52.88,422558.25
2023-07-03,52.72,53.8,52.72,53.48,173669.75
2023-07-05,53.08,54.1,52.64,53.56,311741.5
2023-07-06,52.6,53.54,51.98,53.36,344079.5
2023-07-07,53.52,54.14,53.2,53.36,502769.5
2023-07-10,53.32,54.08,53.16,53.92,339689.25
2023-07-11,54.2,55.86,53.68,55.72,480233.0
2023-07-12,56.56,56.74,56.16,56.2,385373.25
2023-07-13,56.24,56.24,55.78,56.2,274880.25
2023-07-14,56.04,56.16,55.48,56.12,290800.75
2023-07-17,56.08,56.8,55.8,56.6,344571.5
2023-07-18,56.6,57.18,56.2,56.92,452805.5
2023-07-19,57.2,57.8,56.9,57.72,486666.25
2023-07-20,58.0,58.0,57.0,57.48,671515.5
2023-07-21,57.84,58.1,57.34,57.52,339866.75
2023-07-24,57.64,58.5,57.54,58.32,484115.25
2023-07-25,54.24,57.74,53.08,56.2,981832.0
2023-07-26,55.84,56.54,55.02,56.28,864920.75
2023-07-27,56.6,56.8,55.18,55.4,490801.25
2023-07-28,55.72,55.96,55.24,55.52,419353.5
2023-07-31,55.8,56.34,55.4,56.2,417105.25
2023-08-01,56.08,56.16,55.18,55.96,452572.75
2023-08-02,55.4,56.44,55.18,56.24,593123.5
2023-08-03,55.96,56.04,54.96,55.84,409840.75
2023-08-04,55.92,56.76,55.68,56.08,257799.0
2023-08-07,56.48,57.12,56.04,57.08,262724.0
2023-08-08,56.16,56.4,55.32,56.08,320228.0
2023-08-09,55.76,56.7,55.52,56.32,426574.75
