date,open,high,low,close,volume
2023-01-11,129.04,130.895,127.38,129.52,271466.0
2023-01-12,131.09,131.09,127.33,129.77,134810.0
2023-01-13,128.31,132.095,126.675,132.04,209285.0
2023-01-17,132.09,136.44,132.05,132.05,381050.0
2023-01-18,132.84,135.8474,131.7,132.28,159229.0
2023-01-19,130.43,130.97,127.14,130.16,255060.0
2023-01-20,131.04,135.9,130.05,135.89,248009.0
2023-01-23,135.72,138.72,134.73,138.67,183310.0
2023-01-24,138.17,140.35,137.26,138.69,114941.0
2023-01-25,136.83,141.87,133.715,141.84,227705.0
2023-01-26,143.29,145.22,140.68,144.23,293670.0
2023-01-27,142.54,150.72,142.54,147.26,506195.0
2023-01-30,145.44,147.6,144.445,145.3,264627.0
2023-01-31,146.31,151.53,146.31,151.51,186207.0
2023-02-01,150.38,154.34,150.38,153.84,513122.0
2023-02-02,157.08,165.32,155.61,164.01,684974.0
2023-02-03,160.99,164.855,158.04,159.86,294057.0
2023-02-06,157.43,158.0,153.77,155.52,302063.0
2023-02-07,154.26,154.6,150.56,153.86,421922.0
2023-02-08,153.14,154.45,151.98,152.22,158968.0
2023-02-09,153.95,155.64,149.01,149.36,223915.0
2023-02-10,148.27,149.02,145.79,146.87,265411.0
2023-02-13,147.67,151.59,146.96,151.57,314202.0
2023-02-14,149.79,158.06,149.79,156.26,924762.0
2023-02-15,150.24,159.61,145.56,159.09,590932.0
2023-02-16,153.79,155.64,151.15,152.43,473037.0
2023-02-17,151.29,154.43,151.12,152.24,515248.0
2023-02-21,148.58,150.99,145.47,147.04,424010.0
2023-02-22,147.94,149.94,145.815,147.97,285024.0
2023-02-23,149.99,150.01,145.56,149.41,366307.0
2023-02-24,146.63,149.32,146.15,148.83,393070.0
2023-02-27,150.47,151.77,147.6,148.48,171992.0
2023-02-28,148.9,151.13,148.14,148.34,241102.0
2023-03-01,148.24,149.35,144.79,145.29,301035.0
2023-03-02,143.71,146.9445,142.52,146.23,150354.0
2023-03-03,147.3,148.89,146.03,148.58,194934.0
2023-03-06,149.15,150.19,144.24,145.47,264877.0
2023-03-07,145.32,147.38,143.62,144.77,308600.0
2023-03-08,145.24,146.33,143.765,145.79,175798.0
2023-03-09,146.22,148.65,143.125,143.46,390756.0
2023-03-10,143.62,143.62,132.88,135.6,797867.0
2023-03-13,132.85,137.35,132.22,136.0,384388.0
2023-03-14,139.16,142.4,136.665,138.7,398147.0
2023-03-15,135.09,137.555,131.32,134.51,324488.0
2023-03-16,133.03,138.84,131.47,137.1,326816.0
2023-03-17,136.32,136.475,132.735,132.95,294791.0
2023-03-20,132.54,134.89,132.54,133.1,179963.0
2023-03-21,135.21,137.44,135.153,136.32,146937.0
2023-03-22,135.66,137.8,132.92,132.92,213005.0
2023-03-23,133.92,136.865,132.34,133.84,273716.0
2023-03-24,132.17,132.98,127.5587,130.4,317266.0
2023-03-27,132.66,133.82,131.2643,133.09,269426.0
2023-03-28,132.91,134.7,130.915,131.03,184028.0
2023-03-29,133.08,134.6099,132.19,133.85,182868.0
2023-03-30,135.44,136.64,132.91,133.28,237150.0
2023-03-31,134.74,136.92,133.74,136.87,186822.0
2023-04-03,135.99,136.505,132.88,134.48,241769.0
2023-04-04,135.42,135.51,129.29,130.28,191769.0
2023-04-05,128.78,129.24,125.6,127.87,368490.0
2023-04-06,127.59,129.51,126.53,129.37,223341.0
2023-04-10,131.03,134.65,131.03,133.77,258455.0
2023-04-11,134.49,137.02,134.49,136.17,322032.0
2023-04-12,138.36,140.57,136.04,136.05,330624.0
2023-04-13,136.52,137.28,134.59,136.64,173134.0
2023-04-14,136.0,139.55,134.5,135.85,225923.0
2023-04-17,136.46,137.62,135.666,137.55,179417.0
2023-04-18,138.53,139.23,137.3,138.59,163456.0
2023-04-19,137.81,139.58,136.47,139.41,150256.0
2023-04-20,138.35,141.63,137.52,140.51,197360.0
2023-04-21,141.14,141.14,139.03,139.81,165931.0
2023-04-24,140.0,142.88,140.0,142.73,229320.0
2023-04-25,141.97,143.16,141.35,141.35,419867.0
2023-04-26,140.94,142.04,139.265,140.24,325036.0
2023-04-27,141.67,143.51,140.25,143.49,241016.0
2023-04-28,143.45,148.56,143.45,147.74,236471.0
2023-05-01,147.75,149.16,146.16,147.97,221375.0
2023-05-02,146.69,147.61,144.27,147.27,579318.0
2023-05-03,154.59,160.83,149.21,156.94,804069.0
2023-05-04,155.61,156.96,152.47,153.43,331526.0
2023-05-05,154.83,156.34,152.19,152.98,285168.0
2023-05-08,153.06,154.27,151.915,153.71,249779.0
2023-05-09,153.19,155.28,152.48,153.69,210822.0
2023-05-10,155.42,155.42,146.79,148.47,492592.0
2023-05-11,148.41,149.21,146.28,148.09,303897.0
2023-05-12,148.77,150.075,146.96,148.63,170474.0
2023-05-15,148.45,151.85,147.765,150.84,290029.0
2023-05-16,149.67,150.0,147.68,148.27,182459.0
2023-05-17,148.57,150.02,147.98,149.47,223814.0
2023-05-18,149.88,153.03,149.255,152.98,299422.0
2023-05-19,154.41,154.61,148.758,149.22,185676.0
2023-05-22,149.56,150.52,148.19,148.84,181946.0
2023-05-23,148.0,148.74,145.53,148.07,392734.0
2023-05-24,143.44,144.19,139.665,141.26,403842.0
2023-05-25,141.24,142.87,140.315,141.99,261653.0
2023-05-26,142.14,143.16,139.39,141.11,269188.0
2023-05-30,142.58,143.25,139.555,140.43,281207.0
2023-05-31,139.99,141.16,137.165,137.89,354358.0
2023-06-01,137.62,139.33,136.76,138.89,308255.0
2023-06-02,141.27,144.5,140.44,143.8,432759.0
2023-06-05,143.1,144.14,142.0,142.73,344951.0
2023-06-06,145.24,152.97,144.84,151.38,489029.0
2023-06-07,151.95,154.235,151.32,152.83,428686.0
2023-06-08,152.37,153.255,148.16,150.06,289796.0
2023-06-09,149.58,149.975,146.47,148.2,174110.0
