date,open,high,low,close,volume
2023-01-11,7.831,7.87,7.404,7.561,21213990.0
2023-01-12,7.645,8.082,7.566,8.045,10733380.0
2023-01-13,7.961,8.2146,7.955,8.058,6679930.0
2023-01-17,8.055,8.491,8.02,8.483,11698080.0
2023-01-18,8.599,8.682,7.864,7.887,15376050.0
2023-01-19,7.649,7.675,6.902,7.086,49102700.0
2023-01-20,7.15,7.292,7.086,7.198,13989700.0
2023-01-23,7.296,7.492,7.151,7.375,11822620.0
2023-01-24,7.321,7.847,7.2375,7.825,12758590.0
2023-01-25,7.718,7.807,7.46,7.731,10445920.0
2023-01-26,7.94,7.974,7.601,7.627,7198580.0
2023-01-27,7.574,7.638,7.392,7.43,9049980.0
2023-01-30,7.307,7.5065,7.163,7.213,11482570.0
2023-01-31,7.255,7.3926,7.205,7.233,15715620.0
2023-02-01,7.2,8.077,7.011,7.974,32032810.0
2023-02-02,8.027,8.454,7.982,8.188,15180060.0
2023-02-03,8.1,8.585,8.068,8.434,14010630.0
2023-02-06,8.35,8.44,8.18,8.321,8778430.0
2023-02-07,8.316,8.478,8.0,8.198,8763410.0
2023-02-08,8.268,8.749,8.233,8.522,17579710.0
2023-02-09,8.69,9.388,8.655,8.7,24656940.0
2023-02-10,8.6,9.092,8.577,9.002,13979420.0
2023-02-13,8.945,9.155,8.7602,9.053,10810290.0
2023-02-14,8.983,9.483,8.904,9.288,15172650.0
2023-02-15,9.302,9.384,9.169,9.3,10522920.0
2023-02-16,9.268,9.796,9.2065,9.588,16980170.0
2023-02-17,9.508,9.572,9.066,9.198,13869170.0
2023-02-21,9.05,9.3231,8.791,8.806,11201280.0
2023-02-22,8.759,8.872,8.561,8.671,8712220.0
2023-02-23,8.9328,9.495,8.93,9.427,18328000.0
2023-02-24,9.248,9.836,9.1964,9.816,19451170.0
2023-02-27,9.886,10.398,9.87,10.113,18911410.0
2023-02-28,10.0915,10.3,9.786,9.797,17415960.0
2023-03-01,9.916,10.3055,9.862,10.2,10786510.0
2023-03-02,10.006,10.093,9.5097,9.837,13198810.0
2023-03-03,9.848,10.0,9.552,9.783,9969560.0
2023-03-06,9.885,9.998,9.687,9.83,8266300.0
2023-03-07,9.855,10.075,9.702,9.851,9664550.0
2023-03-08,9.875,10.366,9.8121,10.235,14610450.0
2023-03-09,10.25,10.43,9.816,9.856,11650610.0
2023-03-10,9.801,9.801,9.209,9.276,17333370.0
2023-03-13,9.1,9.2366,8.856,8.928,12825630.0
2023-03-14,9.184,9.46,9.127,9.247,10672950.0
2023-03-15,8.936,9.182,8.725,9.175,12433280.0
2023-03-16,9.006,9.727,9.006,9.723,15453900.0
2023-03-17,9.685,9.804,9.407,9.55,18255820.0
2023-03-20,9.549,10.021,9.541,9.852,15408540.0
2023-03-21,9.999,10.835,9.999,10.825,20351950.0
2023-03-22,10.885,11.627,10.837,11.254,24498930.0
2023-03-23,11.4,11.836,11.175,11.4,20619810.0
2023-03-24,11.282,11.307,10.614,11.083,18319600.0
2023-03-27,11.195,11.36,10.989,11.09,17688930.0
2023-03-28,11.041,11.105,10.1435,10.278,20760720.0
2023-03-29,10.455,10.588,10.252,10.565,13826460.0
2023-03-30,10.732,10.732,10.1314,10.334,12856520.0
2023-03-31,10.356,10.7751,10.3195,10.655,12560280.0
