date,open,high,low,close,volume
2023-01-11,10.29,10.805,10.2281,10.72,145522.0
2023-01-12,10.79,10.96,10.69,10.95,118271.0
2023-01-13,10.78,11.155,10.75,10.88,111172.0
2023-01-17,10.88,11.24,10.55,11.09,173266.0
2023-01-18,11.2,11.2,10.76,10.82,72580.0
2023-01-19,10.68,10.74,10.36,10.52,95079.0
2023-01-20,10.58,10.75,10.46,10.63,411038.0
2023-01-23,10.63,11.0,10.63,10.9,75227.0
2023-01-24,10.88,11.58,10.68,11.34,191768.0
2023-01-25,11.15,11.75,11.0,11.74,82042.0
2023-01-26,11.67,12.32,11.67,12.3,168917.0
2023-01-27,12.25,13.38,12.185,13.22,383010.0
2023-01-30,12.81,13.12,12.01,12.02,232240.0
2023-01-31,11.97,12.73,11.9452,12.55,114484.0
2023-02-01,12.61,12.88,12.48,12.8,198264.0
2023-02-02,13.0,13.38,12.8545,13.27,261218.0
2023-02-03,13.05,13.6,12.8058,13.03,142179.0
2023-02-06,12.9,13.15,12.66,13.04,91147.0
2023-02-07,12.6,13.19,12.47,13.07,118559.0
2023-02-08,12.94,13.04,12.79,12.89,57414.0
2023-02-09,13.0,13.35,12.79,12.85,105040.0
2023-02-10,12.71,12.99,12.3,12.6,179931.0
2023-02-13,12.61,12.79,12.46,12.58,136237.0
2023-02-14,12.51,12.875,12.38,12.84,347590.0
2023-02-15,12.84,13.07,12.74,12.95,178543.0
2023-02-16,12.99,13.16,12.53,12.64,301273.0
2023-02-17,12.66,12.88,12.33,12.48,205012.0
2023-02-21,12.15,12.44,11.69,11.83,131545.0
2023-02-22,11.9,12.5464,11.61,11.92,117702.0
2023-02-23,12.04,12.315,11.67,12.26,78744.0
2023-02-24,12.1,12.26,11.82,12.02,71053.0
2023-02-27,12.1,12.35,12.06,12.23,165244.0
2023-02-28,12.16,12.47,12.02,12.22,203509.0
2023-03-01,12.24,12.415,12.09,12.23,134132.0
2023-03-02,12.03,12.42,12.03,12.32,351374.0
2023-03-03,12.43,12.76,12.34,12.655,502709.0
2023-03-06,12.66,12.81,12.5,12.51,165939.0
2023-03-07,12.64,12.74,12.3716,12.5,142969.0
2023-03-08,12.59,12.59,12.32,12.5,224525.0
2023-03-09,12.46,12.635,11.91,11.98,238189.0
2023-03-10,11.95,12.09,11.09,11.46,234410.0
2023-03-13,11.27,11.62,10.9115,11.48,147045.0
2023-03-14,11.86,12.01,11.64,11.76,193247.0
2023-03-15,12.0,12.37,10.2,10.5,565246.0
2023-03-16,10.4,10.58,9.9,10.44,460833.0
2023-03-17,10.25,10.48,10.11,10.29,339540.0
2023-03-20,10.29,10.4451,10.09,10.105,213697.0
2023-03-21,10.25,10.56,10.25,10.5,318103.0
2023-03-22,10.54,10.61,10.31,10.34,229464.0
2023-03-23,10.35,10.96,10.35,10.87,262640.0
2023-03-24,10.66,10.76,10.48,10.6,269523.0
2023-03-27,10.74,11.13,10.6,11.1,454590.0
2023-03-28,11.01,11.09,10.8,10.88,89871.0
2023-03-29,10.95,11.43,10.9,11.41,161759.0
2023-03-30,11.5,11.58,11.27,11.4,114272.0
2023-03-31,11.49,11.66,11.49,11.63,103490.0
2023-04-03,11.32,11.4004,11.15,11.29,261806.0
2023-04-04,11.29,11.365,10.82,10.86,405020.0
2023-04-05,10.86,11.19,10.76,11.03,194130.0
2023-04-06,10.99,11.44,10.98,11.37,126006.0
2023-04-10,11.2,11.39,11.07,11.3,166296.0
2023-04-11,11.3,11.79,11.2,11.69,230420.0
2023-04-12,11.71,12.2049,11.635,11.83,367651.0
2023-04-13,11.88,11.97,11.5,11.62,183041.0
