date,open,high,low,close,volume
2023-01-11,13.65,13.73,13.49,13.66,350340.0
2023-01-12,13.76,13.7963,13.54,13.78,320051.0
2023-01-13,13.61,13.785,13.5256,13.57,208343.0
2023-01-17,13.71,14.08,13.62,14.01,570728.0
2023-01-18,14.17,14.29,13.55,13.56,400805.0
2023-01-19,13.48,13.585,13.333,13.4,227431.0
2023-01-20,13.39,13.96,13.27,13.9,342478.0
2023-01-23,13.93,14.24,13.7801,14.14,385023.0
2023-01-24,14.03,14.145,13.85,13.89,189666.0
2023-01-25,13.71,13.82,13.47,13.78,147678.0
2023-01-26,13.75,13.98,13.63,13.75,327045.0
2023-01-27,13.69,14.47,13.69,14.33,434594.0
2023-01-30,14.13,14.3,13.855,13.9,252123.0
2023-01-31,13.89,14.34,13.83,14.33,505138.0
2023-02-01,14.28,14.81,14.07,14.76,478465.0
2023-02-02,15.0,15.51,14.9,15.18,467432.0
2023-02-03,14.82,15.34,14.63,14.8,292459.0
2023-02-06,14.52,14.725,14.27,14.32,218074.0
2023-02-07,14.28,14.49,14.13,14.46,194896.0
2023-02-08,14.46,14.52,14.15,14.19,175176.0
2023-02-09,14.32,14.41,13.66,13.8,300238.0
2023-02-10,13.71,13.9,13.6501,13.84,211443.0
2023-02-13,13.84,13.9,13.64,13.82,663195.0
2023-02-14,13.67,14.23,13.25,14.13,634723.0
2023-02-15,14.03,14.54,14.03,14.51,216043.0
2023-02-16,14.36,14.395,13.875,13.92,307490.0
2023-02-17,13.86,13.86,13.59,13.79,156320.0
2023-02-21,13.58,13.7,13.21,13.24,279634.0
2023-02-22,13.32,13.515,13.2898,13.43,236193.0
2023-02-23,13.72,13.72,13.21,13.34,264656.0
2023-02-24,13.23,13.25,12.88,13.04,281358.0
2023-02-27,13.0,13.28,12.97,12.97,397863.0
2023-02-28,13.09,13.26,12.94,12.95,294860.0
2023-03-01,12.97,13.265,12.89,13.19,588136.0
2023-03-02,12.96,13.96,12.72,13.81,1050866.0
2023-03-03,13.67,14.64,13.62,14.26,504893.0
2023-03-06,14.29,14.6099,14.14,14.31,693031.0
2023-03-07,14.29,14.45,14.1,14.21,423921.0
2023-03-08,13.99,14.42,13.69,14.28,612202.0
2023-03-09,14.28,14.68,13.98,14.01,676056.0
2023-03-10,15.42,15.98,15.05,15.28,1858663.0
2023-03-13,14.97,15.07,14.285,14.58,852438.0
2023-03-14,14.57,14.93,14.31,14.36,491546.0
2023-03-15,14.14,14.99,14.11,14.83,553192.0
2023-03-16,14.68,15.15,14.4,14.95,578321.0
2023-03-17,14.99,15.01,14.51,15.0,788929.0
2023-03-20,15.01,15.0499,14.325,14.48,464368.0
2023-03-21,14.59,14.94,14.54,14.59,369112.0
2023-03-22,14.95,15.14,14.48,14.5,498968.0
2023-03-23,14.39,14.8599,14.39,14.66,359245.0
2023-03-24,14.65,14.71,14.32,14.38,346391.0
2023-03-27,14.33,14.38,13.995,14.15,309257.0
2023-03-28,14.13,14.22,14.0,14.11,340117.0
2023-03-29,15.3,16.095,15.16,16.06,2486613.0
2023-03-30,16.16,16.49,16.0001,16.23,816143.0
2023-03-31,16.23,16.55,16.09,16.53,592356.0
2023-04-03,16.11,16.4,15.64,16.38,927721.0
2023-04-04,16.49,16.5,15.61,15.83,990448.0
2023-04-05,16.0,16.02,15.58,15.83,926945.0
2023-04-06,15.66,15.95,15.64,15.75,631099.0
2023-04-10,15.66,15.74,15.32,15.46,447469.0
2023-04-11,15.44,15.545,15.33,15.33,365589.0
2023-04-12,15.47,15.495,14.9401,15.01,609824.0
2023-04-13,15.08,15.505,15.02,15.42,731811.0
2023-04-14,15.5,15.55,14.83,14.98,497597.0
2023-04-17,14.96,15.43,14.94,15.25,420623.0
2023-04-18,15.35,15.465,15.08,15.43,569527.0
2023-04-19,15.22,15.695,15.0221,15.67,869230.0
2023-04-20,15.58,15.58,14.88,15.07,676093.0
2023-04-21,14.99,15.07,14.8,14.87,370054.0
2023-04-24,14.8,15.01,14.77,14.93,414366.0
2023-04-25,14.81,14.8299,14.32,14.34,446981.0
2023-04-26,14.45,14.45,14.01,14.03,322456.0
2023-04-27,14.04,14.48,14.04,14.43,922863.0
2023-04-28,14.43,14.51,14.2,14.36,812501.0
2023-05-01,14.38,15.0288,14.31,14.96,1048056.0
2023-05-02,14.96,14.96,14.075,14.14,376442.0
2023-05-03,14.23,14.27,14.01,14.02,471987.0
2023-05-04,14.0,14.02,13.46,13.83,543377.0
2023-05-05,13.99,14.32,13.95,14.26,262928.0
2023-05-08,14.32,14.525,14.1066,14.35,687676.0
2023-05-09,14.12,14.65,14.12,14.39,594334.0
2023-05-10,14.49,14.75,14.44,14.62,315776.0
2023-05-11,14.56,14.65,14.34,14.58,269527.0
2023-05-12,14.58,14.58,13.9714,14.17,804196.0
2023-05-15,14.23,14.59,14.1,14.4,506207.0
2023-05-16,15.15,16.16,15.0,15.8,1842816.0
2023-05-17,15.82,16.155,15.57,15.98,936575.0
2023-05-18,15.94,16.0326,15.49,15.71,710940.0
2023-05-19,15.74,15.745,15.31,15.38,409795.0
2023-05-22,15.38,15.62,15.38,15.49,564408.0
2023-05-23,15.4,15.46,15.21,15.26,322360.0
2023-05-24,15.21,15.27,14.85,14.88,262395.0
2023-05-25,15.45,16.0,14.15,14.26,1551467.0
2023-05-26,14.21,14.4597,14.0101,14.08,1151502.0
2023-05-30,14.33,14.7,14.06,14.66,1240499.0
2023-05-31,14.52,14.705,14.38,14.55,1124323.0
2023-06-01,14.51,14.71,14.17,14.57,658857.0
2023-06-02,15.7,16.37,15.4,16.21,2682732.0
2023-06-05,16.25,16.92,16.11,16.41,1507556.0
2023-06-06,16.31,16.9,16.25,16.62,729519.0
2023-06-07,16.77,17.44,16.53,17.34,996589.0
2023-06-08,17.34,17.73,17.24,17.57,1013521.0
2023-06-09,17.47,17.89,17.32,17.79,859019.0
2023-06-12,17.81,18.11,17.59,17.83,641969.0
2023-06-13,17.83,17.99,17.6,17.65,922842.0
2023-06-14,17.54,17.84,17.29,17.48,771254.0
2023-06-15,17.29,17.71,17.29,17.37,729038.0
2023-06-16,17.3,17.52,17.0,17.39,2259692.0
2023-06-20,17.32,17.64,16.96,17.38,1398077.0
2023-06-21,17.29,17.44,17.01,17.02,860308.0
2023-06-22,17.02,17.03,16.75,16.84,644031.0
2023-06-23,16.71,16.71,15.75,16.33,1037339.0
2023-06-26,16.27,16.73,16.16,16.23,596590.0
2023-06-27,17.65,17.815,17.02,17.24,1665361.0
2023-06-28,17.5,17.7,17.1,17.6,930452.0
2023-06-29,17.55,18.14,17.45,17.95,1051611.0
2023-06-30,18.13,18.14,17.56,17.76,1635871.0
2023-07-03,17.72,17.88,17.27,17.42,766211.0
2023-07-05,17.33,17.33,16.95,17.04,850573.0
2023-07-06,16.99,17.19,16.74,17.19,567969.0
2023-07-07,17.25,17.605,17.225,17.38,419590.0
2023-07-10,18.5,19.41,18.17,18.86,1870985.0
2023-07-11,19.14,19.25,18.85,19.1,1451516.0
2023-07-12,19.12,19.32,18.995,19.18,632361.0
2023-07-13,20.44,21.71,20.4,20.9,2845047.0
2023-07-14,21.0,21.09,20.1201,20.37,1053485.0
2023-07-17,21.22,21.24,20.71,20.85,1940052.0
2023-07-18,21.15,21.72,21.04,21.3,1512574.0
2023-07-19,21.3,21.4933,21.09,21.27,914793.0
2023-07-20,21.12,21.18,20.66,20.66,542231.0
2023-07-21,20.67,20.87,20.2,20.27,867658.0
2023-07-24,20.27,20.44,20.19,20.21,425693.0
2023-07-25,20.06,20.36,19.51,19.68,885244.0
2023-07-26,19.38,20.11,19.37,19.93,413497.0
2023-07-27,19.93,19.965,19.16,19.19,494647.0
2023-07-28,18.93,19.15,18.56,18.61,1742304.0
2023-07-31,18.51,18.55,18.05,18.13,1042981.0
2023-08-01,18.13,19.2,17.695,17.79,1649774.0
2023-08-02,17.5,17.97,17.15,17.62,653683.0
2023-08-03,17.41,17.46,16.76,16.79,922082.0
2023-08-04,16.65,16.87,16.04,16.44,2045996.0
2023-08-07,16.44,16.45,16.02,16.39,1028103.0
2023-08-08,16.12,16.84,15.93,16.76,1094560.0
2023-08-09,16.06,16.74,15.48,15.55,1303451.0
2023-08-10,15.54,15.75,15.02,15.11,1294966.0
2023-08-11,14.94,15.04,14.71,14.91,1067954.0
2023-08-14,14.93,15.12,14.78,15.05,517567.0
2023-08-15,15.04,15.04,14.68,14.74,545005.0
2023-08-16,14.61,14.75,14.38,14.54,703125.0
2023-08-17,14.54,14.65,14.41,14.43,403158.0
2023-08-18,14.25,14.86,14.246,14.85,520176.0
2023-08-21,14.87,14.91,14.31,14.35,1011675.0
2023-08-22,14.35,14.52,14.16,14.5,680711.0
2023-08-23,14.51,14.61,14.37,14.43,944631.0
2023-08-24,14.56,14.58,14.11,14.17,994147.0
2023-08-25,14.18,14.22,13.86,14.06,493628.0
2023-08-28,14.11,14.25,13.92,14.05,276301.0
2023-08-29,14.02,14.16,13.94,14.01,355742.0
2023-08-30,13.99,14.98,13.7,14.35,3927037.0
2023-08-31,14.41,14.98,14.23,14.7,1094994.0
2023-09-01,14.8,15.029,14.61,14.77,735545.0
2023-09-05,14.73,14.84,14.44,14.51,630635.0
2023-09-06,14.67,14.67,14.27,14.49,401297.0
2023-09-07,14.27,14.34,12.73,13.87,2183630.0
2023-09-08,13.75,13.95,13.55,13.57,574628.0
2023-09-11,13.56,13.62,13.19,13.23,574179.0
2023-09-12,13.0,13.1,12.33,12.48,1591287.0
2023-09-13,12.54,12.56,12.1,12.2,1118754.0
2023-09-14,12.41,13.08,12.27,12.59,1916532.0
2023-09-15,12.64,12.67,12.2,12.39,1210450.0
2023-09-18,12.45,12.45,12.13,12.35,682159.0
2023-09-19,12.34,12.88,12.34,12.52,1291861.0
2023-09-20,12.52,12.69,12.43,12.45,896853.0
2023-09-21,12.33,12.535,12.06,12.33,802103.0
2023-09-22,12.42,12.6,12.31,12.41,1164135.0
2023-09-25,12.38,12.5,12.2,12.27,859864.0
2023-09-26,12.18,12.485,12.17,12.26,1277479.0
2023-09-27,12.25,12.4911,12.16,12.25,1740777.0
2023-09-28,13.2,13.51,12.86,13.21,2802807.0
2023-09-29,13.21,13.68,12.98,13.61,2488449.0
2023-10-02,13.53,13.69,13.055,13.12,1220815.0
2023-10-03,13.01,13.22,12.79,12.88,914200.0
2023-10-04,12.9,12.91,12.335,12.53,924064.0
2023-10-05,12.59,12.65,12.23,12.33,870150.0
2023-10-06,12.14,12.48,12.05,12.35,613799.0
2023-10-09,12.1,12.14,11.54,11.61,1178523.0
2023-10-10,11.61,12.01,11.51,11.68,855969.0
2023-10-11,11.66,11.76,11.36,11.455,842401.0
2023-10-12,11.32,11.77,11.32,11.47,562811.0
2023-10-13,11.5,11.53,11.29,11.39,502482.0
2023-10-16,11.39,11.645,11.295,11.55,325703.0
2023-10-17,11.47,12.165,11.46,12.15,522846.0
2023-10-18,12.02,12.14,11.7,11.81,610196.0
2023-10-19,11.76,11.91,11.59,11.71,558742.0
2023-10-20,11.66,11.74,11.36,11.58,704055.0
2023-10-23,11.4,11.523,11.225,11.28,527949.0
2023-10-24,11.33,11.7499,11.33,11.58,588959.0
2023-10-25,11.12,11.165,10.13,10.355,2005675.0
