date,open,high,low,close,volume
2023-01-11,44.14,44.66,44.14,44.48,1217045.0
2023-01-12,44.67,45.51,44.25,45.42,1476431.0
2023-01-13,45.01,45.48,44.7,45.29,993783.0
2023-01-17,45.22,45.4642,44.77,44.84,670549.0
2023-01-18,45.19,45.71,44.9,44.94,919252.0
2023-01-19,44.45,44.62,43.6,43.68,854056.0
2023-01-20,44.13,44.87,43.88,44.85,1395634.0
2023-01-23,45.15,46.37,45.01,46.34,1299934.0
2023-01-24,45.62,46.77,45.56,46.58,951445.0
2023-01-25,45.89,46.18,45.19,46.18,816658.0
2023-01-26,46.55,46.68,45.71,46.35,791519.0
2023-01-27,46.13,47.03,45.98,46.79,1239670.0
2023-01-30,46.35,46.74,45.88,45.88,1676744.0
2023-01-31,47.9,50.95,47.62,50.85,2843492.0
2023-02-01,50.82,52.75,50.78,52.63,2186281.0
2023-02-02,53.48,54.34,53.14,53.87,1498156.0
2023-02-03,52.88,53.47,52.62,53.29,1357175.0
2023-02-06,52.68,53.0,52.45,52.63,707659.0
2023-02-07,52.33,53.26,52.14,53.07,990581.0
2023-02-08,52.56,53.17,52.16,52.26,935989.0
2023-02-09,51.85,52.6,51.54,51.68,1048361.0
2023-02-10,51.33,51.6,50.85,51.52,1337650.0
2023-02-13,51.63,52.13,51.5,51.95,881602.0
2023-02-14,51.43,52.41,51.16,52.37,664400.0
2023-02-15,51.82,52.63,51.66,52.63,977029.0
2023-02-16,51.92,52.74,51.65,52.38,847263.0
2023-02-17,52.34,52.37,51.84,52.17,536423.0
2023-02-21,51.61,51.75,50.73,51.03,790099.0
2023-02-22,51.17,51.43,50.08,50.21,785860.0
2023-02-23,51.08,51.32,49.865,50.55,444028.0
2023-02-24,49.7,50.165,49.3901,50.04,475530.0
2023-02-27,50.75,51.28,50.05,50.13,486621.0
2023-02-28,50.24,50.98,50.19,50.58,706148.0
2023-03-01,50.71,51.4,50.535,50.77,882306.0
2023-03-02,50.07,51.115,49.82,51.02,617841.0
2023-03-03,51.42,51.72,51.16,51.65,602872.0
2023-03-06,51.81,52.05,50.97,51.07,786972.0
2023-03-07,51.13,51.17,50.44,50.52,686397.0
2023-03-08,50.49,51.16,50.37,51.12,617894.0
2023-03-09,51.29,51.62,49.79,49.83,765066.0
2023-03-10,49.89,50.03,48.13,48.41,838714.0
2023-03-13,47.59,47.76,46.74,47.16,725523.0
2023-03-14,48.4,49.2,48.03,48.4,986740.0
2023-03-15,47.0,47.215,45.395,46.41,960821.0
2023-03-16,45.75,47.1,45.64,46.96,945077.0
2023-03-17,46.76,46.81,45.41,45.63,1046174.0
2023-03-20,46.06,46.83,46.06,46.46,733214.0
2023-03-21,47.33,47.95,47.33,47.79,848460.0
2023-03-22,47.77,48.26,46.82,46.86,839716.0
2023-03-23,47.14,48.05,46.115,46.81,984764.0
2023-03-24,46.24,46.895,45.67,46.83,930431.0
2023-03-27,47.71,48.125,46.96,47.16,1001450.0
2023-03-28,47.11,47.65,46.915,47.59,770263.0
2023-03-29,48.15,48.805,48.08,48.76,721574.0
2023-03-30,49.39,49.565,48.895,49.05,691199.0
2023-03-31,49.43,50.07,49.2,50.02,688420.0
2023-04-03,49.86,50.11,49.02,49.41,871938.0
2023-04-04,49.41,49.535,47.23,47.56,864817.0
2023-04-05,47.385,47.385,46.13,46.41,1090055.0
2023-04-06,46.3,46.3,45.595,45.78,581446.0
2023-04-10,45.68,46.74,45.52,46.7,618094.0
2023-04-11,47.09,47.35,46.9,47.0,687812.0
2023-04-12,47.56,47.67,46.66,46.75,650282.0
2023-04-13,47.09,47.51,46.38,47.22,923336.0
2023-04-14,47.24,48.11,47.16,47.34,754560.0
2023-04-17,47.33,47.48,47.17,47.34,1281238.0
2023-04-18,47.7,48.105,47.15,47.54,1164977.0
2023-04-19,47.47,48.17,47.26,48.02,1305297.0
2023-04-20,47.61,48.06,46.92,48.0,1227421.0
2023-04-21,47.91,48.1475,47.53,47.81,809051.0
2023-04-24,47.62,48.1,47.56,47.87,1420745.0
2023-04-25,46.405,46.405,43.93,44.14,3031157.0
2023-04-26,43.82,44.18,43.08,43.22,1927787.0
2023-04-27,43.52,43.65,42.1,43.28,1501891.0
2023-04-28,43.03,43.75,42.75,43.45,1351842.0
2023-05-01,43.53,43.98,43.09,43.29,1066323.0
2023-05-02,43.02,43.13,42.06,42.86,937698.0
2023-05-03,43.05,43.0625,41.83,41.92,1452862.0
2023-05-04,41.67,41.95,40.365,40.76,1389091.0
2023-05-05,41.54,41.9,40.97,41.56,809708.0
2023-05-08,41.88,41.88,41.33,41.46,1575984.0
2023-05-09,41.05,41.14,40.78,40.88,956026.0
2023-05-10,41.35,41.35,39.71,40.33,1084949.0
2023-05-11,40.02,40.56,39.84,40.21,871674.0
2023-05-12,40.54,40.64,39.87,40.14,596314.0
2023-05-15,40.11,41.32,40.05,41.15,1038475.0
2023-05-16,40.65,40.755,40.13,40.29,597272.0
2023-05-17,40.67,41.22,40.55,40.96,1144060.0
2023-05-18,41.02,41.77,40.96,41.74,603115.0
2023-05-19,42.11,42.39,41.265,41.46,822862.0
2023-05-22,41.5,42.11,41.455,41.91,600312.0
2023-05-23,41.69,42.12,41.3,41.31,531712.0
2023-05-24,40.9,40.99,40.275,40.64,711882.0
2023-05-25,40.85,41.14,40.28,40.58,582513.0
2023-05-26,40.71,41.98,40.71,41.97,725452.0
2023-05-30,42.21,42.52,41.9,42.46,1544084.0
2023-05-31,41.76,42.24,40.96,41.52,2287293.0
2023-06-01,41.52,42.02,41.105,41.83,952970.0
2023-06-02,42.52,43.24,42.11,42.94,726911.0
2023-06-05,42.86,42.91,41.87,42.72,968746.0
2023-06-06,42.72,44.0,42.72,43.88,565535.0
2023-06-07,43.85,44.77,43.84,44.57,620568.0
2023-06-08,44.57,44.75,43.73,43.84,885509.0
2023-06-09,43.89,44.31,43.51,43.82,775830.0
2023-06-12,43.97,44.65,43.62,44.29,758254.0
2023-06-13,44.78,45.09,44.52,44.83,824172.0
2023-06-14,44.98,45.46,44.41,44.55,999088.0
2023-06-15,44.64,45.17,44.51,45.01,689997.0
2023-06-16,45.11,45.58,44.97,45.34,1662355.0
2023-06-20,44.91,45.02,44.485,44.87,683541.0
2023-06-21,44.6,45.015,44.16,44.54,636470.0
2023-06-22,44.15,44.15,43.6,43.81,760177.0
