date,open,high,low,close,volume
2023-01-11,33.21,33.43,32.65,32.82,189255.0
2023-01-12,33.0,33.39,32.79,33.17,221824.0
2023-01-13,33.03,34.05,32.68,33.87,265918.0
2023-01-17,33.98,34.3199,32.23,32.35,321959.0
2023-01-18,32.64,33.04,31.79,31.85,241027.0
2023-01-19,31.59,31.69,30.6,31.45,227663.0
2023-01-20,31.73,32.21,31.26,32.04,286687.0
2023-01-23,32.51,33.0225,32.23,32.72,424467.0
2023-01-24,32.69,34.555,32.6,34.15,671263.0
2023-01-25,34.0,34.3199,32.685,33.53,318986.0
2023-01-26,33.83,34.2258,32.97,33.74,254103.0
2023-01-27,33.85,34.89,33.53,34.5,364106.0
2023-01-30,34.4,34.597,34.031,34.47,217053.0
2023-01-31,34.58,36.42,34.42,36.39,430106.0
2023-02-01,36.28,36.9832,35.8301,36.64,367434.0
2023-02-02,36.96,36.98,35.73,36.32,328443.0
2023-02-03,36.24,36.89,36.0301,36.86,202099.0
2023-02-06,36.68,37.0,36.24,36.85,295977.0
2023-02-07,36.7,37.5573,36.2,37.18,311721.0
2023-02-08,37.26,37.3205,36.49,37.1,168155.0
2023-02-09,37.67,37.78,35.33,35.92,315794.0
2023-02-10,35.81,36.8355,35.6394,36.16,222228.0
2023-02-13,36.32,36.86,35.78,36.71,157986.0
2023-02-14,36.68,37.34,36.37,37.07,150828.0
2023-02-15,36.7,38.25,36.45,38.14,243358.0
2023-02-16,37.64,38.29,37.25,37.66,162925.0
2023-02-17,37.81,38.43,37.5,38.3,247869.0
2023-02-21,37.95,38.17,35.86,35.99,311591.0
2023-02-22,36.04,36.3,35.74,36.13,190802.0
2023-02-23,36.45,37.59,36.45,36.97,165097.0
2023-02-24,36.72,38.1,36.51,38.04,253341.0
2023-02-27,38.5,38.97,37.7,38.34,260124.0
2023-02-28,38.61,40.56,38.29,38.46,439857.0
2023-03-01,38.63,40.47,38.63,39.9,360090.0
2023-03-02,40.21,41.305,39.56,40.87,357556.0
2023-03-03,41.05,41.2968,40.13,40.72,503586.0
2023-03-06,40.61,40.86,39.84,40.46,301156.0
2023-03-07,40.76,41.99,40.6,41.81,357236.0
2023-03-08,42.0,42.0,41.03,41.59,218462.0
2023-03-09,41.68,41.9127,40.86,40.86,196492.0
2023-03-10,41.01,41.15,38.55,38.87,329671.0
2023-03-13,38.18,39.0399,37.6,37.87,337680.0
2023-03-14,38.85,39.99,38.85,39.22,322459.0
2023-03-15,38.29,38.29,36.35,37.79,293786.0
2023-03-16,37.4,38.8,36.93,37.97,199888.0
2023-03-17,37.64,37.93,36.83,36.93,483869.0
2023-03-20,37.39,38.18,37.29,37.88,230318.0
2023-03-21,38.71,39.29,38.71,38.78,175641.0
2023-03-22,38.73,39.05,37.99,38.07,284686.0
2023-03-23,38.39,38.9,37.55,37.9,173072.0
2023-03-24,37.31,38.05,36.44,38.03,265536.0
2023-03-27,38.33,38.87,37.99,38.42,160369.0
2023-03-28,38.23,38.625,37.9509,38.3,147288.0
2023-03-29,38.75,38.77,37.74,38.0,207611.0
2023-03-30,38.4,38.49,37.41,37.58,171566.0
2023-03-31,37.85,38.0,37.55,37.88,301082.0
2023-04-03,38.23,38.6702,37.455,37.99,194122.0
2023-04-04,38.25,38.25,35.41,35.58,231841.0
2023-04-05,35.28,35.44,34.231,34.97,407646.0
2023-04-06,35.11,35.15,34.55,34.64,161827.0
2023-04-10,34.52,35.62,34.425,35.12,134506.0
