date,open,high,low,close,volume
2023-01-11,33.0,33.805,32.795,33.76,5957939.0
2023-01-12,34.12,34.24,33.23,33.58,5974787.0
2023-01-13,32.67,33.645,32.34,33.47,4474260.0
2023-01-17,33.46,33.9,33.305,33.67,5123250.0
2023-01-18,33.79,34.22,33.18,33.21,5522249.0
2023-01-19,32.04,32.73,30.83,32.58,7470214.0
2023-01-20,32.86,35.42,32.86,35.41,12094063.0
2023-01-23,35.23,36.08,34.01,34.56,9548132.0
2023-01-24,34.2,36.125,34.15,35.37,6794207.0
2023-01-25,35.04,36.945,34.97,36.88,6534763.0
2023-01-26,37.04,37.23,35.92,36.55,3970916.0
2023-01-27,36.85,37.35,36.67,37.06,3206407.0
2023-01-30,36.71,37.17,36.13,36.15,4336354.0
2023-01-31,36.17,36.74,35.84,36.73,4613552.0
2023-02-01,33.0,35.62,32.38,35.31,14055129.0
2023-02-02,35.41,37.87,35.41,37.79,7701487.0
2023-02-03,36.86,37.995,36.66,37.05,5661050.0
2023-02-06,36.7,36.8,36.03,36.42,4591407.0
2023-02-07,36.36,37.21,36.31,36.95,3356761.0
2023-02-08,36.58,36.955,36.4,36.43,3805917.0
2023-02-09,36.64,37.02,36.2,36.24,4162125.0
2023-02-10,36.1,36.43,35.86,36.42,3689512.0
2023-02-13,36.27,37.095,36.08,37.03,3052223.0
2023-02-14,36.81,36.9,35.695,36.32,4955851.0
2023-02-15,35.92,36.52,35.84,36.51,3121232.0
2023-02-16,35.97,36.29,35.63,35.65,2943736.0
2023-02-17,35.43,35.78,35.035,35.77,4005966.0
2023-02-21,35.6,35.74,34.76,35.0,4412947.0
2023-02-22,35.13,35.59,35.02,35.45,3777833.0
2023-02-23,35.87,36.14,35.33,35.92,3145113.0
2023-02-24,35.31,35.82,35.22,35.8,3165922.0
2023-02-27,36.14,36.23,35.49,35.5,3697457.0
2023-02-28,35.45,36.075,35.41,35.71,6801454.0
2023-03-01,35.61,36.17,35.4,35.98,3800244.0
2023-03-02,35.38,35.82,35.16,35.74,4329286.0
